group,ticker,retrieved_at,name,source,adjustment,frequency,last_update,status,periodicity,observations,first_date,last_date,last_value,error
ppi_nace_and_aggregates,EPP036CZ Index,2026-09-22T12:46:52.400105+00:00,Eurostat Domestic PPI Water Co,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,440.0,1990-01-31,2026-08-31,144.5,
ppi_nace_and_aggregates,EPP0CCZ Index,2026-09-22T12:46:53.093453+00:00,,,,,,bdp_error,,,,,,ValueError: no reference data (ticker probably invalid)
ppi_nace_and_aggregates,EPPCCZ Index,2026-09-22T12:46:53.373011+00:00,,,,,,bdp_error,,,,,,ValueError: no reference data (ticker probably invalid)
ppi_nace_and_aggregates,PPMFCZ Index,2026-09-22T12:46:53.622562+00:00,,,,,,bdp_error,,,,,,ValueError: no reference data (ticker probably invalid)
ppi_nace_and_aggregates,CZPPCM Index,2026-09-22T12:46:53.879823+00:00,Czech Republic PPI Services &,Czech Statistical Office,MoM% NSA,Monthly,2026-08-31,ok,MONTHLY,318.0,2000-02-29,2026-08-31,0.4,
import_prices_sitc,CZEII Index,2026-09-22T12:46:54.623795+00:00,Czech Republic Import Prices,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,116.1,
import_prices_sitc,CZEIIF Index,2026-09-22T12:46:55.378137+00:00,Czech Republic Import Prices F,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,122.0,
import_prices_sitc,CZEIIB Index,2026-09-22T12:46:56.032406+00:00,Czech Republic Import Prices B,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,191.6,
import_prices_sitc,CZEIII Index,2026-09-22T12:46:56.754131+00:00,Czech Republic Import Prices I,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,140.8,
import_prices_sitc,CZEIIL Index,2026-09-22T12:46:57.467404+00:00,Czech Republic Import Prices L,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,196.5,
import_prices_sitc,CZEIIO Index,2026-09-22T12:46:58.378187+00:00,Czech Republic Import Prices O,Czech Statistical Office,Index NSA,Monthly,2017-12-31,ok,MONTHLY,130.0,2007-02-28,2017-12-31,94.2,
import_prices_sitc,CZEIIC Index,2026-09-22T12:46:59.091824+00:00,Czech Republic Import Prices C,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,110.3,
import_prices_sitc,CZEIIG Index,2026-09-22T12:46:59.805995+00:00,Czech Republic Import Prices G,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,123.9,
import_prices_sitc,CZEIIT Index,2026-09-22T12:47:00.548603+00:00,Czech Republic Import Prices T,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,100.9,
import_prices_sitc,CZEIIM Index,2026-09-22T12:47:01.374771+00:00,Czech Republic Import Prices M,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,105.9,
export_prices_sitc,CZEIE Index,2026-09-22T12:47:02.082292+00:00,Czech Republic Export Prices,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,120.7,
export_prices_sitc,CZEIEF Index,2026-09-22T12:47:02.797981+00:00,Czech Republic Export Prices F,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,123.0,
export_prices_sitc,CZEIEB Index,2026-09-22T12:47:03.475142+00:00,Czech Republic Export Prices B,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,126.8,
export_prices_sitc,CZEIEI Index,2026-09-22T12:47:04.203996+00:00,Czech Republic Export Prices I,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,138.0,
export_prices_sitc,CZEIEL Index,2026-09-22T12:47:05.311780+00:00,Czech Republic Export Prices L,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,326.8,
export_prices_sitc,CZEIEO Index,2026-09-22T12:47:06.182282+00:00,Czech Republic Export Prices O,Czech Statistical Office,Index NSA,Monthly,2017-12-31,ok,MONTHLY,130.0,2007-02-28,2017-12-31,104.7,
export_prices_sitc,CZEIEC Index,2026-09-22T12:47:06.884243+00:00,Czech Republic Export Prices C,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,112.0,
export_prices_sitc,CZEIEG Index,2026-09-22T12:47:07.595759+00:00,Czech Republic Export Prices G,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,125.5,
export_prices_sitc,CZEIET Index,2026-09-22T12:47:08.294453+00:00,Czech Republic Export Prices T,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,108.9,
export_prices_sitc,CZEIEM Index,2026-09-22T12:47:09.022696+00:00,Czech Republic Export Prices M,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233.0,2007-02-28,2026-07-31,116.6,
