variant,origin,h,yy,actual_previous,scored
C0,2019-06,7,2.768810515793083,3.6414565826330487,True
C0,2019-06,8,2.8326531562647377,3.7278657968313063,True
C0,2019-06,9,2.645449522703329,3.4418604651162905,True
C0,2019-06,10,2.7312947829465504,3.159851301115256,True
C0,2019-06,11,2.291636013960163,2.862419205909517,True
C0,2019-06,12,2.2720009463485957,3.317972350230406,True
C0,2019-07,0,3.086799409135512,2.9300567107750517,False
C0,2019-07,1,3.0389016173367294,2.9272898961284195,True
C0,2019-07,2,3.2383734004089573,2.6515151515151705,True
C0,2019-07,3,3.157101631709773,2.735849056603792,True
C0,2019-07,4,3.3097094404743954,3.116147308781873,True
C0,2019-07,5,3.349604749816384,3.207547169811327,True
C0,2019-07,6,3.1793552679869204,3.6414565826330487,True
C0,2019-07,7,3.263089191265102,3.7278657968313063,True
C0,2019-07,8,3.0944829040356967,3.4418604651162905,True
C0,2019-07,9,3.199908146806585,3.159851301115256,True
C0,2019-07,10,2.7771572743118287,2.862419205909517,True
C0,2019-07,11,2.7193366227308653,3.317972350230406,True
C0,2019-07,12,2.569806934520235,3.397612488521572,True
C0,2019-08,0,2.978886976456897,2.9272898961284195,False
C0,2019-08,1,3.248015781023518,2.6515151515151705,True
C0,2019-08,2,3.2452124667273172,2.735849056603792,True
C0,2019-08,3,3.480142726736083,3.116147308781873,True
C0,2019-08,4,3.601967144767511,3.207547169811327,True
C0,2019-08,5,3.5162808358625077,3.6414565826330487,True
C0,2019-08,6,3.6889603402120494,3.7278657968313063,True
C0,2019-08,7,3.608374727952878,3.4418604651162905,True
C0,2019-08,8,3.8026596644995623,3.159851301115256,True
C0,2019-08,9,3.464835025501257,2.862419205909517,True
C0,2019-08,10,3.493557805736896,3.317972350230406,True
C0,2019-08,11,3.4759422549828187,3.397612488521572,True
C0,2019-08,12,3.5358336619556057,3.302752293577968,True
C0,2019-09,0,3.0257448992839464,2.6515151515151705,False
C0,2019-09,1,2.9497146310118296,2.735849056603792,True
C0,2019-09,2,3.1196876895176797,3.116147308781873,True
C0,2019-09,3,3.1849032126078516,3.207547169811327,True
C0,2019-09,4,3.04898348589417,3.6414565826330487,True
C0,2019-09,5,3.1752540812012926,3.7278657968313063,True
C0,2019-09,6,3.0531336130922897,3.4418604651162905,True
C0,2019-09,7,3.212860959930311,3.159851301115256,True
C0,2019-09,8,2.8442206069699827,2.862419205909517,True
C0,2019-09,9,2.8405023319551184,3.317972350230406,True
C0,2019-09,10,2.791079734245115,3.397612488521572,True
C0,2019-09,11,2.769758907890151,3.302752293577968,True
C0,2019-09,12,3.006473802590108,3.2287822878228734,True
C0,2019-10,0,2.5659224710451847,2.735849056603792,False
C0,2019-10,1,2.637250158852087,3.116147308781873,True
C0,2019-10,2,2.6014769303908336,3.207547169811327,True
C0,2019-10,3,2.3631854155396894,3.6414565826330487,True
C0,2019-10,4,2.3823592515568777,3.7278657968313063,True
C0,2019-10,5,2.1542758189894218,3.4418604651162905,True
C0,2019-10,6,2.197583638231531,3.159851301115256,True
C0,2019-10,7,1.7161646098850503,2.862419205909517,True
C0,2019-10,8,1.5976697041888737,3.317972350230406,True
C0,2019-10,9,1.4344780654077276,3.397612488521572,True
C0,2019-10,10,1.3001746219670955,3.302752293577968,True
C0,2019-10,11,1.6618615867773516,3.2287822878228734,True
C0,2019-10,12,1.6598964544347203,2.9384756657483617,True
C0,2019-11,0,3.0757733231556323,3.116147308781873,False
C0,2019-11,1,3.0620984311947397,3.207547169811327,True
C0,2019-11,2,2.8606094228412435,3.6414565826330487,True
C0,2019-11,3,2.9223879339682246,3.7278657968313063,True
C0,2019-11,4,2.739704558947262,3.4418604651162905,True
C0,2019-11,5,2.8336724975562557,3.159851301115256,True
C0,2019-11,6,2.4043604582996125,2.862419205909517,True
C0,2019-11,7,2.3470961906509484,3.317972350230406,True
C0,2019-11,8,2.244263744964515,3.397612488521572,True
C0,2019-11,9,2.169918593349885,3.302752293577968,True
C0,2019-11,10,2.595860768630925,3.2287822878228734,True
C0,2019-11,11,2.4237330144862907,2.9384756657483617,True
C0,2019-11,12,2.3167106891257196,2.655677655677633,True
C0,2019-12,0,3.1728853792067553,3.207547169811327,False
C0,2019-12,1,2.9441506329840537,3.6414565826330487,True
C0,2019-12,2,2.9966740518017594,3.7278657968313063,True
C0,2019-12,3,2.8018659987989096,3.4418604651162905,True
C0,2019-12,4,2.887332341541795,3.159851301115256,True
C0,2019-12,5,2.4468910318537014,2.862419205909517,True
C0,2019-12,6,2.3734222541568744,3.317972350230406,True
C0,2019-12,7,2.2640178429317133,3.397612488521572,True
C0,2019-12,8,2.1826265001085776,3.302752293577968,True
C0,2019-12,9,2.6017213454578867,3.2287822878228734,True
C0,2019-12,10,2.422150931626851,2.9384756657483617,True
C0,2019-12,11,2.181471753489286,2.655677655677633,True
C0,2019-12,12,2.271218972264013,2.285191956124307,True
C0,2020-01,0,3.2175599875819207,3.6414565826330487,False
C0,2020-01,1,3.2257123961008425,3.7278657968313063,True
C0,2020-01,2,3.0094352066932113,3.4418604651162905,True
C0,2020-01,3,3.0730804821492588,3.159851301115256,True
C0,2020-01,4,2.610860490873084,2.862419205909517,True
C0,2020-01,5,2.516486600379927,3.317972350230406,True
C0,2020-01,6,2.3790765850703464,3.397612488521572,True
C0,2020-01,7,2.2798278413069943,3.302752293577968,True
C0,2020-01,8,2.6814302140598376,3.2287822878228734,True
C0,2020-01,9,2.4835678132578822,2.9384756657483617,True
C0,2020-01,10,2.2246460586267185,2.655677655677633,True
C0,2020-01,11,2.147565871177625,2.285191956124307,True
C0,2020-01,12,2.072137504816221,2.162162162162171,True
C0,2020-02,0,3.967974538786881,3.7278657968313063,False
C0,2020-02,1,3.7832346957978635,3.4418604651162905,True
C0,2020-02,2,3.926792579013426,3.159851301115256,True
C0,2020-02,3,3.5342699996267664,2.862419205909517,True
C0,2020-02,4,3.5195434358555926,3.317972350230406,True
C0,2020-02,5,3.4565568397028326,3.397612488521572,True
C0,2020-02,6,3.427185443124704,3.302752293577968,True
C0,2020-02,7,3.9143334961302116,3.2287822878228734,True
C0,2020-02,8,3.795284485800696,2.9384756657483617,True
C0,2020-02,9,3.61394458763903,2.655677655677633,True
C0,2020-02,10,3.6182659138482482,2.285191956124307,True
C0,2020-02,11,3.091905160088944,2.162162162162171,True
C0,2020-02,12,3.1154652094468824,2.066486972147356,True
C0,2020-03,0,3.470403022763218,3.4418604651162905,False
C0,2020-03,1,3.3169484474278166,3.159851301115256,True
C0,2020-03,2,2.948775843711332,2.862419205909517,True
C0,2020-03,3,2.9625785112454297,3.317972350230406,True
C0,2020-03,4,2.930050602813369,3.397612488521572,True
C0,2020-03,5,2.9343264619135048,3.302752293577968,True
C0,2020-03,6,3.443770972173199,3.2287822878228734,True
C0,2020-03,7,3.363625213084478,2.9384756657483617,True
C0,2020-03,8,3.2214068456555007,2.655677655677633,True
C0,2020-03,9,3.264115967545738,2.285191956124307,True
C0,2020-03,10,2.777497083802763,2.162162162162171,True
C0,2020-03,11,2.8415109680511965,2.066486972147356,True
C0,2020-03,12,3.2446947468294454,2.33812949640288,True
C0,2020-04,0,3.2150335396614445,3.159851301115256,False
C0,2020-04,1,2.5817187401514623,2.862419205909517,True
C0,2020-04,2,2.4867716081005984,3.317972350230406,True
C0,2020-04,3,2.344596407032941,3.397612488521572,True
C0,2020-04,4,2.2435068907083195,3.302752293577968,True
C0,2020-04,5,2.642675853867588,3.2287822878228734,True
C0,2020-04,6,2.447643585109878,2.9384756657483617,True
C0,2020-04,7,2.2044297470576124,2.655677655677633,True
C0,2020-04,8,2.1448996162089538,2.285191956124307,True
C0,2020-04,9,1.5636092292323143,2.162162162162171,True
C0,2020-04,10,1.5268477515033156,2.066486972147356,True
C0,2020-04,11,1.6610847653282295,2.33812949640288,True
C0,2020-04,12,2.1796479791798475,3.0630630630630717,True
C0,2020-05,0,2.8223781006921715,2.862419205909517,False
C0,2020-05,1,2.7010212148750576,3.317972350230406,True
C0,2020-05,2,2.5194406993174807,3.397612488521572,True
C0,2020-05,3,2.359621629516832,3.302752293577968,True
C0,2020-05,4,2.658300665411072,3.2287822878228734,True
C0,2020-05,5,2.4320751426676854,2.9384756657483617,True
C0,2020-05,6,2.1237597444586176,2.655677655677633,True
C0,2020-05,7,2.0285868276713974,2.285191956124307,True
C0,2020-05,8,1.3374017523177049,2.162162162162171,True
C0,2020-05,9,1.264787950314614,2.066486972147356,True
C0,2020-05,10,1.3520991591342724,2.33812949640288,True
C0,2020-05,11,1.743022321193322,3.0630630630630717,True
C0,2020-05,12,1.7752326038755446,2.872531418312392,True
C0,2020-06,0,3.190269016166241,3.317972350230406,False
C0,2020-06,1,3.155330450688453,3.397612488521572,True
C0,2020-06,2,3.100256063865069,3.302752293577968,True
C0,2020-06,3,3.565319933051261,3.2287822878228734,True
C0,2020-06,4,3.424126203900347,2.9384756657483617,True
C0,2020-06,5,3.233225246983456,2.655677655677633,True
C0,2020-06,6,3.231790377766612,2.285191956124307,True
C0,2020-06,7,2.72802061313855,2.162162162162171,True
C0,2020-06,8,2.7637737573740853,2.066486972147356,True
C0,2020-06,9,2.9737024167417583,2.33812949640288,True
C0,2020-06,10,3.4714896549235994,3.0630630630630717,True
C0,2020-06,11,3.416241663092002,2.872531418312392,True
C0,2020-06,12,3.2574714721905367,2.765388046387192,True
C0,2020-07,0,3.5490018426120713,3.397612488521572,False
C0,2020-07,1,3.5256791988671106,3.302752293577968,True
C0,2020-07,2,3.9883021349731935,3.2287822878228734,True
C0,2020-07,3,3.8615836353361397,2.9384756657483617,True
C0,2020-07,4,3.681434938813414,2.655677655677633,True
C0,2020-07,5,3.6983447090530324,2.285191956124307,True
C0,2020-07,6,3.1846314215405758,2.162162162162171,True
C0,2020-07,7,3.243566443526412,2.066486972147356,True
C0,2020-07,8,3.4753196251814313,2.33812949640288,True
C0,2020-07,9,4.00037345136401,3.0630630630630717,True
C0,2020-07,10,3.96527168023248,2.872531418312392,True
C0,2020-07,11,3.627157968753081,2.765388046387192,True
C0,2020-07,12,3.4980930158440517,3.3747779751332514,True
C0,2020-08,0,3.3409973089369425,3.302752293577968,False
C0,2020-08,1,3.8927514568046537,3.2287822878228734,True
C0,2020-08,2,3.803169077854602,2.9384756657483617,True
C0,2020-08,3,3.6847652687840826,2.655677655677633,True
C0,2020-08,4,3.7500830114950148,2.285191956124307,True
C0,2020-08,5,3.349136742746757,2.162162162162171,True
C0,2020-08,6,3.4495465703965738,2.066486972147356,True
C0,2020-08,7,3.743263356611848,2.33812949640288,True
C0,2020-08,8,4.316559623567271,3.0630630630630717,True
C0,2020-08,9,4.344191567260282,2.872531418312392,True
C0,2020-08,10,4.059348211952931,2.765388046387192,True
C0,2020-08,11,4.0440253354959275,3.3747779751332514,True
C0,2020-08,12,4.204643350842246,4.085257548845505,True
C0,2020-09,0,3.5789485238220813,3.2287822878228734,False
C0,2020-09,1,3.3574327780027162,2.9384756657483617,True
C0,2020-09,2,3.1290701421973535,2.655677655677633,True
C0,2020-09,3,3.089373673039984,2.285191956124307,True
C0,2020-09,4,2.5927197361822127,2.162162162162171,True
C0,2020-09,5,2.596975535677404,2.066486972147356,True
C0,2020-09,6,2.7870018459674006,2.33812949640288,True
C0,2020-09,7,3.2674951565354258,3.0630630630630717,True
C0,2020-09,8,3.208663984884874,2.872531418312392,True
C0,2020-09,9,2.8417473807569245,2.765388046387192,True
C0,2020-09,10,2.7419024924109454,3.3747779751332514,True
C0,2020-09,11,2.8111908588750056,4.085257548845505,True
C0,2020-09,12,3.0831819220739374,4.915102770330665,True
C0,2020-10,0,3.0391296877661924,2.9384756657483617,False
C0,2020-10,1,2.7295849499975193,2.655677655677633,True
C0,2020-10,2,2.6026500210552537,2.285191956124307,True
C0,2020-10,3,1.9991140079936458,2.162162162162171,True
C0,2020-10,4,1.9213250714580477,2.066486972147356,True
C0,2020-10,5,2.031540212571794,2.33812949640288,True
C0,2020-10,6,2.4266121606152327,3.0630630630630717,True
C0,2020-10,7,2.2871277857442975,2.872531418312392,True
C0,2020-10,8,1.8478617689115593,2.765388046387192,True
C0,2020-10,9,1.6810662878016334,3.3747779751332514,True
C0,2020-10,10,1.6757530307163655,4.085257548845505,True
C0,2020-10,11,2.015567174886746,4.915102770330665,True
C0,2020-10,12,2.108572385798646,5.798394290811807,True
C0,2020-11,0,2.8479147198523798,2.655677655677633,False
C0,2020-11,1,2.7343838930680153,2.285191956124307,True
C0,2020-11,2,2.1245499416289193,2.162162162162171,True
C0,2020-11,3,2.0660773137498714,2.066486972147356,True
C0,2020-11,4,2.1950297425764944,2.33812949640288,True
C0,2020-11,5,2.614808534820346,3.0630630630630717,True
C0,2020-11,6,2.4886171946522264,2.872531418312392,True
C0,2020-11,7,2.0738401001068074,2.765388046387192,True
C0,2020-11,8,1.9374171741163886,3.3747779751332514,True
C0,2020-11,9,1.9568863940259944,4.085257548845505,True
C0,2020-11,10,2.3101906601122595,4.915102770330665,True
C0,2020-11,11,2.4590683103624444,5.798394290811807,True
C0,2020-11,12,2.4081818238958745,5.976806422836781,True
C0,2020-12,0,2.6997053909573037,2.285191956124307,False
C0,2020-12,1,2.100126284949977,2.162162162162171,True
C0,2020-12,2,2.042955009651713,2.066486972147356,True
C0,2020-12,3,2.173372551076068,2.33812949640288,True
C0,2020-12,4,2.5931376059150546,3.0630630630630717,True
C0,2020-12,5,2.468611708135667,2.872531418312392,True
C0,2020-12,6,2.048241883575175,2.765388046387192,True
C0,2020-12,7,1.9134354948142556,3.3747779751332514,True
C0,2020-12,8,1.9344016967300866,4.085257548845505,True
C0,2020-12,9,2.2890095842047566,4.915102770330665,True
C0,2020-12,10,2.4393489378062214,5.798394290811807,True
C0,2020-12,11,2.5005313360591663,5.976806422836781,True
C0,2020-12,12,2.475916339356866,6.613047363717604,True
C0,2021-01,0,1.6485014559769944,2.162162162162171,False
C0,2021-01,1,1.615199628342199,2.066486972147356,True
C0,2021-01,2,1.7252992625743064,2.33812949640288,True
C0,2021-01,3,2.1278768421703482,3.0630630630630717,True
C0,2021-01,4,1.9818139916051802,2.872531418312392,True
C0,2021-01,5,1.5442697418215623,2.765388046387192,True
C0,2021-01,6,1.3825140409784598,3.3747779751332514,True
C0,2021-01,7,1.3734631105733666,4.085257548845505,True
C0,2021-01,8,1.697351718040062,4.915102770330665,True
C0,2021-01,9,1.8179996130303835,5.798394290811807,True
C0,2021-01,10,1.8504556207715992,5.976806422836781,True
C0,2021-01,11,2.1313970509303837,6.613047363717604,True
C0,2021-01,12,2.1994293670437144,9.876543209876534,True
C0,2021-02,0,2.2496881666768873,2.066486972147356,False
C0,2021-02,1,2.468058156205659,2.33812949640288,True
C0,2021-02,2,2.9292128658492658,3.0630630630630717,True
C0,2021-02,3,2.8264677157080276,2.872531418312392,True
C0,2021-02,4,2.4408623418868647,2.765388046387192,True
C0,2021-02,5,2.3273117049914744,3.3747779751332514,True
C0,2021-02,6,2.372602224621719,4.085257548845505,True
C0,2021-02,7,2.7591910001093733,4.915102770330665,True
C0,2021-02,8,2.9400389739691515,5.798394290811807,True
C0,2021-02,9,3.031132865158939,5.976806422836781,True
C0,2021-02,10,3.37343706237473,6.613047363717604,True
C0,2021-02,11,3.042737103991336,9.876543209876534,True
C0,2021-02,12,2.9070286026450933,11.091549295774657,True
C0,2021-03,0,2.263866011173405,2.33812949640288,False
C0,2021-03,1,2.7848558935620322,3.0630630630630717,True
C0,2021-03,2,2.648053014724172,2.872531418312392,True
C0,2021-03,3,2.2341548991022133,2.765388046387192,True
C0,2021-03,4,2.089033774885711,3.3747779751332514,True
C0,2021-03,5,2.1061785853377755,4.085257548845505,True
C0,2021-03,6,2.4591487087701207,4.915102770330665,True
C0,2021-03,7,2.6109741235858706,5.798394290811807,True
C0,2021-03,8,2.674054045935468,5.976806422836781,True
C0,2021-03,9,2.9874368381157272,6.613047363717604,True
C0,2021-03,10,2.6312546127275493,9.876543209876534,True
C0,2021-03,11,2.6971288940558087,11.091549295774657,True
C0,2021-03,12,2.590922563247265,12.741652021089632,True
C0,2021-04,0,2.7839797004229947,3.0630630630630717,False
C0,2021-04,1,2.6494362938578035,2.872531418312392,True
C0,2021-04,2,2.2272371286019705,2.765388046387192,True
C0,2021-04,3,2.066202812685833,3.3747779751332514,True
C0,2021-04,4,2.0642116345214228,4.085257548845505,True
C0,2021-04,5,2.393438895134604,4.915102770330665,True
C0,2021-04,6,2.515593036432142,5.798394290811807,True
C0,2021-04,7,2.5476492493149436,5.976806422836781,True
C0,2021-04,8,2.829447108891074,6.613047363717604,True
C0,2021-04,9,2.442750331411093,9.876543209876534,True
C0,2021-04,10,2.4774738116218944,11.091549295774657,True
C0,2021-04,11,2.2758714436277767,12.741652021089632,True
C0,2021-04,12,2.2142165917547585,14.160839160839142,True
C0,2021-05,0,3.228458147243122,2.872531418312392,False
C0,2021-05,1,2.798891594890132,2.765388046387192,True
C0,2021-05,2,2.6201089493380008,3.3747779751332514,True
C0,2021-05,3,2.59719439768288,4.085257548845505,True
C0,2021-05,4,2.9139115167379486,4.915102770330665,True
C0,2021-05,5,3.0199648891890765,5.798394290811807,True
C0,2021-05,6,3.038428231151758,5.976806422836781,True
C0,2021-05,7,3.3105887161700807,6.613047363717604,True
C0,2021-05,8,2.9112280286575682,9.876543209876534,True
C0,2021-05,9,2.935063816578859,11.091549295774657,True
C0,2021-05,10,2.721638645991212,12.741652021089632,True
C0,2021-05,11,2.438492718219908,14.160839160839142,True
C0,2021-05,12,2.0899540098378204,15.968586387434565,True
C0,2021-06,0,2.550969769347933,2.765388046387192,False
C0,2021-06,1,2.527191267047929,3.3747779751332514,True
C0,2021-06,2,2.5981865798224333,4.085257548845505,True
C0,2021-06,3,3.0141833635815107,4.915102770330665,True
C0,2021-06,4,3.1981286152293795,5.798394290811807,True
C0,2021-06,5,3.2949367977093593,5.976806422836781,True
C0,2021-06,6,3.637026115770694,6.613047363717604,True
C0,2021-06,7,3.293646634519597,9.876543209876534,True
C0,2021-06,8,3.375385419859369,11.091549295774657,True
C0,2021-06,9,3.2173163036823467,12.741652021089632,True
C0,2021-06,10,2.988818762177494,14.160839160839142,True
C0,2021-06,11,3.059075799157414,15.968586387434565,True
C0,2021-06,12,2.934803084843173,17.187499999999993,True
C0,2021-07,0,2.9750936721730925,3.3747779751332514,False
C0,2021-07,1,3.2346285313037932,4.085257548845505,True
C0,2021-07,2,3.7923791916046987,4.915102770330665,True
C0,2021-07,3,4.1155173641366405,5.798394290811807,True
C0,2021-07,4,4.338160630214162,5.976806422836781,True
C0,2021-07,5,4.807229796249633,6.613047363717604,True
C0,2021-07,6,4.584708287277725,9.876543209876534,True
C0,2021-07,7,4.777778586300371,11.091549295774657,True
C0,2021-07,8,4.726727565258742,12.741652021089632,True
C0,2021-07,9,4.602734955896779,14.160839160839142,True
C0,2021-07,10,4.781165098819799,15.968586387434565,True
C0,2021-07,11,4.609640059664426,17.187499999999993,True
C0,2021-07,12,4.337884659816998,17.525773195876276,True
C0,2021-08,0,3.5438711704093793,4.085257548845505,False
C0,2021-08,1,4.202295748302643,4.915102770330665,True
C0,2021-08,2,4.63578175894905,5.798394290811807,True
C0,2021-08,3,4.960708093426425,5.976806422836781,True
C0,2021-08,4,5.5399964073462735,6.613047363717604,True
C0,2021-08,5,5.415870192468124,9.876543209876534,True
C0,2021-08,6,5.725340692398871,11.091549295774657,True
C0,2021-08,7,5.780497995693743,12.741652021089632,True
C0,2021-08,8,5.762168177844611,14.160839160839142,True
C0,2021-08,9,6.0471444221045365,15.968586387434565,True
C0,2021-08,10,5.97801282205348,17.187499999999993,True
C0,2021-08,11,5.515693768115034,17.525773195876276,True
C0,2021-08,12,5.551986390917638,17.235494880546053,True
C0,2021-09,0,4.546492968864476,4.915102770330665,False
C0,2021-09,1,5.042339971130687,5.798394290811807,True
C0,2021-09,2,5.427943411835058,5.976806422836781,True
C0,2021-09,3,6.0621722198723,6.613047363717604,True
C0,2021-09,4,5.998099441141473,9.876543209876534,True
C0,2021-09,5,6.3670405948989455,11.091549295774657,True
C0,2021-09,6,6.486402797084298,12.741652021089632,True
C0,2021-09,7,6.5317777090245555,14.160839160839142,True
C0,2021-09,8,6.881897602602841,15.968586387434565,True
C0,2021-09,9,6.874996477207826,17.187499999999993,True
C0,2021-09,10,6.470590383643279,17.525773195876276,True
C0,2021-09,11,6.09302712084033,17.235494880546053,True
C0,2021-09,12,6.250017761622567,17.972742759795548,True
C0,2021-10,0,5.46009267693113,5.798394290811807,False
C0,2021-10,1,6.026705282500677,5.976806422836781,True
C0,2021-10,2,6.677808735380234,6.613047363717604,True
C0,2021-10,3,6.633903222510941,9.876543209876534,True
C0,2021-10,4,7.01796590618545,11.091549295774657,True
C0,2021-10,5,7.153800430432243,12.741652021089632,True
C0,2021-10,6,7.2134285944556416,14.160839160839142,True
C0,2021-10,7,7.575981284860056,15.968586387434565,True
C0,2021-10,8,7.579571031866515,17.187499999999993,True
C0,2021-10,9,7.182566815634353,17.525773195876276,True
C0,2021-10,10,6.812793899971956,17.235494880546053,True
C0,2021-10,11,6.6334010854516245,17.972742759795548,True
C0,2021-10,12,6.517300417614538,15.092748735244497,True
C0,2021-11,0,6.4419687696897405,5.976806422836781,False
C0,2021-11,1,7.198580163369198,6.613047363717604,True
C0,2021-11,2,10.546671384497344,9.876543209876534,True
C0,2021-11,3,11.023647530450226,11.091549295774657,True
C0,2021-11,4,11.228943162160137,12.741652021089632,True
C0,2021-11,5,11.352244000597816,14.160839160839142,True
C0,2021-11,6,11.786688456192364,15.968586387434565,True
C0,2021-11,7,11.833438263572491,17.187499999999993,True
C0,2021-11,8,11.463281165349088,17.525773195876276,True
C0,2021-11,9,11.120307090953437,17.235494880546053,True
C0,2021-11,10,10.975053449222104,17.972742759795548,True
C0,2021-11,11,10.613282569813707,15.092748735244497,True
C0,2021-11,12,10.28971710621884,16.24579124579122,True
C0,2021-12,0,6.964683779534517,6.613047363717604,False
C0,2021-12,1,10.36582582754669,9.876543209876534,True
C0,2021-12,2,10.961816736395056,11.091549295774657,True
C0,2021-12,3,11.270667586905946,12.741652021089632,True
C0,2021-12,4,11.49845539317983,14.160839160839142,True
C0,2021-12,5,12.027115229801694,15.968586387434565,True
C0,2021-12,6,12.175102198770785,17.187499999999993,True
C0,2021-12,7,11.896237794380173,17.525773195876276,True
C0,2021-12,8,11.639063103017856,17.235494880546053,True
C0,2021-12,9,11.573443558655457,17.972742759795548,True
C0,2021-12,10,11.296732967142823,15.092748735244497,True
C0,2021-12,11,11.63447800961783,16.24579124579122,True
C0,2021-12,12,11.341252812504054,15.758591785414907,True
C0,2022-01,0,9.867256960498604,9.876543209876534,False
C0,2022-01,1,10.471284693908645,11.091549295774657,True
C0,2022-01,2,10.756050357883181,12.741652021089632,True
C0,2022-01,3,10.951855871449236,14.160839160839142,True
C0,2022-01,4,11.444604768896992,15.968586387434565,True
C0,2022-01,5,11.554306433888518,17.187499999999993,True
C0,2022-01,6,11.244188738027889,17.525773195876276,True
C0,2022-01,7,10.944816257975559,17.235494880546053,True
C0,2022-01,8,10.836178445589782,17.972742759795548,True
C0,2022-01,9,10.517599270606441,15.092748735244497,True
C0,2022-01,10,10.809923674789076,16.24579124579122,True
C0,2022-01,11,10.887730860148311,15.758591785414907,True
C0,2022-01,12,7.565169121705013,17.49598715890851,True
C0,2022-02,0,10.61012455532617,11.091549295774657,False
C0,2022-02,1,11.128739877351409,12.741652021089632,True
C0,2022-02,2,11.445072426101277,14.160839160839142,True
C0,2022-02,3,12.040180767232005,15.968586387434565,True
C0,2022-02,4,12.261498707530306,17.187499999999993,True
C0,2022-02,5,12.047046026583134,17.525773195876276,True
C0,2022-02,6,11.849042991898395,17.235494880546053,True
C0,2022-02,7,11.839298535573455,17.972742759795548,True
C0,2022-02,8,11.616719529309028,15.092748735244497,True
C0,2022-02,9,12.009010234098607,16.24579124579122,True
C0,2022-02,10,12.183649406215457,15.758591785414907,True
C0,2022-02,11,9.073992186882643,17.49598715890851,True
C0,2022-02,12,8.859214825183075,16.719492868462766,True
C0,2022-03,0,11.92146103609196,12.741652021089632,False
C0,2022-03,1,12.182888236417705,14.160839160839142,True
C0,2022-03,2,12.725232834306269,15.968586387434565,True
C0,2022-03,3,12.880450421452242,17.187499999999993,True
