model,h,metric,sample,n_intended,n,mae,rmse,bias
FOOD_H0_FAST_R18,2,headline_yy,recent_targets,31,31,0.3430784879922963,0.4421898799104429,0.04055171946701048
FOOD_H0_FAST_R18,3,headline_yy,full,84,84,0.9653595048298178,1.4509947036733908,-0.3286870388063735
FOOD_H0_FAST_R18,3,headline_yy,origins_2019_2021,32,32,0.8084409572971983,1.0724070220977178,-0.49932341460997354
FOOD_H0_FAST_R18,3,headline_yy,origins_2022_2023,24,24,1.796402114536926,2.349478065271718,-0.5744434640754535
FOOD_H0_FAST_R18,3,headline_yy,origins_2024plus,28,28,0.43237275083243265,0.5199396377519321,0.07697432662838098
FOOD_H0_FAST_R18,3,headline_yy,recent_targets,31,31,0.41410060182180397,0.5011044782011077,0.05546686538858595
FOOD_H0_FAST_R18,4,headline_yy,full,83,83,1.150202073070485,1.7087746986842676,-0.4676333674606064
FOOD_H0_FAST_R18,4,headline_yy,origins_2019_2021,32,32,1.0969383895366864,1.5286596525315586,-0.814653728726851
FOOD_H0_FAST_R18,4,headline_yy,origins_2022_2023,24,24,2.0976161691486364,2.5946926815983837,-0.6596235566986426
FOOD_H0_FAST_R18,4,headline_yy,origins_2024plus,27,27,0.37118353852255587,0.47127397198929344,0.11430796965912286
FOOD_H0_FAST_R18,4,headline_yy,recent_targets,31,31,0.3962790510262768,0.4986446384519373,0.09886158958680652
FOOD_H0_FAST_R18,5,headline_yy,full,82,82,1.338455110061223,1.9909702350358296,-0.6137932441346573
FOOD_H0_FAST_R18,5,headline_yy,origins_2019_2021,32,32,1.4813126416855886,2.10135096483917,-1.1964156878668954
FOOD_H0_FAST_R18,5,headline_yy,origins_2022_2023,24,24,2.1955935882411493,2.719108379734229,-0.665190555636371
FOOD_H0_FAST_R18,5,headline_yy,origins_2024plus,26,26,0.3714257066651492,0.492172807438508,0.1507242049219866
FOOD_H0_FAST_R18,5,headline_yy,recent_targets,31,31,0.4376132642938769,0.5858963461157435,0.1737340687935031
FOOD_H0_FAST_R18,6,headline_yy,full,81,81,1.5050713348100635,2.287450719308392,-0.7486128597301572
FOOD_H0_FAST_R18,6,headline_yy,origins_2019_2021,32,32,1.945274761946586,2.7754068670368177,-1.6249019667379057
FOOD_H0_FAST_R18,6,headline_yy,origins_2022_2023,24,24,2.05994013335928,2.6607019448609446,-0.5822307756301938
FOOD_H0_FAST_R18,6,headline_yy,origins_2024plus,25,25,0.4089369014680662,0.5451822897378629,0.2133103965037959
FOOD_H0_FAST_R18,6,headline_yy,recent_targets,31,31,0.4757185537872808,0.6355743427164126,0.27014239321803996
FOOD_H0_FAST_R18,7,headline_yy,full,80,80,1.7239558323749222,2.6457422333750933,-0.889646387664944
FOOD_H0_FAST_R18,7,headline_yy,origins_2019_2021,32,32,2.427661801601164,3.5004075467381974,-2.0801660273752596
FOOD_H0_FAST_R18,7,headline_yy,origins_2022_2023,24,24,1.9818447322505282,2.5674610327367398,-0.466033528475381
FOOD_H0_FAST_R18,7,headline_yy,origins_2024plus,24,24,0.5277923068643267,0.6357513187126347,0.2741002727592469
FOOD_H0_FAST_R18,7,headline_yy,recent_targets,31,31,0.5425936592432555,0.6807188372917841,0.3390586687767067
FOOD_H0_FAST_R18,8,headline_yy,full,79,79,1.9785184358071592,3.060979658451964,-1.0295024531515669
FOOD_H0_FAST_R18,8,headline_yy,origins_2019_2021,32,32,2.9579935346696105,4.211075127455984,-2.548935124682243
FOOD_H0_FAST_R18,8,headline_yy,origins_2022_2023,24,24,1.999825572077499,2.5937838140836162,-0.345158979676873
FOOD_H0_FAST_R18,8,headline_yy,origins_2024plus,23,23,0.5935369386729594,0.7000637975809078,0.37039329143925803
FOOD_H0_FAST_R18,8,headline_yy,recent_targets,31,31,0.6459155402215869,0.7580057461404496,0.45223340685879476
FOOD_H0_FAST_R18,9,headline_yy,full,78,78,2.2381493659225637,3.53981972300739,-1.1760976229920634
FOOD_H0_FAST_R18,9,headline_yy,origins_2019_2021,32,32,3.457195453323125,4.941288743058965,-3.0321582669729823
FOOD_H0_FAST_R18,9,headline_yy,origins_2022_2023,24,24,2.086445888584382,2.771887505586737,-0.17199794000357835
FOOD_H0_FAST_R18,9,headline_yy,origins_2024plus,22,22,0.6304861231633995,0.7274455921084545,0.4282454777200159
FOOD_H0_FAST_R18,9,headline_yy,recent_targets,31,31,0.7893157542491646,1.0316657699301512,0.6110796157943017
FOOD_H0_FAST_R18,10,headline_yy,full,77,77,2.4769615958806472,4.026410106924484,-1.3269556292518696
FOOD_H0_FAST_R18,10,headline_yy,origins_2019_2021,32,32,3.8182308365969995,5.548587590885846,-3.449527704260321
FOOD_H0_FAST_R18,10,headline_yy,origins_2022_2023,24,24,2.2736082612680377,3.223910022044569,-0.0899106077463278
FOOD_H0_FAST_R18,10,headline_yy,origins_2024plus,21,21,0.6655265638701399,0.8076319540978122,0.4936741747546737
FOOD_H0_FAST_R18,10,headline_yy,recent_targets,31,31,0.9455454437551309,1.3583719323358778,0.8042285250283098
FOOD_H0_FAST_R18,11,headline_yy,full,76,76,2.776340980860108,4.490753225657497,-1.4900784043606816
FOOD_H0_FAST_R18,11,headline_yy,origins_2019_2021,32,32,4.2133127487015,6.162333285819319,-3.9077326769519787
FOOD_H0_FAST_R18,11,headline_yy,origins_2022_2023,24,24,2.5654927376461005,3.5528600749391486,0.04765795650929109
FOOD_H0_FAST_R18,11,headline_yy,origins_2024plus,20,20,0.7302040441706892,0.8530797928210134,0.5328847987414254
FOOD_H0_FAST_R18,11,headline_yy,recent_targets,31,31,1.1294105306048303,1.5989227114517142,0.9872266810101451
FOOD_H0_FAST_R18,12,headline_yy,full,75,75,3.0234758167761515,4.867189495398799,-1.6332537456962744
FOOD_H0_FAST_R18,12,headline_yy,origins_2019_2021,32,32,4.564852616911251,6.6746997406764494,-4.313665665081254
FOOD_H0_FAST_R18,12,headline_yy,origins_2022_2023,24,24,2.7479769966378527,3.741689082693555,0.17866860898943063
FOOD_H0_FAST_R18,12,headline_yy,origins_2024plus,19,19,0.7754712946180446,0.8902274727020301,0.5923801968228031
FOOD_H0_FAST_R18,12,headline_yy,recent_targets,31,31,1.286581212436154,1.782626424428651,1.1650697294305323
FOOD_H0_SELECT_R18,1,headline_yy,full,88,88,0.5079373934940915,0.8616776207985197,-0.1065755341269595
FOOD_H0_SELECT_R18,1,headline_yy,origins_2019_2021,34,34,0.3694433962042923,0.45470774910007117,-0.1275953745236624
FOOD_H0_SELECT_R18,1,headline_yy,origins_2022_2023,24,24,1.0228374271277085,1.5121117973765268,-0.2453033086470777
FOOD_H0_SELECT_R18,1,headline_yy,origins_2024plus,30,30,0.2529772301823037,0.33830910840024647,0.028229171272065035
FOOD_H0_SELECT_R18,1,headline_yy,recent_targets,31,31,0.25309318654139085,0.33598294470085177,0.019042040672514398
FOOD_H0_SELECT_R18,2,headline_yy,full,86,86,0.7674564683041488,1.2300728948646322,-0.19643181405258403
FOOD_H0_SELECT_R18,2,headline_yy,origins_2019_2021,33,33,0.5282721634927332,0.6507805134382426,-0.2382087975317151
FOOD_H0_SELECT_R18,2,headline_yy,origins_2022_2023,24,24,1.599081422437708,2.1428293893910872,-0.44650802802564105
FOOD_H0_SELECT_R18,2,headline_yy,origins_2024plus,29,29,0.3513903703583315,0.4528679093205654,0.05806713733240556
FOOD_H0_SELECT_R18,2,headline_yy,recent_targets,31,31,0.34280692104196836,0.44179758194600666,0.04023397324936632
FOOD_H0_SELECT_R18,3,headline_yy,full,84,84,0.9683620943307419,1.455665122932838,-0.33306940863466866
FOOD_H0_SELECT_R18,3,headline_yy,origins_2019_2021,32,32,0.8114943236644203,1.0750436763602098,-0.5014498477844673
FOOD_H0_SELECT_R18,3,headline_yy,origins_2022_2023,24,24,1.8008855836420798,2.3575510065817284,-0.5872052618371919
FOOD_H0_SELECT_R18,3,headline_yy,origins_2024plus,28,28,0.4340479842539625,0.5215564908618401,0.07719611028154978
FOOD_H0_SELECT_R18,3,headline_yy,recent_targets,31,31,0.41543639075718813,0.5027424840203318,0.05502589360656073
FOOD_H0_SELECT_R18,4,headline_yy,full,83,83,1.1501067937524492,1.7116845844418158,-0.47365322717465974
FOOD_H0_SELECT_R18,4,headline_yy,origins_2019_2021,32,32,1.099231008411489,1.5314153404219821,-0.8169463476016534
FOOD_H0_SELECT_R18,4,headline_yy,origins_2022_2023,24,24,2.089691669737497,2.5983432792532795,-0.6776910640125818
FOOD_H0_SELECT_R18,4,headline_yy,origins_2024plus,27,27,0.37521746439206355,0.47523718517911295,0.11457965940956012
FOOD_H0_SELECT_R18,4,headline_yy,recent_targets,31,31,0.39697916509414705,0.49838096723840686,0.09474164407337132
FOOD_H0_SELECT_R18,5,headline_yy,full,82,82,1.338943464841998,1.9955724946746862,-0.620703942446457
FOOD_H0_SELECT_R18,5,headline_yy,origins_2019_2021,32,32,1.4836864629426767,2.107012041324065,-1.1987895091239835
FOOD_H0_SELECT_R18,5,headline_yy,origins_2022_2023,24,24,2.187226612216971,2.7229343260856065,-0.6881618419904997
FOOD_H0_SELECT_R18,5,headline_yy,origins_2024plus,26,26,0.3777676388334953,0.5015545706126112,0.15305481612038443
FOOD_H0_SELECT_R18,5,headline_yy,recent_targets,31,31,0.43826962155145444,0.585225769047423,0.16836948121173043
FOOD_H0_SELECT_R18,6,headline_yy,full,81,81,1.5065920182111208,2.2930549337783814,-0.7560096261066208
FOOD_H0_SELECT_R18,6,headline_yy,origins_2019_2021,32,32,1.9476955752957243,2.7804838362361517,-1.6273227800870442
FOOD_H0_SELECT_R18,6,headline_yy,origins_2022_2023,24,24,2.051932781381541,2.6666113727804572,-0.6095833284620186
FOOD_H0_SELECT_R18,6,headline_yy,origins_2024plus,25,25,0.41845233249922487,0.5604175057397701,0.2187019652495028
FOOD_H0_SELECT_R18,6,headline_yy,recent_targets,31,31,0.4738568902748602,0.6333186611440831,0.26208117493397703
FOOD_H0_SELECT_R18,7,headline_yy,full,80,80,1.7259777405196253,2.649282998039113,-0.8987127318865543
FOOD_H0_SELECT_R18,7,headline_yy,origins_2019_2021,32,32,2.4300998119623447,3.5045721640779433,-2.08260403773644
FOOD_H0_SELECT_R18,7,headline_yy,origins_2022_2023,24,24,1.9661911655509783,2.5661839107118185,-0.49741736369906614
FOOD_H0_SELECT_R18,7,headline_yy,origins_2024plus,24,24,0.546934886897979,0.659039764425655,0.2785136410591388
FOOD_H0_SELECT_R18,7,headline_yy,recent_targets,31,31,0.5433876464023636,0.6837514980528241,0.32233059919068857
FOOD_H0_SELECT_R18,8,headline_yy,full,79,79,1.97760775651744,3.063308611549916,-1.0377621930786916
FOOD_H0_SELECT_R18,8,headline_yy,origins_2019_2021,32,32,2.960424379472654,4.214686815827361,-2.5513659694852864
FOOD_H0_SELECT_R18,8,headline_yy,origins_2022_2023,24,24,1.9781362888024845,2.586454737785847,-0.38037735663151695
FOOD_H0_SELECT_R18,8,headline_yy,origins_2024plus,23,23,0.6096592039344886,0.732364814266241,0.3821545360638665
FOOD_H0_SELECT_R18,8,headline_yy,recent_targets,31,31,0.640338626367077,0.7608109009165573,0.43782431852395937
FOOD_H0_SELECT_R18,9,headline_yy,full,78,78,2.2337784987574176,3.54205097617559,-1.1845476614506047
FOOD_H0_SELECT_R18,9,headline_yy,origins_2019_2021,32,32,3.4596312015548816,4.944297875353693,-3.034594015204739
FOOD_H0_SELECT_R18,9,headline_yy,origins_2022_2023,24,24,2.0535185002544756,2.7675510605311886,-0.21090944203586157
FOOD_H0_SELECT_R18,9,headline_yy,origins_2024plus,22,22,0.6473672930552272,0.753748778972695,0.44427806828477884
FOOD_H0_SELECT_R18,9,headline_yy,recent_targets,31,31,0.7838348792634684,1.0325568433832952,0.5985347624383622
FOOD_H0_SELECT_R18,10,headline_yy,full,77,77,2.4783824610998972,4.029351125611362,-1.3362264461162847
FOOD_H0_SELECT_R18,10,headline_yy,origins_2019_2021,32,32,3.82066093855078,5.550432983116109,-3.451957806214102
FOOD_H0_SELECT_R18,10,headline_yy,origins_2022_2023,24,24,2.257084483441774,3.223735559273739,-0.13198196856740183
FOOD_H0_SELECT_R18,10,headline_yy,origins_2024plus,21,21,0.6859177080221228,0.8421492755303647,0.5114657473102362
FOOD_H0_SELECT_R18,10,headline_yy,recent_targets,31,31,0.9473131022214785,1.3667898546932264,0.7908225905069759
FOOD_H0_SELECT_R18,11,headline_yy,full,76,76,2.777778326458006,4.493442487281985,-1.4968563827608272
FOOD_H0_SELECT_R18,11,headline_yy,origins_2019_2021,32,32,4.215745595315477,6.163328672701628,-3.9101655235659556
FOOD_H0_SELECT_R18,11,headline_yy,origins_2022_2023,24,24,2.539293442694676,3.550263961349509,0.0027861951198756194
FOOD_H0_SELECT_R18,11,headline_yy,origins_2024plus,20,20,0.7632125568020464,0.9066724381160818,0.5648671490705337
FOOD_H0_SELECT_R18,11,headline_yy,recent_targets,31,31,1.1294856642533246,1.6054086784735906,0.978713097302072
FOOD_H0_SELECT_R18,12,headline_yy,full,75,75,3.026724484906932,4.8679707874521245,-1.6398216869246705
FOOD_H0_SELECT_R18,12,headline_yy,origins_2019_2021,32,32,4.56727654707205,6.675274480408153,-4.316089595242055
FOOD_H0_SELECT_R18,12,headline_yy,origins_2022_2023,24,24,2.7114698921046076,3.7302254745663275,0.1312741935179432
FOOD_H0_SELECT_R18,12,headline_yy,origins_2024plus,19,19,0.8303268132212488,0.9580198446969859,0.6304031517876233
FOOD_H0_SELECT_R18,12,headline_yy,recent_targets,31,31,1.285988145258935,1.7766596795151093,1.1523533141456113
FOOD_H0_SLOW_R18,1,headline_yy,full,88,88,0.509019922270521,0.8609644971615337,-0.10648543558158147
FOOD_H0_SLOW_R18,1,headline_yy,origins_2019_2021,34,34,0.37143766308291404,0.4572252058140193,-0.12680310380718
FOOD_H0_SLOW_R18,1,headline_yy,origins_2022_2023,24,24,1.0239814878965692,1.5095447761344583,-0.2460953308290417
FOOD_H0_SLOW_R18,1,headline_yy,origins_2024plus,30,30,0.2529772301823037,0.33830910840024647,0.028229171272065035
FOOD_H0_SLOW_R18,1,headline_yy,recent_targets,31,31,0.25309318654139085,0.33598294470085177,0.019042040672514398
FOOD_H0_SLOW_R18,2,headline_yy,full,86,86,0.767184194910717,1.2277656737998597,-0.195680905383432
FOOD_H0_SLOW_R18,2,headline_yy,origins_2019_2021,33,33,0.5295079505359396,0.6530075478628754,-0.23661830427207478
FOOD_H0_SLOW_R18,2,headline_yy,origins_2022_2023,24,24,1.5964065689268345,2.1371488212911918,-0.446004200193185
FOOD_H0_SLOW_R18,2,headline_yy,origins_2024plus,29,29,0.3513903703583315,0.4528679093205654,0.05806713733240556
FOOD_H0_SLOW_R18,2,headline_yy,recent_targets,31,31,0.34280692104196836,0.44179758194600666,0.04023397324936632
FOOD_H0_SLOW_R18,3,headline_yy,full,84,84,0.9659905344927322,1.4510510663953555,-0.3314123487239267
FOOD_H0_SLOW_R18,3,headline_yy,origins_2019_2021,32,32,0.8077276637264521,1.072098278180816,-0.49909813990818364
FOOD_H0_SLOW_R18,3,headline_yy,origins_2022_2023,24,24,1.7976073374596702,2.349369673844529,-0.5845411626513067
FOOD_H0_SLOW_R18,3,headline_yy,origins_2024plus,28,28,0.4340479842539625,0.5215564908618401,0.07719611028154978
FOOD_H0_SLOW_R18,3,headline_yy,recent_targets,31,31,0.41543639075718813,0.5027424840203318,0.05502589360656073
FOOD_H0_SLOW_R18,4,headline_yy,full,83,83,1.1488071888589049,1.7089369294036814,-0.4710033033761293
FOOD_H0_SLOW_R18,4,headline_yy,origins_2019_2021,32,32,1.0962218956330878,1.528003562454568,-0.8139372348232525
FOOD_H0_SLOW_R18,4,headline_yy,origins_2022_2023,24,24,2.089209353185191,2.5947642304718834,-0.6725388945805321
FOOD_H0_SLOW_R18,4,headline_yy,origins_2024plus,27,27,0.37521746439206355,0.47523718517911295,0.11457965940956012
FOOD_H0_SLOW_R18,4,headline_yy,recent_targets,31,31,0.39697916509414705,0.49838096723840686,0.09474164407337132
FOOD_H0_SLOW_R18,5,headline_yy,full,82,82,1.3373542849149351,1.9906629445055102,-0.6170773082909522
FOOD_H0_SLOW_R18,5,headline_yy,origins_2019_2021,32,32,1.480090063285608,2.0977707947094313,-1.1951931094669148
FOOD_H0_SLOW_R18,5,headline_yy,origins_2022_2023,24,24,2.186592113675598,2.720168186506989,-0.68056604150195
FOOD_H0_SLOW_R18,5,headline_yy,origins_2024plus,26,26,0.3777676388334953,0.5015545706126112,0.15305481612038443
FOOD_H0_SLOW_R18,5,headline_yy,recent_targets,31,31,0.43826962155145444,0.585225769047423,0.16836948121173043
FOOD_H0_SLOW_R18,6,headline_yy,full,81,81,1.5038424490587516,2.2876998588984674,-0.7514358600085179
FOOD_H0_SLOW_R18,6,headline_yy,origins_2019_2021,32,32,1.9435622950917573,2.7713220610788505,-1.6231894998830771
FOOD_H0_SLOW_R18,6,headline_yy,origins_2022_2023,24,24,2.0481640257642515,2.663802864007938,-0.5996579081528776
FOOD_H0_SLOW_R18,6,headline_yy,origins_2024plus,25,25,0.41845233249922487,0.5604175057397701,0.2187019652495028
FOOD_H0_SLOW_R18,6,headline_yy,recent_targets,31,31,0.4738568902748602,0.6333186611440831,0.26208117493397703
FOOD_H0_SLOW_R18,7,headline_yy,full,80,80,1.7231914586157124,2.6453362959736646,-0.8932334762806203
FOOD_H0_SLOW_R18,7,headline_yy,origins_2019_2021,32,32,2.425501950578518,3.4967375115921175,-2.0780061763526136
FOOD_H0_SLOW_R18,7,headline_yy,origins_2022_2023,24,24,1.9630340410497062,2.566862420334228,-0.4852836601910557
FOOD_H0_SLOW_R18,7,headline_yy,origins_2024plus,24,24,0.546934886897979,0.659039764425655,0.2785136410591388
FOOD_H0_SLOW_R18,7,headline_yy,recent_targets,31,31,0.5433876464023636,0.6837514980528241,0.32233059919068857
FOOD_H0_SLOW_R18,8,headline_yy,full,79,79,1.9714403229658035,3.057647998255642,-1.031494760840238
FOOD_H0_SLOW_R18,8,headline_yy,origins_2019_2021,32,32,2.955449225780698,4.207163302311629,-2.5463908157933304
FOOD_H0_SLOW_R18,8,headline_yy,origins_2022_2023,24,24,1.964468691617622,2.5807324094181223,-0.3663805971025493
FOOD_H0_SLOW_R18,8,headline_yy,origins_2024plus,23,23,0.6096592039344886,0.732364814266241,0.3821545360638665
FOOD_H0_SLOW_R18,8,headline_yy,recent_targets,31,31,0.640338626367077,0.7608109009165573,0.43782431852395937
FOOD_H0_SLOW_R18,9,headline_yy,full,78,78,2.2293186197557042,3.5333397360134633,-1.177547840131896
FOOD_H0_SLOW_R18,9,headline_yy,origins_2019_2021,32,32,3.45427572311213,4.937944724121989,-3.0292385367619876
FOOD_H0_SLOW_R18,9,headline_yy,origins_2022_2023,24,24,2.046164531422575,2.746403995803693,-0.1953006606737271
FOOD_H0_SLOW_R18,9,headline_yy,origins_2024plus,22,22,0.6473672930552272,0.753748778972695,0.44427806828477884
FOOD_H0_SLOW_R18,9,headline_yy,recent_targets,31,31,0.7838348792634684,1.0325568433832952,0.5985347624383622
FOOD_H0_SLOW_R18,10,headline_yy,full,77,77,2.4705187518095673,4.021132001264492,-1.3286148626002987
FOOD_H0_SLOW_R18,10,headline_yy,origins_2019_2021,32,32,3.814984629101142,5.546751712741111,-3.446281496764464
