source_month,import_mm,available_from,availability_policy
2017-06,-1.9000000000000057,2017-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2017-07,-1.0999999999999943,2017-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2017-08,-0.4000000000000057,2017-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2017-09,0.29999999999999716,2017-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2017-10,-0.5,2018-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2017-11,-0.29999999999999716,2018-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2017-12,0.4000000000000057,2018-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2018-01,-0.5999999999999943,2018-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2018-02,-0.29999999999999716,2018-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2018-03,0.4000000000000057,2018-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2018-04,0.0,2018-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2018-05,1.7000000000000028,2018-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2018-06,1.2999999999999972,2018-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2018-07,0.5999999999999943,2018-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2018-08,-0.09999999999999432,2018-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2018-09,-0.09999999999999432,2018-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2018-10,0.7999999999999972,2019-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2018-11,0.09999999999999432,2019-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2018-12,-1.2999999999999972,2019-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2019-01,-0.5999999999999943,2019-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2019-02,0.5,2019-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2019-03,-0.09999999999999432,2019-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2019-04,0.5999999999999943,2019-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2019-05,0.29999999999999716,2019-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2019-06,-1.4000000000000057,2019-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2019-07,-0.4000000000000057,2019-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2019-08,0.5,2019-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2019-09,0.29999999999999716,2019-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2019-10,-0.4000000000000057,2020-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2019-11,-0.20000000000000284,2020-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2019-12,-0.29999999999999716,2020-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2020-01,-0.7999999999999972,2020-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2020-02,-1.2999999999999972,2020-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2020-03,2.9000000000000057,2020-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2020-04,1.7000000000000028,2020-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
