origin,h,target,as_of_utc,mm_forecast,model,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual
2019-03,5,2019-08,2019-04-09T21:59:00+00:00,-0.050850705432635424,CORE_LEVEL_RF_R14,0.0918273645546419,2.9272898961284195,,,1.3857034661426337
2019-03,6,2019-09,2019-04-09T21:59:00+00:00,-0.14750329401325787,CORE_LEVEL_RF_R14,-0.5504587155963248,2.6515151515151705,,,0.8337241437828525
2019-03,7,2019-10,2019-04-09T21:59:00+00:00,0.2882903109371074,CORE_LEVEL_RF_R14,0.4612546125461358,2.735849056603792,,,1.293918237119758
2019-03,8,2019-11,2019-04-09T21:59:00+00:00,0.02080025254657316,CORE_LEVEL_RF_R14,0.2754820936639035,3.116147308781873,,,1.5690215743087381
2019-03,9,2019-12,2019-04-09T21:59:00+00:00,0.060832131816782035,CORE_LEVEL_RF_R14,0.1831501831501825,3.207547169811327,,,1.752004242016354
2019-03,10,2020-01,2019-04-09T21:59:00+00:00,0.7589561996909506,CORE_LEVEL_RF_R14,1.4625228519195457,3.6414565826330487,,,3.2039353744616688
2019-03,11,2020-02,2019-04-09T21:59:00+00:00,0.20088076196008547,CORE_LEVEL_RF_R14,0.2702702702702675,3.7278657968313063,,,3.473841071378167
2019-03,12,2020-03,2019-04-09T21:59:00+00:00,-0.00020938928548999702,CORE_LEVEL_RF_R14,-0.0898472596585708,3.4418604651162905,,,3.3839534248764616
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,0.0994602395416571,CORE_LEVEL_RIDGE_R14,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,0.3282838611613057,CORE_LEVEL_RIDGE_R14,0.0930232558139509,2.769818529130847,2.921986406245222,0.3277461861060756,0.09298001599665273
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,,CORE_LEVEL_RIDGE_R14,0.6505576208178487,2.9467680608364977,,,0.7414306439227463
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,,CORE_LEVEL_RIDGE_R14,0.1846722068328699,2.7462121212121224,,,0.925932541279676
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,0.20181757268114245,CORE_LEVEL_RIDGE_R14,0.3686635944700533,2.9300567107750517,,,1.2939182371197377
2019-03,5,2019-08,2019-04-09T21:59:00+00:00,-0.02614554355859089,CORE_LEVEL_RIDGE_R14,0.0918273645546419,2.9272898961284195,,,1.3857034661426337
2019-03,6,2019-09,2019-04-09T21:59:00+00:00,-0.12293129996241134,CORE_LEVEL_RIDGE_R14,-0.5504587155963248,2.6515151515151705,,,0.8337241437828525
2019-03,7,2019-10,2019-04-09T21:59:00+00:00,0.33451542875164036,CORE_LEVEL_RIDGE_R14,0.4612546125461358,2.735849056603792,,,1.293918237119758
2019-03,8,2019-11,2019-04-09T21:59:00+00:00,0.0668628759567915,CORE_LEVEL_RIDGE_R14,0.2754820936639035,3.116147308781873,,,1.5690215743087381
2019-03,9,2019-12,2019-04-09T21:59:00+00:00,0.10697230651560732,CORE_LEVEL_RIDGE_R14,0.1831501831501825,3.207547169811327,,,1.752004242016354
2019-03,10,2020-01,2019-04-09T21:59:00+00:00,0.7937852914576597,CORE_LEVEL_RIDGE_R14,1.4625228519195457,3.6414565826330487,,,3.2039353744616688
2019-03,11,2020-02,2019-04-09T21:59:00+00:00,0.23571284267448006,CORE_LEVEL_RIDGE_R14,0.2702702702702675,3.7278657968313063,,,3.473841071378167
2019-03,12,2020-03,2019-04-09T21:59:00+00:00,0.03454040497866096,CORE_LEVEL_RIDGE_R14,-0.0898472596585708,3.4418604651162905,,,3.3839534248764616
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,0.0994602395416571,CORE_LOCAL_R14,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,0.3892518366154735,CORE_LOCAL_R14,0.0930232558139509,2.769818529130847,2.9845305353722944,0.388496211874647,0.09298001599665273
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,,CORE_LOCAL_R14,0.6505576208178487,2.9467680608364977,,,0.7414306439227463
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,,CORE_LOCAL_R14,0.1846722068328699,2.7462121212121224,,,0.925932541279676
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,0.23825420120884158,CORE_LOCAL_R14,0.3686635944700533,2.9300567107750517,,,1.2939182371197377
2019-03,5,2019-08,2019-04-09T21:59:00+00:00,0.01017860809921406,CORE_LOCAL_R14,0.0918273645546419,2.9272898961284195,,,1.3857034661426337
2019-03,6,2019-09,2019-04-09T21:59:00+00:00,-0.08680294577520978,CORE_LOCAL_R14,-0.5504587155963248,2.6515151515151705,,,0.8337241437828525
2019-03,7,2019-10,2019-04-09T21:59:00+00:00,0.33898135173790156,CORE_LOCAL_R14,0.4612546125461358,2.735849056603792,,,1.293918237119758
2019-03,8,2019-11,2019-04-09T21:59:00+00:00,0.0713130999566644,CORE_LOCAL_R14,0.2754820936639035,3.116147308781873,,,1.5690215743087381
2019-03,9,2019-12,2019-04-09T21:59:00+00:00,0.11143002293732315,CORE_LOCAL_R14,0.1831501831501825,3.207547169811327,,,1.752004242016354
2019-03,10,2020-01,2019-04-09T21:59:00+00:00,0.8009708529289757,CORE_LOCAL_R14,1.4625228519195457,3.6414565826330487,,,3.2039353744616688
2019-03,11,2020-02,2019-04-09T21:59:00+00:00,0.24289902079315134,CORE_LOCAL_R14,0.2702702702702675,3.7278657968313063,,,3.473841071378167
2019-03,12,2020-03,2019-04-09T21:59:00+00:00,0.04170960664700037,CORE_LOCAL_R14,-0.0898472596585708,3.4418604651162905,,,3.3839534248764616
2019-04,0,2019-04,2019-05-12T21:59:00+00:00,0.3871075486743048,CORE_GAP_ADAPT_R14,0.0930232558139509,2.769818529130847,3.0717675404249056,0.0,0.0
2019-04,1,2019-05,2019-05-12T21:59:00+00:00,0.20691133395919228,CORE_GAP_ADAPT_R14,0.6505576208178487,2.9467680608364977,2.7941362556352485,0.20669756727945995,0.6484506279260935
2019-04,2,2019-06,2019-05-12T21:59:00+00:00,0.10665011589386139,CORE_GAP_ADAPT_R14,0.1846722068328699,2.7462121212121224,2.5139793274435167,0.3132908523403975,0.8329525252830231
2019-04,3,2019-07,2019-05-12T21:59:00+00:00,,CORE_GAP_ADAPT_R14,0.3686635944700533,2.9300567107750517,,,1.200938221123085
2019-04,4,2019-08,2019-05-12T21:59:00+00:00,-0.01022515685683005,CORE_GAP_ADAPT_R14,0.0918273645546419,2.9272898961284195,,,1.2927234501459808
2019-04,5,2019-09,2019-05-12T21:59:00+00:00,-0.10633206077807243,CORE_GAP_ADAPT_R14,-0.5504587155963248,2.6515151515151705,,,0.7407441277861999
2019-04,6,2019-10,2019-05-12T21:59:00+00:00,0.31847139837525473,CORE_GAP_ADAPT_R14,0.4612546125461358,2.735849056603792,,,1.2009382211231054
2019-04,7,2019-11,2019-05-12T21:59:00+00:00,0.09111838090225383,CORE_GAP_ADAPT_R14,0.2754820936639035,3.116147308781873,,,1.4760415583120852
2019-04,8,2019-12,2019-05-12T21:59:00+00:00,0.13109710144934145,CORE_GAP_ADAPT_R14,0.1831501831501825,3.207547169811327,,,1.6590242260197012
