period,headline,core,food,fuel,administered,alcohol_tobacco
2014-04,,0.4,,,0.0,
2014-05,,-0.1,,,0.1,
2014-06,,0.3,,,0.0,
2014-07,,0.2,,,0.5,
2014-08,,0.1,,,0.0,
2014-09,,-0.5,,,0.2,
2014-10,,0.2,,,0.0,
2014-11,,-0.1,,,0.0,
2014-12,,0.2,,,0.0,
2015-01,,0.3,,,-0.7,
2015-02,0.20100502512563345,0.2,-0.09910802775026095,-3.9000000000000035,0.1,1.5337423312883347
2015-03,0.10030090270811698,-0.2,0.0,4.3704474505723345,0.1,0.6042296072507725
2015-04,0.30060120240480437,0.4,0.29761904761904656,1.6949152542372836,0.1,0.2002002002001957
2015-05,0.29970029970030065,0.1,0.3956478733926794,2.1568627450980316,0.1,0.3996003996004083
2015-06,0.09960159362549792,0.2,0.0,0.8637236084452882,0.0,0.0995024875621863
2015-07,-0.09950248756218638,0.3,-1.871921182266012,0.0,0.0,0.2982107355864904
2015-08,-0.19920318725099584,0.1,-0.8032128514056214,-1.7126546146527089,0.0,-0.5946481665014991
2015-09,-0.1996007984031989,-0.4,0.7085020242914908,-3.2913843175217727,0.1,0.3988035892322994
2015-10,0.0,0.3,-0.3015075376884391,-2.902902902902904,0.0,-0.0993048659384432
2015-11,-0.40000000000000036,-0.1,-0.7056451612903247,-2.4742268041237137,-0.1,-0.7952286282306154
2015-12,-0.10040160642569296,0.3,-0.9137055837563524,-2.3255813953488302,0.0,-0.2004008016032066
2016-01,0.6030150753768782,0.1,1.3319672131147708,-3.571428571428581,0.4,2.5100401606425797
2016-02,0.09990009990010762,0.2,0.30333670374114163,-3.928170594837266,0.0,0.2938295788442735
2016-03,-0.09980039920161055,-0.1,0.0,-0.5841121495327117,0.0,0.390625
2016-04,0.5994005994006013,0.2,0.3024193548387011,3.4077555816686367,0.3,2.529182879377445
2016-05,-0.19860973187686426,0.1,-0.5025125628140725,3.1818181818181746,-0.9,-0.8538899430740043
2016-06,0.09950248756218638,0.0,-0.6060606060605989,4.074889867841414,0.0,0.0
2016-07,0.29821073558649047,0.4,0.5081300813008172,-0.4232804232804255,0.0,0.765550239234436
2016-08,-0.09910802775026095,0.0,-0.6066734074823166,-1.9128586609989395,0.0,-0.1899335232668608
2016-09,-0.29761904761904656,-0.4,0.0,0.43336944745395733,0.0,0.0
2016-10,0.29850746268655914,0.5,-0.3051881993896166,1.2944983818770295,0.0,0.2854424357754626
2016-11,0.3968253968253954,0.0,2.1428571428571352,0.31948881789136685,-0.1,0.0948766603415585
2016-12,0.29644268774702276,0.5,0.6993006993007089,2.2292993630573132,0.0,-0.9478672985781976
2017-01,0.7881773399014858,0.5,1.5873015873016039,3.1152647975077885,0.3,1.3397129186602852
2017-02,0.3910068426197455,0.4,1.3671875,0.6042296072507725,-0.4,-0.2832861189801861
2017-03,0.0,0.0,-0.19267822736031004,-0.5005005005005003,0.1,0.6628787878787845
2017-04,0.0,0.4,-0.4826254826254872,-0.3018108651911544,0.1,-0.940733772342428
2017-05,0.19474196689386325,0.1,0.38797284190106307,-1.1099899091826404,0.0,0.5698005698005826
2017-06,0.0,0.1,0.19323671497584183,-1.9387755102040827,0.0,-0.0944287063267323
2017-07,0.4859086491739495,0.5,0.867888138862094,-2.0811654526534884,0.0,0.7561436672967936
2017-08,-0.09671179883946612,0.0,-0.7648183556405286,0.2125398512221155,0.0,0.0
2017-09,-0.09680542110357404,-0.3,0.09633911368016612,1.2725344644750836,0.1,-0.0938086303939877
2017-10,0.4844961240310086,0.4,1.6361886429258732,0.732984293193728,0.0,0.1877934272300541
2017-11,0.0964320154291265,-0.1,0.18939393939394478,1.5592515592515621,0.0,0.1874414245548239
2017-12,0.09633911368016612,0.0,0.5671077504725952,0.0,0.0,-0.2806361085126441
2018-01,0.5774783445620768,0.2,0.5639097744360777,0.5117707267144223,1.3,2.5328330206378924
2018-02,0.0,0.4,-0.747663551401867,0.0,-0.1,-1.1893870082342106
2018-03,-0.0956937799043045,0.1,-0.5649717514124353,-0.8146639511201648,0.0,0.3703703703703764
2018-04,0.2873563218390718,0.5,-0.5681818181818121,1.3347022587268942,0.1,0.830258302583009
2018-05,0.47755491881567025,0.2,0.952380952380949,4.15400202634244,0.1,0.365965233302834
2018-06,0.3802281368821214,0.2,0.4716981132075526,3.30739299610896,0.7,-0.1823154056517784
2018-07,0.18939393939394478,1.0,-1.8779342723004744,-0.18832391713747842,0.1,0.1826484018264906
2018-08,0.0945179584121103,0.2,-0.0956937799043045,0.0,0.2,-0.5469462169553352
2018-09,-0.2832861189801861,-0.7,0.8620689655172376,0.6603773584905603,-0.7,0.8249312557286892
2018-10,0.37878787878788955,0.5,0.47483380816715215,1.1246485473289658,-0.1,0.0909090909090748
2018-11,-0.09433962264150386,0.1,-1.2287334593572785,-0.2780352177942591,0.1,0.1816530426884677
2018-12,0.09442870632672129,0.1,1.2440191387559807,-3.6245353159851224,0.0,-0.6346328195829587
2019-01,1.037735849056598,0.6,0.945179584120992,-3.760848601735778,2.3,2.9197080291970767
2019-02,0.18674136321195078,0.3,0.7490636704119868,-1.503006012024044,0.7,-1.1524822695035408
2019-03,0.18639328984155767,-0.1,0.0,1.1190233977619535,0.9,0.7174887892376747
2019-04,0.09302325581395099,0.4,-0.6505576208178376,3.9235412474849074,0.1,-1.6028495102404228
2019-05,0.6505576208178487,0.1,1.9644527595883865,2.613746369796721,0.3,1.538461538461533
2019-06,0.1846722068328699,0.3,0.3669724770642313,-0.09433962264150386,0.2,-0.6238859180035639
2019-07,0.36866359447005337,1.0,-0.5484460694698434,-1.3220018885741314,0.0,-0.4484304932735439
2019-08,0.09182736455464191,0.2,-0.27573529411764053,-0.4784688995215336,0.0,0.6306306306306242
2019-09,-0.5504587155963248,-0.9,-0.552995391705069,-0.48076923076922906,0.2,0.4476275738585444
2019-10,0.46125461254613587,0.6,0.8341056533827551,0.09661835748790981,0.0,0.0
2019-11,0.2754820936639035,0.0,1.194852941176472,-0.579150579150578,0.4,0.0
2019-12,0.1831501831501825,0.1,0.7266121707538709,-0.4854368932038833,0.2,-0.4456327985739805
2020-01,1.4625228519195455,0.8,2.3444544634806164,0.7804878048780495,1.5,4.476275738585489
2020-02,0.2702702702702675,0.7,0.0,-1.4520813165537216,0.2,-1.4567266495287057
2020-03,-0.08984725965857088,-0.3,0.8810572687224738,-5.599214145383103,0.5,1.3913043478260834
2020-04,-0.17985611510791255,0.2,0.6113537117903967,-10.509885535900098,-0.1,-1.1149228130360234
2020-05,0.3603603603603567,0.7,0.607638888888884,-3.488372093023251,0.2,2.948829141370335
2020-06,0.6283662477558183,0.5,-0.5176876617773996,3.1325301204819134,0.1,2.948609941027791
2020-07,0.4460303300624524,1.2,-1.4744145706851675,4.439252336448618,0.1,0.4091653027823216
2020-08,0.0,0.0,-0.5281690140845008,0.4474272930648615,0.0,0.0814995925020323
2020-09,-0.6216696269982114,-0.8,-1.2389380530973493,-0.7795100222717233,0.3,0.8143322475570036
2020-10,0.17873100983019086,0.5,0.6272401433691677,0.44893378226711356,-1.3,-0.8885298869143687
2020-11,0.0,0.0,-0.08904719501334757,-0.3351955307262511,-0.1,0.3259983700081514
2020-12,-0.1784121320249632,0.0,-1.2477718360071388,0.8968609865470878,-0.1,0.4061738424045558
2021-01,1.3404825737265424,0.7,3.068592057761732,0.33333333333334103,0.5,3.1553398058252524
2021-02,0.17636684303350414,0.3,0.0,1.661129568106312,0.1,-0.3137254901960817
2021-03,0.17605633802817433,-0.2,0.0,5.882352941176472,0.1,0.8654602675058909
2021-04,0.5272407732864748,0.3,0.7880910683012221,2.8806584362139898,0.0,1.6380655226209129
2021-05,0.17482517482516613,0.4,-0.6081668114682803,1.29999999999999,0.2,0.0
2021-06,0.523560209424101,0.9,-0.2622377622377714,1.5794669299111552,0.1,0.0767459708365336
2021-07,1.041666666666674,1.5,0.35056967572304476,2.9154518950437414,0.1,-0.1533742331288445
2021-08,0.6872852233676952,1.0,0.26200873362445254,0.9442870632672351,0.2,0.5376344086021723
2021-09,0.17064846416381396,0.2,-0.9581881533101022,0.3741814780168218,0.6,1.0695187165775444
2021-10,1.0221465076660996,1.3,-0.3518029903254227,5.778191985088532,1.2,0.680272108843516
2021-11,0.1686340640809414,1.1,1.0591350397175736,4.405286343612325,-5.7,-0.3003003003002824
2021-12,0.42087542087541063,0.8,0.698689956331866,-1.8565400843881918,0.0,-0.6777108433735024
2022-01,4.442581726739303,1.7,4.4232437120555135,-0.5159071367153878,17.1,3.1084154662623265
2022-02,1.2841091492777013,0.9,1.4119601328903553,3.9757994814174635,2.3,0.0735294117647056
2022-03,1.6640253565768592,0.7,0.7371007371007376,21.695760598503753,2.2,1.322556943423958
2022-04,1.7926734216679563,1.5,3.577235772357734,-3.346994535519132,3.3,-1.16026105873821
2022-05,1.7611026033690802,1.4,3.375196232339084,3.3215547703180137,1.2,1.1738811445341168
2022-06,1.5801354401805856,1.5,2.2019741837509432,3.830369357045149,1.4,0.5801305293690939
2022-07,1.333333333333342,1.6,1.4858841010401136,0.19762845849802257,1.0,-0.2883922134102268
2022-08,0.43859649122806044,0.9,0.5124450951683901,-9.796186719263645,0.6,0.867678958785234
2022-09,0.8005822416302655,0.3,0.21849963583393528,-4.008746355685133,4.6,0.5734767025089793
2022-10,-1.4440433212996373,1.2,2.9796511627906863,4.859529233105553,-16.9,0.4276550249465494
2022-11,1.172161172161168,0.4,1.8348623853211121,-1.73787110789283,4.8,0.3548616039744434
2022-12,0.0,0.4,0.2772002772002624,-10.53795136330139,1.0,-1.2729844413012836
2023-01,6.010137581462716,0.8,3.870076019350388,-1.7298187808896248,30.9,4.011461318051568
2023-02,0.6147540983606703,0.7,0.6653359946773074,1.257334450963965,0.1,0.6198347107438051
2023-03,0.13577732518668117,0.2,0.396563119629878,-1.8211920529801362,0.1,0.4106776180698102
2023-04,-0.20338983050848247,0.2,-1.6458196181698526,-0.6745362563237767,0.5,-0.886162235855481
2023-05,0.27173913043478937,0.1,0.9370816599732379,-3.9049235993208753,0.3,0.9628610729023324
2023-06,0.3387533875338855,0.5,0.0,0.5300353356890497,0.2,0.613079019073548
2023-07,0.47265361242405657,1.0,-0.7957559681697757,1.7574692442882345,-0.1,0.4062288422478133
2023-08,0.20161290322580072,0.2,-0.9358288770053513,7.685664939550962,0.3,0.944032366823988
2023-09,-0.7377598926894713,-0.6,-1.6194331983805488,2.8067361668003166,-1.2,0.2004008016032177
2023-10,0.06756756756756133,0.3,0.8230452674897082,-0.15600624024960652,-1.2,-0.3333333333333299
2023-11,0.06752194463199857,0.1,-0.40816326530611624,-3.359374999999998,0.7,0.1337792642140289
2023-12,-0.4048582995951344,0.0,-1.43442622950819,-4.688763136620855,0.6,-1.4696058784235078
2024-01,1.4905149051490652,0.2,0.06930006930006005,-0.5089058524173073,5.8,4.1355932203389845
2024-02,0.26702269692922,0.5,-0.27700831024931594,4.262574595055413,0.0,-1.041666666666663
2024-03,0.13315579227697327,0.1,-0.7638888888888862,1.6353229762878119,0.7,0.5263157894736858
2024-04,0.6648936170212671,0.1,1.679496151154658,2.7353177795655714,0.2,2.159685863874339
2024-05,0.0,0.1,-0.06882312456987227,-1.8010963194988183,0.0,-0.1281229980781506
2024-06,-0.26420079260238705,0.1,-0.550964187327807,-3.7480063795853336,0.0,-0.5772931366260448
2024-07,0.6622516556291425,1.1,0.3462603878116255,1.3256006628003192,-0.3,0.0
2024-08,0.263157894736854,0.2,0.48309178743961567,-2.2076860179885527,0.1,1.1612903225806548
2024-09,-0.3937007874015741,-0.7,0.7554945054945028,-4.8494983277591945,0.2,0.0637755102040671
2024-10,0.32938076416337836,0.4,0.27266530334015826,-0.35149384885764245,0.1,0.063734862970044
2024-11,0.06565988181221893,0.0,0.40788579197823527,0.7936507936507908,0.1,-0.2547770700636942
2024-12,-0.2624671916010568,0.0,-0.677048070413,0.43744531933507247,-0.3,-1.2771392081736943
2025-01,1.3157894736842035,0.5,3.135650988411731,1.7421602787456525,0.8,4.139715394566634
2025-02,0.1948051948051921,0.5,-0.594844679444817,0.5993150684931559,0.0,-0.5590062111801242
2025-03,0.06480881399870686,0.0,0.7978723404255206,-3.234042553191485,-0.2,0.4372267332916957
2025-04,-0.12953367875648825,0.2,-0.26385224274406704,-2.726473175021993,0.1,-0.9950248756219082
2025-05,0.5188067444876765,0.2,1.256613756613767,-1.898734177215189,0.5,1.5703517587939642
2025-06,0.2580645161290418,0.3,0.19595035924233617,1.0138248847926246,0.0,-0.1855287569573205
2025-07,0.45045045045044585,0.9,-0.6518904823989535,1.7335766423357768,-0.1,0.247831474597282
2025-08,0.06406149903908087,0.3,0.0,-0.8968609865470878,-0.1,-0.4326328800988932
2025-09,-0.5761843790012655,-0.7,-1.1154855643044748,-0.7239819004524861,-0.1,0.5586592178770999
2025-10,0.5151320025756467,0.4,1.128069011280708,-0.09115770282589475,-0.1,1.1111111111111072
2025-11,-0.32030749519538215,-0.1,-0.9842519685039353,1.642335766423364,-0.4,-0.6105006105006083
2025-12,-0.25706940874036244,0.2,-1.1265738899933875,-1.8850987432675104,-0.1,-1.1056511056511176
2026-01,0.8376288659793785,0.4,2.7479892761394176,-2.5617566331198494,-0.9,4.7826086956521685
2026-02,-0.06389776357826893,0.5,-1.5655577299412915,1.032863849765242,-0.1,-1.2448132780082943
2026-03,0.5754475703324768,0.2,-0.6626905235255109,19.516728624535308,0.1,-0.3601440576230463
2026-04,0.4450095359186168,0.3,-0.4002668445630353,7.231726283048223,0.2,0.9638554216867544
2026-05,0.18987341772152,0.2,0.602813127930335,-0.6526468455402501,0.1,0.0596658711217168
2026-06,-0.31585596967782514,0.3,-1.2649800266311462,-8.17518248175183,0.0,0.3577817531306149
2026-07,0.6337135614702172,1.0,-0.4045853000674504,3.49761526232113,0.2,-0.4159239453357166
