model,origin,target,h,block,as_of_utc,weight_at_destination,monthly_forecast,monthly_actual,monthly_error,monthly_weighted_error,cumulative_log_forecast,cumulative_log_actual,cumulative_log_error,cumulative_weighted_forecast,cumulative_weighted_actual,cumulative_weighted_error,n_prediction_months,n_actual_months,component_path_status,annual_forecast,annual_actual,annual_oracle,annual_error,annual_block_error,annual_other_error,block_squared_error,other_squared_error,cross_term,headline_squared_error,oracle_mse_gain,annual_oracle_status
INDEPENDENT_BRIDGE,2021-11,2022-04,5,fuel,2021-12-09T22:59:00+00:00,0.03425181,1.6949152542372836,-3.346994535519132,5.041909789756415,0.17269453615587668,-0.10512426792384999,17.738675650810645,-17.843799918734494,-0.0026659204219713975,0.683396165907139,-0.6860620863291104,5,5,complete,10.587621689070504,14.160839160839142,11.345578062117838,-3.573217471768638,-0.7579563730473335,-2.8152610987213045,0.5744978634430686,7.925695053973486,4.267690183136103,12.767883100552657,4.842188046579171,complete
INDEPENDENT_BRIDGE,2021-11,2022-05,6,fuel,2021-12-09T22:59:00+00:00,0.03425181,2.1568627450980316,3.3215547703180137,-1.1646920252199822,-0.039892809956350035,2.0288073355756886,21.00625867404922,-18.97745133847353,0.07121053251920481,0.7971654288046652,-0.7259548962854604,6,6,complete,10.855127365492926,15.968586387434561,11.659258555379077,-5.113459021941635,-0.8041311898861512,-4.309327832055484,0.6466269705477173,18.570306364128015,6.930529834400569,26.147463169076303,7.577156804948288,complete
INDEPENDENT_BRIDGE,2021-11,2022-06,7,fuel,2021-12-09T22:59:00+00:00,0.03425181,1.5794669299111552,3.830369357045149,-2.250902427133994,-0.0770974822627324,3.595930494112311,24.765090438634367,-21.169159944522054,0.125310133703805,0.9283625122519978,-0.8030523785481928,7,7,complete,10.662360455181624,17.18749999999999,11.5507314445918,-6.525139544818366,-0.888370989410177,-5.636768555408189,0.7892030148256168,31.77315974723852,10.015083317288294,42.57744607935243,10.804286332113907,complete
INDEPENDENT_BRIDGE,2021-11,2022-07,8,fuel,2021-12-09T22:59:00+00:00,0.03425181,-0.18832391713747842,0.19762845849802257,-0.385952375635501,-0.01321956743931581,3.407429024535178,24.962523869006127,-21.555094844470947,0.11885969867555635,0.935131644663065,-0.8162719459875086,8,8,complete,9.906316707680121,17.525773195876276,10.803212856675259,-7.619456488196155,-0.8968961489951379,-6.722560339201017,0.8044227020823086,45.192817514198495,12.05887695923368,58.05611717551449,12.863299661315992,complete
INDEPENDENT_BRIDGE,2021-11,2022-08,9,fuel,2021-12-09T22:59:00+00:00,0.03425181,0.0,-9.796186719263645,9.796186719263645,0.3355371262327417,3.407429024535178,14.652675471659892,-11.245246447124712,0.11885969867555635,0.5995945184303233,-0.48073481975476695,9,9,complete,9.216094817442155,17.235494880546053,9.738110246841059,-8.019400063103898,-0.5220154293989037,-7.4973846337049945,0.27250010853052176,56.21077634571577,7.827500917864509,64.3107773721108,8.100001026395034,complete
INDEPENDENT_BRIDGE,2021-11,2022-09,10,fuel,2021-12-09T22:59:00+00:00,0.03425181,0.3741814780168218,-4.008746355685133,4.382927833701955,0.15012321140367096,3.7809121851004863,10.56136481740494,-6.780452632304453,0.1316760915661077,0.4622876999172037,-0.330611608351096,10,10,complete,8.904042350501292,17.972742759795548,9.260104552433832,-9.068700409294255,-0.3560622019325397,-8.712638207361715,0.12678029164504867,75.91006453237917,6.204482289509575,82.24132711353379,6.331262581154618,complete
INDEPENDENT_BRIDGE,2021-11,2022-10,11,fuel,2021-12-09T22:59:00+00:00,0.03425181,0.732984293193728,4.859529233105553,-4.126544939911825,-0.14134163323832125,4.511223203598121,15.306509984006055,-10.795286780407935,0.1567821303095636,0.6287353718989808,-0.4719532415894172,11,11,complete,8.457675935809252,15.092748735244498,8.965146227541005,-6.635072799435246,-0.5074702917317531,-6.127602507703493,0.25752609699031054,37.547512492414135,6.219152464401026,44.024191053805474,6.4766785613913385,complete
INDEPENDENT_BRIDGE,2021-11,2022-11,12,fuel,2021-12-09T22:59:00+00:00,0.03425181,-0.3066153742602551,-1.73787110789283,1.4312557336325749,0.049023099449793564,4.204136801323243,13.553360626563759,-9.349223825240516,0.14627999876732245,0.5692101409069461,-0.42293014213962365,12,12,complete,7.929417140705336,16.24579124579122,8.381359660229652,-8.316374105085885,-0.45194251952431586,-7.864431585561569,0.2042520409539866,61.84928416397845,7.108542050810611,69.16207825574305,7.3127940917646015,complete
INDEPENDENT_BRIDGE,2021-11,2021-12,1,administered,2021-12-09T22:59:00+00:00,0.14954570635123138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,complete,7.32920974904048,6.613047363717604,7.32920974904048,0.7161623853228756,0.0,0.7161623853228756,0.0,0.5128885621513509,0.0,0.5128885621513509,0.0,complete
INDEPENDENT_BRIDGE,2021-11,2022-01,2,administered,2021-12-09T22:59:00+00:00,0.14954570635123138,21.82498496817614,17.1,4.724984968176138,0.706601214564851,19.741527935280796,15.785808461558029,3.955719473722768,3.263832793170908,2.5572315786060567,0.706601214564851,2,2,complete,10.393494939555316,9.876543209876534,9.645137047024226,0.516951729678782,0.7483578925310894,-0.23140616285230742,0.5600395353135735,0.05354881220602862,-0.3463492567017177,0.2672390908178845,0.21369027861185588,complete
INDEPENDENT_BRIDGE,2021-11,2022-02,3,administered,2021-12-09T22:59:00+00:00,0.14954570635123138,0.1,2.3,-2.1999999999999997,-0.329000553972709,19.84147796858915,18.059757158506972,1.7817208100821786,3.278787363806031,2.901186703213889,0.37760066059214203,3,3,complete,10.554073383484901,11.091549295774657,10.164724943902966,-0.5374759122897554,0.3893484395819353,-0.9268243518716908,0.15159220740488794,0.8590033792223797,-0.7217152303355627,0.2888803562917049,-0.5701230229306748,complete
INDEPENDENT_BRIDGE,2021-11,2022-03,4,administered,2021-12-09T22:59:00+00:00,0.14954570635123138,0.1,2.2,-2.1,-0.31404598333758593,19.941428001897503,20.235906336658243,-0.2944783347607376,3.293741934441154,3.230187257186598,0.0635546772545561,4,4,complete,10.608458874008232,12.741652021089633,10.564278765855043,-2.1331931470814016,0.04418010815318851,-2.17737325523459,0.0019518819564274341,4.740954292610875,-0.19239317181224866,4.550513002755054,-0.19044128985582098,complete
INDEPENDENT_BRIDGE,2021-11,2022-04,5,administered,2021-12-09T22:59:00+00:00,0.14954570635123138,0.1,3.3,-3.1999999999999997,-0.4785462603239404,20.041378035205856,23.48262535040839,-3.441247315202534,3.308696505076277,3.7236880881456615,-0.4149915830693843,5,5,complete,10.587621689070504,14.160839160839142,11.069776118753815,-3.573217471768638,-0.4821544296833107,-3.0910630420853273,0.2324728940632386,9.554670730145798,2.980739476343621,12.767883100552657,3.2132123704068594,complete
INDEPENDENT_BRIDGE,2021-11,2022-05,6,administered,2021-12-09T22:59:00+00:00,0.14954570635123138,0.1,1.2,-1.0999999999999999,-0.1645002769863545,20.14132806851421,24.67548243693577,-4.534154368421561,3.3236510757114,3.903142935767139,-0.5794918600557388,6,6,complete,10.855127365492926,15.968586387434561,11.52083932512727,-5.113459021941635,-0.6657119596343435,-4.447747062307291,0.4431724132001978,19.78245393026314,5.921836825612963,26.147463169076303,6.365009238813162,complete
INDEPENDENT_BRIDGE,2021-11,2022-06,7,administered,2021-12-09T22:59:00+00:00,0.14954570635123138,0.05,1.4,-1.3499999999999999,-0.20188670357416233,20.191315572679315,26.065772953834912,-5.874457381155598,3.331128361028962,4.112506924658863,-0.7813785636299011,7,7,complete,10.662360455181624,17.18749999999999,11.55088791492484,-6.525139544818366,-0.8885274597432158,-5.63661208507515,0.789481046717732,31.77139579761523,10.016569235019467,42.57744607935243,10.806050281737196,complete
INDEPENDENT_BRIDGE,2021-11,2022-07,8,administered,2021-12-09T22:59:00+00:00,0.14954570635123138,0.05,1.0,-0.95,-0.1420684210336698,20.241303076844417,27.06080603915172,-6.819502962307301,3.3386056463465232,4.262052631010095,-0.9234469846635709,8,8,complete,9.906316707680121,17.525773195876276,10.945618545118418,-7.619456488196155,-1.0393018374382965,-6.5801546507578585,1.0801483093026194,43.29843522789027,13.67753363832159,58.05611717551449,14.757681947624214,complete
INDEPENDENT_BRIDGE,2021-11,2022-08,9,administered,2021-12-09T22:59:00+00:00,0.14954570635123138,0.0,0.6,-0.6,-0.08972742381073882,20.241303076844417,27.65901320690647,-7.417710130062048,3.3386056463465232,4.351780054820833,-1.0131744084743097,9,9,complete,9.216094817442155,17.235494880546053,10.34773887509989,-8.019400063103898,-1.131644057657736,-6.887756005446162,1.2806182732320655,47.44118279055967,15.588976308319069,64.3107773721108,16.869594581551134,complete
INDEPENDENT_BRIDGE,2021-11,2022-09,10,administered,2021-12-09T22:59:00+00:00,0.14954570635123138,0.1,4.6,-4.5,-0.6729556785805412,20.34125311015277,32.156349771179585,-11.81509666102681,3.3535602169816463,5.0396903040364975,-1.6861300870548508,10,10,complete,8.904042350501292,17.972742759795548,10.773779385239811,-9.068700409294255,-1.8697370347385185,-7.198963374555737,3.4959165790727877,51.82507366819492,26.920336866266084,82.24132711353379,30.416253445338867,complete
