clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct,threshold,capture_ratio,relative_absolute_error_gain
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,CORE_PHASE_OWN_R29,6.523565151164717,16.393468660721574,-9.869903509556856,-1.3336309588352835,8.536272550721574,-1.3336309588352826,-24.547046227760134,False,True,False,1.0,-0.15623106583242252,-0.1562310658324224
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,CORE_SINGLE_TARGET_R29,6.829978976841523,16.393468660721574,-9.56348968388005,-1.0272171331584774,8.536272550721574,-1.0272171331584765,-18.59238587347754,False,True,False,1.0,-0.12033555946753907,-0.12033555946753897
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,CORE_PHASE_FIXED040_R29,9.334076810533379,16.393468660721574,-7.059391850188195,1.4768807005333784,8.536272550721574,1.4768807005333784,23.032935765699094,True,False,True,1.0,0.17301236479481166,0.17301236479481166
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,CORE_PHASE_FIXED060_R29,9.334076810533379,16.393468660721574,-7.059391850188195,1.4768807005333784,8.536272550721574,1.4768807005333784,23.032935765699094,True,False,True,1.0,0.17301236479481166,0.17301236479481166
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,CORE_PHASE_FIXED080_R29,9.334076810533379,16.393468660721574,-7.059391850188195,1.4768807005333784,8.536272550721574,1.4768807005333784,23.032935765699094,True,False,True,1.0,0.17301236479481166,0.17301236479481166
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,STATE_FAST_R15,12.62574891641352,15.77230851609123,-3.14655959967771,-1.910907552385579,1.235652047292131,-1.910907552385579,-8.374001332346715,False,True,False,1.0,-1.5464770657510227,-1.5464770657510227
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,FOOD_ECM_R27,12.62778893231413,15.77230851609123,-3.1445195837771003,-1.9088675364849692,1.235652047292131,-1.9088675364849692,-8.361167430780473,False,True,False,1.0,-1.544826102678465,-1.544826102678465
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,CORE_PHASE_TARGET_R29,12.087187726472926,15.77230851609123,-3.6851207896183045,-2.4494687423261734,1.235652047292131,-2.4494687423261734,-12.0532792520998,False,True,False,1.0,-1.9823288827093843,-1.9823288827093843
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,CORE_PHASE_OWN_R29,12.04165019647239,15.77230851609123,-3.7306583196188416,-2.4950062723267106,1.235652047292131,-2.4950062723267106,-12.390975515764044,False,True,False,1.0,-2.019181919209692,-2.019181919209692
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,CORE_SINGLE_TARGET_R29,12.039055191582092,15.77230851609123,-3.733253324509139,-2.497601277217008,1.235652047292131,-2.497601277217008,-12.410344402981304,False,True,False,1.0,-2.021282028942027,-2.021282028942027
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,CORE_PHASE_FIXED040_R29,12.037681113391367,15.77230851609123,-3.7346274026998643,-2.498975355407733,1.235652047292131,-2.498975355407733,-12.420605855019499,False,True,False,1.0,-2.0223940557409437,-2.0223940557409437
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,CORE_PHASE_FIXED060_R29,12.233850833877085,15.77230851609123,-3.538457682214146,-2.3028056349220147,1.235652047292131,-2.3028056349220147,-10.993846786843068,False,True,False,1.0,-1.8636359968556655,-1.8636359968556655
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,CORE_PHASE_FIXED080_R29,12.430552879680357,15.77230851609123,-3.3417556364108734,-2.1061035891187423,1.235652047292131,-2.1061035891187423,-9.640494751506605,False,True,False,1.0,-1.7044471327783268,-1.7044471327783268
