H,sample,name,n,rmse,bias,ratio_to_fast
12,full,FOOD_ECM_R27,75,4.278484676610996,0.004065149672115602,1.0
12,full,CORE_PHASE_TARGET_R29,75,3.978461020324548,-1.626327151748883,0.929876187724459
12,full,CORE_PHASE_OWN_R29,75,4.173996192344777,-1.9632066511925306,0.975578156248304
12,full,CORE_SINGLE_TARGET_R29,75,3.978929897942828,-1.5900216923900012,0.9299857773697937
12,full,CORE_PHASE_FIXED040_R29,75,3.896471278681772,-0.9314073323074873,0.9107129213252626
12,full,CORE_PHASE_FIXED060_R29,75,3.9187625797501355,-0.6195831716476198,0.9159230138587763
12,full,CORE_PHASE_FIXED080_R29,75,4.049405025093314,-0.3077590109877519,0.9464577604379463
12,full,ZERO,75,6.504992880713422,-5.2894877016985316,1.5203964422904164
12,full,SEASONAL_NAIVE,75,5.1432486067000776,-0.02655854541691682,1.202119207021226
12,full,SA_AR,75,4.777568219801484,-1.9978978731861472,1.116649603986852
12,full,SA_AR_TARGET,75,4.828239078148629,-3.2268761993203077,1.1284927826300164
12,origins_2019_2021,STATE_FAST_R15,32,4.822566348605122,-3.1359388607616356,1.0
12,origins_2019_2021,FOOD_ECM_R27,32,4.822566348605122,-3.1359388607616356,1.0
12,origins_2019_2021,CORE_PHASE_TARGET_R29,32,5.659805278473527,-4.209757460860764,1.1736085870774113
12,origins_2019_2021,CORE_PHASE_OWN_R29,32,5.99314797807434,-4.663645630633278,1.2427300206678955
12,origins_2019_2021,CORE_SINGLE_TARGET_R29,32,5.61292840840822,-4.186087671296908,1.1638882708232108
12,origins_2019_2021,CORE_PHASE_FIXED040_R29,32,4.821570237708882,-3.424895019449685,0.9997934479643753
12,origins_2019_2021,CORE_PHASE_FIXED060_R29,32,4.810393926731166,-3.3285762998870023,0.99747594517233
12,origins_2019_2021,CORE_PHASE_FIXED080_R29,32,4.810726758004266,-3.2322575803243185,0.9975449605573016
12,origins_2019_2021,ZERO,32,8.356612554278263,-7.215663924965549,1.732814429125548
12,origins_2019_2021,SEASONAL_NAIVE,32,5.736386185462294,-4.266189240714522,1.1894882871070265
12,origins_2019_2021,SA_AR,32,6.610885242040511,-5.4301397838475856,1.3708230772092211
12,origins_2019_2021,SA_AR_TARGET,32,6.623585167235721,-5.158885765131343,1.3734565143207464
12,origins_2022_2023,STATE_FAST_R15,24,5.091429804141634,4.227662485099835,1.0
12,origins_2022_2023,FOOD_ECM_R27,24,5.091429804141634,4.227662485099835,1.0
12,origins_2022_2023,CORE_PHASE_TARGET_R29,24,2.562145408704404,0.7716422261625072,0.5032270908694886
12,origins_2022_2023,CORE_PHASE_OWN_R29,24,2.507316181235018,0.4417800312000622,0.49245816552266647
12,origins_2022_2023,CORE_SINGLE_TARGET_R29,24,2.700267589446921,0.859820295716835,0.5303554587456716
12,origins_2022_2023,CORE_PHASE_FIXED040_R29,24,4.017588338526509,1.7969655515130503,0.7890884276276172
12,origins_2022_2023,CORE_PHASE_FIXED060_R29,24,4.104995895051098,2.6071978627086447,0.8062560131364044
12,origins_2022_2023,CORE_PHASE_FIXED080_R29,24,4.484588992233908,3.4174301739042403,0.8808113172032559
12,origins_2022_2023,ZERO,24,5.803533809544023,-4.8387412520655015,1.1398632668613298
12,origins_2022_2023,SEASONAL_NAIVE,24,4.9340953142044786,2.4365888501825625,0.9690981716355647
12,origins_2022_2023,SA_AR,24,3.3427756706928804,-0.1774759988620561,0.6565494957769412
12,origins_2022_2023,SA_AR_TARGET,24,3.620088912690588,-2.2654773812121083,0.7110161687284423
12,origins_2024plus,STATE_FAST_R15,19,0.5864647794529921,-0.042577361716580706,1.0
12,origins_2024plus,FOOD_ECM_R27,19,0.5864647794529921,-0.042577361716580706,1.0
12,origins_2024plus,CORE_PHASE_TARGET_R29,19,0.48626412534099483,-0.3043005821853636,0.8291446347290343
12,origins_2024plus,CORE_PHASE_OWN_R29,19,0.5812311641168502,-0.45297681094612474,0.9910759937859807
12,origins_2024plus,CORE_SINGLE_TARGET_R29,19,0.47226572981613957,-0.31223729183963594,0.805275519284605
12,origins_2024plus,CORE_PHASE_FIXED040_R29,19,0.6232757563885695,-0.17821487036762199,1.0627675833660661
12,origins_2024plus,CORE_PHASE_FIXED060_R29,19,0.6005370053826706,-0.13300236748394142,1.0239950060475993
12,origins_2024plus,CORE_PHASE_FIXED080_R29,19,0.5880482841680778,-0.0877898646002611,1.0027000849335959
12,origins_2024plus,ZERO,19,2.6219786405765735,-2.6147653673115956,4.470820298914024
12,origins_2024plus,SEASONAL_NAIVE,19,4.271646438417517,4.002528020642865,7.283722037667411
12,origins_2024plus,SA_AR,19,1.5421372526588526,1.4832398193079506,2.6295479399414847
12,origins_2024plus,SA_AR_TARGET,19,1.255948374300757,-1.187363858722605,2.141558058221682
