model,h,sample,n,own_rmse,own_bias,own_mae
FOOD_ZERO_DRIFT_R24,3,origins_2022_2023,24,2.4060359199766785,-0.7959765192215397,1.835171470670821
FOOD_ZERO_DRIFT_R24,3,origins_2024plus,28,0.5315409329443646,-0.14016607627065472,0.4091914633527979
FOOD_ZERO_DRIFT_R24,6,full,81,2.3766010940076474,-1.1010354705720695,1.5589967735499572
FOOD_ZERO_DRIFT_R24,6,origins_2019_2021,32,2.908887203190234,-1.8467783597994525,2.073720550377788
FOOD_ZERO_DRIFT_R24,6,origins_2022_2023,24,2.7342963462599603,-1.0190969022177916,2.047859925089964
FOOD_ZERO_DRIFT_R24,6,origins_2024plus,25,0.5404377853084554,-0.2251455979811253,0.4308417137319276
FOOD_ZERO_DRIFT_R24,9,full,78,3.660276850760338,-1.6983963215685445,2.267757742846522
FOOD_ZERO_DRIFT_R24,9,origins_2019_2021,32,5.144161514534308,-3.363375986338485,3.6329525630643036
FOOD_ZERO_DRIFT_R24,9,origins_2022_2023,24,2.809461913694655,-0.8173655412044954,2.0737696095259346
FOOD_ZERO_DRIFT_R24,9,origins_2024plus,22,0.6318918498088959,-0.23773220593668506,0.49364324069765997
FOOD_ZERO_DRIFT_R24,12,full,75,5.005089707731504,-2.320079683974544,2.9667723572726814
FOOD_ZERO_DRIFT_R24,12,origins_2019_2021,32,6.955149128056009,-4.753701296583765,4.853068495377768
FOOD_ZERO_DRIFT_R24,12,origins_2022_2023,24,3.6589510686318967,-0.6721536837475216,2.351579122232805
FOOD_ZERO_DRIFT_R24,12,origins_2024plus,19,0.7085156072129782,-0.3029392840773579,0.5669387373565894
STABLE_LOCAL_CORE_R14B,3,full,84,1.537322537940186,-0.3310553165293109,1.0295519869798233
STABLE_LOCAL_CORE_R14B,3,origins_2019_2021,32,1.1852573752294795,-0.6021700755367407,0.8607205158174454
STABLE_LOCAL_CORE_R14B,3,origins_2022_2023,24,2.4777373211549114,-0.426461808214835,2.006779478310443
STABLE_LOCAL_CORE_R14B,3,origins_2024plus,28,0.47159282356793614,0.0605671152096295,0.3848786757391532
STABLE_LOCAL_CORE_R14B,6,full,81,2.624251525066841,-0.7498792446195656,1.6258969606430034
STABLE_LOCAL_CORE_R14B,6,origins_2019_2021,32,3.1774283576302267,-1.8196756523037985,2.0199387811630904
STABLE_LOCAL_CORE_R14B,6,origins_2022_2023,24,3.0909998356194217,-0.29858624381196835,2.4544809156441487
STABLE_LOCAL_CORE_R14B,6,origins_2024plus,25,0.46673464962254085,0.1862188764409593,0.32608283357619144
STABLE_LOCAL_CORE_R14B,9,full,78,4.005802450518569,-1.1835488170351998,2.4094757443657824
STABLE_LOCAL_CORE_R14B,9,origins_2019_2021,32,5.427667836908539,-3.3128565493406663,3.493576998331699
STABLE_LOCAL_CORE_R14B,9,origins_2022_2023,24,3.547815159386275,0.24337857429010779,2.7593716412831344
STABLE_LOCAL_CORE_R14B,9,origins_2024plus,22,0.5571451910985655,0.35697800305423516,0.45089657832370167
STABLE_LOCAL_CORE_R14B,12,full,75,5.397208838300782,-1.6354642795914578,3.3702160589936043
STABLE_LOCAL_CORE_R14B,12,origins_2019_2021,32,7.134051371949326,-4.674208056614677,4.7693347589314
STABLE_LOCAL_CORE_R14B,12,origins_2022_2023,24,4.772290441752432,0.7307343105794705,3.731307540711341
STABLE_LOCAL_CORE_R14B,12,origins_2024plus,19,0.7076852773291331,0.4935375467580544,0.5576900611391219
STATE_FAST_R15,3,full,84,1.4591809877871644,-0.33066172217571593,0.971408578467714
STATE_FAST_R15,3,origins_2019_2021,32,1.0750436763602103,-0.5014498477844609,0.8114943236644183
STATE_FAST_R15,3,origins_2022_2023,24,2.366114520586023,-0.5732818758347794,1.820949214884264
STATE_FAST_R15,3,origins_2024plus,28,0.517777318612281,0.07248483879918985,0.425990038457294
STATE_FAST_R15,6,full,81,2.290294341334928,-0.7517105337783887,1.5080060139069908
STATE_FAST_R15,6,origins_2019_2021,32,2.780483836236152,-1.6273227800870507,1.9476955752957241
STATE_FAST_R15,6,origins_2022_2023,24,2.6638770891698886,-0.5815423123450832,2.070588818056334
STATE_FAST_R15,6,origins_2024plus,25,0.5357843828577382,0.20571164892072513,0.40512388334604266
STATE_FAST_R15,9,full,78,3.548456709656722,-1.1802841257361536,2.2455139964413684
STATE_FAST_R15,9,origins_2019_2021,32,4.944297875353697,-3.034594015204746,3.459631201554882
STATE_FAST_R15,9,origins_2022_2023,24,2.8030060620956854,-0.17069134220707793,2.1185960234591774
STATE_FAST_R15,9,origins_2024plus,22,0.7167373234208606,0.4155199496409896,0.6179813049841028
STATE_FAST_R15,12,full,75,4.869472205001029,-1.6393559194623943,3.0264336489400625
