origin,clock,latest_food_month_published,own_mu_window,own_mu_robust,own_mu_long,audit_mu_window,audit_mu_robust,audit_mu_long,own_n_train,audit_n_train,own_train_start,own_train_end,audit_train_start,audit_train_end,n_windows_robust,n_windows_long,plain_window_mean,diff_mu_window,diff_mu_robust,diff_mu_long
2019-12,2020-01-12 22:59:00+00:00,2019-11,0.19870620304593378,0.22202391594998439,0.21677711666573884,0.1987062030459337,0.2220239159499843,0.2167771166657388,52,52,2015-08,2019-11,2015-08,2019-11,41,276,0.19274399834246486,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17
2020-01,2020-02-13 22:59:00+00:00,2019-12,0.20418590406717266,0.2229532281349972,0.21765269284261043,0.2041859040671726,0.2229532281349972,0.2176526928426104,53,53,2015-08,2019-12,2015-08,2019-12,42,277,0.20276741465239417,5.551115123125783e-17,0.0,2.7755575615628914e-17
2020-02,2020-03-09 22:59:00+00:00,2020-01,0.22447132216155916,0.22388254032001006,0.21855779782881748,0.2244713221615591,0.22388254032001,0.2185577978288174,54,54,2015-08,2020-01,2015-08,2020-01,43,278,0.24192717098315733,5.551115123125783e-17,5.551115123125783e-17,8.326672684688674e-17
2020-03,2020-04-13 21:59:00+00:00,2020-02,0.21756880993819946,0.22822788731449117,0.21946290281502456,0.2175688099381994,0.2282278873144911,0.2194629028150245,55,55,2015-08,2020-02,2015-08,2020-02,44,279,0.23752849514709992,5.551115123125783e-17,8.326672684688674e-17,5.551115123125783e-17
2020-04,2020-05-12 21:59:00+00:00,2020-03,0.2353531110771291,0.23257323430897228,0.2199211250098377,0.2353531110771291,0.2325732343089722,0.2199211250098377,56,56,2015-08,2020-03,2015-08,2020-03,45,280,0.24895117572096787,0.0,8.326672684688674e-17,0.0
2020-05,2020-06-09 21:59:00+00:00,2020-04,0.25136263641465284,0.23279001297799992,0.22037934720465083,0.2513626364146528,0.2327900129779999,0.2203793472046508,57,57,2015-08,2020-04,2015-08,2020-04,46,281,0.2552764625811203,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17
2020-06,2020-07-09 21:59:00+00:00,2020-05,0.24988962496899467,0.23300679164702753,0.22042538000578085,0.2498896249689946,0.2330067916470275,0.2204253800057808,58,58,2015-08,2020-05,2015-08,2020-05,47,282,0.26131997543992014,5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17
2020-07,2020-08-12 21:59:00+00:00,2020-06,0.23948060516374606,0.2509236550661032,0.22047141280691088,0.239480605163746,0.2509236550661032,0.2204714128069108,59,59,2015-08,2020-06,2015-08,2020-06,48,283,0.24809366556688295,5.551115123125783e-17,0.0,8.326672684688674e-17
2020-08,2020-09-09 21:59:00+00:00,2020-07,0.219202236160831,0.2688405184851789,0.22091065043136382,0.219202236160831,0.2688405184851789,0.2209106504313638,60,60,2015-08,2020-07,2015-08,2020-07,49,284,0.21920223616083098,0.0,0.0,2.7755575615628914e-17
2020-09,2020-10-11 21:59:00+00:00,2020-08,0.2189432005317793,0.27932640081234367,0.22134988805581676,0.2189432005317793,0.2793264008123436,0.2213498880558167,61,61,2015-08,2020-08,2015-08,2020-08,50,285,0.20692730183899713,0.0,5.551115123125783e-17,5.551115123125783e-17
2020-10,2020-11-09 22:59:00+00:00,2020-09,0.19855563009157515,0.2809681473593475,0.22168690200290056,0.1985556300915751,0.2809681473593475,0.2216869020029005,62,62,2015-08,2020-09,2015-08,2020-09,51,286,0.18348207315590032,5.551115123125783e-17,0.0,5.551115123125783e-17
2020-11,2020-12-09 22:59:00+00:00,2020-10,0.20079651946190882,0.2749043329222632,0.22202391594998439,0.2007965194619088,0.2749043329222632,0.2220239159499843,63,63,2015-08,2020-10,2015-08,2020-10,52,287,0.19049475738705562,2.7755575615628914e-17,0.0,8.326672684688674e-17
2020-12,2021-01-12 22:59:00+00:00,2020-11,0.19524610439070803,0.2688405184851789,0.22168690200290056,0.195246104390708,0.2688405184851789,0.2216869020029005,64,64,2015-08,2020-11,2015-08,2020-11,53,288,0.1861262945281931,2.7755575615628914e-17,0.0,5.551115123125783e-17
2021-01,2021-02-11 22:59:00+00:00,2020-12,0.17140469756722873,0.2663474564199034,0.22134988805581676,0.1714046975672287,0.2663474564199034,0.2213498880558167,65,65,2015-08,2020-12,2015-08,2020-12,54,289,0.1639455534194323,2.7755575615628914e-17,0.0,5.551115123125783e-17
2021-02,2021-03-09 22:59:00+00:00,2021-01,0.19472078232958404,0.2638543943546279,0.22091065043136382,0.194720782329584,0.2638543943546279,0.2209106504313638,66,66,2015-08,2021-01,2015-08,2021-01,55,290,0.20725626156266272,2.7755575615628914e-17,0.0,2.7755575615628914e-17
