origin,clock,poisoned_level_cells,poisoned_long_rates,P1_levels_identical,P2_long_rates_identical,P3_czso_identical,T_truncated_identical,clean_equals_frozen_run
2021-04,2021-05-10 21:59:00+00:00,192,64,True,True,True,True,True
2021-05,2021-06-09 21:59:00+00:00,189,63,True,True,True,True,True
2021-06,2021-07-12 21:59:00+00:00,186,62,True,True,True,True,True
2021-07,2021-08-09 21:59:00+00:00,183,61,True,True,True,True,True
2021-08,2021-09-09 21:59:00+00:00,180,60,True,True,True,True,True
2021-09,2021-10-10 21:59:00+00:00,177,59,True,True,True,True,True
2021-10,2021-11-09 22:59:00+00:00,174,58,True,True,True,True,True
2021-11,2021-12-09 22:59:00+00:00,171,57,True,True,True,True,True
2021-12,2022-01-11 22:59:00+00:00,168,56,True,True,True,True,True
2022-01,2022-02-13 22:59:00+00:00,165,55,True,True,True,True,True
2022-02,2022-03-09 22:59:00+00:00,162,54,True,True,True,True,True
2022-03,2022-04-10 21:59:00+00:00,159,53,True,True,True,True,True
2022-04,2022-05-09 21:59:00+00:00,156,52,True,True,True,True,True
2022-05,2022-06-09 21:59:00+00:00,153,51,True,True,True,True,True
2022-06,2022-07-12 21:59:00+00:00,150,50,True,True,True,True,True
2022-07,2022-08-09 21:59:00+00:00,147,49,True,True,True,True,True
2022-08,2022-09-11 21:59:00+00:00,144,48,True,True,True,True,True
2022-09,2022-10-10 21:59:00+00:00,141,47,True,True,True,True,True
2022-10,2022-11-09 22:59:00+00:00,138,46,True,True,True,True,True
2022-11,2022-12-11 22:59:00+00:00,135,45,True,True,True,True,True
2022-12,2023-01-10 22:59:00+00:00,132,44,True,True,True,True,True
2023-01,2023-02-09 22:59:00+00:00,129,43,True,True,True,True,True
2023-02,2023-03-09 22:59:00+00:00,126,42,True,True,True,True,True
2023-03,2023-04-12 21:59:00+00:00,123,41,True,True,True,True,True
2023-04,2023-05-10 21:59:00+00:00,120,40,True,True,True,True,True
2023-05,2023-06-11 21:59:00+00:00,117,39,True,True,True,True,True
2023-06,2023-07-12 21:59:00+00:00,114,38,True,True,True,True,True
2023-07,2023-08-09 21:59:00+00:00,111,37,True,True,True,True,True
2023-08,2023-09-10 21:59:00+00:00,108,36,True,True,True,True,True
2023-09,2023-10-09 21:59:00+00:00,105,35,True,True,True,True,True
2023-10,2023-11-09 22:59:00+00:00,102,34,True,True,True,True,True
2023-11,2023-12-10 22:59:00+00:00,99,33,True,True,True,True,True
2023-12,2024-01-10 22:59:00+00:00,96,32,True,True,True,True,True
2024-01,2024-02-14 22:59:00+00:00,93,31,True,True,True,True,True
2024-02,2024-03-10 22:59:00+00:00,90,30,True,True,True,True,True
2024-03,2024-04-09 21:59:00+00:00,87,29,True,True,True,True,True
2024-04,2024-05-12 21:59:00+00:00,84,28,True,True,True,True,True
2024-05,2024-06-10 21:59:00+00:00,81,27,True,True,True,True,True
2024-06,2024-07-09 21:59:00+00:00,78,26,True,True,True,True,True
2024-07,2024-08-11 21:59:00+00:00,75,25,True,True,True,True,True
2024-08,2024-09-09 21:59:00+00:00,72,24,True,True,True,True,True
2024-09,2024-10-09 21:59:00+00:00,69,23,True,True,True,True,True
2024-10,2024-11-10 22:59:00+00:00,66,22,True,True,True,True,True
2024-11,2024-12-09 22:59:00+00:00,63,21,True,True,True,True,True
2024-12,2025-01-12 22:59:00+00:00,60,20,True,True,True,True,True
2025-01,2025-02-05 22:59:00+00:00,57,19,True,True,True,True,True
2025-02,2025-03-04 22:59:00+00:00,54,18,True,True,True,True,True
2025-03,2025-04-03 21:59:00+00:00,51,17,True,True,True,True,True
2025-04,2025-05-05 21:59:00+00:00,48,16,True,True,True,True,True
2025-05,2025-06-03 21:59:00+00:00,45,15,True,True,True,True,True
2025-06,2025-07-03 21:59:00+00:00,42,14,True,True,True,True,True
2025-07,2025-08-04 21:59:00+00:00,39,13,True,True,True,True,True
2025-08,2025-09-03 21:59:00+00:00,36,12,True,True,True,True,True
2025-09,2025-10-05 21:59:00+00:00,33,11,True,True,True,True,True
2025-10,2025-11-04 22:59:00+00:00,30,10,True,True,True,True,True
2025-11,2025-12-03 22:59:00+00:00,27,9,True,True,True,True,True
2025-12,2026-01-06 22:59:00+00:00,24,8,True,True,True,True,True
2026-01,2026-02-04 22:59:00+00:00,21,7,True,True,True,True,True
2026-02,2026-03-03 22:59:00+00:00,18,6,True,True,True,True,True
2026-03,2026-04-06 21:59:00+00:00,15,5,True,True,True,True,True
2026-04,2026-05-05 21:59:00+00:00,12,4,True,True,True,True,True
2026-05,2026-06-03 21:59:00+00:00,9,3,True,True,True,True,True
2026-06,2026-07-06 21:59:00+00:00,6,2,True,True,True,True,True
2026-07,2026-08-04 21:59:00+00:00,3,1,True,True,True,True,True
