label,code,Hodnota
leden - srpen 2021,2021-08K,108.1
září 2021,2021-09,113.2
leden - září 2021,2021-09K,108.7
říjen 2021,2021-10,115.4
leden - říjen 2021,2021-10K,109.3
listopad 2021,2021-11,116.8
leden - listopad 2021,2021-11K,110.0
prosinec 2021,2021-12,116.7
leden - prosinec 2021,2021-12K,110.6
1. čtvrtletí 2021,2021-Q1,105.4
2. čtvrtletí 2021,2021-Q2,108.4
3. čtvrtletí 2021,2021-Q3,112.2
4. čtvrtletí 2021,2021-Q4,116.3
2022,2022,137.4
leden 2022,2022-01,124.7
leden 2022,2022-01K,124.7
únor 2022,2022-02,127.5
leden - únor 2022,2022-02K,126.1
březen 2022,2022-03,132.9
leden - březen 2022,2022-03K,128.4
duben 2022,2022-04,136.0
leden - duben 2022,2022-04K,130.3
květen 2022,2022-05,138.6
leden - květen 2022,2022-05K,131.9
červen 2022,2022-06,140.5
leden - červen 2022,2022-06K,133.4
červenec 2022,2022-07,140.9
leden - červenec 2022,2022-07K,134.4
srpen 2022,2022-08,140.7
leden - srpen 2022,2022-08K,135.2
září 2022,2022-09,142.4
leden - září 2022,2022-09K,136.0
říjen 2022,2022-10,143.2
leden - říjen 2022,2022-10K,136.7
listopad 2022,2022-11,141.7
leden - listopad 2022,2022-11K,137.2
prosinec 2022,2022-12,140.2
leden - prosinec 2022,2022-12K,137.4
1. čtvrtletí 2022,2022-Q1,128.4
2. čtvrtletí 2022,2022-Q2,138.4
3. čtvrtletí 2022,2022-Q3,141.3
4. čtvrtletí 2022,2022-Q4,141.7
2023,2023,144.4
leden 2023,2023-01,148.4
leden 2023,2023-01K,148.4
únor 2023,2023-02,147.9
leden - únor 2023,2023-02K,148.2
březen 2023,2023-03,146.4
leden - březen 2023,2023-03K,147.6
duben 2023,2023-04,144.7
leden - duben 2023,2023-04K,146.9
květen 2023,2023-05,143.6
leden - květen 2023,2023-05K,146.2
červen 2023,2023-06,143.1
leden - červen 2023,2023-06K,145.7
červenec 2023,2023-07,142.9
leden - červenec 2023,2023-07K,145.3
srpen 2023,2023-08,143.2
leden - srpen 2023,2023-08K,145.0
září 2023,2023-09,143.6
leden - září 2023,2023-09K,144.9
říjen 2023,2023-10,143.5
leden - říjen 2023,2023-10K,144.7
listopad 2023,2023-11,142.9
leden - listopad 2023,2023-11K,144.6
prosinec 2023,2023-12,142.2
leden - prosinec 2023,2023-12K,144.4
1. čtvrtletí 2023,2023-Q1,147.6
2. čtvrtletí 2023,2023-Q2,143.8
3. čtvrtletí 2023,2023-Q3,143.2
4. čtvrtletí 2023,2023-Q4,142.9
2024,2024,145.5
leden 2024,2024-01,145.7
leden 2024,2024-01K,145.7
únor 2024,2024-02,146.5
leden - únor 2024,2024-02K,146.1
březen 2024,2024-03,146.4
leden - březen 2024,2024-03K,146.2
duben 2024,2024-04,146.7
leden - duben 2024,2024-04K,146.3
květen 2024,2024-05,145.0
leden - květen 2024,2024-05K,146.1
červen 2024,2024-06,144.6
leden - červen 2024,2024-06K,145.8
červenec 2024,2024-07,145.4
leden - červenec 2024,2024-07K,145.8
srpen 2024,2024-08,144.8
leden - srpen 2024,2024-08K,145.6
září 2024,2024-09,144.5
leden - září 2024,2024-09K,145.5
říjen 2024,2024-10,144.7
leden - říjen 2024,2024-10K,145.4
listopad 2024,2024-11,145.3
leden - listopad 2024,2024-11K,145.4
prosinec 2024,2024-12,146.2
leden - prosinec 2024,2024-12K,145.5
1. čtvrtletí 2024,2024-Q1,146.2
2. čtvrtletí 2024,2024-Q2,145.4
3. čtvrtletí 2024,2024-Q3,144.9
4. čtvrtletí 2024,2024-Q4,145.4
2025,2025,144.3
leden 2025,2025-01,146.5
leden 2025,2025-01K,146.5
únor 2025,2025-02,146.4
leden - únor 2025,2025-02K,146.5
březen 2025,2025-03,145.9
leden - březen 2025,2025-03K,146.3
duben 2025,2025-04,144.8
leden - duben 2025,2025-04K,145.9
květen 2025,2025-05,143.9
leden - květen 2025,2025-05K,145.5
červen 2025,2025-06,143.6
leden - červen 2025,2025-06K,145.2
červenec 2025,2025-07,143.7
leden - červenec 2025,2025-07K,145.0
srpen 2025,2025-08,143.7
leden - srpen 2025,2025-08K,144.8
září 2025,2025-09,143.1
leden - září 2025,2025-09K,144.6
říjen 2025,2025-10,143.0
leden - říjen 2025,2025-10K,144.5
listopad 2025,2025-11,143.4
leden - listopad 2025,2025-11K,144.4
prosinec 2025,2025-12,143.1
leden - prosinec 2025,2025-12K,144.3
1. čtvrtletí 2025,2025-Q1,146.3
2. čtvrtletí 2025,2025-Q2,144.1
3. čtvrtletí 2025,2025-Q3,143.5
4. čtvrtletí 2025,2025-Q4,143.2
leden 2026,2026-01,142.1
leden 2026,2026-01K,142.1
únor 2026,2026-02,142.2
leden - únor 2026,2026-02K,142.2
březen 2026,2026-03,144.3
leden - březen 2026,2026-03K,142.9
duben 2026,2026-04,146.3
leden - duben 2026,2026-04K,143.7
květen 2026,2026-05,146.1
leden - květen 2026,2026-05K,144.2
červen 2026,2026-06,145.5
leden - červen 2026,2026-06K,144.4
červenec 2026,2026-07,146.0
leden - červenec 2026,2026-07K,144.6
1. čtvrtletí 2026,2026-Q1,142.9
2. čtvrtletí 2026,2026-Q2,146.0
