ticker,name,transformation,n,first,last,level_n,level_first,level_last,level_exact_share,level_within_tol_share,level_max_abs_gap,level_mean_abs_gap,level_corr,mm_n,mm_first,mm_last,mm_exact_share,mm_within_tol_share,mm_max_abs_gap,mm_mean_abs_gap,mm_corr,mom6_n,mom6_first,mom6_last,mom6_exact_share,mom6_within_tol_share,mom6_max_abs_gap,mom6_mean_abs_gap,mom6_corr,phase_n,phase_agree_share,phase_max_momentum_gap,phase_vs_recorded,yy_n,yy_first,yy_last,yy_exact_share,yy_within_tol_share,yy_max_abs_gap,yy_mean_abs_gap,yy_corr
CZEIIC Index,Czech Republic Import Prices C,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.008583690987124463,21.433377434482026,11.074064291423653,0.8533618146862666,232.0,2007-03,2026-07,0.004310344827586207,0.06896551724137931,4.546293010049684,0.7294070560882339,0.5548200194558538,227.0,2007-08,2026-07,0.0,0.05726872246696035,7.901173180472767,1.9855522113178565,0.7183483901556187,90.0,0.8777777777777778,7.9011731804727425,0.8777777777777778,,,,,,,,
CZEIIF Index,Czech Republic Import Prices F,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,28.347577971228915,11.448348605279191,0.7453087954245463,232.0,2007-03,2026-07,0.0,0.034482758620689655,18.657071443134697,1.2349172858044162,0.19719024956071618,227.0,2007-08,2026-07,0.0,0.013215859030837005,20.017655807910444,3.944763441390493,0.31228326786953386,90.0,0.5111111111111111,10.864416668665378,0.5111111111111111,,,,,,,,
CZEIIG Index,Czech Republic Import Prices G,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,17.386717863370095,7.6240813296094565,0.9250692808399382,232.0,2007-03,2026-07,0.004310344827586207,0.05172413793103448,8.067468344490669,0.7111513547075032,0.4766577913552891,227.0,2007-08,2026-07,0.0,0.01762114537444934,9.837754895319051,2.048953191986125,0.6964667128280415,90.0,0.8222222222222222,5.648193825183068,0.8222222222222222,,,,,,,,
CZEIII Index,Czech Republic Import Prices I,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.012875536480686695,29.402378946597324,8.180226640787529,0.5908668405481915,232.0,2007-03,2026-07,0.0,0.01293103448275862,13.190224521078543,1.8755323572751577,0.38954351479634675,227.0,2007-08,2026-07,0.0,0.01762114537444934,28.19573793687823,6.294256940749878,0.5035226228899988,90.0,0.6888888888888889,21.44007355652162,0.6888888888888889,,,,,,,,
CZEIIL Index,Czech Republic Import Prices L,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,78.63448380502466,16.547115335868792,0.7298280099284091,232.0,2007-03,2026-07,0.004310344827586207,0.021551724137931036,25.000513111714717,3.7401819837078945,0.6202102293867187,227.0,2007-08,2026-07,0.0,0.004405286343612335,52.723267118648096,13.830813830835991,0.8113571117064797,90.0,0.8,52.723267118648124,0.8,,,,,,,,
CZEIIM Index,Czech Republic Import Prices M,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.008583690987124463,21.43189224931308,9.973966914216218,0.8362826248378125,232.0,2007-03,2026-07,0.004310344827586207,0.021551724137931036,4.983588797344529,0.9314778650964676,0.14298813442620395,227.0,2007-08,2026-07,0.004405286343612335,0.02643171806167401,18.41015902048008,3.3357411805984656,0.03450076421014857,90.0,0.6222222222222222,10.14522575771668,0.6222222222222222,,,,,,,,
CZEIIO Index,Czech Republic Import Prices O,Index NSA,130,2007-02,2017-12,130.0,2007-02,2017-12,0.007692307692307693,0.007692307692307693,63.580377103808985,32.04954070689928,0.606940036361527,129.0,2007-03,2017-12,0.0,0.007751937984496124,26.643133412711137,1.6440731490357814,0.16687648329634347,124.0,2007-08,2017-12,0.0,0.0,34.06553435052513,6.724542274620046,0.2620546907591638,90.0,0.6888888888888889,19.94560563393346,0.6888888888888889,,,,,,,,
CZEIIT Index,Czech Republic Import Prices T,Index NSA,233,2007-02,2026-07,233.0,2007-02,2026-07,0.004291845493562232,0.004291845493562232,26.872011685323614,13.589442774862714,0.61233594271007,232.0,2007-03,2026-07,0.004310344827586207,0.021551724137931036,5.700546903967362,0.9881261626456351,0.17604186485075474,227.0,2007-08,2026-07,0.0,0.02643171806167401,17.998689391267817,3.451648864137154,-0.03063717978694516,90.0,0.6333333333333333,15.162099049300082,0.6333333333333333,,,,,,,,
CZPPCM Index,Czech Republic PPI Services &,MoM% NSA,318,2000-02,2026-08,,,,,,,,,317.0,2000-02,2026-07,0.07886435331230283,0.5962145110410094,0.2,0.046632852515594445,0.9965356270058565,,,,,,,,,,,,,,,,,,,,
CZPPCMOM Index,Czech Republic PPI Constructio,MoM% NSA,267,1995-01,2017-03,,,,,,,,,267.0,1995-01,2017-03,0.0149812734082397,0.08239700374531835,100.96733436055472,9.40140664936828,0.20989654937501503,,,,,,,,,,,,,,,,,,,,
