scope,sample,h,model,n_intended_origins,n_available_targets,n_own_forecasts,n_common,yy_n,yy_rmse,yy_mae,yy_bias,mm_n,mm_rmse,mm_mae,mm_bias,cumulative_log_n,cumulative_log_rmse,cumulative_log_mae,cumulative_log_bias
paired_STATE_MID_R15,full,5,STATE_MID_R15,90,85,85,85,85,2.0785370546512074,1.3542983243533928,-0.6149514418731069,85,0.7950360840400122,0.4505800864339006,-0.11912037386071617,85,1.8211666674350944,1.2209990123664847,-0.5269110151890765
paired_STATE_MID_R15,full,6,STABLE_PIPELINE_R14B,90,84,84,84,84,2.480680650162835,1.5558676246337304,-0.8114036993743505,84,0.8093631550609284,0.4977116019361275,-0.14267509261479158,84,2.157629937959085,1.3672852212804676,-0.7189316502428327
paired_STATE_MID_R15,full,6,STATE_MID_R15,90,84,84,84,84,2.4155971419875355,1.5462309452736156,-0.7472325628329992,84,0.8068258379960993,0.4660899634795542,-0.12036609333301605,84,2.128902154546418,1.3912412351186443,-0.6420837760484083
paired_STATE_MID_R15,full,7,STABLE_PIPELINE_R14B,90,83,83,83,83,2.9545064353759223,1.8586611252035412,-0.9680206420107498,83,0.873072654508803,0.5254827376885189,-0.14373526641859943,83,2.579481047685065,1.626720519726043,-0.8628997316996213
paired_STATE_MID_R15,full,7,STATE_MID_R15,90,83,83,83,83,2.8060851187734346,1.8026105395396403,-0.8854295623392836,83,0.8205767860502774,0.47707642719384596,-0.12059631977503878,83,2.4822540265106676,1.617711590880762,-0.7643105280077336
paired_STATE_MID_R15,full,8,STABLE_PIPELINE_R14B,90,82,82,82,82,3.301104818566677,2.120463007872375,-1.1271163431086957,82,0.8435545092230313,0.5150208174302577,-0.14183414332324806,82,2.916523968463204,1.8727452442361532,-1.006667432562116
paired_STATE_MID_R15,full,8,STATE_MID_R15,90,82,82,82,82,3.237509011327411,2.089562138303539,-1.0321657324683902,82,0.8392966684561713,0.48704638883525475,-0.1282534236173837,82,2.887732055231591,1.8848676833724989,-0.895269326698891
paired_STATE_MID_R15,full,9,STABLE_PIPELINE_R14B,90,81,81,81,81,3.879915950285333,2.505125242721468,-1.2936942181553137,81,0.9005116308100104,0.5373993867433796,-0.13952202729402768,81,3.426406248807918,2.2348761724368615,-1.1540927453014815
paired_STATE_MID_R15,full,9,STATE_MID_R15,90,81,81,81,81,3.7208198676516964,2.3575884727299568,-1.1902782607732987,81,0.8515475487384366,0.4920758471248685,-0.1265676250919561,81,3.3124580677527824,2.138508720961904,-1.0325946260913135
paired_STATE_MID_R15,full,10,STABLE_PIPELINE_R14B,90,80,80,80,80,4.443324017369147,2.8457777133102993,-1.4948544854248673,80,0.869156367324347,0.5230257087770367,-0.16994273287005077,80,3.940085139719583,2.5447892101297667,-1.3390349591097555
