scope,sample,metric,h,model,n,mae,rmse,bias
all_models_common,origins_2022_2023,headline_yy,3,STATE_FAST_R15,24,1.820949214884264,2.366114520586023,-0.5732818758347794
all_models_common,origins_2022_2023,headline_yy,3,STABLE_LOCAL_CORE_R14B,24,2.006779478310443,2.4777373211549114,-0.426461808214835
all_models_common,origins_2022_2023,headline_yy,3,DAMPED_P95_Q001_R16,24,1.8063032643721246,2.3262024837850546,-0.48947192246046595
all_models_common,origins_2022_2023,headline_yy,3,FUEL_ANNUAL_R17,24,1.8412216957285368,2.4029715203509907,-0.6925273858959663
all_models_common,origins_2022_2023,headline_yy,3,MCT_FAST_R18,24,1.846677358639597,2.420408393287986,-0.6447601409885553
all_models_common,origins_2022_2023,headline_yy,3,MCT_SIGNALS_R18,24,1.632492035466367,2.158015301798251,-0.41853477354420926
all_models_common,origins_2022_2023,headline_yy,3,MCT_SLOW_R18,24,1.9103673772008332,2.480350035031342,-0.6513543609653324
all_models_common,origins_2022_2023,headline_yy,3,FOOD_H0_FAST_R18,24,1.7964021145369233,2.349478065271718,-0.5744434640754476
all_models_common,origins_2022_2023,headline_yy,3,FOOD_H0_SELECT_R18,24,1.8008855836420743,2.357551006581726,-0.5872052618371855
all_models_common,origins_2022_2023,headline_yy,3,FOOD_H0_SLOW_R18,24,1.797607337459666,2.3493696738445315,-0.5845411626513035
all_models_common,origins_2024plus,headline_yy,3,INDEPENDENT_BRIDGE,28,0.4827578736473116,0.5690583679307833,0.03813575863660257
all_models_common,origins_2024plus,headline_yy,3,STATE_FAST_R15,28,0.425990038457294,0.517777318612281,0.07248483879918985
all_models_common,origins_2024plus,headline_yy,3,STABLE_LOCAL_CORE_R14B,28,0.3848786757391532,0.47159282356793614,0.0605671152096295
all_models_common,origins_2024plus,headline_yy,3,DAMPED_P95_Q001_R16,28,0.4172012202972861,0.5138610726515732,0.010040484419272102
all_models_common,origins_2024plus,headline_yy,3,FUEL_ANNUAL_R17,28,0.3893959661669758,0.4758756391818866,0.009479154067749487
all_models_common,origins_2024plus,headline_yy,3,MCT_FAST_R18,28,0.42829257121086933,0.5125299926048149,0.1257010466881758
all_models_common,origins_2024plus,headline_yy,3,MCT_SIGNALS_R18,28,0.447769307192591,0.5208673697664674,0.1265952141880306
all_models_common,origins_2024plus,headline_yy,3,MCT_SLOW_R18,28,0.42825353575614417,0.5061585767386243,0.1529555553874593
all_models_common,origins_2024plus,headline_yy,3,FOOD_H0_FAST_R18,28,0.4323727508324381,0.5199396377519387,0.07697432662839043
all_models_common,origins_2024plus,headline_yy,3,FOOD_H0_SELECT_R18,28,0.4340479842539628,0.5215564908618385,0.07719611028155063
all_models_common,origins_2024plus,headline_yy,3,FOOD_H0_SLOW_R18,28,0.4340479842539628,0.5215564908618385,0.07719611028155063
all_models_common,recent_targets,headline_yy,3,INDEPENDENT_BRIDGE,31,0.45832365953787246,0.5465251115875537,0.018256947425044998
