model,h,sample,scope,benchmark,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
COMBO_ALL_R17,3,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.010974396180274995,-0.05347928197287788,0.08693140156048715,0.4095,ok
COMBO_ALL_R17,4,full,original_R16_calendar,STATE_FAST_R15,83,12,2000,1509,72,83,0.248235874591433,-0.0270793904414784,0.7125905937176112,0.0445,ok
COMBO_ALL_R17,4,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.26116939568562414,-0.050392471040872425,0.3727651606148677,0.2085,ok
COMBO_ALL_R17,4,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.46634119420171555,-0.49193479635005666,1.079420744709915,0.222,ok
COMBO_ALL_R17,4,origins_2024plus,original_R16_calendar,STATE_FAST_R15,27,12,2000,1509,16,27,0.03903586178917777,-0.06557929090768663,0.09342491437243469,0.454,ok
COMBO_ALL_R17,4,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.04285458566486658,-0.05535779110740142,0.14975959844049422,0.2485,ok
COMBO_ALL_R17,5,full,original_R16_calendar,STATE_FAST_R15,82,12,2000,1509,71,82,0.2869095814681176,-0.11797968158285162,0.9190948146494557,0.0995,ok
COMBO_ALL_R17,5,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.4853976425062124,-0.07124388254360121,0.7026967151998945,0.2665,ok
COMBO_ALL_R17,5,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.25663769216204774,-0.6449176574492117,0.6029720459408935,0.653,ok
COMBO_ALL_R17,5,origins_2024plus,original_R16_calendar,STATE_FAST_R15,26,12,2000,1509,15,26,0.07055986570375777,-0.07397488150948014,0.13844583737531396,0.401,ok
COMBO_ALL_R17,5,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.05248991730464286,-0.04876740403077264,0.21970943466039586,0.17,ok
COMBO_ALL_R17,6,full,original_R16_calendar,STATE_FAST_R15,81,12,2000,1509,70,81,0.3570154919286516,-0.20573797820760412,1.2737676453249622,0.136,ok
COMBO_ALL_R17,6,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.7409930671262878,-0.09491833872394408,1.0862568103079513,0.3,ok
COMBO_ALL_R17,6,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.0997135972610157,-0.9366937235735215,0.20554916778532553,0.892,ok
COMBO_ALL_R17,6,origins_2024plus,original_R16_calendar,STATE_FAST_R15,25,12,2000,1509,14,25,0.11253401455660769,-0.1025033792023697,0.20943020942794274,0.49,ok
COMBO_ALL_R17,6,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.060457206588814795,-0.07135789263113623,0.3300251502582178,0.15,ok
COMBO_ALL_R17,7,full,original_R16_calendar,STATE_FAST_R15,80,12,2000,1509,69,80,0.5806435372662241,-0.08010924486953087,1.8039039842040197,0.0755,ok
COMBO_ALL_R17,7,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,1.1355818761251353,-0.1556848344692297,1.6388274716889377,0.3985,ok
COMBO_ALL_R17,7,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.3094582342861829,-0.4667686516489061,0.4947878246379202,0.6315,ok
COMBO_ALL_R17,7,origins_2024plus,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.11191105510105044,-0.17097931218447196,0.22725800402906493,0.5665,ok
COMBO_ALL_R17,7,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.03869121453744321,-0.1087665691289068,0.40577196067855203,0.1695,ok
COMBO_ALL_R17,8,full,original_R16_calendar,STATE_FAST_R15,79,12,2000,1509,68,79,0.7737810353391132,-0.048966326129686835,2.3842614900012835,0.0405,ok
COMBO_ALL_R17,8,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,1.4311419143836828,-0.418147232970484,1.9121982902572041,0.4795,ok
COMBO_ALL_R17,8,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.5781729152989944,0.04853091488384755,0.84039637994728,0.0045,ok
COMBO_ALL_R17,8,origins_2024plus,original_R16_calendar,STATE_FAST_R15,23,12,2000,1509,12,23,0.0633048071450536,-0.21932958954850357,0.22973342369243638,0.575,ok
COMBO_ALL_R17,8,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.0473972041496149,-0.1632066140965075,0.39362982574179245,0.253,ok
COMBO_ALL_R17,9,full,original_R16_calendar,STATE_FAST_R15,78,12,2000,1509,67,78,1.0228199204086788,0.08137229686197392,2.875871858440841,0.0115,ok
COMBO_ALL_R17,9,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,1.7759078001003852,-0.33516260828495414,2.494048225585968,0.37,ok
COMBO_ALL_R17,9,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.8762391535828993,0.24975047791603985,1.559349267934169,0.0,ok
COMBO_ALL_R17,9,origins_2024plus,original_R16_calendar,STATE_FAST_R15,22,12,2000,1509,11,22,0.08732565921250143,-0.22170625628821627,0.2760838986945181,0.4965,ok
COMBO_ALL_R17,9,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.024274754064747904,-0.15613427680204717,0.43345697406512135,0.2165,ok
COMBO_ALL_R17,10,full,original_R16_calendar,STATE_FAST_R15,77,12,2000,1509,66,77,1.4236599318535736,0.13673192450239854,3.776240264657009,0.004,ok
COMBO_ALL_R17,10,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,2.060716153020227,-0.26689074606847535,2.9678351880886424,0.257,ok
COMBO_ALL_R17,10,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,1.7746542800962892,0.4288330095601187,3.347243570891537,0.0,ok
COMBO_ALL_R17,10,origins_2024plus,original_R16_calendar,STATE_FAST_R15,21,12,2000,1509,10,21,0.05177119684604675,-0.2543149028883689,0.326795461117896,0.5985,ok
COMBO_ALL_R17,10,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.007789379677001666,-0.17530626754917186,0.3935377369967365,0.2605,ok
COMBO_ALL_R17,11,full,original_R16_calendar,STATE_FAST_R15,76,12,2000,1509,65,76,1.5352719417681235,0.09142731988847107,4.129192170672706,0.011,ok
COMBO_ALL_R17,11,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,2.0163920083273075,-0.5001496759550554,2.799934372249178,0.3015,ok
COMBO_ALL_R17,11,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,2.120687078666615,0.21760511674541608,4.261940987676279,0.0,ok
COMBO_ALL_R17,11,origins_2024plus,original_R16_calendar,STATE_FAST_R15,20,12,2000,1509,9,20,0.06298167099523903,-0.30001473320553174,0.40358698329675013,0.479,ok
COMBO_ALL_R17,11,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.05537632998631752,-0.22610464140446054,0.41440634830605105,0.2815,ok
COMBO_ALL_R17,12,full,original_R16_calendar,STATE_FAST_R15,75,12,2000,1509,64,75,1.497484800058892,-0.03916304481874625,4.2267904694516245,0.0325,ok
COMBO_ALL_R17,12,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,1.8420271905979837,-0.7135539156885262,2.477328725431387,0.31,ok
COMBO_ALL_R17,12,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,2.3071520777018217,-0.018584495937705132,4.792255410696184,0.0325,ok
COMBO_ALL_R17,12,origins_2024plus,original_R16_calendar,STATE_FAST_R15,19,12,2000,1509,8,19,-0.10553473471380599,-0.329454924503673,0.2508027705769286,0.717,ok
COMBO_ALL_R17,12,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.11554229498558787,-0.46560281276980187,0.24138330845208714,0.7,ok
COMBO_CORE_R17,1,full,original_R16_calendar,STATE_FAST_R15,88,12,2000,1509,77,88,0.005931489227047224,-0.0042287740490770465,0.021208874914196315,0.1255,ok
COMBO_CORE_R17,1,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,34,12,2000,1509,23,34,8.979962789965699e-05,-0.02017452925328021,0.013018414793223363,0.803,ok
COMBO_CORE_R17,1,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.01922590667387827,0.001803000616396799,0.03336637860296511,0.0205,ok
COMBO_CORE_R17,1,origins_2024plus,original_R16_calendar,STATE_FAST_R15,30,12,2000,1509,19,30,0.0019165368152829693,-0.0005429421666647762,0.00329313796876922,0.196,ok
COMBO_CORE_R17,1,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.002035797583784162,-0.0005215369042418446,0.003839670628228148,0.17,ok
COMBO_CORE_R17,2,full,original_R16_calendar,STATE_FAST_R15,86,12,2000,1509,75,86,0.00471711879417484,-0.020422202505375343,0.03707986110913569,0.2925,ok
COMBO_CORE_R17,2,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,33,12,2000,1509,22,33,-0.017287428295233043,-0.05401538267735703,0.00010816309261033074,0.9745,ok
COMBO_CORE_R17,2,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.03424488191322499,-0.030955859943163067,0.07287889791639927,0.114,ok
COMBO_CORE_R17,2,origins_2024plus,original_R16_calendar,STATE_FAST_R15,29,12,2000,1509,18,29,0.005320006349114728,-0.0032424603899696585,0.009109295734523503,0.4145,ok
COMBO_CORE_R17,2,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.005435680235181575,-0.00313654568763004,0.012091662781297441,0.281,ok
COMBO_CORE_R17,3,full,original_R16_calendar,STATE_FAST_R15,84,12,2000,1509,73,84,0.0033403121024244004,-0.046692126043872594,0.07207327453985907,0.401,ok
COMBO_CORE_R17,3,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,-0.027262872822714262,-0.10263161846828153,0.01215253121004092,0.9375,ok
COMBO_CORE_R17,3,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.03170635274999947,-0.12218345686417119,0.13635865435150346,0.378,ok
COMBO_CORE_R17,3,origins_2024plus,original_R16_calendar,STATE_FAST_R15,28,12,2000,1509,17,28,0.014001631461804229,-0.00923571541261347,0.022205730419165938,0.42,ok
COMBO_CORE_R17,3,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.013889543494855258,-0.00844999199890493,0.03271241483800632,0.261,ok
COMBO_CORE_R17,4,full,original_R16_calendar,STATE_FAST_R15,83,12,2000,1509,72,83,-0.002777497202172426,-0.08143536573609324,0.09724097546919945,0.515,ok
COMBO_CORE_R17,4,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,-0.001031608236602078,-0.12987833395758452,0.09241568338670872,0.744,ok
COMBO_CORE_R17,4,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,-0.023313598882874098,-0.25061059950382103,0.12053353472670825,0.654,ok
COMBO_CORE_R17,4,origins_2024plus,original_R16_calendar,STATE_FAST_R15,27,12,2000,1509,16,27,0.013407613665923522,-0.019988049149163887,0.025063505641491006,0.58,ok
COMBO_CORE_R17,4,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.014195013292495352,-0.01732205091512062,0.046905608153971115,0.285,ok
COMBO_CORE_R17,5,full,original_R16_calendar,STATE_FAST_R15,82,12,2000,1509,71,82,0.03368398508887159,-0.10548900248694272,0.23993947698138668,0.341,ok
COMBO_CORE_R17,5,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.056700379888713015,-0.18865337734400905,0.21788098710350026,0.6745,ok
COMBO_CORE_R17,5,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.031779312370877465,-0.3524720684108511,0.24984003994079332,0.584,ok
COMBO_CORE_R17,5,origins_2024plus,original_R16_calendar,STATE_FAST_R15,26,12,2000,1509,15,26,0.007114273997984436,-0.03443944182426687,0.02843426511045993,0.6325,ok
COMBO_CORE_R17,5,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.006385641155648357,-0.02948014406720776,0.05151650001683043,0.309,ok
COMBO_CORE_R17,6,full,original_R16_calendar,STATE_FAST_R15,81,12,2000,1509,70,81,0.02432976628213534,-0.17210679916053803,0.3157919432717452,0.4105,ok
COMBO_CORE_R17,6,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.11253342713462919,-0.2454140332675494,0.3379728356700373,0.6635,ok
COMBO_CORE_R17,6,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,-0.08438010971822425,-0.4728160232966012,0.02737426031114983,0.9425,ok
COMBO_CORE_R17,6,origins_2024plus,original_R16_calendar,STATE_FAST_R15,25,12,2000,1509,14,25,0.01579056135128838,-0.054223990398407744,0.04897329491213325,0.6145,ok
COMBO_CORE_R17,6,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.0007701681267850431,-0.04534944478086223,0.08359266213890611,0.3025,ok
COMBO_CORE_R17,7,full,original_R16_calendar,STATE_FAST_R15,80,12,2000,1509,69,80,0.0682099366605395,-0.22365216915163355,0.5136837320775678,0.3325,ok
COMBO_CORE_R17,7,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.26925207399656026,-0.35137277043452136,0.6645587660619435,0.6555,ok
COMBO_CORE_R17,7,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,-0.14515395161765668,-0.43723803851388393,-0.06339727198217315,1.0,ok
COMBO_CORE_R17,7,origins_2024plus,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.01351764182404123,-0.08482328719183724,0.062495044099064416,0.6615,ok
COMBO_CORE_R17,7,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.013381148852791328,-0.07126301647113355,0.10999470116470365,0.3595,ok
COMBO_CORE_R17,8,full,original_R16_calendar,STATE_FAST_R15,79,12,2000,1509,68,79,0.005397280016578665,-0.43129775444184343,0.5811314144364227,0.4745,ok
COMBO_CORE_R17,8,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.2975311199524021,-0.7933843675276092,0.6249144835634689,0.691,ok
COMBO_CORE_R17,8,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,-0.38300833008843255,-0.8294967778811984,-0.042809855485216715,1.0,ok
COMBO_CORE_R17,8,origins_2024plus,original_R16_calendar,STATE_FAST_R15,23,12,2000,1509,12,23,0.004243008911096855,-0.1188544142468628,0.08101264310122766,0.604,ok
COMBO_CORE_R17,8,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.040930618182502376,-0.09601027319374875,0.12864068128563766,0.397,ok
COMBO_CORE_R17,9,full,original_R16_calendar,STATE_FAST_R15,78,12,2000,1509,67,78,0.057326825196022856,-0.39696482606976596,0.7018760449219866,0.38,ok
COMBO_CORE_R17,9,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.34215815199683614,-0.853227020285231,0.802289481358853,0.685,ok
COMBO_CORE_R17,9,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,-0.266559917686974,-0.49476353831548076,0.23208691023316444,0.743,ok
COMBO_CORE_R17,9,origins_2024plus,original_R16_calendar,STATE_FAST_R15,22,12,2000,1509,11,22,-0.00364229427825431,-0.14309899112491237,0.08966564169277111,0.656,ok
COMBO_CORE_R17,9,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.04512077433554103,-0.10756942962505946,0.1333622380668027,0.423,ok
COMBO_CORE_R17,10,full,original_R16_calendar,STATE_FAST_R15,77,12,2000,1509,66,77,0.2692282301249016,-0.2204409336964521,1.1721288423062228,0.1495,ok
COMBO_CORE_R17,10,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.4805734014497184,-0.8597872133392039,0.9471421217121079,0.647,ok
COMBO_CORE_R17,10,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.2409872254862411,-0.10579209620552865,0.850093761676178,0.0885,ok
COMBO_CORE_R17,10,origins_2024plus,original_R16_calendar,STATE_FAST_R15,21,12,2000,1509,10,21,-0.020546120878254494,-0.1763235704095402,0.1022933280218836,0.726,ok
COMBO_CORE_R17,10,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.06279279399233838,-0.12656972214927403,0.1369387422524603,0.4885,ok
COMBO_CORE_R17,11,full,original_R16_calendar,STATE_FAST_R15,76,12,2000,1509,65,76,0.3858214560331429,-0.21336404537955173,1.4223960678216887,0.0945,ok
COMBO_CORE_R17,11,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.3765569999074047,-1.061494154425532,0.7871856388944626,0.6365,ok
COMBO_CORE_R17,11,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.7521896531849522,-0.0827166934525937,1.7903091102257858,0.048,ok
COMBO_CORE_R17,11,origins_2024plus,original_R16_calendar,STATE_FAST_R15,20,12,2000,1509,9,20,-0.03899725074784717,-0.2215723403712416,0.11160993821151481,0.763,ok
COMBO_CORE_R17,11,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.1080530700479755,-0.18821595041723793,0.12902779875292653,0.66,ok
COMBO_CORE_R17,12,full,original_R16_calendar,STATE_FAST_R15,75,12,2000,1509,64,75,0.3414471191797752,-0.3256066716805553,1.3499771604822726,0.1275,ok
COMBO_CORE_R17,12,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.20287382013785482,-1.220612349807049,0.6399162365138895,0.567,ok
COMBO_CORE_R17,12,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.8824443204160598,-0.10045010288812155,2.2949173820470143,0.072,ok
COMBO_CORE_R17,12,origins_2024plus,original_R16_calendar,STATE_FAST_R15,19,12,2000,1509,8,19,-0.10853115767966583,-0.26054432850637166,0.09723283332758635,0.8205,ok
COMBO_CORE_R17,12,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.1440624251801385,-0.3045444116638421,0.08887150398694023,0.8585,ok
COMBO_FOOD_FUEL_R17,1,full,original_R16_calendar,STATE_FAST_R15,88,12,2000,1509,77,88,0.0019768955776595936,-0.01724593055460521,0.021399318550057167,0.3465,ok
COMBO_FOOD_FUEL_R17,1,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,34,12,2000,1509,23,34,0.006792398986992252,0.004901030045050944,0.01298960305683842,0.0,ok
COMBO_FOOD_FUEL_R17,1,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,-5.2432647920980006e-05,-0.06450010871504928,0.0044865391440473594,0.9325,ok
COMBO_FOOD_FUEL_R17,1,origins_2024plus,original_R16_calendar,STATE_FAST_R15,30,12,2000,1509,19,30,-0.001857212372452968,-0.012212932225927654,0.009476012748978942,0.525,ok
COMBO_FOOD_FUEL_R17,1,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.0014111025939539308,-0.01151195319746416,0.010813017560098127,0.4785,ok
COMBO_FOOD_FUEL_R17,2,full,original_R16_calendar,STATE_FAST_R15,86,12,2000,1509,75,86,0.058871989509603546,-0.0001910328164585556,0.17560971657528077,0.026,ok
COMBO_FOOD_FUEL_R17,2,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,33,12,2000,1509,22,33,0.037372651480058895,0.002957735006087015,0.05685619657771327,0.0065,ok
COMBO_FOOD_FUEL_R17,2,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.16611400925635425,-0.07584240693010043,0.35800572128158387,0.136,ok
COMBO_FOOD_FUEL_R17,2,origins_2024plus,original_R16_calendar,STATE_FAST_R15,29,12,2000,1509,18,29,-0.0054152628678807106,-0.041538818729105066,0.03535465015730131,0.545,ok
COMBO_FOOD_FUEL_R17,2,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.002553181452047184,-0.03774478632009057,0.04086149907477153,0.4245,ok
COMBO_FOOD_FUEL_R17,3,full,original_R16_calendar,STATE_FAST_R15,84,12,2000,1509,73,84,0.19084720730518795,0.005525715785372168,0.5260086648491373,0.0135,ok
COMBO_FOOD_FUEL_R17,3,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.13038269059803945,0.025565439710862416,0.15248064076206586,0.0,ok
COMBO_FOOD_FUEL_R17,3,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.5132475959557411,-0.10149125997324922,1.0275362460313426,0.1,ok
COMBO_FOOD_FUEL_R17,3,origins_2024plus,original_R16_calendar,STATE_FAST_R15,28,12,2000,1509,17,28,-0.016393678158545037,-0.060231592841389625,0.03181737941504822,0.691,ok
COMBO_FOOD_FUEL_R17,3,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,-0.011029910186795248,-0.05341217746150597,0.04303495912920867,0.5435,ok
COMBO_FOOD_FUEL_R17,4,full,original_R16_calendar,STATE_FAST_R15,83,12,2000,1509,72,83,0.23065833509752917,0.0060193535328196875,0.6110953467125412,0.0205,ok
COMBO_FOOD_FUEL_R17,4,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.2623640816388096,0.027725957285731493,0.3087532877453935,0.0,ok
COMBO_FOOD_FUEL_R17,4,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.43657855239455373,-0.26134646051464294,0.8897106284152244,0.19,ok
COMBO_FOOD_FUEL_R17,4,origins_2024plus,original_R16_calendar,STATE_FAST_R15,27,12,2000,1509,16,27,0.010040960858656389,-0.05610067169305703,0.0544565714116107,0.5035,ok
COMBO_FOOD_FUEL_R17,4,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.012193351590131978,-0.045191068564121445,0.07970774520501406,0.3005,ok
COMBO_FOOD_FUEL_R17,5,full,original_R16_calendar,STATE_FAST_R15,82,12,2000,1509,71,82,0.23869359589517286,-0.06222089539199567,0.7213285578828532,0.0835,ok
COMBO_FOOD_FUEL_R17,5,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.42897847498072744,0.03769399991109408,0.48605636546072195,0.0005,ok
COMBO_FOOD_FUEL_R17,5,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.20100082323762294,-0.45647008542713774,0.34164853658172806,0.7265,ok
COMBO_FOOD_FUEL_R17,5,origins_2024plus,original_R16_calendar,STATE_FAST_R15,26,12,2000,1509,15,26,0.03929015024299802,-0.04643656766436339,0.08738999986060952,0.3405,ok
COMBO_FOOD_FUEL_R17,5,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.021096993869586453,-0.02860109738671695,0.11673403325003737,0.145,ok
COMBO_FOOD_FUEL_R17,6,full,original_R16_calendar,STATE_FAST_R15,81,12,2000,1509,70,81,0.3249225094045305,-0.08226823240267668,1.0146230041606683,0.081,ok
COMBO_FOOD_FUEL_R17,6,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.6287836104243697,0.045438834557101876,0.7411162336156519,0.0015,ok
COMBO_FOOD_FUEL_R17,6,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.19517999886700552,-0.663313141697859,0.27170634760594614,0.8405,ok
COMBO_FOOD_FUEL_R17,6,origins_2024plus,original_R16_calendar,STATE_FAST_R15,25,12,2000,1509,14,25,0.06053311021516021,-0.06344201431133449,0.12995655295848035,0.4085,ok
COMBO_FOOD_FUEL_R17,6,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.0226190988458474,-0.041160761202051005,0.16982457870272707,0.143,ok
COMBO_FOOD_FUEL_R17,7,full,original_R16_calendar,STATE_FAST_R15,80,12,2000,1509,69,80,0.49595587189138585,0.025244523296280994,1.3728754003395984,0.01,ok
