origin,h,target,n_models_present,n_models_finite,original_all15_support
2021-06,3,2021-09,15,15,True
2021-06,4,2021-10,15,15,True
2021-06,5,2021-11,15,15,True
2021-06,6,2021-12,15,15,True
2021-06,7,2022-01,15,15,True
2021-06,8,2022-02,15,15,True
2021-06,9,2022-03,15,15,True
2021-06,10,2022-04,15,15,True
2021-06,11,2022-05,15,15,True
2021-06,12,2022-06,15,15,True
2021-07,1,2021-08,15,15,True
2021-07,2,2021-09,15,15,True
2021-07,3,2021-10,15,15,True
2021-07,4,2021-11,15,15,True
2021-07,5,2021-12,15,15,True
2021-07,6,2022-01,15,15,True
2021-07,7,2022-02,15,15,True
2021-07,8,2022-03,15,15,True
2021-07,9,2022-04,15,15,True
2021-07,10,2022-05,15,15,True
2021-07,11,2022-06,15,15,True
2021-07,12,2022-07,15,15,True
2021-08,1,2021-09,15,15,True
2021-08,2,2021-10,15,15,True
2021-08,3,2021-11,15,15,True
2021-08,4,2021-12,15,15,True
2021-08,5,2022-01,15,15,True
2021-08,6,2022-02,15,15,True
2021-08,7,2022-03,15,15,True
2021-08,8,2022-04,15,15,True
2021-08,9,2022-05,15,15,True
2021-08,10,2022-06,15,15,True
2021-08,11,2022-07,15,15,True
2021-08,12,2022-08,15,15,True
2021-09,1,2021-10,15,15,True
2021-09,2,2021-11,15,15,True
2021-09,3,2021-12,15,15,True
2021-09,4,2022-01,15,15,True
2021-09,5,2022-02,15,15,True
2021-09,6,2022-03,15,15,True
2021-09,7,2022-04,15,15,True
2021-09,8,2022-05,15,15,True
2021-09,9,2022-06,15,15,True
2021-09,10,2022-07,15,15,True
2021-09,11,2022-08,15,15,True
2021-09,12,2022-09,15,15,True
2021-10,1,2021-11,15,15,True
2021-10,2,2021-12,15,15,True
2021-10,3,2022-01,15,15,True
2021-10,4,2022-02,15,15,True
2021-10,5,2022-03,15,15,True
2021-10,6,2022-04,15,15,True
2021-10,7,2022-05,15,15,True
2021-10,8,2022-06,15,15,True
2021-10,9,2022-07,15,15,True
2021-10,10,2022-08,15,15,True
2021-10,11,2022-09,15,15,True
2021-10,12,2022-10,15,15,True
2021-11,1,2021-12,15,15,True
2021-11,2,2022-01,15,15,True
2021-11,3,2022-02,15,15,True
2021-11,4,2022-03,15,15,True
2021-11,5,2022-04,15,15,True
2021-11,6,2022-05,15,15,True
2021-11,7,2022-06,15,15,True
2021-11,8,2022-07,15,15,True
2021-11,9,2022-08,15,15,True
2021-11,10,2022-09,15,15,True
2021-11,11,2022-10,15,15,True
2021-11,12,2022-11,15,15,True
2021-12,1,2022-01,15,15,True
2021-12,2,2022-02,15,15,True
2021-12,3,2022-03,15,15,True
2021-12,4,2022-04,15,15,True
2021-12,5,2022-05,15,15,True
2021-12,6,2022-06,15,15,True
2021-12,7,2022-07,15,15,True
2021-12,8,2022-08,15,15,True
2021-12,9,2022-09,15,15,True
2021-12,10,2022-10,15,15,True
2021-12,11,2022-11,15,15,True
2021-12,12,2022-12,15,15,True
2022-01,1,2022-02,15,15,True
2022-01,2,2022-03,15,15,True
2022-01,3,2022-04,15,15,True
2022-01,4,2022-05,15,15,True
2022-01,5,2022-06,15,15,True
2022-01,6,2022-07,15,15,True
2022-01,7,2022-08,15,15,True
2022-01,8,2022-09,15,15,True
2022-01,9,2022-10,15,15,True
2022-01,10,2022-11,15,15,True
2022-01,11,2022-12,15,15,True
2022-01,12,2023-01,15,15,True
2022-02,1,2022-03,15,15,True
2022-02,2,2022-04,15,15,True
2022-02,3,2022-05,15,15,True
2022-02,4,2022-06,15,15,True
2022-02,5,2022-07,15,15,True
2022-02,6,2022-08,15,15,True
2022-02,7,2022-09,15,15,True
2022-02,8,2022-10,15,15,True
2022-02,9,2022-11,15,15,True
2022-02,10,2022-12,15,15,True
2022-02,11,2023-01,15,15,True
2022-02,12,2023-02,15,15,True
2022-03,1,2022-04,15,15,True
2022-03,2,2022-05,15,15,True
2022-03,3,2022-06,15,15,True
2022-03,4,2022-07,15,15,True
2022-03,5,2022-08,15,15,True
2022-03,6,2022-09,15,15,True
2022-03,7,2022-10,15,15,True
2022-03,8,2022-11,15,15,True
2022-03,9,2022-12,15,15,True
2022-03,10,2023-01,15,15,True
2022-03,11,2023-02,15,15,True
2022-03,12,2023-03,15,15,True
2022-04,1,2022-05,15,15,True
2022-04,2,2022-06,15,15,True
2022-04,3,2022-07,15,15,True
2022-04,4,2022-08,15,15,True
2022-04,5,2022-09,15,15,True
2022-04,6,2022-10,15,15,True
2022-04,7,2022-11,15,15,True
2022-04,8,2022-12,15,15,True
2022-04,9,2023-01,15,15,True
2022-04,10,2023-02,15,15,True
2022-04,11,2023-03,15,15,True
2022-04,12,2023-04,15,15,True
2022-05,1,2022-06,15,15,True
2022-05,2,2022-07,15,15,True
2022-05,3,2022-08,15,15,True
2022-05,4,2022-09,15,15,True
2022-05,5,2022-10,15,15,True
2022-05,6,2022-11,15,15,True
2022-05,7,2022-12,15,15,True
2022-05,8,2023-01,15,15,True
2022-05,9,2023-02,15,15,True
2022-05,10,2023-03,15,15,True
2022-05,11,2023-04,15,15,True
2022-05,12,2023-05,15,15,True
2022-06,1,2022-07,15,15,True
2022-06,2,2022-08,15,15,True
2022-06,3,2022-09,15,15,True
2022-06,4,2022-10,15,15,True
2022-06,5,2022-11,15,15,True
2022-06,6,2022-12,15,15,True
2022-06,7,2023-01,15,15,True
2022-06,8,2023-02,15,15,True
2022-06,9,2023-03,15,15,True
2022-06,10,2023-04,15,15,True
2022-06,11,2023-05,15,15,True
2022-06,12,2023-06,15,15,True
2022-07,1,2022-08,15,15,True
2022-07,2,2022-09,15,15,True
2022-07,3,2022-10,15,15,True
2022-07,4,2022-11,15,15,True
2022-07,5,2022-12,15,15,True
2022-07,6,2023-01,15,15,True
2022-07,7,2023-02,15,15,True
2022-07,8,2023-03,15,15,True
2022-07,9,2023-04,15,15,True
2022-07,10,2023-05,15,15,True
2022-07,11,2023-06,15,15,True
2022-07,12,2023-07,15,15,True
2022-08,1,2022-09,15,15,True
2022-08,2,2022-10,15,15,True
2022-08,3,2022-11,15,15,True
2022-08,4,2022-12,15,15,True
2022-08,5,2023-01,15,15,True
2022-08,6,2023-02,15,15,True
2022-08,7,2023-03,15,15,True
2022-08,8,2023-04,15,15,True
2022-08,9,2023-05,15,15,True
2022-08,10,2023-06,15,15,True
2022-08,11,2023-07,15,15,True
2022-08,12,2023-08,15,15,True
2022-09,1,2022-10,15,15,True
2022-09,2,2022-11,15,15,True
2022-09,3,2022-12,15,15,True
2022-09,4,2023-01,15,15,True
2022-09,5,2023-02,15,15,True
2022-09,6,2023-03,15,15,True
2022-09,7,2023-04,15,15,True
2022-09,8,2023-05,15,15,True
2022-09,9,2023-06,15,15,True
2022-09,10,2023-07,15,15,True
2022-09,11,2023-08,15,15,True
2022-09,12,2023-09,15,15,True
2022-10,1,2022-11,15,15,True
2022-10,2,2022-12,15,15,True
2022-10,3,2023-01,15,15,True
2022-10,4,2023-02,15,15,True
2022-10,5,2023-03,15,15,True
2022-10,6,2023-04,15,15,True
2022-10,7,2023-05,15,15,True
2022-10,8,2023-06,15,15,True
2022-10,9,2023-07,15,15,True
2022-10,10,2023-08,15,15,True
2022-10,11,2023-09,15,15,True
2022-10,12,2023-10,15,15,True
2022-11,1,2022-12,15,15,True
2022-11,2,2023-01,15,15,True
2022-11,3,2023-02,15,15,True
2022-11,4,2023-03,15,15,True
2022-11,5,2023-04,15,15,True
2022-11,6,2023-05,15,15,True
2022-11,7,2023-06,15,15,True
2022-11,8,2023-07,15,15,True
2022-11,9,2023-08,15,15,True
2022-11,10,2023-09,15,15,True
2022-11,11,2023-10,15,15,True
2022-11,12,2023-11,15,15,True
2022-12,1,2023-01,15,15,True
2022-12,2,2023-02,15,15,True
2022-12,3,2023-03,15,15,True
2022-12,4,2023-04,15,15,True
2022-12,5,2023-05,15,15,True
2022-12,6,2023-06,15,15,True
2022-12,7,2023-07,15,15,True
2022-12,8,2023-08,15,15,True
2022-12,9,2023-09,15,15,True
2022-12,10,2023-10,15,15,True
2022-12,11,2023-11,15,15,True
2022-12,12,2023-12,15,15,True
2023-01,1,2023-02,15,15,True
2023-01,2,2023-03,15,15,True
2023-01,3,2023-04,15,15,True
2023-01,4,2023-05,15,15,True
2023-01,5,2023-06,15,15,True
2023-01,6,2023-07,15,15,True
2023-01,7,2023-08,15,15,True
2023-01,8,2023-09,15,15,True
2023-01,9,2023-10,15,15,True
2023-01,10,2023-11,15,15,True
2023-01,11,2023-12,15,15,True
2023-01,12,2024-01,15,15,True
2023-02,1,2023-03,15,15,True
2023-02,2,2023-04,15,15,True
2023-02,3,2023-05,15,15,True
2023-02,4,2023-06,15,15,True
2023-02,5,2023-07,15,15,True
2023-02,6,2023-08,15,15,True
2023-02,7,2023-09,15,15,True
2023-02,8,2023-10,15,15,True
2023-02,9,2023-11,15,15,True
2023-02,10,2023-12,15,15,True
2023-02,11,2024-01,15,15,True
2023-02,12,2024-02,15,15,True
2023-03,1,2023-04,15,15,True
2023-03,2,2023-05,15,15,True
2023-03,3,2023-06,15,15,True
2023-03,4,2023-07,15,15,True
2023-03,5,2023-08,15,15,True
2023-03,6,2023-09,15,15,True
2023-03,7,2023-10,15,15,True
2023-03,8,2023-11,15,15,True
2023-03,9,2023-12,15,15,True
2023-03,10,2024-01,15,15,True
2023-03,11,2024-02,15,15,True
2023-03,12,2024-03,15,15,True
2023-04,1,2023-05,15,15,True
2023-04,2,2023-06,15,15,True
2023-04,3,2023-07,15,15,True
2023-04,4,2023-08,15,15,True
2023-04,5,2023-09,15,15,True
2023-04,6,2023-10,15,15,True
2023-04,7,2023-11,15,15,True
2023-04,8,2023-12,15,15,True
2023-04,9,2024-01,15,15,True
2023-04,10,2024-02,15,15,True
2023-04,11,2024-03,15,15,True
2023-04,12,2024-04,15,15,True
2023-05,1,2023-06,15,15,True
2023-05,2,2023-07,15,15,True
2023-05,3,2023-08,15,15,True
2023-05,4,2023-09,15,15,True
2023-05,5,2023-10,15,15,True
2023-05,6,2023-11,15,15,True
2023-05,7,2023-12,15,15,True
2023-05,8,2024-01,15,15,True
2023-05,9,2024-02,15,15,True
2023-05,10,2024-03,15,15,True
2023-05,11,2024-04,15,15,True
2023-05,12,2024-05,15,15,True
2023-06,1,2023-07,15,15,True
2023-06,2,2023-08,15,15,True
2023-06,3,2023-09,15,15,True
2023-06,4,2023-10,15,15,True
2023-06,5,2023-11,15,15,True
2023-06,6,2023-12,15,15,True
2023-06,7,2024-01,15,15,True
2023-06,8,2024-02,15,15,True
2023-06,9,2024-03,15,15,True
2023-06,10,2024-04,15,15,True
2023-06,11,2024-05,15,15,True
2023-06,12,2024-06,15,15,True
2023-07,1,2023-08,15,15,True
2023-07,2,2023-09,15,15,True
2023-07,3,2023-10,15,15,True
2023-07,4,2023-11,15,15,True
2023-07,5,2023-12,15,15,True
2023-07,6,2024-01,15,15,True
2023-07,7,2024-02,15,15,True
2023-07,8,2024-03,15,15,True
2023-07,9,2024-04,15,15,True
2023-07,10,2024-05,15,15,True
2023-07,11,2024-06,15,15,True
2023-07,12,2024-07,15,15,True
2023-08,1,2023-09,15,15,True
2023-08,2,2023-10,15,15,True
2023-08,3,2023-11,15,15,True
2023-08,4,2023-12,15,15,True
2023-08,5,2024-01,15,15,True
2023-08,6,2024-02,15,15,True
2023-08,7,2024-03,15,15,True
2023-08,8,2024-04,15,15,True
2023-08,9,2024-05,15,15,True
2023-08,10,2024-06,15,15,True
2023-08,11,2024-07,15,15,True
2023-08,12,2024-08,15,15,True
2023-09,1,2023-10,15,15,True
2023-09,2,2023-11,15,15,True
2023-09,3,2023-12,15,15,True
2023-09,4,2024-01,15,15,True
2023-09,5,2024-02,15,15,True
2023-09,6,2024-03,15,15,True
2023-09,7,2024-04,15,15,True
2023-09,8,2024-05,15,15,True
2023-09,9,2024-06,15,15,True
2023-09,10,2024-07,15,15,True
2023-09,11,2024-08,15,15,True
2023-09,12,2024-09,15,15,True
2023-10,1,2023-11,15,15,True
2023-10,2,2023-12,15,15,True
2023-10,3,2024-01,15,15,True
2023-10,4,2024-02,15,15,True
2023-10,5,2024-03,15,15,True
2023-10,6,2024-04,15,15,True
2023-10,7,2024-05,15,15,True
2023-10,8,2024-06,15,15,True
2023-10,9,2024-07,15,15,True
2023-10,10,2024-08,15,15,True
2023-10,11,2024-09,15,15,True
2023-10,12,2024-10,15,15,True
2023-11,1,2023-12,15,15,True
2023-11,2,2024-01,15,15,True
2023-11,3,2024-02,15,15,True
2023-11,4,2024-03,15,15,True
2023-11,5,2024-04,15,15,True
2023-11,6,2024-05,15,15,True
2023-11,7,2024-06,15,15,True
2023-11,8,2024-07,15,15,True
2023-11,9,2024-08,15,15,True
2023-11,10,2024-09,15,15,True
2023-11,11,2024-10,15,15,True
2023-11,12,2024-11,15,15,True
2023-12,1,2024-01,15,15,True
2023-12,2,2024-02,15,15,True
2023-12,3,2024-03,15,15,True
2023-12,4,2024-04,15,15,True
2023-12,5,2024-05,15,15,True
2023-12,6,2024-06,15,15,True
2023-12,7,2024-07,15,15,True
2023-12,8,2024-08,15,15,True
2023-12,9,2024-09,15,15,True
2023-12,10,2024-10,15,15,True
2023-12,11,2024-11,15,15,True
2023-12,12,2024-12,15,15,True
2024-01,1,2024-02,15,15,True
2024-01,2,2024-03,15,15,True
2024-01,3,2024-04,15,15,True
2024-01,4,2024-05,15,15,True
2024-01,5,2024-06,15,15,True
2024-01,6,2024-07,15,15,True
2024-01,7,2024-08,15,15,True
2024-01,8,2024-09,15,15,True
2024-01,9,2024-10,15,15,True
2024-01,10,2024-11,15,15,True
2024-01,11,2024-12,15,15,True
2024-01,12,2025-01,15,15,True
2024-02,1,2024-03,15,15,True
2024-02,2,2024-04,15,15,True
2024-02,3,2024-05,15,15,True
2024-02,4,2024-06,15,15,True
2024-02,5,2024-07,15,15,True
2024-02,6,2024-08,15,15,True
2024-02,7,2024-09,15,15,True
2024-02,8,2024-10,15,15,True
2024-02,9,2024-11,15,15,True
2024-02,10,2024-12,15,15,True
2024-02,11,2025-01,15,15,True
2024-02,12,2025-02,15,15,True
2024-03,1,2024-04,15,15,True
2024-03,2,2024-05,15,15,True
2024-03,3,2024-06,15,15,True
2024-03,4,2024-07,15,15,True
2024-03,5,2024-08,15,15,True
2024-03,6,2024-09,15,15,True
2024-03,7,2024-10,15,15,True
2024-03,8,2024-11,15,15,True
2024-03,9,2024-12,15,15,True
2024-03,10,2025-01,15,15,True
2024-03,11,2025-02,15,15,True
2024-03,12,2025-03,15,15,True
2024-04,1,2024-05,15,15,True
2024-04,2,2024-06,15,15,True
2024-04,3,2024-07,15,15,True
2024-04,4,2024-08,15,15,True
2024-04,5,2024-09,15,15,True
2024-04,6,2024-10,15,15,True
2024-04,7,2024-11,15,15,True
2024-04,8,2024-12,15,15,True
2024-04,9,2025-01,15,15,True
2024-04,10,2025-02,15,15,True
2024-04,11,2025-03,15,15,True
2024-04,12,2025-04,15,15,True
2024-05,1,2024-06,15,15,True
2024-05,2,2024-07,15,15,True
2024-05,3,2024-08,15,15,True
2024-05,4,2024-09,15,15,True
2024-05,5,2024-10,15,15,True
2024-05,6,2024-11,15,15,True
2024-05,7,2024-12,15,15,True
2024-05,8,2025-01,15,15,True
2024-05,9,2025-02,15,15,True
2024-05,10,2025-03,15,15,True
2024-05,11,2025-04,15,15,True
2024-05,12,2025-05,15,15,True
2024-06,1,2024-07,15,15,True
2024-06,2,2024-08,15,15,True
2024-06,3,2024-09,15,15,True
2024-06,4,2024-10,15,15,True
2024-06,5,2024-11,15,15,True
2024-06,6,2024-12,15,15,True
