target_month,release_dt,actual,survey_median,survey_mean,era
2020-01,2020-02-14 00:00:00,1.5,1.0,1.0,regular
2020-02,2020-03-10 00:00:00,0.3,0.3,0.2,regular
2020-03,2020-04-14 00:00:00,-0.1,0.1,0.1,regular
2020-04,2020-05-13 00:00:00,-0.2,-0.2,-0.2,regular
2020-05,2020-06-10 00:00:00,0.4,0.1,0.1,regular
2020-06,2020-07-10 00:00:00,0.6,0.2,0.2,regular
2020-07,2020-08-13 00:00:00,0.4,0.2,0.2,regular
2020-08,2020-09-10 00:00:00,0.0,0.0,0.0,regular
2020-09,2020-10-12 00:00:00,-0.6,-0.3,-0.3,regular
2020-10,2020-11-10 00:00:00,0.2,0.2,0.2,regular
2020-11,2020-12-10 00:00:00,0.0,0.1,0.1,regular
2020-12,2021-01-13 00:00:00,-0.2,0.1,0.1,regular
2021-01,2021-02-12 00:00:00,1.3,0.9,0.9,regular
2021-02,2021-03-10 00:00:00,0.2,0.3,0.3,regular
2021-03,2021-04-13 00:00:00,0.2,0.3,0.3,regular
2021-04,2021-05-11 00:00:00,0.5,0.2,0.2,regular
2021-05,2021-06-10 00:00:00,0.2,0.4,0.4,regular
2021-06,2021-07-13 00:00:00,0.5,0.4,0.5,regular
2021-07,2021-08-10 00:00:00,1.0,0.5,0.5,regular
2021-08,2021-09-10 00:00:00,0.7,0.2,0.1,regular
2021-09,2021-10-11 00:00:00,0.2,-0.2,-0.2,regular
2021-10,2021-11-10 00:00:00,1.0,0.7,0.7,regular
2021-11,2021-12-10 00:00:00,0.2,0.3,0.2,regular
2021-12,2022-01-12 00:00:00,0.4,0.3,0.3,regular
2022-01,2022-02-14 00:00:00,4.4,3.8,3.7,regular
2022-02,2022-03-10 00:00:00,1.3,0.6,0.6,regular
2022-03,2022-04-11 00:00:00,1.7,1.4,1.4,regular
2022-04,2022-05-10 00:00:00,1.8,0.9,0.9,regular
2022-05,2022-06-10 00:00:00,1.8,1.4,1.3,regular
2022-06,2022-07-13 00:00:00,1.6,1.5,1.5,regular
2022-07,2022-08-10 00:00:00,1.3,1.6,1.7,regular
2022-08,2022-09-12 00:00:00,0.4,0.8,0.8,regular
