scope,sample,quarters_ahead,model,n_report_quarter_pairs,n_unique_quarters,n_reports,rmse,mae,bias
all_common,all_reports,6,TVWQRF_QRF_MEAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,6,TVWQRF_QRF_MEDIAN_FULLM,0,0,0,,,
all_common,all_reports,6,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,6,TVWQRF_QRF_MEDIAN_INDEPM,0,0,0,,,
all_common,all_reports,6,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,6,TVWQRF_TVW3_FULLM,0,0,0,,,
all_common,all_reports,6,TVWQRF_TVW3_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,6,TVWQRF_TVW3_INDEPM,0,0,0,,,
all_common,all_reports,6,TVWQRF_TVW3_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,6,CNB,0,0,0,,,
all_common,all_reports,7,INDEPENDENT_BRIDGE,0,0,0,,,
all_common,all_reports,7,STABLE_PIPELINE_R14B,0,0,0,,,
all_common,all_reports,7,STABLE_LOCAL_CORE_R14B,0,0,0,,,
all_common,all_reports,7,STABLE_LONG_CORE_R14B,0,0,0,,,
all_common,all_reports,7,STABLE_LONG_GAP_R14B,0,0,0,,,
all_common,all_reports,7,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
all_common,all_reports,7,TVWQRF_QRF_MEAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,7,TVWQRF_QRF_MEAN_INDEPM,0,0,0,,,
all_common,all_reports,7,TVWQRF_QRF_MEAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,7,TVWQRF_QRF_MEDIAN_FULLM,0,0,0,,,
all_common,all_reports,7,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,7,TVWQRF_QRF_MEDIAN_INDEPM,0,0,0,,,
all_common,all_reports,7,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,7,TVWQRF_TVW3_FULLM,0,0,0,,,
all_common,all_reports,7,TVWQRF_TVW3_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,7,TVWQRF_TVW3_INDEPM,0,0,0,,,
all_common,all_reports,7,TVWQRF_TVW3_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,7,CNB,0,0,0,,,
all_common,all_reports,8,INDEPENDENT_BRIDGE,0,0,0,,,
all_common,all_reports,8,STABLE_PIPELINE_R14B,0,0,0,,,
all_common,all_reports,8,STABLE_LOCAL_CORE_R14B,0,0,0,,,
all_common,all_reports,8,STABLE_LONG_CORE_R14B,0,0,0,,,
all_common,all_reports,8,STABLE_LONG_GAP_R14B,0,0,0,,,
all_common,all_reports,8,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
all_common,all_reports,8,TVWQRF_QRF_MEAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,8,TVWQRF_QRF_MEAN_INDEPM,0,0,0,,,
all_common,all_reports,8,TVWQRF_QRF_MEAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,8,TVWQRF_QRF_MEDIAN_FULLM,0,0,0,,,
all_common,all_reports,8,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,8,TVWQRF_QRF_MEDIAN_INDEPM,0,0,0,,,
all_common,all_reports,8,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,8,TVWQRF_TVW3_FULLM,0,0,0,,,
all_common,all_reports,8,TVWQRF_TVW3_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,8,TVWQRF_TVW3_INDEPM,0,0,0,,,
all_common,all_reports,8,TVWQRF_TVW3_INDEPM_OWNH0,0,0,0,,,
