model,frame,n,rmse,mae,bias,consensus_rmse,consensus_mae,mean_gain,total_gain,closer,material_win,material_loss,direction,alerts,alerted_big,false_alarm,missed_big,big_precision,big_recall
HARD_BASE,flash2025+,19,0.17300164605167864,0.13929634726858153,0.0246926308351558,0.19466570535691508,0.15789473684210525,0.018598389573523718,0.35336940189695065,12,2,1,12,1,0,1,1,0.0,0.0
HARD_BASE,big,23,0.6985702092561593,0.48458284194899887,-0.02123852361785027,0.6950132935857195,0.5782608695652175,0.09367802761621855,2.154594635173027,16,7,3,17,7,7,0,16,1.0,0.30434782608695654
HARD_BASE,big2024+,5,0.36416292156104274,0.3400573546583541,0.047029519558076494,0.4626013402488151,0.45999999999999996,0.11994264534164585,0.5997132267082292,4,2,0,5,2,2,0,3,1.0,0.4
HARD_BASE,big2025+,1,0.313912520901711,0.313912520901711,0.313912520901711,0.4,0.4,0.08608747909828901,0.08608747909828901,1,0,0,1,0,0,0,1,,0.0
HARD_BASE,ex_jan,83,0.4033326092057299,0.2482511003055828,0.009051414942628445,0.3800760862318242,0.2445783132530121,-0.003672787052570813,-0.30484132536337727,42,11,14,46,17,5,12,14,0.29411764705882354,0.2631578947368421
HARD_BASE,big_ex_jan,19,0.7365562717606702,0.4986903445431688,0.0622001460682216,0.7287335806582179,0.5947368421052632,0.09604649756209435,1.8248834536797927,15,6,3,15,5,5,0,14,1.0,0.2631578947368421
HARD_BASE,alerts,20,0.6999864621564054,0.4090825368404247,0.011537374496096675,0.6058052492344383,0.37000000000000005,-0.039082536840424655,-0.7816507368084931,9,7,8,14,20,7,13,0,0.35,1.0
HARD_FULL,all,90,0.41393084700273064,0.2696268338876436,-0.005779131141549157,0.3815174380753198,0.2533333333333334,-0.016293500554310242,-1.4664150498879214,42,13,14,47,23,7,16,16,0.30434782608695654,0.30434782608695654
HARD_FULL,2019-21,35,0.28847425888782696,0.23869024767795557,-0.01676337917710114,0.2472708174105006,0.19999999999999998,-0.03869024767795559,-1.354158668728446,14,4,6,16,9,1,8,5,0.1111111111111111,0.16666666666666666
HARD_FULL,2022-23,24,0.6749717222111387,0.44001772989167104,0.0057556138803745854,0.6177917664283545,0.4166666666666667,-0.023351063225004298,-0.5604255174001032,11,5,5,13,9,4,5,8,0.4444444444444444,0.3333333333333333
HARD_FULL,2024+,31,0.22531658006178426,0.17263970528256042,-0.002307685957092737,0.24096579867074971,0.1870967741935484,0.014457068910987976,0.44816913624062726,17,4,3,18,5,2,3,3,0.4,0.4
HARD_FULL,flash2025+,19,0.16382712429385018,0.13239549655765356,0.03984227670951719,0.19466570535691508,0.15789473684210525,0.025499240284451725,0.48448556540458276,11,2,1,11,2,0,2,1,0.0,0.0
HARD_FULL,big,23,0.6710742877935717,0.4760611310694147,0.0007855388815015878,0.6950132935857195,0.5782608695652175,0.1021997384958028,2.3505939854034636,16,9,2,17,7,7,0,16,1.0,0.30434782608695654
HARD_FULL,big2024+,5,0.4050088905739455,0.37065680275797186,0.025865268470927898,0.4626013402488151,0.45999999999999996,0.08934319724202808,0.4467159862101404,4,2,1,5,2,2,0,3,1.0,0.4
HARD_FULL,big2025+,1,0.3424458324667826,0.3424458324667826,0.3424458324667826,0.4,0.4,0.057554167533217404,0.057554167533217404,1,0,0,1,0,0,0,1,,0.0
HARD_FULL,ex_jan,83,0.39844813883989955,0.2565294746339002,0.028074544632118194,0.3800760862318242,0.2445783132530121,-0.011951161380888128,-0.9919463946137146,38,12,12,42,20,5,15,14,0.25,0.2631578947368421
HARD_FULL,big_ex_jan,19,0.7065802335235483,0.49063590002425816,0.08006482422848396,0.7287335806582179,0.5947368421052632,0.10410094208100495,1.9779178995390945,14,8,1,14,5,5,0,14,1.0,0.2631578947368421
HARD_FULL,alerts,23,0.41840093170859916,0.3213253191257471,-0.048749773959070056,0.3196465439254401,0.26521739130434785,-0.056107927821399214,-1.2904823398921823,11,9,10,16,23,7,16,0,0.30434782608695654,1.0
HARD_HALF,all,90,0.41369643830575464,0.264373199541972,-0.015502383955060352,0.3815174380753198,0.2533333333333334,-0.01103986620863884,-0.9935879587774938,43,10,11,48,22,7,15,16,0.3181818181818182,0.30434782608695654
HARD_HALF,2019-21,35,0.2803898566028431,0.23390679501260356,-0.036896515955964826,0.2472708174105006,0.19999999999999998,-0.03390679501260362,-1.1867378254411265,12,3,5,14,7,0,7,6,0.0,0.0
HARD_HALF,2022-23,24,0.6818050129293145,0.4334720327936891,0.0009600663654059082,0.6177917664283545,0.4166666666666667,-0.016805366127022433,-0.40332878704853825,13,4,5,15,10,5,5,7,0.5,0.4166666666666667
HARD_HALF,2024+,31,0.2195880711904428,0.16785552729960737,-0.004092841621496914,0.24096579867074971,0.1870967741935484,0.019241246893940994,0.5964786537121708,18,3,1,19,5,2,3,3,0.4,0.4
HARD_HALF,flash2025+,19,0.16560096093755453,0.13375320629228,0.032267453772336474,0.19466570535691508,0.15789473684210525,0.02414153054982528,0.45868908044668044,12,2,0,12,2,0,2,1,0.0,0.0
HARD_HALF,big,23,0.6833130723904106,0.4793714311601429,-0.01022649236817433,0.6950132935857195,0.5782608695652175,0.09888943840507444,2.274457083316712,15,7,1,16,7,7,0,16,1.0,0.30434782608695654
HARD_HALF,big2024+,5,0.3838668201179163,0.355357078708163,0.036447394014502185,0.4626013402488151,0.45999999999999996,0.10464292129183694,0.5232146064591847,4,1,0,5,2,2,0,3,1.0,0.4
HARD_HALF,big2025+,1,0.3281791766842468,0.3281791766842468,0.3281791766842468,0.4,0.4,0.07182082331575323,0.07182082331575323,1,0,0,1,0,0,0,1,,0.0
HARD_HALF,ex_jan,83,0.3985028209280238,0.25081239794535015,0.01856297978737332,0.3800760862318242,0.2445783132530121,-0.0062340846923380575,-0.5174290294640582,40,9,10,44,19,5,14,14,0.2631578947368421,0.2631578947368421
HARD_HALF,big_ex_jan,19,0.7201400489073939,0.49466312228371345,0.07113248514835276,0.7287335806582179,0.5947368421052632,0.1000737198215496,1.901400676609443,14,6,1,14,5,5,0,14,1.0,0.2631578947368421
HARD_HALF,alerts,22,0.6693338518992189,0.40368863384598674,0.03883925620934245,0.5815340215170718,0.35454545454545455,-0.049143179300532275,-1.08114994461171,10,8,9,15,22,7,15,0,0.3181818181818182,1.0
LEGACY_BASE,all,90,0.41991699780709973,0.2700109418656689,-0.04256506596256314,0.3815174380753198,0.2533333333333334,-0.016677608532335478,-1.5009847679101926,40,11,12,45,19,7,12,16,0.3684210526315789,0.30434782608695654
LEGACY_BASE,2019-21,35,0.29202190928714705,0.24240713798893632,-0.08207291500006009,0.2472708174105006,0.19999999999999998,-0.04240713798893632,-1.4842498296127713,11,2,5,13,4,0,4,6,0.0,0.0
LEGACY_BASE,2022-23,24,0.6901291082246808,0.43942950753077614,-0.009087811323528304,0.6177917664283545,0.4166666666666667,-0.022762840864109544,-0.5463081807386291,11,6,5,13,10,5,5,7,0.5,0.4166666666666667
LEGACY_BASE,2024+,31,0.21659843528266012,0.17001376637286428,-0.023877304511738678,0.24096579867074971,0.1870967741935484,0.017083007820684108,0.5295732424412072,18,3,2,19,5,2,3,3,0.4,0.4
LEGACY_BASE,flash2025+,19,0.16969570717873986,0.1413959766410337,0.009195565412610051,0.19466570535691508,0.15789473684210525,0.016498760201071553,0.3134764438203595,12,1,1,12,2,0,2,1,0.0,0.0
LEGACY_BASE,big,23,0.6999166678167222,0.5057823910104075,-0.04722558795852334,0.6950132935857195,0.5782608695652175,0.07247847855480988,1.6670050067606272,14,7,1,15,7,7,0,16,1.0,0.30434782608695654
LEGACY_BASE,big2024+,5,0.3557793703640461,0.33693537894523684,0.015680145791808042,0.4626013402488151,0.45999999999999996,0.12306462105476315,0.6153231052738157,4,2,0,5,2,2,0,3,1.0,0.4
LEGACY_BASE,big2025+,1,0.2720875071344817,0.2720875071344817,0.2720875071344817,0.4,0.4,0.1279124928655183,0.1279124928655183,1,0,0,1,0,0,0,1,,0.0
LEGACY_BASE,ex_jan,83,0.40414368363898373,0.25490109528400634,-0.008273037075819518,0.3800760862318242,0.2445783132530121,-0.010322782030994357,-0.8567909085725312,37,10,11,41,16,5,11,14,0.3125,0.2631578947368421
LEGACY_BASE,big_ex_jan,19,0.7373022446780804,0.5216999391208501,0.03339513825774645,0.7287335806582179,0.5947368421052632,0.07303690298441298,1.387701156703847,13,6,1,13,5,5,0,14,1.0,0.2631578947368421
LEGACY_BASE,alerts,19,0.719199868553066,0.4556308938272413,-0.018529539481994015,0.6215430712940851,0.3789473684210527,-0.07668352540618868,-1.456986982717585,7,6,8,12,19,7,12,0,0.3684210526315789,1.0
LEGACY_FULL,all,90,0.4205691724940641,0.2801020759606701,-0.017263244240493785,0.3815174380753198,0.2533333333333334,-0.026768742627336813,-2.4091868364603113,38,14,16,45,32,15,17,8,0.46875,0.6521739130434783
LEGACY_FULL,2019-21,35,0.31313011576683697,0.2522555669002558,0.006370177562321959,0.2472708174105006,0.19999999999999998,-0.05225556690025578,-1.8289448415089522,14,5,7,16,12,3,9,3,0.25,0.5
LEGACY_FULL,2022-23,24,0.6723914866258976,0.45553061566259356,-0.047191047976064986,0.6177917664283545,0.4166666666666667,-0.038863948995926746,-0.9327347759022417,9,5,5,12,13,9,4,3,0.6923076923076923,0.75
LEGACY_FULL,2024+,31,0.22977160446828224,0.17572603932416506,-0.02077622725484354,0.24096579867074971,0.1870967741935484,0.011370734869383307,0.35249278095088254,15,4,4,17,7,3,4,2,0.42857142857142855,0.6
LEGACY_FULL,flash2025+,19,0.16670981132316506,0.1361729631330577,0.02981100034104738,0.19466570535691508,0.15789473684210525,0.021721773709047588,0.4127137004719042,10,2,2,10,2,0,2,1,0.0,0.0
LEGACY_FULL,big,23,0.6649380342840151,0.47922188117442,-0.035619628458868034,0.6950132935857195,0.5782608695652175,0.09903898839079744,2.2778967329883413,15,10,3,17,15,15,0,8,1.0,0.6521739130434783
LEGACY_FULL,big2024+,5,0.40833269625372787,0.36101173021792565,-0.017844247311028794,0.4626013402488151,0.45999999999999996,0.09898826978207435,0.4949413489103718,4,2,1,5,3,3,0,2,1.0,0.6
LEGACY_FULL,big2025+,1,0.2722800468100338,0.2722800468100338,0.2722800468100338,0.4,0.4,0.1277199531899662,0.1277199531899662,1,0,0,1,0,0,0,1,,0.0
LEGACY_FULL,ex_jan,83,0.39920303445908983,0.2632120108927957,0.017487666317698172,0.3800760862318242,0.2445783132530121,-0.018633697639783658,-1.5465969041020426,35,13,14,41,29,13,16,6,0.4482758620689655,0.6842105263157895
LEGACY_FULL,big_ex_jan,19,0.6958339538199224,0.4862479101755034,0.031932624883065676,0.7287335806582179,0.5947368421052632,0.10848893192975974,2.061289706665435,13,9,2,14,13,13,0,6,1.0,0.6842105263157895
LEGACY_FULL,alerts,32,0.45923840077634953,0.3445352868723822,-0.0918566835703012,0.3820176697484032,0.321875,-0.022660286872382147,-0.7251291799162287,17,14,10,24,32,15,17,0,0.46875,1.0
LEGACY_HALF,all,90,0.41458009577702903,0.27129771327101315,-0.029914155101528457,0.3815174380753198,0.2533333333333334,-0.0179643799376797,-1.616794194391173,42,11,12,48,24,9,15,14,0.375,0.391304347826087
LEGACY_HALF,2019-21,35,0.29588500461357053,0.24508913925905215,-0.03785136871886908,0.2472708174105006,0.19999999999999998,-0.04508913925905218,-1.578119874066826,13,2,6,15,6,0,6,6,0.0,0.0
LEGACY_HALF,2022-23,24,0.673982346185147,0.4391334115554024,-0.028139429649796672,0.6177917664283545,0.4166666666666667,-0.02246674488873567,-0.5392018773296559,12,5,4,14,12,7,5,5,0.5833333333333334,0.5833333333333334
LEGACY_HALF,2024+,31,0.22016624170718427,0.17095072396757066,-0.022326765883291116,0.24096579867074971,0.1870967741935484,0.01614605022597771,0.500527557005309,17,4,2,19,6,2,4,3,0.3333333333333333,0.4
LEGACY_HALF,flash2025+,19,0.16505325872339852,0.1376334756100982,0.019503282876828686,0.19466570535691508,0.15789473684210525,0.020261261232007027,0.3849639634081336,12,2,1,12,2,0,2,1,0.0,0.0
LEGACY_HALF,big,23,0.6768628388328314,0.4901798034286145,-0.04142260820869572,0.6950132935857195,0.5782608695652175,0.08808106613660291,2.025864521141867,15,8,1,16,9,9,0,14,1.0,0.391304347826087
LEGACY_HALF,big2024+,5,0.380483883942905,0.34897355458158125,-0.0010820507596103978,0.4626013402488151,0.45999999999999996,0.11102644541841873,0.5551322270920936,4,2,0,5,2,2,0,3,1.0,0.4
LEGACY_HALF,big2025+,1,0.2721837769722577,0.2721837769722577,0.2721837769722577,0.4,0.4,0.12781622302774232,0.12781622302774232,1,0,0,1,0,0,0,1,,0.0
LEGACY_HALF,ex_jan,83,0.3957392593770452,0.2556242885519349,0.00460731462093932,0.3800760862318242,0.2445783132530121,-0.011045975298922758,-0.9168159498105891,39,10,11,44,21,7,14,12,0.3333333333333333,0.3684210526315789
LEGACY_HALF,big_ex_jan,19,0.7112025477514472,0.5039739246481767,0.03266388157040602,0.7287335806582179,0.5947368421052632,0.0907629174570864,1.7244954316846415,14,7,1,14,7,7,0,12,1.0,0.3684210526315789
LEGACY_HALF,alerts,24,0.43797578768465373,0.3326822684891502,-0.0991408225908778,0.34156502553198664,0.2833333333333334,-0.0493489351558169,-1.1843744437396058,11,8,8,17,24,9,15,0,0.375,1.0
SENTIMENT_BASE,all,90,0.4216344065753521,0.26753274984065367,-0.03474985848333045,0.3815174380753198,0.2533333333333334,-0.014199416507320425,-1.277947485658838,42,12,14,48,21,7,14,16,0.3333333333333333,0.30434782608695654
SENTIMENT_BASE,2019-21,35,0.2895995263193118,0.2416486762200747,-0.08067992238040027,0.2472708174105006,0.19999999999999998,-0.041648676220074704,-1.4577036677026145,11,2,5,14,7,0,7,6,0.0,0.0
SENTIMENT_BASE,2022-23,24,0.6943983331278842,0.43274111229267676,-0.0063044966342434795,0.6177917664283545,0.4166666666666667,-0.0160744456260101,-0.3857866950242423,12,7,8,14,10,5,5,7,0.5,0.4166666666666667
SENTIMENT_BASE,2024+,31,0.21937510032801147,0.16885345557845097,-0.004915550353673827,0.24096579867074971,0.1870967741935484,0.018243318615097384,0.5655428770680189,19,3,1,20,4,2,2,3,0.5,0.4
SENTIMENT_BASE,flash2025+,19,0.17335378685702876,0.13915740902145082,0.026398381350518873,0.19466570535691508,0.15789473684210525,0.01873732782065446,0.35600922859243483,12,2,0,12,1,0,1,1,0.0,0.0
SENTIMENT_BASE,big,23,0.7033756796084439,0.49443402939517456,-0.031072996608218297,0.6950132935857195,0.5782608695652175,0.0838268401700429,1.9280173239109868,15,6,3,16,7,7,0,16,1.0,0.30434782608695654
SENTIMENT_BASE,big2024+,5,0.3650707218638701,0.3408513052692201,0.04686600501919863,0.4626013402488151,0.45999999999999996,0.11914869473077991,0.5957434736538996,4,1,0,5,2,2,0,3,1.0,0.4
SENTIMENT_BASE,big2025+,1,0.3151326773138688,0.3151326773138688,0.3151326773138688,0.4,0.4,0.08486732268613123,0.08486732268613123,1,0,0,1,0,0,0,1,,0.0
SENTIMENT_BASE,ex_jan,83,0.4066668135275087,0.25294436544320276,-0.0005291820436956892,0.3800760862318242,0.2445783132530121,-0.008366052190190832,-0.6943823317858393,39,11,13,44,18,5,13,14,0.2777777777777778,0.2631578947368421
SENTIMENT_BASE,big_ex_jan,19,0.7405704349874778,0.5075667368976928,0.05334398700230695,0.7287335806582179,0.5947368421052632,0.08717010520757046,1.6562319989438388,14,5,3,14,5,5,0,14,1.0,0.2631578947368421
SENTIMENT_BASE,alerts,21,0.6863969678019871,0.40122780262008784,-0.008587975816830153,0.5912053869204927,0.35238095238095246,-0.048846850239135445,-1.0257838550218443,8,8,9,14,21,7,14,0,0.3333333333333333,1.0
SENTIMENT_FULL,all,90,0.41512314646609183,0.2771335770111766,-0.00022382042653915017,0.3815174380753198,0.2533333333333334,-0.023800243677843284,-2.1420219310058957,43,11,16,49,26,8,18,15,0.3076923076923077,0.34782608695652173
SENTIMENT_FULL,2019-21,35,0.3035897719314724,0.2561708502545351,-0.0060696499264406125,0.2472708174105006,0.19999999999999998,-0.056170850254535165,-1.9659797589087311,13,3,9,16,11,2,9,4,0.18181818181818182,0.3333333333333333
SENTIMENT_FULL,2022-23,24,0.6666326497443202,0.4405284191558623,0.01717706620049139,0.6177917664283545,0.4166666666666667,-0.02386175248919567,-0.5726820597406961,12,4,4,14,9,4,5,8,0.4444444444444444,0.3333333333333333
SENTIMENT_FULL,2024+,31,0.22846161646977248,0.17430193910827316,-0.0070953445088676,0.24096579867074971,0.1870967741935484,0.012794835085275194,0.39663988764353103,18,4,3,19,6,2,4,3,0.3333333333333333,0.4
SENTIMENT_FULL,flash2025+,19,0.1645707013796179,0.13464872038850215,0.034713181454418235,0.19466570535691508,0.15789473684210525,0.02324601645360312,0.4416743126184594,12,2,1,12,3,0,3,1,0.0,0.0
SENTIMENT_FULL,big,23,0.6641423565755069,0.47188907277203856,0.010467393075312753,0.6950132935857195,0.5782608695652175,0.10637179679317882,2.4465513262431133,17,8,1,18,8,8,0,15,1.0,0.34782608695652173
SENTIMENT_FULL,big2024+,5,0.4155027791001415,0.37627187979904664,0.021570540829355455,0.4626013402488151,0.45999999999999996,0.08372812020095335,0.4186406010047668,4,2,1,5,2,2,0,3,1.0,0.4
SENTIMENT_FULL,big2025+,1,0.32470747959027957,0.32470747959027957,0.32470747959027957,0.4,0.4,0.07529252040972045,0.07529252040972045,1,0,0,1,0,0,0,1,,0.0
SENTIMENT_FULL,ex_jan,83,0.3989632171147595,0.26336195313873306,0.03441309900831556,0.3800760862318242,0.2445783132530121,-0.018783639885720987,-1.5590421105148429,39,10,14,44,23,6,17,13,0.2608695652173913,0.3157894736842105
SENTIMENT_FULL,big_ex_jan,19,0.6979218602603776,0.4845873885726053,0.0884468193261705,0.7287335806582179,0.5947368421052632,0.11014945353265779,2.092839617120498,15,7,0,15,6,6,0,13,1.0,0.3157894736842105
SENTIMENT_FULL,alerts,26,0.40598615487549716,0.3108328722439571,-0.036238115118052125,0.31683531271721505,0.2576923076923077,-0.053140564551649436,-1.3816546783428851,12,9,11,18,26,8,18,0,0.3076923076923077,1.0
SENTIMENT_HALF,all,90,0.4151150508994233,0.2699603819770808,-0.01748683945493482,0.3815174380753198,0.2533333333333334,-0.0166270486437474,-1.4964343779372669,44,11,15,49,23,7,16,16,0.30434782608695654,0.30434782608695654
SENTIMENT_HALF,2019-21,35,0.29120646174194686,0.24687092380316328,-0.04337478615342045,0.2472708174105006,0.19999999999999998,-0.046870923803163315,-1.6404823331107163,13,3,7,15,8,0,8,6,0.0,0.0
SENTIMENT_HALF,2022-23,24,0.6776082429676451,0.43299282987942583,0.005436284783123939,0.6177917664283545,0.4166666666666667,-0.016326163212759037,-0.3918279171062169,13,5,6,15,10,5,5,7,0.5,0.4166666666666667
SENTIMENT_HALF,2024+,31,0.22151480205232885,0.16981045573291392,-0.0060054474312707115,0.24096579867074971,0.1870967741935484,0.017286318460634414,0.5358758722796668,18,3,2,19,5,2,3,3,0.4,0.4
SENTIMENT_HALF,flash2025+,19,0.16599665183010628,0.13521662815748794,0.03055578140246855,0.19466570535691508,0.15789473684210525,0.022678108684617292,0.4308840650077286,12,2,1,12,2,0,2,1,0.0,0.0
SENTIMENT_HALF,big,23,0.6813581445496157,0.48139021354640193,-0.0103028017664528,0.6950132935857195,0.5782608695652175,0.09687065601881548,2.228025088432756,16,8,1,17,7,7,0,16,1.0,0.30434782608695654
SENTIMENT_HALF,big2024+,5,0.38953417034577414,0.35856159253413333,0.03421827292427705,0.4626013402488151,0.45999999999999996,0.10143840746586663,0.5071920373293332,4,1,0,5,2,2,0,3,1.0,0.4
SENTIMENT_HALF,big2025+,1,0.3199200784520742,0.3199200784520742,0.3199200784520742,0.4,0.4,0.08007992154792581,0.08007992154792581,1,0,0,1,0,0,0,1,,0.0
SENTIMENT_HALF,ex_jan,83,0.3994645299733753,0.25607111631458973,0.016941958482309942,0.3800760862318242,0.2445783132530121,-0.011492803061577664,-0.9539026541109458,40,10,14,44,20,5,15,14,0.25,0.2631578947368421
SENTIMENT_HALF,big_ex_jan,19,0.7172401330229886,0.49607706273514895,0.0708954031642387,0.7287335806582179,0.5947368421052632,0.09865977937011411,1.8745358080321683,14,7,1,14,5,5,0,14,1.0,0.2631578947368421
SENTIMENT_HALF,alerts,23,0.6552166714140084,0.39644759658182394,0.030967608525630456,0.5687514930701855,0.33913043478260874,-0.05731716179921518,-1.3182947213819491,10,8,10,15,23,7,16,0,0.30434782608695654,1.0
