origin,band,family,source,log_core_pp
2026-07,3,services,services.level,0.0006132868690561406
2026-07,3,services,services.change3,-0.00036865339593105073
2026-07,3,services,services.change12,0.0002869135032340249
2026-07,3,services,services.unemployment_change3,-0.0002690731184366987
2026-07,3,services,services.ulc_growth12,0.00023212618383893947
2026-07,3,services,services.ip_growth3,9.998264812788127e-05
2026-07,3,goods,core_intercept,0.009121817531155063
2026-07,3,goods,core_acceleration,0.0007960664753366345
2026-07,3,goods,goods_centering,0.04112846087649699
2026-07,3,goods,goods.intercept,0.0002953585221106531
2026-07,3,goods,goods.level,-0.025129691393912055
2026-07,3,goods,goods.change3,0.0036412771429988424
2026-07,3,goods,goods.change12,-0.00030876306079957776
2026-07,3,goods,goods.cost_26_mean3,-0.03550200654915059
2026-07,3,goods,goods.cost_45_mean3,0.0004690050283526167
2026-07,3,goods,goods.cost_47_mean3,-0.006233552088864121
2026-07,3,goods,goods.fx3,-0.0007364795118638744
2026-07,3,goods,goods.cost_62_mean3,0.003931110842558922
2026-07,3,both,core_intercept,0.009121817531155057
2026-07,3,both,core_acceleration,-0.001337271683461299
2026-07,3,both,services_centering,0.02496797964675436
2026-07,3,both,services.intercept,0.00555023306870001
2026-07,3,both,services.level,0.0028161833641785227
2026-07,3,both,services.change3,-0.0016928383977415735
2026-07,3,both,services.change12,0.0013174928007334797
2026-07,3,both,services.unemployment_change3,-0.0012355706246495594
2026-07,3,both,services.ulc_growth12,0.0010659121045972137
2026-07,3,both,services.ip_growth3,0.00045911543939884864
2026-07,3,both,goods_centering,0.03427249620388909
2026-07,3,both,goods.intercept,0.00024612333192386226
2026-07,3,both,goods.level,-0.02094066333989473
2026-07,3,both,goods.change3,0.0030342895017511067
2026-07,3,both,goods.change12,-0.0002572933828214776
2026-07,3,both,goods.cost_26_mean3,-0.02958395132606387
2026-07,3,both,goods.cost_45_mean3,0.0003908235978508372
2026-07,3,both,goods.cost_47_mean3,-0.005194441653040936
2026-07,3,both,goods.fx3,-0.0006137110588794434
2026-07,3,both,goods.cost_62_mean3,0.003275808978926787
