edge,horizon,n_train,n_features,seconds
2013-07,6,129,70,15.986937500012573
2013-07,9,126,70,18.30341269998462
2013-07,12,123,70,19.28538230000413
2013-08,3,133,70,23.1168152000173
2013-08,6,130,70,18.859508199995616
2013-08,9,127,70,21.15385659999447
2013-08,12,124,70,17.20309389999602
2013-09,3,134,70,16.874708199989982
2013-09,6,131,70,16.68251399998553
2013-09,9,128,70,17.674725300021237
2013-09,12,125,70,16.28239229999599
2013-10,3,135,70,16.515970000007655
2013-10,6,132,70,16.693006099987542
2013-10,9,129,70,22.350471799989464
2013-10,12,126,70,16.740563200000906
2013-11,3,136,70,17.602286499983165
2013-11,6,133,70,19.75802079998539
2013-11,9,130,70,18.349548099999083
2013-11,12,127,70,18.68361459998414
2013-12,3,137,70,16.52430399999139
2013-12,6,134,70,19.402967300004093
2013-12,9,131,70,20.247216200019466
2013-12,12,128,70,19.435858499986352
2014-01,3,138,70,17.354851600015536
2014-01,6,135,70,20.460905899992213
2014-01,9,132,70,18.543816299992613
2014-01,12,129,70,17.561963400017703
2014-02,3,139,70,20.385487100022146
2014-02,6,136,70,17.255443900008686
2014-02,9,133,70,18.638556099991547
2014-02,12,130,70,21.45580090000294
2014-03,3,140,70,21.23759350000182
2014-03,6,137,70,18.377070899994578
2014-03,9,134,70,19.923240699979942
2014-03,12,131,70,20.37393209998845
2014-04,3,141,70,20.325666799995815
2014-04,6,138,70,15.300241299992194
2014-04,9,135,70,20.741440299985697
2014-04,12,132,70,18.02028289998998
2014-05,3,142,70,19.90136399999028
2014-05,6,139,70,18.706903699989198
2014-05,9,136,70,19.35170410000137
2014-05,12,133,70,18.468613800010644
2014-06,3,143,70,19.94933050000691
2014-06,6,140,70,17.607084900024347
2014-06,9,137,70,19.341532200021902
2014-06,12,134,70,21.59993180001038
2014-07,3,144,70,17.46206049999455
2014-07,6,141,70,19.783841700002085
2014-07,9,138,70,20.70874850000837
2014-07,12,135,70,17.4648496999871
2014-08,3,145,70,17.247379400010686
2014-08,6,142,70,17.294686099980026
2014-08,9,139,70,21.78414469998097
2014-08,12,136,70,21.527859399997396
2014-09,3,146,70,18.82168449999881
2014-09,6,143,70,16.626732999982778
2014-09,9,140,70,23.592843000020366
2014-09,12,137,70,21.24129120001453
2014-10,3,147,70,21.033110600023065
2014-10,6,144,70,17.67936790001113
2014-10,9,141,70,21.603283700009342
2014-10,12,138,70,19.213621600007173
2014-11,3,148,70,22.381813400017563
2014-11,6,145,70,17.034063800005242
2014-11,9,142,70,24.04840930001228
2014-11,12,139,70,18.836425099987537
2014-12,3,149,70,21.336955500009935
2014-12,6,146,70,17.794647200003965
2014-12,9,143,70,21.13527850000537
2014-12,12,140,70,18.815124999993714
2015-01,3,150,70,19.095771799999056
2015-01,6,147,70,17.74649859999772
2015-01,9,144,70,20.76474949999829
2015-01,12,141,70,20.5144464999903
2015-02,3,151,70,21.662219699996058
2015-02,6,148,70,18.832327800017083
2015-02,9,145,70,18.94969769997988
2015-02,12,142,70,20.353275200002827
2015-03,3,152,70,19.44036809998215
2015-03,6,149,70,21.656522800010862
2015-03,9,146,70,20.283869700011564
2015-03,12,143,70,16.937101099989377
2015-04,3,153,70,20.614348499977496
2015-04,6,150,70,20.28331790000084
2015-04,9,147,70,21.89968339999905
2015-04,12,144,70,18.71185510000214
2015-05,3,154,70,18.461362500005635
2015-05,6,151,70,17.96221749999677
2015-05,9,148,70,18.834743699990213
2015-05,12,145,70,20.25735060000443
2015-06,3,155,70,19.042800700000953
2015-06,6,152,70,18.634899399999995
2015-06,9,149,70,19.535677099978784
2015-06,12,146,70,19.96589859999949
2015-07,3,156,70,19.11641449999297
2015-07,6,153,70,16.287441099993885
2015-07,9,150,70,21.048636100022122
2015-07,12,147,70,17.714448499988066
2015-08,3,157,70,19.871690999978455
2015-08,6,154,70,20.861656099994434
2015-08,9,151,70,18.873672299989266
2015-08,12,148,70,21.94698609999614
2015-09,3,158,70,18.186214599991217
2015-09,6,155,70,18.124871800013352
2015-09,9,152,70,23.93199770001229
2015-09,12,149,70,22.011765200004447
2015-10,3,159,70,18.349176099989563
2015-10,6,156,70,18.719367500016233
2015-10,9,153,70,20.67246829997748
2015-10,12,150,70,17.74855089999619
2015-11,3,160,70,18.697953700000653
2015-11,6,157,70,18.025565399992047
2015-11,9,154,70,21.526960000017425
2015-11,12,151,70,18.588976800005184
2015-12,3,161,70,21.32567189997644
2015-12,6,158,70,18.220810700004222
2015-12,9,155,70,20.184475599991856
2015-12,12,152,70,22.708969200000865
2016-01,3,162,70,19.204045999998925
2016-01,6,159,70,17.306122099980712
2016-01,9,156,70,24.254165299993474
2016-01,12,153,70,22.327294399990933
2016-02,3,163,70,22.060155000013765
2016-02,6,160,70,19.05871520002256
2016-02,9,157,70,21.717565499973716
2016-02,12,154,70,21.809920100000454
2016-03,3,164,70,21.687696500011953
2016-03,6,161,70,17.98906929997611
2016-03,9,158,70,21.25607790000504
2016-03,12,155,70,21.312524000008125
2016-04,3,165,70,22.764267699996708
2016-04,6,162,70,18.86934440000914
2016-04,9,159,70,19.56182390000322
2016-04,12,156,70,19.40011799999047
2016-05,3,166,70,23.05668579999474
2016-05,6,163,70,17.105797600001097
2016-05,9,160,70,20.27849610001431
2016-05,12,157,70,22.057539200002793
2016-06,3,167,70,18.59313390002353
2016-06,6,164,70,22.72398469998734
2016-06,9,161,70,20.675013100000797
2016-06,12,158,70,18.032501500012586
2016-07,3,168,70,18.849234799999977
2016-07,6,165,70,18.946229599998333
2016-07,9,162,70,19.522245599975577
2016-07,12,159,70,19.35574890000862
2016-08,3,169,70,19.244059400021797
2016-08,6,166,70,23.247600100003183
2016-08,9,163,70,19.84124859998701
2016-08,12,160,70,24.33566090001841
2016-09,3,170,70,19.3247436999809
2016-09,6,167,70,18.51185660000192
2016-09,9,164,70,20.685721999994712
2016-09,12,161,70,20.065773699985584
2016-10,3,171,70,20.154399599996395
2016-10,6,168,70,17.85835739999311
2016-10,9,165,70,20.056788799993228
2016-10,12,162,70,18.03519380002399
2016-11,3,172,70,21.079641299991636
2016-11,6,169,70,21.340857200004393
2016-11,9,166,70,19.07034589999239
2016-11,12,163,70,19.44963469999493
2016-12,3,173,70,23.247937500011176
2016-12,6,170,70,16.49464900000021
2016-12,9,167,70,18.110501199989812
2016-12,12,164,70,18.177929800003767
2017-01,3,174,70,19.93031379999593
2017-01,6,171,70,21.115199899999425
2017-01,9,168,70,19.404503099998692
2017-01,12,165,70,18.88250119998702
2017-02,3,175,70,19.78832369999145
2017-02,6,172,70,17.23670469998615
2017-02,9,169,70,18.235103200015146
2017-02,12,166,70,19.716884099994786
2017-03,3,176,70,19.07414520002203
2017-03,6,173,70,18.09271580001223
2017-03,9,170,70,18.297948799998267
2017-03,12,167,70,21.72577230000752
2017-04,3,177,70,21.98478649999015
2017-04,6,174,70,22.222499600000447
2017-04,9,171,70,19.367635300004622
2017-04,12,168,70,18.259005799976876
2017-05,3,178,70,21.615385499986587
2017-05,6,175,70,18.367793099983828
2017-05,9,172,70,19.4931214999815
2017-05,12,169,70,18.425786700012395
2017-06,3,179,70,20.559090800001286
2017-06,6,176,70,18.063489699998172
2017-06,9,173,70,20.617586500011384
2017-06,12,170,70,17.382249200018123
2017-07,3,180,70,22.016495500021847
2017-07,6,177,70,16.890329899993958
2017-07,9,174,70,19.08989850000944
2017-07,12,171,70,24.835347399988677
2017-08,3,181,70,21.346342500008177
2017-08,6,178,70,16.96581920000608
2017-08,9,175,70,18.876597499998752
2017-08,12,172,70,22.63795740000205
2017-09,3,182,70,17.56305940001039
2017-09,6,179,70,20.800950700009707
2017-09,9,176,70,18.02870520000579
2017-09,12,173,70,22.39168289999361
2017-10,3,183,70,22.421712499985006
2017-10,6,180,70,17.99650009998004
2017-10,9,177,70,18.80422270001145
2017-10,12,174,70,18.11393130000215
2017-11,3,184,70,18.51279209999484
2017-11,6,181,70,15.322420100012096
2017-11,9,178,70,19.223609000007855
2017-11,12,175,70,18.946668400021736
2017-12,3,185,70,22.384614600014174
2017-12,6,182,70,15.804403799993452
2017-12,9,179,70,18.635416700009955
2017-12,12,176,70,20.59549600002356
2018-01,3,186,70,19.187737500004005
2018-01,6,183,70,20.200533299997915
2018-01,9,180,70,20.01645819999976
2018-01,12,177,70,18.47108289998141
2018-02,3,187,70,18.78178210000624
2018-02,6,184,70,16.04020450002281
2018-02,9,181,70,22.576977200020337
2018-02,12,178,70,19.655081799981417
2018-03,3,188,70,27.04319339999347
2018-03,6,185,70,17.183388700010255
2018-03,9,182,70,20.821843699988676
2018-03,12,179,70,20.551893699972425
2018-04,3,189,70,21.255302699981257
2018-04,6,186,70,17.266623600007733
2018-04,9,183,70,19.37741570000071
2018-04,12,180,70,20.240629700012505
2018-05,3,190,70,22.402547999983653
2018-05,6,187,70,19.18037170000025
2018-05,9,184,70,19.078687300003367
2018-05,12,181,70,21.10827810000046
2018-06,3,191,70,20.211919299996225
2018-06,6,188,70,20.548617799999192
2018-06,9,185,70,18.561375899997074
2018-06,12,182,70,19.494573900010437
2018-07,3,192,70,20.251092600025004
2018-07,6,189,70,16.282918200013228
2018-07,9,186,70,23.537164700013818
2018-07,12,183,70,21.16931910000858
2018-08,3,193,70,20.059970400005113
2018-08,6,190,70,19.932099300000118
2018-08,9,187,70,17.65539379999973
2018-08,12,184,70,21.446398200001568
2018-09,3,194,70,23.107987600000342
2018-09,6,191,70,23.55727809999371
2018-09,9,188,70,19.963052699982654
2018-09,12,185,70,21.41802350000944
2018-10,3,195,70,23.659390799992252
2018-10,6,192,70,16.962140299991006
2018-10,9,189,70,19.489895700011402
2018-10,12,186,70,20.753928399994038
2018-11,3,196,70,26.073491499992087
2018-11,6,193,70,19.441731699975207
2018-11,9,190,70,18.50690169999143
2018-11,12,187,70,21.614663299988024
2018-12,3,197,70,20.79702600001474
2018-12,6,194,70,17.00285160000203
2018-12,9,191,70,18.33090510001057
2018-12,12,188,70,25.0214347000001
2019-01,3,198,70,20.501341800001683
2019-01,6,195,70,17.88037749999785
2019-01,9,192,70,19.323424599977443
2019-01,12,189,70,19.04250260000117
2019-02,3,199,70,17.903053499991074
2019-02,6,196,70,17.88999930000864
2019-02,9,193,70,23.797495199978584
2019-02,12,190,70,22.241230299987365
2019-03,3,200,70,17.791052199987462
2019-03,6,197,70,17.610206399986055
2019-03,9,194,70,19.465157800004818
2019-03,12,191,70,22.071194399992237
2019-04,3,201,70,19.53499880002346
2019-04,6,198,70,15.71809719997691
2019-04,9,195,70,17.028652200009674
2019-04,12,192,70,23.329320399992866
2019-05,3,202,70,18.878929700003937
2019-05,6,199,70,19.359907799982466
2019-05,9,196,70,21.11650269999518
2019-05,12,193,70,22.36933919999865
2019-06,3,203,70,18.468341900006635
2019-06,6,200,70,15.506164299993543
2019-06,9,197,70,17.3751498000056
2019-06,12,194,70,17.688149800000247
2019-07,3,204,70,23.81733879999956
2019-07,6,201,70,19.493618399981642
2019-07,9,198,70,19.12336209998466
2019-07,12,195,70,19.271082999999635
2019-08,3,205,70,19.813016999978572
2019-08,6,202,70,15.822405199985951
2019-08,9,199,70,17.50681099999929
2019-08,12,196,70,22.241025800001808
2019-09,3,206,70,18.954185000009602
2019-09,6,203,70,17.07233300001826
2019-09,9,200,70,17.53377849998651
2019-09,12,197,70,22.505445000017062
2019-10,3,207,70,22.402339199994458
2019-10,6,204,70,17.995088199997554
2019-10,9,201,70,18.227269399998477
2019-10,12,198,70,21.864798800001154
2019-11,3,208,70,18.090896699985024
2019-11,6,205,70,16.43440910000936
2019-11,9,202,70,17.737182599987136
2019-11,12,199,70,20.699617100006435
2019-12,3,209,70,19.210708200000226
2019-12,6,206,70,17.32353109997348
2019-12,9,203,70,17.693730200000573
2019-12,12,200,70,20.32792770001106
2020-01,3,210,70,19.988991699996404
2020-01,6,207,70,15.749558199982857
2020-01,9,204,70,18.347087300004205
2020-01,12,201,70,16.56089759999304
2020-02,3,211,70,22.41179340000963
2020-02,6,208,70,17.40626789999078
2020-02,9,205,70,20.52107810002053
2020-02,12,202,70,17.07583510002587
2020-03,3,212,70,15.601931200013496
2020-03,6,209,70,17.279506799997762
2020-03,9,206,70,21.037137100007385
2020-03,12,203,70,17.912901900010183
2020-04,3,213,70,18.79508439998608
2020-04,6,210,70,15.087251299992204
2020-04,9,207,70,21.290949100017315
2020-04,12,204,70,21.774286699976074
2020-05,3,214,70,20.11653960001422
2020-05,6,211,70,16.781138499994995
2020-05,9,208,70,21.32682940000086
2020-05,12,205,70,19.239537300018128
2020-06,3,215,70,20.44215200000326
2020-06,6,212,70,18.71602140000323
2020-06,9,209,70,19.74803850002354
2020-06,12,206,70,20.60093980000238
2020-07,3,216,70,20.443493099999614
2020-07,6,213,70,19.26891610000166
2020-07,9,210,70,21.910716999991564
2020-07,12,207,70,20.377140099997632
2020-08,3,217,70,20.284258900006535
2020-08,6,214,70,18.10629790002713
2020-08,9,211,70,19.0514661000052
2020-08,12,208,70,22.647135500010336
2020-09,3,218,70,20.00036150001688
2020-09,6,215,70,20.08224010001868
2020-09,9,212,70,19.30427660001442
2020-09,12,209,70,19.220074200013187
2020-10,3,219,70,22.051362099999096
2020-10,6,216,70,19.402431800001068
2020-10,9,213,70,21.33619020000333
2020-10,12,210,70,19.677038199995877
2020-11,3,220,70,18.499829600012163
2020-11,6,217,70,17.338948199991137
2020-11,9,214,70,20.088445400004275
2020-11,12,211,70,19.07033909999882
2020-12,3,221,70,17.00595439999597
2020-12,6,218,70,17.852290899987565
2020-12,9,215,70,16.32750849999138
2020-12,12,212,70,17.097735199989984
2021-01,3,222,70,18.123660899989773
2021-01,6,219,70,15.356845099973725
2021-01,9,216,70,18.519384500017622
2021-01,12,213,70,16.656071000004886
2021-02,3,223,70,18.564578699995764
2021-02,6,220,70,15.776125700009288
2021-02,9,217,70,16.912015000008978
2021-02,12,214,70,16.812382899981458
2021-03,3,224,70,18.325526500004344
2021-03,6,221,70,16.251154699973995
2021-03,9,218,70,17.187383100012084
2021-03,12,215,70,15.530113899993012
2021-04,3,225,70,17.331267900008243
2021-04,6,222,70,16.639540200005285
2021-04,9,219,70,15.275057999999262
2021-04,12,216,70,16.07389069997589
2021-05,3,226,70,18.263535800011596
2021-05,6,223,70,16.181472900003428
2021-05,9,220,70,16.65797939998447
2021-05,12,217,70,16.292440599994734
2021-06,3,227,70,16.309940900013316
2021-06,6,224,70,15.000466099998448
2021-06,9,221,70,16.002505699987523
2021-06,12,218,70,14.844999300024938
2021-07,3,228,70,17.955641000007745
2021-07,6,225,70,14.086839499999769
2021-07,9,222,70,15.798998499987647
2021-07,12,219,70,16.22357900001225
2021-08,3,229,70,15.316826500027673
2021-08,6,226,70,13.366285199997947
2021-08,9,223,70,15.93983949997346
2021-08,12,220,70,15.588395600003423
2021-09,3,230,70,16.318531700002495
2021-09,6,227,70,15.989576500025578
2021-09,9,224,70,16.84280669997679
2021-09,12,221,70,15.696603899996262
2021-10,3,231,70,15.761398200003896
2021-10,6,228,70,14.549805699993158
2021-10,9,225,70,16.158687699993607
2021-10,12,222,70,15.748998900002334
2021-11,3,232,70,17.95487210000283
2021-11,6,229,70,14.810173400008352
2021-11,9,226,70,17.350786900002277
2021-11,12,223,70,14.66067009998369
2021-12,3,233,70,17.02287340001203
2021-12,6,230,70,15.797316300013335
2021-12,9,227,70,16.326456200011307
2021-12,12,224,70,14.85613640001975
2022-01,3,234,70,16.778722199989716
2022-01,6,231,70,14.096450700017158
2022-01,9,228,70,16.573703200003365
2022-01,12,225,70,16.947527799988165
2022-02,3,235,70,16.235979300021427
2022-02,6,232,70,15.167279799992684
2022-02,9,229,70,16.420833999989554
2022-02,12,226,70,16.69313090000651
2022-03,3,236,70,15.485931600007461
2022-03,6,233,70,14.471489099989412
2022-03,9,230,70,15.705207599996356
