edge,horizon,quantile,value
2022-05,6,0.9,2.978235967926701
2022-05,6,0.95,4.442581726739303
2022-05,9,0.05,-0.2150537634408644
2022-05,9,0.1,0.0
2022-05,9,0.25,0.32672458390973763
2022-05,9,0.3333333333333333,0.523560209424101
2022-05,9,0.5,1.041666666666674
2022-05,9,0.6666666666666666,1.474201474201453
2022-05,9,0.75,1.6640253565768592
2022-05,9,0.9,1.7926734216679563
2022-05,9,0.95,4.442581726739303
2022-05,12,0.05,-0.3260869565217317
2022-05,12,0.1,-0.2188183807439903
2022-05,12,0.25,0.0
2022-05,12,0.3333333333333333,0.1260883229663074
2022-05,12,0.5,0.3787878787878895
2022-05,12,0.6666666666666666,0.6872852233676952
2022-05,12,0.75,1.041666666666674
2022-05,12,0.9,1.7611026033690802
2022-05,12,0.95,1.7926734216679563
2022-06,3,0.05,-0.11177312066376721
2022-06,3,0.1,0.0
2022-06,3,0.25,0.3686635944700533
2022-06,3,0.3333333333333333,0.523560209424101
2022-06,3,0.5,1.2841091492777013
2022-06,3,0.6666666666666666,1.6640253565768592
2022-06,3,0.75,1.7611026033690802
2022-06,3,0.9,2.978235967926701
2022-06,3,0.95,4.442581726739303
2022-06,6,0.05,-0.2205071664829083
2022-06,6,0.1,-0.09939090489368467
2022-06,6,0.25,0.1787310098301908
2022-06,6,0.3333333333333333,0.4208754208754106
2022-06,6,0.5,1.2841091492777013
2022-06,6,0.6666666666666666,1.5801354401805856
2022-06,6,0.75,1.6640253565768592
2022-06,6,0.9,1.806451612903226
2022-06,6,0.95,4.442581726739303
2022-06,9,0.05,-0.10184338501185217
2022-06,9,0.1,0.0944287063267212
2022-06,9,0.25,0.42058835999024263
2022-06,9,0.3333333333333333,0.6872852233676952
2022-06,9,0.5,1.2841091492777013
2022-06,9,0.6666666666666666,1.5801354401805856
2022-06,9,0.75,1.6640253565768592
2022-06,9,0.9,1.806451612903226
2022-06,9,0.95,4.442581726739303
2022-06,12,0.05,-0.3260869565217317
2022-06,12,0.1,-0.2181025081788523
2022-06,12,0.25,0.10035190939713942
2022-06,12,0.3333333333333333,0.1748251748251661
2022-06,12,0.5,0.4460303300624524
2022-06,12,0.6666666666666666,1.037735849056598
2022-06,12,0.75,1.3404825737265424
2022-06,12,0.9,1.7611026033690802
2022-06,12,0.95,1.7926734216679563
2022-07,3,0.05,-0.10936837386256833
2022-07,3,0.1,0.0
2022-07,3,0.25,0.4208754208754106
2022-07,3,0.3333333333333333,0.6211180124223503
2022-07,3,0.5,1.333333333333342
2022-07,3,0.6666666666666666,1.6640253565768592
2022-07,3,0.75,1.7611026033690802
2022-07,3,0.9,2.978235967926701
2022-07,3,0.95,4.442581726739303
2022-07,6,0.05,-0.21032710285550427
2022-07,6,0.1,-0.1009081735620531
2022-07,6,0.25,0.2111932418162654
2022-07,6,0.3333333333333333,0.4197271773347388
2022-07,6,0.5,1.2841091492777013
2022-07,6,0.6666666666666666,1.5801354401805856
2022-07,6,0.75,1.6640253565768592
2022-07,6,0.9,1.7926734216679563
2022-07,6,0.95,4.442581726739303
2022-07,9,0.05,-0.2181383018071092
2022-07,9,0.1,-0.10928961748633
2022-07,9,0.25,0.10037643049630723
2022-07,9,0.3333333333333333,0.1831501831501825
2022-07,9,0.5,0.4460303300624524
2022-07,9,0.6666666666666666,1.0221465076660996
2022-07,9,0.75,1.333333333333342
2022-07,9,0.9,1.7611026033690802
2022-07,9,0.95,1.7926734216679563
2022-07,12,0.05,-0.26019135044281927
2022-07,12,0.1,-0.10928961748633
2022-07,12,0.25,0.0996015936254979
2022-07,12,0.3333333333333333,0.1748251748251661
2022-07,12,0.5,0.5272407732864748
2022-07,12,0.6666666666666666,1.0221465076660996
2022-07,12,0.75,1.333333333333342
2022-07,12,0.9,1.7626307965326964
2022-07,12,0.95,1.7926734216679563
2022-08,3,0.05,-0.09007187780771743
2022-08,3,0.1,0.10022106119352384
2022-08,3,0.25,0.4208754208754106
2022-08,3,0.3333333333333333,0.4424778761061843
2022-08,3,0.5,1.041666666666674
2022-08,3,0.6666666666666666,1.5801354401805856
2022-08,3,0.75,1.6640253565768592
2022-08,3,0.9,2.978235967926701
2022-08,3,0.95,2.978235967926701
2022-08,6,0.05,-0.2205071664829083
2022-08,6,0.1,-0.10977068502743818
2022-08,6,0.25,0.21108197035060725
2022-08,6,0.3333333333333333,0.4208754208754106
2022-08,6,0.5,1.0221465076660996
2022-08,6,0.6666666666666666,1.5469613259668558
2022-08,6,0.75,1.6640253565768592
2022-08,6,0.9,1.7926734216679563
2022-08,6,0.95,4.442581726739303
2022-08,9,0.05,-0.41009103196055563
2022-08,9,0.1,-0.2580645161290307
2022-08,9,0.25,0.0
2022-08,9,0.3333333333333333,0.11311859081969744
2022-08,9,0.5,0.2964426877470227
2022-08,9,0.6666666666666666,0.6872852233676952
2022-08,9,0.75,1.041666666666674
2022-08,9,0.9,1.6640253565768592
2022-08,9,0.95,1.7926734216679563
2022-08,12,0.05,-0.26019135044281927
2022-08,12,0.1,-0.10236305048334167
2022-08,12,0.25,0.11754208461211553
2022-08,12,0.3333333333333333,0.18020406760352128
2022-08,12,0.5,0.4844961240310086
2022-08,12,0.6666666666666666,1.0221465076660996
2022-08,12,0.75,1.333333333333342
2022-08,12,0.9,1.7611026033690802
2022-08,12,0.95,1.8519515489808396
2022-09,3,0.05,-0.11177312066376721
2022-09,3,0.1,0.0
2022-09,3,0.25,0.3879521016617815
2022-09,3,0.3333333333333333,0.4398902861874349
2022-09,3,0.5,1.0221465076660996
2022-09,3,0.6666666666666666,1.474201474201453
2022-09,3,0.75,1.6640253565768592
2022-09,3,0.9,1.7926734216679563
2022-09,3,0.95,2.978235967926701
2022-09,6,0.05,-0.2205071664829083
2022-09,6,0.1,-0.2010050251256334
2022-09,6,0.25,0.17628921678217166
2022-09,6,0.3333333333333333,0.4028197381671816
2022-09,6,0.5,0.8005822416302655
