period,EUI6CZ Index,EUI1CZ Index,EUS1CZ Index,EUS2CZ Index,EUR1CZ Index,EUB1CZ Index,EUB5F4CZ Index,EUB5F5CZ Index,EUB5F6CZ Index,EUB5F7CZ Index,EUCCCZ Index,UMRTCZ Index,CZRUSHIN Index
2015-07,15.3,15.2,54.3,19.2,31.3,9.6,6.2,4.2,14.2,10.7,-3.1,5.0,1.28
2015-08,15.8,12.6,56.2,17.8,28.5,10.4,6.2,4.0,14.3,9.5,-2.5,4.7,0.93
2015-09,9.5,14.2,56.9,13.5,33.4,13.2,6.9,3.8,15.2,9.0,-2.9,4.8,0.83
2015-10,8.0,7.6,55.8,21.7,30.9,16.7,5.7,3.3,15.7,9.0,-0.5,4.6,0.56
2015-11,13.7,7.4,57.7,19.6,31.4,21.4,6.0,0.5,17.3,7.7,0.1,4.5,0.69
2015-12,7.1,8.8,58.4,25.3,28.0,22.7,8.3,0.2,14.5,7.3,-0.6,4.6,0.87
2016-01,11.8,19.8,58.7,26.1,34.5,21.2,7.2,0.5,15.1,7.2,1.5,4.3,0.73
2016-02,9.6,16.5,55.5,22.9,32.7,17.8,6.3,0.4,16.2,6.9,-0.4,4.2,0.64
2016-03,12.5,12.8,56.7,18.8,36.0,19.9,5.3,0.5,16.3,7.1,-0.5,4.1,0.24
2016-04,15.9,14.7,57.0,17.1,33.7,18.0,6.4,0.3,14.4,7.0,-0.5,3.9,0.42
2016-05,17.3,18.4,56.2,17.3,37.3,19.9,7.2,0.5,12.9,7.7,0.5,3.9,0.34
2016-06,15.0,14.2,54.7,23.1,40.3,26.0,7.2,0.5,12.7,7.3,-0.6,4.2,0.74
2016-07,5.8,13.0,56.3,23.2,41.6,28.4,7.9,0.5,14.1,7.2,-3.1,4.1,0.55
2016-08,3.2,16.5,59.7,22.1,43.3,28.3,7.2,0.5,13.9,7.0,-2.1,3.7,0.64
2016-09,7.5,14.4,59.9,21.6,39.5,20.1,6.7,0.4,14.8,7.5,2.7,4.0,0.6
2016-10,8.8,14.8,61.6,23.5,48.5,22.8,7.4,1.5,14.6,7.3,1.8,3.8,1.1
2016-11,5.8,19.7,60.9,28.4,45.5,22.3,10.5,1.5,14.7,4.8,2.1,3.6,1.17
2016-12,9.6,17.2,61.4,32.2,45.3,23.7,12.1,0.4,15.1,4.7,1.2,3.6,1.37
2017-01,6.7,18.0,60.9,32.7,49.1,22.4,13.9,0.2,19.0,4.6,2.5,3.4,1.37
2017-02,6.4,15.7,63.0,16.8,43.9,25.0,13.5,0.3,19.0,3.9,2.3,3.3,1.49
2017-03,4.9,11.4,62.0,12.4,43.6,25.2,14.3,0.3,15.7,3.8,0.5,3.3,1.32
2017-04,10.5,10.6,62.5,21.4,46.4,29.6,16.0,0.2,14.6,3.9,3.0,3.3,1.18
2017-05,7.8,8.2,61.8,24.3,41.7,29.1,14.9,0.3,15.2,4.4,-0.1,3.0,1.27
2017-06,9.9,10.1,62.2,23.6,43.2,28.5,16.4,0.3,14.6,4.3,0.7,2.8,1.26
2017-07,11.2,8.8,60.6,27.8,44.8,28.4,18.2,3.3,15.1,3.3,-1.6,2.8,0.97
2017-08,6.3,12.1,62.5,25.6,46.6,26.5,21.9,3.3,13.7,3.7,-0.4,2.7,0.55
2017-09,10.9,14.9,61.2,27.1,41.7,32.9,20.0,0.3,17.2,3.6,2.6,2.7,0.45
2017-10,14.6,25.5,62.4,24.4,49.6,29.6,20.0,0.4,18.1,3.2,4.5,2.7,0.74
2017-11,13.3,22.7,60.2,24.6,46.4,29.4,21.5,4.2,14.9,5.4,6.2,2.4,1.07
2017-12,15.7,17.3,61.8,28.0,48.5,33.5,21.6,6.4,13.5,5.3,4.2,2.3,1.33
2018-01,9.6,12.9,62.7,27.4,43.6,36.3,29.7,3.7,12.8,3.0,5.7,2.6,1.39
2018-02,12.6,12.2,61.4,26.0,45.3,36.1,26.3,5.5,12.8,5.3,4.9,2.3,1.1
2018-03,16.2,21.7,63.0,17.7,44.2,34.1,25.8,3.3,12.8,2.8,7.4,2.1,0.73
2018-04,13.0,23.5,60.1,22.7,50.8,34.8,27.8,3.5,12.5,3.0,5.6,2.3,0.37
2018-05,11.5,18.1,62.4,20.3,43.1,36.6,30.2,1.2,12.5,3.1,6.1,2.2,0.7
2018-06,15.2,16.6,61.9,28.5,45.2,37.1,29.1,1.7,15.1,3.1,5.2,2.3,0.83
2018-07,18.1,7.2,60.4,29.1,38.0,37.6,30.2,2.4,12.0,3.0,2.4,2.2,0.84
2018-08,14.0,6.3,60.2,31.7,35.8,45.5,28.9,6.8,11.9,2.6,0.8,2.4,0.31
2018-09,11.2,13.9,58.6,31.0,39.4,44.9,35.7,5.3,14.0,2.3,4.5,2.2,-0.02
2018-10,6.8,14.5,60.1,27.3,37.9,37.9,36.1,6.0,15.2,3.1,3.9,2.1,-0.1
2018-11,3.6,15.9,58.3,35.7,44.0,39.7,38.8,3.5,15.6,3.1,1.9,2.0,0.05
2018-12,6.0,13.0,60.2,34.3,42.6,42.4,42.1,6.6,13.2,2.4,4.8,2.3,0.07
2019-01,4.4,7.5,58.8,35.7,37.2,36.9,46.5,6.2,12.4,2.7,4.7,2.0,-0.05
2019-02,7.1,6.0,58.0,30.4,36.8,38.6,35.4,4.3,21.2,2.5,3.7,1.7,-0.1
2019-03,-0.9,7.4,59.3,21.7,33.9,43.6,55.3,4.4,8.6,5.8,1.7,2.1,-0.11
2019-04,6.2,5.9,62.1,22.2,29.2,45.7,44.1,4.8,11.8,1.7,0.8,2.1,0.47
2019-05,0.2,6.1,59.5,17.8,34.7,42.4,43.4,5.7,8.9,2.7,-0.1,2.1,0.74
2019-06,-1.5,0.3,59.3,15.7,32.6,41.7,53.3,4.9,7.8,6.3,0.4,1.7,0.64
2019-07,-20.1,-0.6,57.3,14.9,34.9,39.4,52.7,5.5,5.8,8.0,0.5,2.1,-0.15
2019-08,-19.8,3.6,59.8,25.8,35.0,39.7,51.2,5.3,7.2,6.9,-0.3,2.1,-0.71
2019-09,-21.7,15.5,58.7,18.1,27.4,43.3,36.8,5.4,10.6,2.3,0.4,2.1,-0.9
2019-10,-13.1,4.9,59.5,19.7,25.9,44.4,44.6,4.8,12.1,2.3,0.0,2.2,-0.6
2019-11,-7.5,3.2,63.2,21.4,33.2,44.0,47.0,4.0,10.0,2.8,0.8,2.2,-0.3
2019-12,-13.8,3.0,60.7,19.5,33.1,44.6,49.6,2.0,14.1,4.8,2.9,1.9,-0.09
2020-01,-17.5,-5.7,62.7,20.8,36.7,47.9,54.6,2.2,15.0,1.8,1.2,2.0,0.02
2020-02,-14.0,6.2,54.2,13.0,44.5,49.8,50.2,1.9,15.6,1.6,-1.2,1.8,0.3
2020-03,-12.7,-14.9,55.5,12.8,36.5,47.6,47.3,1.6,14.4,2.5,-2.6,1.9,-1.6
