scope,model,h,sample,n,rmse,bias
primary_support,FAST_ADMINISTERED_SA_AR,6,origins_2019_2021,32,3.269476706126129,-1.8960862172943178
primary_support,FAST_ADMINISTERED_SA_AR,6,origins_2022_2023,24,2.664387257326627,-0.3005335125043134
primary_support,FAST_ADMINISTERED_SA_AR,6,origins_2024plus,25,1.0765845697956204,0.7339599462269741
primary_support,FAST_ADMINISTERED_SA_AR,12,full,75,5.159890620283904,-1.3452634800248036
primary_support,FAST_ADMINISTERED_SA_AR,12,origins_2019_2021,32,6.970017103570678,-4.634202275576602
primary_support,FAST_ADMINISTERED_SA_AR,12,origins_2022_2023,24,4.000307979327503,0.697491386888017
primary_support,FAST_ADMINISTERED_SA_AR,12,origins_2024plus,19,1.7498838626058038,1.6136799226988716
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,3,full,84,1.4612156831920424,-0.33245689749326945
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,3,origins_2019_2021,32,1.0769634026263084,-0.5050318318959596
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,3,origins_2022_2023,24,2.3680876981120877,-0.5773265631175414
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,3,origins_2024plus,28,0.5226770770977057,0.07465988378775226
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,6,full,81,2.2941120773566066,-0.7558963128743861
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,6,origins_2019_2021,32,2.7852538623674445,-1.6346460478840679
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,6,origins_2022_2023,24,2.666799430003563,-0.5900981997356495
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,6,origins_2024plus,25,0.5429864386477623,0.2097371593248196
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,12,full,75,4.875000565920829,-1.6488429625587382
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,12,origins_2019_2021,32,6.684351352221446,-4.330843064971372
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,12,origins_2022_2023,24,3.75478061661643,0.16642377498766722
primary_support,FAST_ALCOHOL_TOBACCO_SA_AR,12,origins_2024plus,19,0.8670437777254941,0.5752413309197137
primary_support,FAST_CORE_SA_AR,3,full,84,1.7139928508095397,-0.5855922111523418
primary_support,FAST_CORE_SA_AR,3,origins_2019_2021,32,1.3237392106562103,-0.8349131919759939
primary_support,FAST_CORE_SA_AR,3,origins_2022_2023,24,2.749838139829769,-1.1730425927620078
primary_support,FAST_CORE_SA_AR,3,origins_2024plus,28,0.5738664094102611,0.20287495116868848
primary_support,FAST_CORE_SA_AR,6,full,81,3.0320846916721944,-1.296667388579228
primary_support,FAST_CORE_SA_AR,6,origins_2019_2021,32,3.5306117182352006,-2.302988667164567
primary_support,FAST_CORE_SA_AR,6,origins_2022_2023,24,3.7241528247178617,-1.8662755640268938
primary_support,FAST_CORE_SA_AR,6,origins_2024plus,25,0.7190546608634093,0.5382476964397663
primary_support,FAST_CORE_SA_AR,12,full,75,6.011094451544012,-2.8263664630549603
primary_support,FAST_CORE_SA_AR,12,origins_2019_2021,32,7.80860069987567,-5.625143457358412
primary_support,FAST_CORE_SA_AR,12,origins_2022_2023,24,5.453590616115689,-2.444101685580199
primary_support,FAST_CORE_SA_AR,12,origins_2024plus,19,1.5392887425201676,1.404502440014315
primary_support,FAST_FOODNORM_R24,3,full,84,1.4566126181768873,-0.3831352738870727
primary_support,FAST_FOODNORM_R24,3,origins_2019_2021,32,1.066492679053353,-0.4912592986901262
primary_support,FAST_FOODNORM_R24,3,origins_2022_2023,24,2.3669763562358446,-0.6635573816140174
primary_support,FAST_FOODNORM_R24,3,origins_2024plus,28,0.5128925265314042,-0.01920315320334456
primary_support,FAST_FOODNORM_R24,6,full,81,2.2727292490959163,-0.8539919480558242
primary_support,FAST_FOODNORM_R24,6,origins_2019_2021,32,2.760526141640275,-1.6069058116850041
primary_support,FAST_FOODNORM_R24,6,origins_2022_2023,24,2.6496865736313446,-0.7586905890105634
primary_support,FAST_FOODNORM_R24,6,origins_2024plus,25,0.4912382873543518,0.01824849270607565
primary_support,FAST_FOODNORM_R24,12,full,75,4.800764598677102,-1.8306000445217405
primary_support,FAST_FOODNORM_R24,12,origins_2019_2021,32,6.634510916154379,-4.275374423165196
primary_support,FAST_FOODNORM_R24,12,origins_2022_2023,24,3.603371490550593,-0.16572425186342046
primary_support,FAST_FOODNORM_R24,12,origins_2024plus,19,0.6645998174267459,0.1839136972040949
primary_support,FAST_FOOD_SA_AR,3,full,84,1.5079702916218791,-0.3492820073042764
primary_support,FAST_FOOD_SA_AR,3,origins_2019_2021,32,1.1044977016829496,-0.5292915977311725
primary_support,FAST_FOOD_SA_AR,3,origins_2022_2023,24,2.454304744294231,-0.6740509668716714
primary_support,FAST_FOOD_SA_AR,3,origins_2024plus,28,0.514430386422456,0.13481663281280046
primary_support,FAST_FOOD_SA_AR,6,full,81,2.345457290473199,-0.7946757154461941
primary_support,FAST_FOOD_SA_AR,6,origins_2019_2021,32,2.8156856115102107,-1.674202459832641
primary_support,FAST_FOOD_SA_AR,6,origins_2022_2023,24,2.7757194538236045,-0.7363763546754462
primary_support,FAST_FOOD_SA_AR,6,origins_2024plus,25,0.528589955727835,0.27515113102853994
primary_support,FAST_FOOD_SA_AR,12,full,75,4.916008311439265,-1.7255094484538964
primary_support,FAST_FOOD_SA_AR,12,origins_2019_2021,32,6.731625044360034,-4.405336908195331
primary_support,FAST_FOOD_SA_AR,12,origins_2022_2023,24,3.811984758725771,-0.01570830797135425
primary_support,FAST_FOOD_SA_AR,12,origins_2024plus,19,0.8495521430342048,0.6281353589221498
primary_support,FAST_FUEL_SA_AR,3,full,84,1.4494340287125476,-0.3104517287141189
primary_support,FAST_FUEL_SA_AR,3,origins_2019_2021,32,1.1045814590299565,-0.5074983449728088
primary_support,FAST_FUEL_SA_AR,3,origins_2022_2023,24,2.3296234442988166,-0.5188157996608577
primary_support,FAST_FUEL_SA_AR,3,origins_2024plus,28,0.506298207576403,0.09334217925015989
primary_support,FAST_FUEL_SA_AR,6,full,81,2.2707733358901683,-0.7137266844715104
primary_support,FAST_FUEL_SA_AR,6,origins_2019_2021,32,2.782823820362885,-1.6400915346181804
primary_support,FAST_FUEL_SA_AR,6,origins_2022_2023,24,2.601576699466122,-0.49300457653350094
primary_support,FAST_FUEL_SA_AR,6,origins_2024plus,25,0.5448314946667193,0.2601271000957382
primary_support,FAST_FUEL_SA_AR,12,full,75,4.865856098145434,-1.5697003641750218
primary_support,FAST_FUEL_SA_AR,12,origins_2019_2021,32,6.668771257394675,-4.31890495565754
primary_support,FAST_FUEL_SA_AR,12,origins_2022_2023,24,3.7443464958329113,0.3252236142293521
primary_support,FAST_FUEL_SA_AR,12,origins_2024plus,19,0.9216178160506378,0.6669507645479044
primary_support,GENTLE_SLOPE,3,full,84,1.4387260776011894,-0.32475893393178135
primary_support,GENTLE_SLOPE,3,origins_2019_2021,32,1.069632347260663,-0.49417368359243957
primary_support,GENTLE_SLOPE,3,origins_2022_2023,24,2.3262024837850546,-0.48947192246046595
primary_support,GENTLE_SLOPE,3,origins_2024plus,28,0.5138610726515732,0.010040484419272102
primary_support,GENTLE_SLOPE,6,full,81,2.239464689623496,-0.7348264543122262
primary_support,GENTLE_SLOPE,6,origins_2019_2021,32,2.7560958517441234,-1.598373007156387
primary_support,GENTLE_SLOPE,6,origins_2022_2023,24,2.55361295897757,-0.38903249271010726
primary_support,GENTLE_SLOPE,6,origins_2024plus,25,0.5159368686757626,0.03855093019026588
primary_support,GENTLE_SLOPE,12,full,75,4.810145946520235,-1.582534133354861
primary_support,GENTLE_SLOPE,12,origins_2019_2021,32,6.609575969042405,-4.207653291997072
primary_support,GENTLE_SLOPE,12,origins_2022_2023,24,3.694631594876057,0.6307823971047192
primary_support,GENTLE_SLOPE,12,origins_2024plus,19,0.7158989707447333,0.042950937462024774
primary_support,SELL_SIDE_PATH,3,full,84,1.9391895137389086,-0.5538500543770487
primary_support,SELL_SIDE_PATH,3,origins_2019_2021,32,1.859097444546139,-1.106951059048054
primary_support,SELL_SIDE_PATH,3,origins_2022_2023,24,2.753445172994303,-1.0897676377142629
primary_support,SELL_SIDE_PATH,3,origins_2024plus,28,0.9126779265621263,0.5376233081074268
primary_support,SELL_SIDE_PATH,6,full,81,3.3840589769141505,-1.1630743897531906
primary_support,SELL_SIDE_PATH,6,origins_2019_2021,32,4.079534386134455,-2.6345351980780185
primary_support,SELL_SIDE_PATH,6,origins_2022_2023,24,3.799683372047744,-1.6590506851540585
primary_support,SELL_SIDE_PATH,6,origins_2024plus,25,1.3933383305629181,1.1965326884874232
primary_support,SELL_SIDE_PATH,12,full,75,6.396790740995716,-2.5516187967332424
primary_support,SELL_SIDE_PATH,12,origins_2019_2021,32,8.235759624207212,-6.040300273502956
primary_support,SELL_SIDE_PATH,12,origins_2022_2023,24,5.6327020757125235,-1.993708893049974
primary_support,SELL_SIDE_PATH,12,origins_2024plus,19,2.6850103286077474,2.6193269700158317
primary_support,SELL_SIDE_TARGET_PATH,3,full,84,1.961367551094771,-0.752841627738804
primary_support,SELL_SIDE_TARGET_PATH,3,origins_2019_2021,32,1.8760684889329318,-1.0691442450674293
primary_support,SELL_SIDE_TARGET_PATH,3,origins_2022_2023,24,2.847611455053462,-1.407804906926889
primary_support,SELL_SIDE_TARGET_PATH,3,origins_2024plus,28,0.7536393875427378,0.17004417422655435
primary_support,SELL_SIDE_TARGET_PATH,6,full,81,3.4166460373222924,-1.5440144750552063
primary_support,SELL_SIDE_TARGET_PATH,6,origins_2019_2021,32,4.119158801422902,-2.5591127967939267
primary_support,SELL_SIDE_TARGET_PATH,6,origins_2022_2023,24,4.004232733705019,-2.2811314026935707
primary_support,SELL_SIDE_TARGET_PATH,6,origins_2024plus,25,0.8433018779368017,0.4629436273031859
primary_support,SELL_SIDE_TARGET_PATH,12,full,75,6.391071771232207,-3.245703968543479
primary_support,SELL_SIDE_TARGET_PATH,12,origins_2019_2021,32,8.277975016169847,-5.889231831968174
primary_support,SELL_SIDE_TARGET_PATH,12,origins_2022_2023,24,5.913224151150903,-3.196951979332113
primary_support,SELL_SIDE_TARGET_PATH,12,origins_2024plus,19,1.2865652029901233,1.1449720255890186
cnb_pairs_2024plus_report_clock,SELL_SIDE_PATH,all,reports_2024plus,34,1.3122321242517123,0.9210273293999914
cnb_pairs_2024plus_report_clock,SELL_SIDE_PATH,4Q,reports_2024plus,7,2.1359493102767098,1.9471065805587189
cnb_pairs_2024plus_report_clock,SELL_SIDE_TARGET_PATH,all,reports_2024plus,34,0.7454658595702882,0.2749779546494626
cnb_pairs_2024plus_report_clock,SELL_SIDE_TARGET_PATH,4Q,reports_2024plus,7,1.1085209856812401,0.6894356569404216
cnb_pairs_2024plus_report_clock,FAST_CORE_SA_AR,all,reports_2024plus,34,0.7310267165163916,0.4501461929178835
cnb_pairs_2024plus_report_clock,FAST_CORE_SA_AR,4Q,reports_2024plus,7,1.2012921935696266,1.0582688548952224
cnb_pairs_2024plus_report_clock,FAST_FOOD_SA_AR,all,reports_2024plus,34,0.4698294452731874,0.18306428108444153
cnb_pairs_2024plus_report_clock,FAST_FOOD_SA_AR,4Q,reports_2024plus,7,0.6847722197039289,0.42457095458580196
cnb_pairs_2024plus_report_clock,FAST_FUEL_SA_AR,all,reports_2024plus,34,0.48070246085275803,0.14559547276566515
cnb_pairs_2024plus_report_clock,FAST_FUEL_SA_AR,4Q,reports_2024plus,7,0.694515517075676,0.4055064649117654
cnb_pairs_2024plus_report_clock,FAST_ADMINISTERED_SA_AR,all,reports_2024plus,34,0.9462309180848063,0.5068822625896172
cnb_pairs_2024plus_report_clock,FAST_ADMINISTERED_SA_AR,4Q,reports_2024plus,7,1.4453586825495046,1.103168790924555
cnb_pairs_2024plus_report_clock,FAST_ALCOHOL_TOBACCO_SA_AR,all,reports_2024plus,34,0.4884395591353227,0.12721969963725333
cnb_pairs_2024plus_report_clock,FAST_ALCOHOL_TOBACCO_SA_AR,4Q,reports_2024plus,7,0.6991251250580969,0.3603281538095482
cnb_pairs_2024plus_report_clock,FAST,all,reports_2024plus,34,0.4734106810594962,0.12349405513437273
cnb_pairs_2024plus_report_clock,FAST,4Q,reports_2024plus,7,0.6786899413851567,0.3527516988369266
cnb_pairs_2024plus_report_clock,CURRENT_CORE,all,reports_2024plus,34,0.40193643642383886,0.12545242457147346
cnb_pairs_2024plus_report_clock,CURRENT_CORE,4Q,reports_2024plus,7,0.5454470338622144,0.34694637676050505
cnb_pairs_2024plus_report_clock,GENTLE_SLOPE,all,reports_2024plus,34,0.4803596594924942,-0.052956006734546035
cnb_pairs_2024plus_report_clock,GENTLE_SLOPE,4Q,reports_2024plus,7,0.6765347018311086,-0.06670373222918095
cnb_pairs_2024plus_report_clock,FAST_FOODNORM_R24,all,reports_2024plus,34,0.4385543724243261,-0.043201108559789515
cnb_pairs_2024plus_report_clock,FAST_FOODNORM_R24,4Q,reports_2024plus,7,0.5826638573862053,0.023735571060003697
cnb_pairs_2024plus_report_clock,CNB,all,reports_2024plus,34,0.37178899761039697,0.03658731984428897
cnb_pairs_2024plus_report_clock,CNB,4Q,reports_2024plus,7,0.426250199997777,0.03430629599958473
