sample,h,model,n,yy_rmse,yy_bias
origins_2024_on,10,TVWQRF_QRF_MEDIAN_INDEP,21,0.5621506833089406,-0.07029868984513381
origins_2024_on,10,TVWQRF_TVW3_INDEP,21,0.9549551668158277,-0.14886418896185438
origins_2024_on,11,F1b,20,1.162591550195339,0.6559497642457528
origins_2024_on,11,F2_D1_fixed,20,0.4908681746711628,0.2729055628840817
origins_2024_on,11,NAIVE_C,20,4.28949285112364,4.2429805676906645
origins_2024_on,11,RW_C,20,1.171404861088874,0.4447190918472567
origins_2024_on,11,TVWQRF_QRF_MEAN_INDEP,20,1.33732661156011,1.066876723314926
origins_2024_on,11,TVWQRF_QRF_MEDIAN_INDEP,20,0.5963321985316146,-0.036656777484642925
origins_2024_on,11,TVWQRF_TVW3_INDEP,20,1.042599922250417,-0.19165040289489207
origins_2024_on,12,F1b,19,1.1995575663719775,0.6911876616270823
origins_2024_on,12,F2_D1_fixed,19,0.5082689473243707,0.2878215031559918
origins_2024_on,12,NAIVE_C,19,4.7052673416499635,4.687062630415991
origins_2024_on,12,RW_C,19,1.1747390415880303,0.48305490664161105
origins_2024_on,12,TVWQRF_QRF_MEAN_INDEP,19,1.4311666728327186,1.0769806416534151
origins_2024_on,12,TVWQRF_QRF_MEDIAN_INDEP,19,0.7039942178514024,-0.14103957886272547
origins_2024_on,12,TVWQRF_TVW3_INDEP,19,1.1826005357276388,-0.32896634535078717
