origin,model,status,n_train
2024-08,GAP_IMPORTED_R23,estimated,40
2024-08,GAP_JOINT_R23,estimated,40
2024-08,GAP_FREE_R23,estimated,40
2024-08,GAP_ENET_R23,estimated,40
2024-08,GAP_HALF_R23,estimated,40
2024-09,GAP_CALIBRATION_R23,estimated,40
2024-09,GAP_DOMESTIC_R23,estimated,40
2024-09,GAP_IMPORTED_R23,estimated,40
2024-09,GAP_JOINT_R23,estimated,40
2024-09,GAP_FREE_R23,estimated,40
2024-09,GAP_ENET_R23,estimated,40
2024-09,GAP_HALF_R23,estimated,40
2024-10,GAP_CALIBRATION_R23,estimated,40
2024-10,GAP_DOMESTIC_R23,estimated,40
2024-10,GAP_IMPORTED_R23,estimated,40
2024-10,GAP_JOINT_R23,estimated,40
2024-10,GAP_FREE_R23,estimated,40
2024-10,GAP_ENET_R23,estimated,40
2024-10,GAP_HALF_R23,estimated,40
2024-11,GAP_CALIBRATION_R23,estimated,40
2024-11,GAP_DOMESTIC_R23,estimated,40
2024-11,GAP_IMPORTED_R23,estimated,40
2024-11,GAP_JOINT_R23,estimated,40
2024-11,GAP_FREE_R23,estimated,40
2024-11,GAP_ENET_R23,estimated,40
2024-11,GAP_HALF_R23,estimated,40
2024-12,GAP_CALIBRATION_R23,estimated,40
2024-12,GAP_DOMESTIC_R23,estimated,40
2024-12,GAP_IMPORTED_R23,estimated,40
2024-12,GAP_JOINT_R23,estimated,40
2024-12,GAP_FREE_R23,estimated,40
2024-12,GAP_ENET_R23,estimated,40
2024-12,GAP_HALF_R23,estimated,40
2025-01,GAP_CALIBRATION_R23,estimated,40
2025-01,GAP_DOMESTIC_R23,estimated,40
2025-01,GAP_IMPORTED_R23,estimated,40
2025-01,GAP_JOINT_R23,estimated,40
2025-01,GAP_FREE_R23,estimated,40
2025-01,GAP_ENET_R23,estimated,40
2025-01,GAP_HALF_R23,estimated,40
2025-02,GAP_CALIBRATION_R23,estimated,40
2025-02,GAP_DOMESTIC_R23,estimated,40
