as_of_utc,target,model,mm_forecast,native_h0,h0_exante,h0_actual,h0_method,mm_actual,yy_actual,yy_conditional,status,converged,fallback_used,unemployment_end,unemployment_adjustments,fx_end,headline_n,origin,h,origin_status,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge,value_core,value_food,value_administered,value_alcohol_tobacco,value_fuel,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core,legacy_source_fallback_used,legacy_source_origin_status,legacy_source_converged,fuel_fallback_used,energy_scenario_status,yy_exante,cumulative_log_forecast,cumulative_log_actual
2021-01-12T22:59:00+00:00,2021-06,FUEL_ANNUAL_LOW_R17,0.17695173906034575,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.523560209424101,2.765388046387192,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,6,research_estimated,0.14188200961308975,-0.0036257653035249014,0.007653951749144798,0.031128881574857225,-0.010065417758306954,0.009978079185085845,0.25866251955527053,-0.02046439797071298,0.05,0.35791373310131713,-0.29386528064668566,0.009978079185085845,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.1780001765558388,1.9803738829716828,2.906413294391148
2021-01-12T22:59:00+00:00,2021-07,FUEL_ANNUAL_LOW_R17,0.24880220235735173,,0.1743986297500019,-0.1784121320249632,HARD_BASE,1.041666666666674,3.3747779751332514,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,7,research_estimated,0.34066739969838966,-0.09067812303917104,0.007653951749144798,0.02845888521699235,-0.010262026425722593,-0.02703788484228145,0.6210645604514915,-0.5118017967977196,0.05,0.32721464224216473,-0.29960537635011386,-0.02703788484228145,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,1.9773712855856982,2.228867085076376,3.942691997945814
2021-01-12T22:59:00+00:00,2021-08,FUEL_ANNUAL_LOW_R17,0.00023463514770497018,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.6872852233676952,4.085257548845505,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,8,research_estimated,0.07785169198678324,-0.09087100301024806,0.0,-0.008978493678339465,-0.012223647459886827,0.03445608730939608,0.14193000829249874,-0.5128904421341572,0.0,-0.10323294726517311,-0.3568759566249733,0.03445608730939608,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,1.9776105603414398,2.229101719948813,4.62762618250329
2021-01-12T22:59:00+00:00,2021-09,FUEL_ANNUAL_LOW_R17,-0.2612319451289433,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.1706484641638139,4.915102770330665,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,9,research_estimated,-0.25043621606260713,-0.0042124219307196255,0.015307903498289597,0.034671640243906884,-0.012528291734945782,-0.044034559142867295,-0.4565657253607559,-0.02377558159293956,0.1,0.39864767266375817,-0.3657702099522852,-0.044034559142867295,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.347475634698959,1.967527968773267,4.798129207611665
2021-01-12T22:59:00+00:00,2021-10,FUEL_ANNUAL_LOW_R17,0.32293326421472945,,0.1743986297500019,-0.1784121320249632,HARD_BASE,1.0221465076660996,5.798394290811807,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,10,research_estimated,0.2522488484129767,0.08715821245581627,0.0,-0.006141605437219251,-0.011226906615535949,0.000894715398691665,0.45987030253761263,0.4919348597598845,0.0,-0.07061496648970342,-0.327775572021915,0.000894715398691665,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.494799688101492,2.2899409233898957,5.815087124574566
2021-01-12T22:59:00+00:00,2021-11,FUEL_ANNUAL_LOW_R17,0.055052609987423805,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.1686340640809414,5.976806422836781,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,11,research_estimated,0.009974648649936045,0.04326497292343175,0.0,-7.623385174710076e-05,-0.01261243673178471,0.014501658997587819,0.01818460112389755,0.24419441138025885,0.0,-0.0008765217729356326,-0.36822686835483176,0.014501658997587819,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.551225750431174,2.344978384987455,5.983579161066511
2021-01-12T22:59:00+00:00,2021-12,FUEL_ANNUAL_LOW_R17,0.1355448198997194,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.4208754208754106,6.613047363717604,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,12,research_estimated,0.11980742422750129,0.08184340854416475,0.0,-0.04364607622873131,-0.012540949474538737,-0.009918987168676601,0.2184187431276248,0.4619372583490595,0.0,-0.5018339653701975,-0.3661397594620178,-0.009918987168676601,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.5114500604372907,2.480431425821318,6.4035713785990875
2021-01-12T22:59:00+00:00,2020-12,FUEL_ANNUAL_HIGH_R17,0.1743986297500019,,0.1743986297500019,-0.1784121320249632,HARD_BASE,-0.1784121320249632,2.285191956124307,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,0,research_estimated,,,,,,,,,,,,,,,,,,False,estimated,True,False,estimated,2.646710113299568,0.0,0.0
2021-01-12T22:59:00+00:00,2021-01,FUEL_ANNUAL_HIGH_R17,0.9635817023411657,,0.1743986297500019,-0.1784121320249632,HARD_BASE,1.3404825737265424,2.162162162162171,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,1,research_estimated,0.22793069856858347,0.23723143487913811,0.21431064897605434,0.2396730999767704,0.044125389118742385,0.0003104308218769142,0.4155363244185641,1.3389720757188057,1.4,2.7557139735446645,1.2882644484698,0.0003104308218769142,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.141945732276694,0.9589688625033798,1.3315775975772155
2021-01-12T22:59:00+00:00,2021-02,FUEL_ANNUAL_HIGH_R17,0.30884289357641104,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.1763668430335041,2.066486972147356,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,2,research_estimated,0.2038202576224572,0.0519386653152821,0.015307903498289597,-0.03267740555432919,0.04294496144367048,0.027508511251040823,0.37158101662640397,0.2931501153828888,0.1,-0.37571835601900583,1.2538012281298558,0.027508511251040823,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.1812383639397788,1.267335816101304,1.507789096917138
