event,source_quantity_known_from,prior_poze_assumption,annual_mwh,supplier_fixed_czk,commodity_reset_share,distribution_assumption_czk_mwh,previous_bill_czk,current_bill_czk,bill_change_pct,national_candidate_eligible,reason
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,3.5,100.0,0.5,1500.0,2035.5729166666667,1818.5291666666667,-10.662538699690405,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,3.5,100.0,1.0,1500.0,2035.5729166666667,1776.1791666666668,-12.743034055727554,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,3.5,200.0,0.0,1500.0,2156.572916666667,1981.8791666666666,-8.100526008182364,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,3.5,200.0,0.5,1500.0,2156.572916666667,1939.5291666666667,-10.064289888953837,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,3.5,200.0,1.0,1500.0,2156.572916666667,1897.1791666666668,-12.028053769725311,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,10.0,0.0,0.0,1500.0,5470.208333333334,4971.083333333334,-9.124423963133644,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,10.0,0.0,0.5,1500.0,5470.208333333334,4850.083333333333,-11.33640552995393,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,10.0,0.0,1.0,1500.0,5470.208333333334,4729.083333333333,-13.548387096774206,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,10.0,100.0,0.0,1500.0,5591.208333333334,5092.083333333334,-8.926961226330022,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,10.0,100.0,0.5,1500.0,5591.208333333334,4971.083333333334,-11.091073038773668,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,10.0,100.0,1.0,1500.0,5591.208333333334,4850.083333333333,-13.255184851217328,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,10.0,200.0,0.0,1500.0,5712.208333333334,5213.083333333334,-8.737864077669899,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,10.0,200.0,0.5,1500.0,5712.208333333334,5092.083333333334,-10.856134157105036,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,10.0,200.0,1.0,1500.0,5712.208333333334,4971.083333333334,-12.97440423654016,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
