threshold,clock,report_date,origin,as_of_utc,model,quarter,actual_turn,model_turn,cnb_turn,model_hit,cnb_hit,model_false_call,fully_future,actual_before,actual_centre,actual_after,model_before,model_centre,model_after,cnb_before,cnb_centre,cnb_after
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,MONTHLY_OWN_CORE_R17,2024Q3,0,0,0,False,False,False,True,2.4619743363836157,2.3104616266815143,2.8836531940027847,2.4407743023735287,2.3568641071992933,3.157222495886353,2.43930764498391,2.11409498,2.51517686
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,MONTHLY_OWN_CORE_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.3568641071992933,3.157222495886353,3.071159311378113,2.11409498,2.51517686,2.35125799
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,PATH_COMPONENT_HALF_R17,2024Q3,0,0,0,False,False,False,True,2.4619743363836157,2.3104616266815143,2.8836531940027847,2.3425483110409586,2.13048307149492,2.8101478286227306,2.43930764498391,2.11409498,2.51517686
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,PATH_COMPONENT_HALF_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.13048307149492,2.8101478286227306,2.71596764178856,2.11409498,2.51517686,2.35125799
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,PATH_COMPONENT_SELECT_R17,2024Q3,0,0,0,False,False,False,True,2.4619743363836157,2.3104616266815143,2.8836531940027847,2.478361513052893,2.418176802744412,3.190628593126707,2.43930764498391,2.11409498,2.51517686
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,PATH_COMPONENT_SELECT_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.418176802744412,3.190628593126707,3.056746261578066,2.11409498,2.51517686,2.35125799
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,PATH_FAST_CURRENT_HALF_R17,2024Q3,0,0,0,False,False,False,True,2.4619743363836157,2.3104616266815143,2.8836531940027847,2.469951394420482,2.391091328620188,3.1399792913870086,2.43930764498391,2.11409498,2.51517686
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,PATH_FAST_CURRENT_HALF_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.391091328620188,3.1399792913870086,2.9805723080745268,2.11409498,2.51517686,2.35125799
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,PATH_POOL_R17,2024Q3,0,0,0,False,False,False,True,2.4619743363836157,2.3104616266815143,2.8836531940027847,2.462394678294091,2.366956686948725,3.090476929796381,2.43930764498391,2.11409498,2.51517686
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,PATH_POOL_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.366956686948725,3.090476929796381,2.897088630544612,2.11409498,2.51517686,2.35125799
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,RF_RESIDUAL_R15,2024Q3,0,0,0,False,False,False,True,2.4619743363836157,2.3104616266815143,2.8836531940027847,2.590081667357197,2.7879970595608685,3.9144274053104096,2.43930764498391,2.11409498,2.51517686
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,RF_RESIDUAL_R15,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.7879970595608685,3.9144274053104096,4.104001087128483,2.11409498,2.51517686,2.35125799
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,STABLE_LOCAL_CORE_R14B,2024Q3,0,0,0,False,False,False,True,2.4619743363836157,2.3104616266815143,2.8836531940027847,2.461541778098415,2.364011839598661,3.0893520030573463,2.43930764498391,2.11409498,2.51517686
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,STABLE_LOCAL_CORE_R14B,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.364011839598661,3.0893520030573463,2.904449755073543,2.11409498,2.51517686,2.35125799
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,STABLE_PIPELINE_R14B,2024Q3,0,0,0,False,False,False,True,2.4619743363836157,2.3104616266815143,2.8836531940027847,2.4454092246622463,2.324498751060002,3.0204709822377147,2.43930764498391,2.11409498,2.51517686
