model,frame,n,rmse,mae,consensus_mae,consensus_rmse,closer,direction,material_win,material_loss,alerts,big,alerted_big,false_alarm,directional_big_hit,material_big_hit,median_capture,overshoot_over_2,total_gain
HARD_FULL,flash2025+,19,0.1638271242938502,0.13239549655765354,0.15789473684210525,0.19466570535691505,11,11,2,1,2,1,0,2,0,0,0.1438854188330435,0,0.48448556540458276
HARD_FULL,big,23,0.6710742877935716,0.47606113106941467,0.5782608695652175,0.6950132935857196,16,17,9,2,7,23,7,0,7,6,0.22050068631427075,1,2.3505939854034636
HARD_FULL,big_ex_jan,19,0.7065802335235483,0.49063590002425816,0.5947368421052632,0.7287335806582179,14,14,8,1,5,19,5,0,5,5,0.22050068631427075,0,1.9779178995390945
HARD_FULL,alerts,23,0.41840093170859916,0.3213253191257471,0.26521739130434785,0.3196465439254401,11,16,9,10,23,7,7,16,7,6,0.66398055346815,1,-1.2904823398921823
HARD_FULL,big_2024+,5,0.4050088905739455,0.37065680275797186,0.45999999999999996,0.4626013402488151,4,5,2,1,2,5,2,0,2,1,0.41023930216293647,1,0.4467159862101404
HARD_HALF,all,90,0.41369643830575464,0.26437319954197214,0.25333333333333335,0.3815174380753199,43,48,10,11,22,23,7,15,6,5,0.23747852142459502,1,-0.9935879587774938
HARD_HALF,2024+,31,0.21958807119044277,0.16785552729960737,0.18709677419354834,0.2409657986707497,18,19,3,1,5,5,2,3,2,1,0.3248218354132155,1,0.5964786537121708
HARD_HALF,flash2025+,19,0.16560096093755453,0.13375320629227996,0.15789473684210525,0.19466570535691505,12,12,2,0,2,1,0,2,0,0,0.179552058289383,0,0.45868908044668044
HARD_HALF,big,23,0.6833130723904106,0.479371431160143,0.5782608695652175,0.6950132935857196,15,16,7,1,7,23,7,0,6,5,0.23747852142459502,1,2.274457083316712
HARD_HALF,big_ex_jan,19,0.7201400489073938,0.49466312228371356,0.5947368421052632,0.7287335806582179,14,14,6,1,5,19,5,0,4,4,0.23747852142459502,0,1.901400676609443
HARD_HALF,alerts,22,0.6693338518992189,0.40368863384598674,0.35454545454545455,0.5815340215170718,10,15,8,9,22,7,7,15,6,5,0.7726464445806605,1,-1.08114994461171
HARD_HALF,big_2024+,5,0.3838668201179163,0.355357078708163,0.45999999999999996,0.4626013402488151,4,5,1,0,2,5,2,0,2,1,0.3248218354132155,1,0.5232146064591847
