threshold,clock,model,frame,n,actual_turns,calls,hits,false_calls,cnb_calls,cnb_hits,correct_model_cnb_not,distinct_actual_turns,distinct_model_hits
0.1,report,MONTHLY_DOMESTIC_CORE_R17,fully_future_centre,31,20,10,4,6,6,5,3,10,3
0.1,report,MONTHLY_IMPORTED_CORE_R17,unfinished_or_future_quarter,31,20,10,4,6,6,5,3,10,3
0.1,report,MONTHLY_IMPORTED_CORE_R17,fully_future_centre,31,20,10,4,6,6,5,3,10,3
0.1,report,MONTHLY_OWN_CORE_R17,unfinished_or_future_quarter,31,20,10,4,6,6,5,3,10,3
0.1,report,MONTHLY_OWN_CORE_R17,fully_future_centre,31,20,10,4,6,6,5,3,10,3
0.1,report,PATH_COMPONENT_HALF_R17,unfinished_or_future_quarter,31,20,13,7,6,6,5,4,10,4
0.1,report,PATH_COMPONENT_HALF_R17,fully_future_centre,31,20,13,7,6,6,5,4,10,4
0.1,report,PATH_COMPONENT_SELECT_R17,unfinished_or_future_quarter,31,20,11,5,6,6,5,3,10,3
0.1,report,PATH_COMPONENT_SELECT_R17,fully_future_centre,31,20,11,5,6,6,5,3,10,3
0.1,report,PATH_FAST_CURRENT_HALF_R17,unfinished_or_future_quarter,31,20,11,5,6,6,5,3,10,3
0.1,report,PATH_FAST_CURRENT_HALF_R17,fully_future_centre,31,20,11,5,6,6,5,3,10,3
0.1,report,PATH_POOL_R17,unfinished_or_future_quarter,31,20,15,8,7,6,5,5,10,5
0.1,report,PATH_POOL_R17,fully_future_centre,31,20,15,8,7,6,5,5,10,5
0.1,report,RF_RESIDUAL_R15,unfinished_or_future_quarter,31,20,10,3,7,6,5,3,10,2
0.1,report,RF_RESIDUAL_R15,fully_future_centre,31,20,10,3,7,6,5,3,10,2
0.1,report,STABLE_LOCAL_CORE_R14B,unfinished_or_future_quarter,31,20,11,5,6,6,5,3,10,3
0.1,report,STABLE_LOCAL_CORE_R14B,fully_future_centre,31,20,11,5,6,6,5,3,10,3
0.1,report,STABLE_PIPELINE_R14B,unfinished_or_future_quarter,31,20,13,7,6,6,5,3,10,4
0.1,report,STABLE_PIPELINE_R14B,fully_future_centre,31,20,13,7,6,6,5,3,10,4
0.1,report,STATE_FAST_R15,unfinished_or_future_quarter,31,20,11,5,6,6,5,3,10,3
0.1,report,STATE_FAST_R15,fully_future_centre,31,20,11,5,6,6,5,3,10,3
0.25,cutoff,COMBO_ALL_R17,unfinished_or_future_quarter,31,10,8,1,7,2,0,1,5,1
0.25,cutoff,COMBO_ALL_R17,fully_future_centre,31,10,8,1,7,2,0,1,5,1
0.25,cutoff,COMBO_CORE_R17,unfinished_or_future_quarter,31,10,7,2,5,2,0,2,5,1
0.25,cutoff,COMBO_CORE_R17,fully_future_centre,31,10,7,2,5,2,0,2,5,1
0.25,cutoff,COMBO_FOOD_FUEL_R17,unfinished_or_future_quarter,31,10,10,2,8,2,0,2,5,1
0.25,cutoff,COMBO_FOOD_FUEL_R17,fully_future_centre,31,10,10,2,8,2,0,2,5,1
0.25,cutoff,CORE_FAST_H0_R17,unfinished_or_future_quarter,31,10,8,2,6,2,0,2,5,1
0.25,cutoff,CORE_FAST_H0_R17,fully_future_centre,31,10,8,2,6,2,0,2,5,1
0.25,cutoff,CORE_NEWS_H0_R17,unfinished_or_future_quarter,31,10,7,1,6,2,0,1,5,1
0.25,cutoff,CORE_NEWS_H0_R17,fully_future_centre,31,10,7,1,6,2,0,1,5,1
0.25,cutoff,CORE_NEWS_R17,unfinished_or_future_quarter,31,10,10,2,8,2,0,2,5,1
0.25,cutoff,CORE_NEWS_R17,fully_future_centre,31,10,10,2,8,2,0,2,5,1
0.25,cutoff,CORE_ROBUST_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,CORE_ROBUST_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,DAMPED_P95_Q001_R16,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,DAMPED_P95_Q001_R16,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,FOOD_ASYMMETRIC_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,FOOD_ASYMMETRIC_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,FOOD_HALF_CORRECTION_R17,unfinished_or_future_quarter,31,10,11,2,9,2,0,2,5,1
0.25,cutoff,FOOD_HALF_CORRECTION_R17,fully_future_centre,31,10,11,2,9,2,0,2,5,1
0.25,cutoff,FOOD_OWN_R17,unfinished_or_future_quarter,31,10,10,2,8,2,0,2,5,1
0.25,cutoff,FOOD_OWN_R17,fully_future_centre,31,10,10,2,8,2,0,2,5,1
0.25,cutoff,FOOD_PERSISTENCE_R17,unfinished_or_future_quarter,31,10,11,2,9,2,0,2,5,1
0.25,cutoff,FOOD_PERSISTENCE_R17,fully_future_centre,31,10,11,2,9,2,0,2,5,1
0.25,cutoff,FOOD_SEASONAL_R17,unfinished_or_future_quarter,31,10,8,2,6,2,0,2,5,1
0.25,cutoff,FOOD_SEASONAL_R17,fully_future_centre,31,10,8,2,6,2,0,2,5,1
0.25,cutoff,FOOD_SYMMETRIC_R17,unfinished_or_future_quarter,31,10,10,2,8,2,0,2,5,1
0.25,cutoff,FOOD_SYMMETRIC_R17,fully_future_centre,31,10,10,2,8,2,0,2,5,1
0.25,cutoff,FUEL_ANNUAL_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,FUEL_ANNUAL_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,FUEL_SPOT_ECM_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,FUEL_SPOT_ECM_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,INDEPENDENT_BRIDGE,unfinished_or_future_quarter,31,10,7,2,5,2,0,2,5,1
0.25,cutoff,INDEPENDENT_BRIDGE,fully_future_centre,31,10,7,2,5,2,0,2,5,1
0.25,cutoff,MONTHLY_AR_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,MONTHLY_AR_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,MONTHLY_BOTH_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,MONTHLY_BOTH_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,MONTHLY_DOMESTIC_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,MONTHLY_DOMESTIC_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,MONTHLY_IMPORTED_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,MONTHLY_IMPORTED_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,MONTHLY_OWN_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
