period,model,actual,consensus,forecast,error,surprise,deviation,gain,big,alert,directional_big_hit,wrong_way_big_alert,material_big_hit,capture_ratio,survey_median,valid,common_valid,closer,material_win,material_loss,direction,false_alarm,capture,release_kind,release_date
2019-09,HARD_HALF,-0.6,-0.4,-0.3173684094431666,0.2826315905568334,-0.19999999999999996,0.08263159055683345,-0.08263159055683345,False,False,False,False,False,,,,,,False,False,False,False,,regular,2019-10-10
2019-10,HARD_HALF,0.5,0.4,0.2851747109136301,-0.21482528908636989,0.09999999999999998,-0.11482528908636991,-0.11482528908636991,False,False,False,False,False,,,,,,False,False,False,False,,regular,2019-11-11
2019-11,HARD_HALF,0.3,0.2,0.1882772717920312,-0.1117227282079688,0.09999999999999998,-0.011722728207968824,-0.011722728207968824,False,False,False,False,False,,,,,,False,False,False,False,,regular,2019-12-10
2019-12,HARD_HALF,0.2,0.1,0.0150412416731814,-0.1849587583268186,0.1,-0.08495875832681861,-0.0849587583268186,False,False,False,False,False,,,,,,False,False,False,False,,regular,2020-01-13
2020-01,HARD_HALF,1.5,1.0,0.9161045016767744,-0.5838954983232256,0.5,-0.08389549832322563,-0.08389549832322563,True,False,False,False,False,-0.1677909966464512,,,,,False,False,False,False,-0.16779099664645125,regular,2020-02-14
2020-02,HARD_HALF,0.3,0.3,0.3206803283445147,0.02068032834451472,0.0,0.02068032834451472,-0.02068032834451472,False,False,False,False,False,,,,,,False,False,False,False,,regular,2020-03-10
2020-03,HARD_HALF,-0.1,0.1,-0.2594690587735496,-0.15946905877354958,-0.2,-0.3594690587735496,0.04053094122645043,False,True,False,False,False,,,,,,False,False,True,True,,regular,2020-04-14
2020-04,HARD_HALF,-0.2,-0.2,-0.3159121920971549,-0.11591219209715486,0.0,-0.11591219209715486,-0.11591219209715486,False,False,False,False,False,,,,,,False,False,False,False,,regular,2020-05-13
2020-05,HARD_HALF,0.4,0.1,0.1719385130554041,-0.2280614869445959,0.30000000000000004,0.07193851305540411,0.07193851305540414,False,False,False,False,False,,,,,,False,False,True,False,,regular,2020-06-10
2020-06,HARD_HALF,0.6,0.2,0.3805578112588693,-0.2194421887411307,0.39999999999999997,0.18055781125886927,0.18055781125886927,True,False,False,False,False,0.4513945281471733,,,,,True,False,True,False,0.45139452814717324,regular,2020-07-10
2020-07,HARD_HALF,0.4,0.2,0.5039786142894122,0.10397861428941213,0.2,0.30397861428941214,0.09602138571058788,False,True,False,False,False,,,,,,False,False,True,True,,regular,2020-08-13
2020-08,HARD_HALF,0.0,0.0,0.0425260956416997,0.0425260956416997,0.0,0.0425260956416997,-0.0425260956416997,False,False,False,False,False,,,,,,False,False,False,False,,regular,2020-09-10
2020-09,HARD_HALF,-0.6,-0.3,-0.4027430090526971,0.19725699094730287,-0.3,-0.10274300905269712,0.10274300905269712,False,False,False,False,False,,,,,,False,False,True,False,,regular,2020-10-12
2020-10,HARD_HALF,0.2,0.2,0.270934266171964,0.07093426617196397,0.0,0.07093426617196397,-0.07093426617196397,False,False,False,False,False,,,,,,False,False,False,False,,regular,2020-11-10
2020-11,HARD_HALF,0.0,0.1,0.1511549169764748,0.1511549169764748,-0.1,0.051154916976474785,-0.051154916976474785,False,False,False,False,False,,,,,,False,False,False,False,,regular,2020-12-10
2020-12,HARD_HALF,-0.2,0.1,0.1900261478582164,0.39002614785821643,-0.30000000000000004,0.09002614785821639,-0.09002614785821639,False,False,False,False,False,,,,,,False,False,False,False,,regular,2021-01-13
2021-01,HARD_HALF,1.3,0.9,0.8912732558451942,-0.4087267441548058,0.4,-0.008726744154805788,-0.008726744154805788,True,False,False,False,False,-0.0218168603870144,,,,,False,False,False,False,-0.02181686038701447,regular,2021-02-12
2021-02,HARD_HALF,0.2,0.3,0.5098263614647857,0.30982636146478565,-0.09999999999999998,0.20982636146478567,-0.20982636146478567,False,True,False,False,False,,,,,,False,True,False,True,,regular,2021-03-10
2021-03,HARD_HALF,0.2,0.3,0.1480979520457448,-0.05190204795425521,-0.09999999999999998,-0.1519020479542552,0.04809795204574477,False,False,False,False,False,,,,,,False,False,True,False,,regular,2021-04-13
2021-04,HARD_HALF,0.5,0.2,0.285988103940522,-0.214011896059478,0.3,0.08598810394052198,0.08598810394052198,False,False,False,False,False,,,,,,False,False,True,False,,regular,2021-05-11
2021-05,HARD_HALF,0.2,0.4,0.5879420434422872,0.38794204344228717,-0.2,0.18794204344228715,-0.18794204344228715,False,False,False,False,False,,,,,,False,True,False,False,,regular,2021-06-10
2021-06,HARD_HALF,0.5,0.4,0.3465223378797241,-0.15347766212027592,0.09999999999999998,-0.05347766212027594,-0.05347766212027594,False,False,False,False,False,,,,,,False,False,False,False,,regular,2021-07-13
2021-07,HARD_HALF,1.0,0.5,0.6697218783064215,-0.3302781216935785,0.5,0.1697218783064215,0.1697218783064215,True,False,False,False,False,0.339443756612843,,,,,True,False,True,False,0.339443756612843,regular,2021-08-10
2021-08,HARD_HALF,0.7,0.2,0.1664241039831655,-0.5335758960168344,0.49999999999999994,-0.0335758960168345,-0.03357589601683447,True,False,False,False,False,-0.0671517920336689,,,,,False,False,False,False,-0.06715179203366901,regular,2021-09-10
2021-09,HARD_HALF,0.2,-0.2,-0.1178999114519989,-0.3178999114519989,0.4,0.0821000885480011,0.0821000885480011,True,False,False,False,False,0.2052502213700027,,,,,False,False,True,False,0.20525022137000276,regular,2021-10-11
2021-10,HARD_HALF,1.0,0.7,0.7927388934226424,-0.20726110657735763,0.30000000000000004,0.09273889342264241,0.09273889342264241,False,False,False,False,False,,,,,,False,False,True,False,,regular,2021-11-10
2021-11,HARD_HALF,0.2,0.3,0.6982576755906593,0.4982576755906593,-0.09999999999999998,0.39825767559065933,-0.39825767559065933,False,True,False,False,False,,,,,,False,True,False,True,,regular,2021-12-10
2021-12,HARD_HALF,0.4,0.3,0.873441606645287,0.473441606645287,0.10000000000000003,0.573441606645287,-0.37344160664528697,False,True,False,False,False,,,,,,False,True,True,True,,regular,2022-01-12
2022-01,HARD_HALF,4.4,3.8,4.42010852550301,0.020108525503009567,0.6000000000000005,0.6201085255030101,0.579891474496991,True,True,True,False,True,1.033514209171683,,,,,True,False,True,False,1.0335142091716827,regular,2022-02-14
2022-02,HARD_HALF,1.3,0.6,0.9472553663580414,-0.3527446336419586,0.7000000000000001,0.34725536635804144,0.34725536635804144,True,True,True,False,True,0.496079094797202,,,,,True,False,True,False,0.496079094797202,regular,2022-03-10
2022-03,HARD_HALF,1.7,1.4,0.9599351536255072,-0.7400648463744928,0.30000000000000004,-0.4400648463744927,-0.4400648463744927,False,True,False,False,False,,,,,,False,True,False,True,,regular,2022-04-11
2022-04,HARD_HALF,1.8,0.9,0.810248090240683,-0.989751909759317,0.9,-0.08975190975931702,-0.08975190975931702,True,False,False,False,False,-0.0997243441770189,,,,,False,False,False,False,-0.0997243441770189,regular,2022-05-10
2022-05,HARD_HALF,1.8,1.4,1.928849481807915,0.1288494818079149,0.40000000000000013,0.528849481807915,0.27115051819208524,True,True,True,False,True,1.3221237045197871,,,,,True,False,True,False,1.3221237045197871,regular,2022-06-10
2022-06,HARD_HALF,1.6,1.5,1.507368052800301,-0.09263194719969903,0.10000000000000009,0.0073680528003010615,0.0073680528003010615,False,False,False,False,False,,,,,,False,False,True,False,,regular,2022-07-13
2022-07,HARD_HALF,1.3,1.6,1.5144143355557442,0.21441433555574418,-0.30000000000000004,-0.08558566444425586,0.08558566444425586,False,False,False,False,False,,,,,,False,False,True,False,,regular,2022-08-10
