threshold,clock,model,quarter,actual_turn,first_model_round,first_cnb_round,status,left_censored,supported_earlier_round,lead_days_between_reports,n_opportunities
0.1,cutoff,FOOD_PERSISTENCE_R17,2026Q1,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_SEASONAL_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_SEASONAL_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_SEASONAL_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,FOOD_SEASONAL_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,FOOD_SEASONAL_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,FOOD_SEASONAL_R17,2024Q3,-1,,2023-11-09,model_missed,False,False,,2
0.1,cutoff,FOOD_SEASONAL_R17,2024Q4,1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,FOOD_SEASONAL_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,FOOD_SEASONAL_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_SEASONAL_R17,2026Q1,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_SYMMETRIC_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_SYMMETRIC_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_SYMMETRIC_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,FOOD_SYMMETRIC_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,FOOD_SYMMETRIC_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,FOOD_SYMMETRIC_R17,2024Q3,-1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,FOOD_SYMMETRIC_R17,2024Q4,1,2024-08-08,2023-11-09,later_round,False,False,-273.0,2
0.1,cutoff,FOOD_SYMMETRIC_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,FOOD_SYMMETRIC_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_SYMMETRIC_R17,2026Q1,-1,,,model_missed,False,False,,2
0.1,cutoff,FUEL_ANNUAL_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FUEL_ANNUAL_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,FUEL_ANNUAL_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,FUEL_ANNUAL_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,FUEL_ANNUAL_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,FUEL_ANNUAL_R17,2024Q3,-1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,FUEL_ANNUAL_R17,2024Q4,1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,FUEL_ANNUAL_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,FUEL_ANNUAL_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FUEL_ANNUAL_R17,2026Q1,-1,2025-08-14,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,FUEL_SPOT_ECM_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FUEL_SPOT_ECM_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,FUEL_SPOT_ECM_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,FUEL_SPOT_ECM_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,FUEL_SPOT_ECM_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,FUEL_SPOT_ECM_R17,2024Q3,-1,,2023-11-09,model_missed,False,False,,2
0.1,cutoff,FUEL_SPOT_ECM_R17,2024Q4,1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,FUEL_SPOT_ECM_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,FUEL_SPOT_ECM_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FUEL_SPOT_ECM_R17,2026Q1,-1,2025-11-13,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,INDEPENDENT_BRIDGE,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,INDEPENDENT_BRIDGE,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,INDEPENDENT_BRIDGE,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,INDEPENDENT_BRIDGE,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,INDEPENDENT_BRIDGE,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,INDEPENDENT_BRIDGE,2024Q3,-1,,2023-11-09,model_missed,False,False,,2
0.1,cutoff,INDEPENDENT_BRIDGE,2024Q4,1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,INDEPENDENT_BRIDGE,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,INDEPENDENT_BRIDGE,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,INDEPENDENT_BRIDGE,2026Q1,-1,2025-08-14,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,MONTHLY_AR_CORE_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_AR_CORE_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_AR_CORE_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_AR_CORE_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,MONTHLY_AR_CORE_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_AR_CORE_R17,2024Q3,-1,,2023-11-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_AR_CORE_R17,2024Q4,1,2024-08-08,2023-11-09,later_round,False,False,-273.0,2
0.1,cutoff,MONTHLY_AR_CORE_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,MONTHLY_AR_CORE_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_AR_CORE_R17,2026Q1,-1,2025-08-14,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,2024Q3,-1,,2023-11-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,2024Q4,1,2024-08-08,2023-11-09,later_round,False,False,-273.0,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,2026Q1,-1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,2024Q3,-1,,2023-11-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,2024Q4,1,2024-08-08,2023-11-09,later_round,False,False,-273.0,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,2026Q1,-1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,2024Q3,-1,,2023-11-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,2024Q4,1,2024-08-08,2023-11-09,later_round,False,False,-273.0,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,2026Q1,-1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_OWN_CORE_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_OWN_CORE_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,MONTHLY_OWN_CORE_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_OWN_CORE_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,MONTHLY_OWN_CORE_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,MONTHLY_OWN_CORE_R17,2024Q3,-1,,2023-11-09,model_missed,False,False,,2
