geo,origin,band,label_end,f,r,mu
CZ,2016-11,3,2017-08,0.18871014283742527,0.09922761874642556,-0.008529437663852434
CZ,2016-11,4,2017-11,0.18612107117715934,0.2014143708393676,-0.008529437663852434
CZ,2016-12,1,2017-03,0.18125898427491793,0.25245061846843386,-0.004448245691704478
CZ,2016-12,2,2017-06,0.17480210491744916,0.13048310578169572,-0.004448245691704478
CZ,2016-12,3,2017-09,0.17149618268642508,0.15969370244975398,-0.004448245691704478
CZ,2016-12,4,2017-12,0.16980355050414078,0.12221051139929377,-0.004448245691704478
CZ,2017-01,1,2017-04,0.29286780930987355,0.1890720584497856,-0.0003670537195565223
CZ,2017-01,2,2017-07,0.27898117456640076,0.15546464062403478,-0.0003670537195565223
CZ,2017-01,3,2017-10,0.27187121757774274,0.17534869274142298,-0.0003670537195565223
CZ,2017-01,4,2018-01,0.26823091959954976,0.04530125133839997,-0.0003670537195565223
CZ,2017-02,1,2017-05,0.311794643805881,0.15038017456261407,-0.00036284567012227764
CZ,2017-02,2,2017-08,0.2988545801413858,0.10488077837905735,-0.00036284567012227764
CZ,2017-02,3,2017-11,0.29222926754516426,0.2047083449782735,-0.00036284567012227764
CZ,2017-02,4,2018-02,0.2888371074958988,0.10521734523369845,-0.00036284567012227764
CZ,2017-03,1,2017-06,0.28120754928134684,0.13626952270470735,-0.000358637620688033
CZ,2017-03,2,2017-09,0.27284338332535435,0.1654801193727656,-0.000358637620688033
CZ,2017-03,3,2017-12,0.2685609303558863,0.11525392363256955,-0.000358637620688033
CZ,2017-03,4,2018-03,0.2663683144355186,0.18149975521305203,-0.000358637620688033
CZ,2017-04,1,2017-07,0.21064867432724496,0.15741967015908143,-0.0002960863375560142
CZ,2017-04,2,2017-10,0.20913124007500103,0.1773037222764696,-0.0002960863375560142
CZ,2017-04,3,2018-01,0.2083543137378521,0.03974583252638113,-0.0002960863375560142
CZ,2017-04,4,2018-04,0.20795652745323182,0.2572181040112163,-0.0002960863375560142
CZ,2017-05,1,2017-08,0.2022010664037329,0.10482527391576353,-0.0002335350544239954
CZ,2017-05,2,2017-11,0.20158791968196313,0.20465284051497976,-0.0002335350544239954
CZ,2017-05,3,2018-02,0.20127398856041703,0.10226962611515944,-0.0002335350544239954
CZ,2017-05,4,2018-05,0.20111325582618544,0.25322299941356324,-0.0002335350544239954
CZ,2017-06,1,2017-09,0.18188538794866937,0.1642024248059256,-0.00021688497124015596
CZ,2017-06,2,2017-12,0.18292884067625026,0.11397622906572953,-0.00021688497124015596
CZ,2017-06,3,2018-03,0.18346308847277168,0.18280460550833622,-0.00021688497124015596
CZ,2017-06,4,2018-06,0.18373662334459065,0.23727089156579204,-0.00021688497124015596
CZ,2017-07,1,2017-10,0.1425529936404325,0.17544730181186804,-0.0002002348880563165
CZ,2017-07,2,2018-01,0.14641795572815308,0.03788941206177955,-0.0002002348880563165
CZ,2017-07,3,2018-04,0.14839681631706603,0.25589337119291095,-0.0002002348880563165
CZ,2017-07,4,2018-07,0.14940999293858945,0.3944503772835251,-0.0002002348880563165
CZ,2017-08,1,2017-11,0.18891950135087152,0.20320277154666852,0.003885148466809213
CZ,2017-08,2,2018-02,0.1885536215012669,0.1008195571468482,0.003885148466809213
CZ,2017-08,3,2018-05,0.18836629101826932,0.2537694762041916,0.003885148466809213
CZ,2017-08,4,2018-08,0.18827037781097458,0.3724887462081439,0.003885148466809213
CZ,2017-09,1,2017-12,0.11704150464027634,0.11107608014366739,0.007970531821674743
CZ,2017-09,2,2018-03,0.12222588837810382,0.17990445658627408,0.007970531821674743
CZ,2017-09,3,2018-06,0.12488029285187148,0.23926819109690034,0.007970531821674743
CZ,2017-09,4,2018-09,0.1262393479424405,0.2660282927234859,0.007970531821674743
CZ,2017-10,1,2018-01,0.17113150379342837,0.036347348613330006,0.008037249773556764
CZ,2017-10,2,2018-04,0.1712590998829431,0.2543513077444614,0.008037249773556764
CZ,2017-10,3,2018-07,0.17132442908077464,0.39181459549621045,0.008037249773556764
CZ,2017-10,4,2018-10,0.17135787763006438,0.14694777674637982,0.008037249773556764
CZ,2017-11,1,2018-02,0.21602725648187093,0.09958866966695323,0.008103967725438784
CZ,2017-11,2,2018-05,0.21267939304347058,0.25253858872429663,0.008103967725438784
CZ,2017-11,3,2018-08,0.21096528696300962,0.3790547243021922,0.008103967725438784
CZ,2017-11,4,2018-11,0.21008766464981363,0.1649457347958418,0.008103967725438784
CZ,2017-12,1,2018-03,0.16005130290042394,0.17942954429053706,0.008103967725438784
CZ,2017-12,2,2018-06,0.16155431059065803,0.23879327880116338,0.008103967725438784
CZ,2017-12,3,2018-09,0.1623238505280579,0.265018486986469,0.008103967725438784
CZ,2017-12,4,2018-12,0.1627178549760066,0.24620308518056547,0.008103967725438784
CZ,2018-01,1,2018-04,0.09664917680263628,0.25145380383486793,0.008103967725438784
CZ,2018-01,2,2018-07,0.10271765622206341,0.38891709158661697,0.008103967725438784
CZ,2018-01,3,2018-10,0.10582471768481011,0.1417118506237029,0.008103967725438784
CZ,2018-01,4,2019-01,0.10741553315373642,0.2801639497093607,0.008103967725438784
CZ,2018-02,1,2018-05,0.10202959172647853,0.24552756276620824,0.012197676146846442
CZ,2018-02,2,2018-08,0.1065170119472305,0.3720436983441038,0.012197676146846442
CZ,2018-02,3,2018-11,0.1088145711002555,0.16270767367506458,0.012197676146846442
CZ,2018-02,4,2019-02,0.10999092138660431,0.24875068464453945,0.012197676146846442
CZ,2018-03,1,2018-06,0.17032089695960484,0.2313849311889319,0.016291384568254103
CZ,2018-03,2,2018-09,0.1686987433696103,0.2576101393742376,0.016291384568254103
CZ,2018-03,3,2018-12,0.16786820073153308,0.24795021058248012,0.016291384568254103
CZ,2018-03,4,2019-03,0.1674429629008376,0.22541764939536427,0.016291384568254103
CZ,2018-04,1,2018-07,0.18404006534168235,0.38386542470445956,0.01631220161899541
CZ,2018-04,2,2018-10,0.1816308809339157,0.13666018374154548,0.01631220161899541
CZ,2018-04,3,2019-01,0.1803973785171391,0.2892279488080997,0.01631220161899541
CZ,2018-04,4,2019-04,0.17976582527974952,0.11942536523685503,0.01631220161899541
CZ,2018-05,1,2018-08,0.210387458710287,0.3730802498967969,0.016333018669736715
CZ,2018-05,2,2018-11,0.20644658498809565,0.1637442252277577,0.016333018669736715
CZ,2018-05,3,2019-02,0.20442885764233373,0.2561494876511159,0.016333018669736715
CZ,2018-05,4,2019-05,0.2033957812413036,0.10292154872897193,0.016333018669736715
CZ,2018-06,1,2018-09,0.2172272665441933,0.2610680181914927,0.020476786340176797
CZ,2018-06,2,2018-12,0.21345335243176292,0.25140808939973525,0.020476786340176797
CZ,2018-06,3,2019-03,0.21152110840619862,0.22860427830646926,0.020476786340176797
CZ,2018-06,4,2019-06,0.2105317994651096,0.18806533617779264,0.020476786340176797
CZ,2018-07,1,2018-10,0.19454519891350608,0.14081167404379943,0.024620554010616875
CZ,2018-07,2,2019-01,0.19319416554586555,0.2933794391103537,0.024620554010616875
CZ,2018-07,3,2019-04,0.19250243646163365,0.1133396477806033,0.024620554010616875
CZ,2018-07,4,2019-07,0.19214827117050684,0.3816149611407334,0.024620554010616875
CZ,2018-08,1,2018-11,0.394624181933701,0.1691259052637165,0.03712682514593518
CZ,2018-08,2,2019-02,0.3781557377092232,0.26153116768707463,0.03712682514593518
CZ,2018-08,3,2019-05,0.36972389426629065,0.10498017116056597,0.03712682514593518
CZ,2018-08,4,2019-08,0.36540679042350915,0.39350847796413274,0.03712682514593518
CZ,2018-09,1,2018-12,0.3094763382412287,0.2555434291774735,0.04963309628125349
CZ,2018-09,2,2019-03,0.302357627405388,0.2327396180842076,0.04963309628125349
CZ,2018-09,3,2019-06,0.2987128474574376,0.18915498010938556,0.04963309628125349
CZ,2018-09,4,2019-09,0.29684672012408697,0.18450337086493637,0.04963309628125349
CZ,2018-10,1,2019-01,0.12261609598937889,0.2957781675819158,0.04963309628125349
CZ,2018-10,2,2019-04,0.131130139367422,0.11573837625216547,0.04963309628125349
CZ,2018-10,3,2019-07,0.13548932957698,0.36885572291897056,0.04963309628125349
CZ,2018-10,4,2019-10,0.13772123496427371,0.1147201370332308,0.04963309628125349
CZ,2018-11,1,2019-02,0.2084637759842669,0.26624751476485997,0.04963309628125349
CZ,2018-11,2,2019-05,0.20914324954072447,0.10969651823835136,0.04963309628125349
CZ,2018-11,3,2019-08,0.20949114000163074,0.3998871284704352,0.04963309628125349
CZ,2018-11,4,2019-11,0.20966925991761476,0.08594456454318496,0.04963309628125349
CZ,2018-12,1,2019-03,0.23393024363064444,0.23954194479393262,0.05788753908120156
CZ,2018-12,2,2019-06,0.23259050898951825,0.1959573068191106,0.05788753908120156
CZ,2018-12,3,2019-09,0.2319045648532616,0.19520644695322065,0.05788753908120156
CZ,2018-12,4,2019-12,0.23155336145549824,0.23107002745056773,0.05788753908120156
CZ,2019-01,1,2019-04,0.18108177396389255,0.1240740696803397,0.06614198188114963
CZ,2019-01,2,2019-07,0.1840838653383711,0.37719141634714487,0.06614198188114963
CZ,2019-01,3,2019-10,0.1856209361221041,0.09862738934318721,0.06614198188114963
CZ,2019-01,4,2020-01,0.18640791636337548,0.3280861163671402,0.06614198188114963
CZ,2019-02,1,2019-05,0.30822897193090326,0.11358332813222076,0.06622087519231434
CZ,2019-02,2,2019-08,0.30094416757007925,0.40377393836430464,0.06622087519231434
CZ,2019-02,3,2019-11,0.2972143477373374,0.08314975933781277,0.06622087519231434
CZ,2019-02,4,2020-02,0.29530467998297355,0.46014212445769914,0.06622087519231434
CZ,2019-03,1,2019-06,0.25456632606435364,0.19789841305337488,0.06629976850347905
CZ,2019-03,2,2019-09,0.2526528615831945,0.1971475531874849,0.06629976850347905
CZ,2019-03,3,2019-12,0.251673167768841,0.23077841618959447,0.06629976850347905
CZ,2019-03,4,2020-03,0.251171564535892,0.36802447830441015,0.06629976850347905
CZ,2019-04,1,2019-07,0.17281731892355126,0.37587143169572174,0.06633320260720117
CZ,2019-04,2,2019-10,0.17744854090360843,0.09730740469176417,0.06633320260720117
CZ,2019-04,3,2020-01,0.17981972655739767,0.32013322473471867,0.06633320260720117
CZ,2019-04,4,2020-04,0.18103377361213777,0.13406951271717985,0.06633320260720117
CZ,2019-05,1,2019-08,0.17096365399850968,0.40142012609133476,0.06636663671092331
CZ,2019-05,2,2019-11,0.17498459126393817,0.08079594706484283,0.06636663671092331
CZ,2019-05,3,2020-02,0.17704331114383753,0.4588895117239081,0.06636663671092331
CZ,2019-05,4,2020-05,0.17809737572234605,0.18547976907068908,0.06636663671092331
CZ,2019-06,1,2019-09,0.16851356588924638,0.1940325201144056,0.07052291303227924
CZ,2019-06,2,2019-12,0.1720056838847387,0.2276633831165151,0.07052291303227924
CZ,2019-06,3,2020-03,0.17379364829843072,0.3757210912788425,0.07052291303227924
CZ,2019-06,4,2020-06,0.17470908607824107,0.39556944381569803,0.07052291303227924
CZ,2019-07,1,2019-10,0.21170818218469342,0.09738342196721211,0.07467918935363517
CZ,2019-07,2,2020-01,0.21128660701132715,0.3202092420101666,0.07467918935363517
CZ,2019-07,3,2020-04,0.2110707605225636,0.13164793349781698,0.07467918935363517
CZ,2019-07,4,2020-07,0.2109602471203167,0.7096871745871228,0.07467918935363517
CZ,2019-08,1,2019-11,0.3892672444460696,0.08465877986434804,0.074695839436819
CZ,2019-08,2,2020-02,0.3753415508517078,0.46275234452341335,0.074695839436819
CZ,2019-08,3,2020-05,0.36821159573139467,0.19348868460981083,0.074695839436819
CZ,2019-08,4,2020-08,0.3645610587097943,0.45142787430897774,0.074695839436819
CZ,2019-09,1,2019-12,0.318283120643522,0.23110975592504168,0.07471248952000284
