origin,mu_cz,annual_pct
2022-06,0.09971278978809006,1.1965534774570807
2022-07,0.09975011551632766,1.1970013861959319
2022-08,0.09975011551632766,1.1970013861959319
2022-09,0.09975011551632768,1.197001386195932
2022-10,0.10388154117802147,1.2465784941362577
2022-11,0.10801296683971527,1.2961556020765832
2022-12,0.10801702563541667,1.296204307625
2023-01,0.10802108443111809,1.2962530131734171
2023-02,0.10802108443111809,1.2962530131734171
2023-03,0.10802108443111812,1.2962530131734173
2023-04,0.10802523448305186,1.2963028137966224
2023-05,0.1080293845349856,1.2963526144198272
2023-06,0.1121314836919728,1.3455778043036737
2023-07,0.11623358284896002,1.3948029941875202
2023-08,0.11628776001332874,1.395453120159945
2023-09,0.11634193717769747,1.3961032461323697
2023-10,0.11634193717769747,1.3961032461323697
2023-11,0.11634193717769747,1.3961032461323697
2023-12,0.11635443720894756,1.3962532465073707
2024-01,0.11636693724019764,1.3964032468823717
2024-02,0.12034850960705279,1.4441821152846335
2024-03,0.12433008197390794,1.4919609836868952
2024-04,0.1244716599536474,1.4936599194437687
2024-05,0.12461323793338687,1.4953588552006425
2024-06,0.12463386387689808,1.495606366522777
2024-07,0.12465448982040932,1.4958538778449118
2024-08,0.13283396369162978,1.5940075642995573
2024-09,0.14101343756285026,1.6921612507542032
2024-10,0.14115504917563054,1.6938605901075665
2024-11,0.14129666078841083,1.6955599294609298
2024-12,0.14129666078841083,1.6955599294609298
2025-01,0.14129666078841083,1.6955599294609298
2025-02,0.14536540938066211,1.7443849125679454
2025-03,0.1494341579729134,1.793209895674961
2025-04,0.1495299941018435,1.794359929222122
2025-05,0.1496258302307736,1.7955099627692834
2025-06,0.1536945788230249,1.8443349458762988
2025-07,0.15776332741527618,1.893159928983314
2025-08,0.15780512091581295,1.8936614509897554
2025-09,0.1578469144163497,1.8941629729961966
2025-10,0.15788437332981842,1.894612479957821
2025-11,0.15792183224328712,1.8950619869194454
2025-12,0.16200300620257133,1.9440360744308558
2026-01,0.16608418016185553,1.9930101619422662
2026-02,0.16608418016185555,1.9930101619422667
2026-03,0.16608418016185555,1.9930101619422667
2026-04,0.16608418016185555,1.9930101619422667
2026-05,0.16608418016185555,1.9930101619422667
2026-06,0.16614683234332492,1.993761988119899
2026-07,0.1662094845247943,1.9945138142975316
