origin,h,target,as_of_utc,model,mm_forecast,contribution_core,contribution_food,contribution_alcohol_tobacco,contribution_administered,contribution_fuel,contribution_wedge,yy_exante,status,value_core,value_food,value_fuel,value_administered,value_alcohol_tobacco,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core
2026-07,10,2027-05,2026-08-04T21:59:00+00:00,STATE_FAST_R15,0.3641116394284296,0.12017272454915469,0.15923410298333115,0.05944188058388438,0.035795239120537344,0.0,-0.010532307808477949,2.167777458451578,estimated,0.22298055087669025,0.9445379113608928,0.0,0.2,0.7172836490613056,-0.010532307808477949,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,11,2027-06,2026-08-04T21:59:00+00:00,STATE_FAST_R15,0.21273429864474167,0.18341982703760737,-0.004724996752840251,0.020803321576680946,0.017897619560268672,0.0,-0.004661472776975082,2.709537569109256,estimated,0.34033558137249226,-0.028027529784759225,0.0,0.1,0.2510331481195273,-0.004661472776975082,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,12,2027-07,2026-08-04T21:59:00+00:00,STATE_FAST_R15,0.42334759139725014,0.48546616539097825,-0.07349549108691021,0.016390202777001293,0.0,0.0,-0.0050132856838191915,2.6846648878956105,estimated,0.900782714189001,-0.43595735049884504,0.0,0.0,0.19778015670536478,-0.0050132856838191915,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,0,2026-07,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,0.44767252748945857,0.4172707359470312,-0.09207647901712651,0.016390202777001293,0.0,0.11110135346637179,-0.0050132856838191915,1.541593368596006,estimated,,,,,,,,,,,
2026-07,1,2026-08,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,0.23304595760067096,0.09559271001897944,-0.10766828034130882,0.018522421906986303,0.008948809780134336,0.20994129776670903,0.007708998469170667,1.713073027924426,estimated,0.17737232154630114,-0.6386620122703531,6.853947466606769,0.05,0.22350959028201067,0.007708998469170667,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,2,2026-09,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,-0.435868258095976,-0.31195151921357694,-0.1588861948288668,0.036596633233260144,0.02684642934040301,0.0,-0.028473606627195412,1.8566199614583316,estimated,-0.5788262008873053,-0.9424742049349045,0.0,0.15000000000000002,0.441610634977587,-0.028473606627195412,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,3,2026-10,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,0.31191517916531675,0.2639548369439384,0.07283534333797628,0.011494558542197678,-0.008948809780134336,0.0,-0.0274207498786612,1.650690980025463,estimated,0.48976833278213583,0.4320415148563199,0.0,-0.05,0.1387045432363333,-0.0274207498786612,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,4,2026-11,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,-0.0004362555257432267,0.016510981689931904,-0.024782192830763487,-0.005139468970304256,0.008948809780134336,0.0,0.004025614805258276,1.976887136133076,estimated,0.030636134834656697,-0.1470019312242591,0.0,0.05,-0.062017840301247865,0.004025614805258276,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,5,2026-12,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,-0.09657967812463594,0.04955448870535456,-0.08542220027823157,-0.059562173762270416,0.0,0.0,-0.0011497927894885101,2.1409713779785076,estimated,0.09194837873059115,-0.5067036842170606,0.0,0.0,-0.7187352237608671,-0.0011497927894885101,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,6,2027-01,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,1.0452609218298596,0.2795389205299431,0.38635394597841444,0.2795888306661416,0.11633452714174637,0.0,-0.016555302486385832,2.351287111423227,estimated,0.5186846077185033,2.2917574963115266,0.0,0.65,3.3737912516745685,-0.016555302486385832,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
