origin,as_of,status,czech_phase,cz_status,cz_last_month,cz_momentum,cz_threshold,mu_own
2024-06,2024-07-09T21:59:00+00:00,estimated,fading,estimated,2024-05,0.4164937299284688,1.0,0.12463386387689808
2024-07,2024-08-11T21:59:00+00:00,estimated,fading,estimated,2024-06,0.8375258336731584,1.0,0.12465448982040932
2024-08,2024-09-09T21:59:00+00:00,estimated,fading,estimated,2024-07,0.9991756731920098,1.0,0.13283396369162978
2024-09,2024-10-09T21:59:00+00:00,estimated,fading,estimated,2024-08,-0.16611299500759458,1.0,0.14101343756285026
2024-10,2024-11-10T22:59:00+00:00,estimated,fading,estimated,2024-09,-1.0801933032813515,1.0,0.14115504917563054
2024-11,2024-12-09T22:59:00+00:00,estimated,fading,estimated,2024-10,-1.0766149539460201,1.0,0.14129666078841083
2024-12,2025-01-12T22:59:00+00:00,estimated,fading,estimated,2024-11,0.0,1.0,0.14129666078841083
2025-01,2025-02-05T22:59:00+00:00,estimated,fading,estimated,2024-12,0.16666670524694283,1.0,0.14129666078841083
2025-02,2025-03-04T22:59:00+00:00,estimated,fading,estimated,2025-01,0.24824174932556176,1.0,0.14536540938066211
2025-03,2025-04-03T21:59:00+00:00,estimated,fading,estimated,2025-02,0.5801922616107902,1.0,0.1494341579729134
2025-04,2025-05-05T21:59:00+00:00,estimated,fading,estimated,2025-03,0.6661140366781559,1.0,0.1495299941018435
2025-05,2025-06-03T21:59:00+00:00,estimated,fading,estimated,2025-04,0.24948037887826402,1.0,0.1496258302307736
2025-06,2025-07-03T21:59:00+00:00,estimated,fading,estimated,2025-05,0.0,1.0,0.1536945788230249
2025-07,2025-08-04T21:59:00+00:00,estimated,fading,estimated,2025-06,0.16638938946957893,1.0,0.15776332741527618
2025-08,2025-09-03T21:59:00+00:00,estimated,fading,estimated,2025-07,-0.5801922616107902,1.0,0.15780512091581295
2025-09,2025-10-05T21:59:00+00:00,estimated,fading,estimated,2025-08,-0.996685991539259,1.0,0.1578469144163497
2025-10,2025-11-04T22:59:00+00:00,estimated,fading,estimated,2025-09,-0.7496911414177632,1.0,0.15788437332981842
2025-11,2025-12-03T22:59:00+00:00,estimated,fading,estimated,2025-10,-1.0016778243470803,1.0,0.15792183224328712
2025-12,2026-01-06T22:59:00+00:00,estimated,fading,estimated,2025-11,-0.7509422022131673,1.0,0.16200300620257133
2026-01,2026-02-04T22:59:00+00:00,estimated,fading,estimated,2025-12,-1.254721605208875,1.0,0.16608418016185553
2026-02,2026-03-03T22:59:00+00:00,estimated,fading,estimated,2026-01,-1.254721605208875,1.0,0.16608418016185555
2026-03,2026-04-06T21:59:00+00:00,estimated,fading,estimated,2026-02,-0.7540881984612113,1.0,0.16608418016185555
2026-04,2026-05-05T21:59:00+00:00,estimated,building,estimated,2026-03,1.9868203216725,1.0,0.16608418016185555
2026-05,2026-06-03T21:59:00+00:00,estimated,building,estimated,2026-04,4.028493757931173,1.0,0.16608418016185555
2026-06,2026-07-06T21:59:00+00:00,estimated,building,estimated,2026-05,4.262940539485083,1.0,0.16614683234332492
2026-07,2026-08-04T21:59:00+00:00,estimated,building,estimated,2026-06,4.041787246989781,1.0,0.1662094845247943
