a6_number,component,source_id,source_file,period,value,value_kind,availability_rule,available_from_assumed,vintage,frequency,seasonal_adjustment
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-11,12045.0,level,t_plus_41d,2006-01-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-12,11645.0,level,t_plus_41d,2006-02-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-01,8652.0,level,t_plus_41d,2006-03-13,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-02,7577.0,level,t_plus_41d,2006-04-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-03,9120.0,level,t_plus_41d,2006-05-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-04,9705.0,level,t_plus_41d,2006-06-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-05,12469.0,level,t_plus_41d,2006-07-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-06,12186.0,level,t_plus_41d,2006-08-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-07,11806.0,level,t_plus_41d,2006-09-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-08,13594.0,level,t_plus_41d,2006-10-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-09,13327.0,level,t_plus_41d,2006-11-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-10,13784.0,level,t_plus_41d,2006-12-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-11,11730.0,level,t_plus_41d,2007-01-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2006-12,11441.0,level,t_plus_41d,2007-02-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2007-01,8410.0,level,t_plus_41d,2007-03-13,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2007-02,8161.0,level,t_plus_41d,2007-04-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2007-03,9449.0,level,t_plus_41d,2007-05-11,"current, downloaded 2026-09-12",M,
