H,sample,name,n_own,rmse_own,bias_own,n_theirs,rmse_theirs,bias_theirs,ratio_to_baseline,rmse_diff,n_diff
6,origins_2022_2023,FOOD_ECM_A002_R27,24,5.409769367389879,-1.5645649823450756,24,5.409769367389879,-1.564564982345076,0.9886431642543412,0.0,0
6,origins_2022_2023,FOOD_ECM_A005_R27,24,5.337180822299853,-1.6859479396317163,24,5.337180822299853,-1.6859479396317163,0.9753775028124658,0.0,0
6,origins_2022_2023,FOOD_ECM_A010_R27,24,5.256774660215132,-1.833599892016414,24,5.256774660215132,-1.833599892016414,0.960683160575222,0.0,0
6,origins_2022_2023,FOOD_ECM_A015_R27,24,5.210490255551776,-1.9271367272400646,24,5.210490255551776,-1.9271367272400648,0.9522246187826932,0.0,0
6,origins_2024plus,STATE_FAST_R15,25,2.44975852671233,1.1018134118178629,25,2.44975852671233,1.1018134118178629,1.110626707331733,0.0,0
6,origins_2024plus,FOOD_NORM_SHIFT_R24,25,2.205744297827885,0.07102741684611913,25,2.205744297827885,0.071027416846119,1.0,0.0,0
6,origins_2024plus,FOOD_ECM_R27,25,1.8370987049546759,0.24457127566378584,25,1.837098704954676,0.2445712756637859,0.8328702047484677,2.220446049250313e-16,0
6,origins_2024plus,FOOD_ECM_PPI_R27,25,1.9708062805670745,0.04211713668605992,25,1.9708062805670743,0.0421171366860598,0.8934880994627679,2.220446049250313e-16,0
6,origins_2024plus,FOOD_ECM_A002_R27,25,2.12804568178667,0.10251909442807366,25,2.12804568178667,0.1025190944280737,0.9647744228024394,0.0,0
6,origins_2024plus,FOOD_ECM_A005_R27,25,2.036942274428346,0.14186825265806888,25,2.0369422744283465,0.1418682526580689,0.9234716265317938,4.440892098500626e-16,0
6,origins_2024plus,FOOD_ECM_A010_R27,25,1.936343079348164,0.18973312732604355,25,1.936343079348164,0.1897331273260435,0.8778638037305525,0.0,0
6,origins_2024plus,FOOD_ECM_A015_R27,25,1.8791855031699594,0.22005530608839535,25,1.8791855031699596,0.2200553060883953,0.8519507474282011,2.220446049250313e-16,0
12,full,STATE_FAST_R15,75,7.949014658050488,-1.0483053163235025,75,7.949014658050488,-1.0483053163235023,1.0647206149622954,0.0,0
12,full,FOOD_NORM_SHIFT_R24,75,7.465822062938064,-2.0780353705350647,75,7.465822062938064,-2.0780353705350647,1.0,0.0,0
12,full,FOOD_ECM_R27,75,7.123946222624579,-2.275772612901376,75,7.123946222624579,-2.275772612901376,0.954207877252978,0.0,0
12,full,FOOD_ECM_PPI_R27,75,7.108889805898344,-2.240762194189308,75,7.108889805898344,-2.240762194189308,0.9521911647463972,0.0,0
12,full,FOOD_ECM_A002_R27,75,7.399241259308281,-2.113917236508134,75,7.399241259308281,-2.113917236508134,0.9910819193025904,0.0,0
12,full,FOOD_ECM_A005_R27,75,7.318799187740915,-2.1587519779437834,75,7.318799187740915,-2.158751977943784,0.980307208776512,0.0,0
12,full,FOOD_ECM_A010_R27,75,7.225206373628381,-2.2132895938959467,75,7.225206373628381,-2.2132895938959467,0.9677710388378862,0.0,0
12,full,FOOD_ECM_A015_R27,75,7.168411735500054,-2.247838923684131,75,7.168411735500054,-2.247838923684131,0.9601637535785352,0.0,0
12,origins_2019_2021,STATE_FAST_R15,32,8.912585760666483,-4.4642335808417215,32,8.912585760666483,-4.4642335808417215,1.023573497424853,0.0,0
12,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,8.707323688127058,-4.242494771758849,32,8.707323688127058,-4.242494771758849,1.0,0.0,0
12,origins_2019_2021,FOOD_ECM_R27,32,8.416026860536613,-4.490572588095233,32,8.416026860536613,-4.490572588095233,0.9665457679048218,0.0,0
