origin,row,source,source_period,available_from,cutoff,source_was_later_than_legacy_clock,transform,raw_reconstructed,saved,matches
2006-08,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-09-09 00:00:00,False,T2,,,True
2006-08,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-07,2006-08-26 00:00:00,2006-09-09 00:00:00,False,T2,0.00614630084869372,0.00614630084869372,True
2006-08,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-07,2006-08-26 00:00:00,2006-09-09 00:00:00,False,T2,0.008230499136515412,0.008230499136515412,True
2006-08,62,bbg__industrial_metals_spot_index__month_mean,2006-08,2006-09-01 00:00:00,2006-09-09 00:00:00,False,T2,0.012355194669256164,0.012355194669256164,True
2006-09,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-08,2006-10-02 00:00:00,2006-10-09 00:00:00,False,T0,6.7,6.7,True
2006-09,12,czso:PRU01C:sa_calendar_adjusted_level,2006-07,2006-09-10 00:00:00,2006-10-09 00:00:00,False,T0,76.97265393,76.97265393,True
2006-09,17,bbg__nominal_ulc_quarterly__as_reported,2006Q2,2006-09-13 00:00:00,2006-10-09 00:00:00,False,T0,67.6,67.6,True
2006-09,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-10-09 00:00:00,False,T2,,,True
2006-09,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-08,2006-09-26 00:00:00,2006-10-09 00:00:00,False,T2,0.002447981638640684,0.002447981638640684,True
2006-09,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-08,2006-09-26 00:00:00,2006-10-09 00:00:00,False,T2,0.0035067248092097714,0.0035067248092097714,True
2006-09,62,bbg__industrial_metals_spot_index__month_mean,2006-09,2006-10-01 00:00:00,2006-10-09 00:00:00,False,T2,0.00595696275603963,0.00595696275603963,True
2006-10,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-09,2006-11-01 00:00:00,2006-11-09 00:00:00,False,T0,7.2,7.2,True
2006-10,12,czso:PRU01C:sa_calendar_adjusted_level,2006-08,2006-10-11 00:00:00,2006-11-09 00:00:00,False,T0,77.20526139,77.20526139,True
2006-10,17,bbg__nominal_ulc_quarterly__as_reported,2006Q2,2006-09-13 00:00:00,2006-11-09 00:00:00,False,T0,67.6,67.6,True
2006-10,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-11-09 00:00:00,False,T2,,,True
2006-10,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-09,2006-10-26 00:00:00,2006-11-09 00:00:00,False,T2,0.0,0.0,True
2006-10,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-09,2006-10-26 00:00:00,2006-11-09 00:00:00,False,T2,-0.002336449661019202,-0.002336449661019202,True
2006-10,62,bbg__industrial_metals_spot_index__month_mean,2006-10,2006-11-01 00:00:00,2006-11-09 00:00:00,False,T2,0.04649711343529983,0.04649711343529983,True
2006-11,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-10,2006-12-02 00:00:00,2006-12-09 00:00:00,False,T0,6.7,6.7,True
2006-11,12,czso:PRU01C:sa_calendar_adjusted_level,2006-09,2006-11-10 00:00:00,2006-12-09 00:00:00,False,T0,78.81221744,78.81221744,True
2006-11,17,bbg__nominal_ulc_quarterly__as_reported,2006Q2,2006-09-13 00:00:00,2006-12-09 00:00:00,False,T0,67.6,67.6,True
2006-11,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-12-09 00:00:00,False,T2,,,True
2006-11,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-10,2006-11-26 00:00:00,2006-12-09 00:00:00,False,T2,-0.001223241742744463,-0.001223241742744463,True
2006-11,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-10,2006-11-26 00:00:00,2006-12-09 00:00:00,False,T2,-0.0011702751481905693,-0.0011702751481905693,True
2006-11,62,bbg__industrial_metals_spot_index__month_mean,2006-11,2006-12-01 00:00:00,2006-12-09 00:00:00,False,T2,0.01204476272056798,0.01204476272056798,True
2006-12,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-11,2007-01-01 00:00:00,2007-01-09 00:00:00,False,T0,6.5,6.5,True
2006-12,12,czso:PRU01C:sa_calendar_adjusted_level,2006-10,2006-12-11 00:00:00,2007-01-09 00:00:00,False,T0,77.95077275,77.95077275,True
2006-12,17,bbg__nominal_ulc_quarterly__as_reported,2006Q3,2006-12-14 00:00:00,2007-01-09 00:00:00,False,T0,67.2,67.2,True
2006-12,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-01-09 00:00:00,False,T2,,,True
2006-12,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-11,2006-12-26 00:00:00,2007-01-09 00:00:00,False,T2,-0.0012247398958962208,-0.0012247398958962208,True
2006-12,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-11,2006-12-26 00:00:00,2007-01-09 00:00:00,False,T2,0.0,0.0,True
2006-12,62,bbg__industrial_metals_spot_index__month_mean,2006-12,2007-01-01 00:00:00,2007-01-09 00:00:00,False,T2,0.00863740469933294,0.00863740469933294,True
2007-01,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-12,2007-02-01 00:00:00,2007-02-09 00:00:00,False,T0,6.6,6.6,True
2007-01,12,czso:PRU01C:sa_calendar_adjusted_level,2006-11,2007-01-10 00:00:00,2007-02-09 00:00:00,False,T0,79.64973875,79.64973875,True
2007-01,17,bbg__nominal_ulc_quarterly__as_reported,2006Q3,2006-12-14 00:00:00,2007-02-09 00:00:00,False,T0,67.2,67.2,True
2007-01,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-02-09 00:00:00,False,T2,,,True
2007-01,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-12,2007-01-26 00:00:00,2007-02-09 00:00:00,False,T2,0.0,0.0,True
2007-01,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-12,2007-01-26 00:00:00,2007-02-09 00:00:00,False,T2,0.0,0.0,True
2007-01,62,bbg__industrial_metals_spot_index__month_mean,2007-01,2007-02-01 00:00:00,2007-02-09 00:00:00,False,T2,-0.07899013202412775,-0.07899013202412775,True
2007-02,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-01,2007-03-04 00:00:00,2007-03-09 00:00:00,False,T0,6.1,6.1,True
2007-02,12,czso:PRU01C:sa_calendar_adjusted_level,2006-12,2007-02-10 00:00:00,2007-03-09 00:00:00,False,T0,81.3587155,81.3587155,True
2007-02,17,bbg__nominal_ulc_quarterly__as_reported,2006Q3,2006-12-14 00:00:00,2007-03-09 00:00:00,False,T0,67.2,67.2,True
2007-02,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-03-09 00:00:00,False,T2,,,True
2007-02,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-01,2007-02-26 00:00:00,2007-03-09 00:00:00,False,T2,0.010969031370573923,0.010969031370573923,True
2007-02,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-01,2007-02-26 00:00:00,2007-03-09 00:00:00,False,T2,0.0,0.0,True
2007-02,62,bbg__industrial_metals_spot_index__month_mean,2007-02,2007-03-01 00:00:00,2007-03-09 00:00:00,False,T2,0.014489815825489138,0.014489815825489138,True
2007-03,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-02,2007-04-01 00:00:00,2007-04-09 00:00:00,False,T0,5.8,5.8,True
2007-03,12,czso:PRU01C:sa_calendar_adjusted_level,2007-01,2007-03-13 00:00:00,2007-04-09 00:00:00,False,T0,84.04897623,84.04897623,True
2007-03,17,bbg__nominal_ulc_quarterly__as_reported,2006Q4,2007-03-16 00:00:00,2007-04-09 00:00:00,False,T0,71.8,71.8,True
2007-03,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-04-09 00:00:00,False,T2,,,True
2007-03,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-02,2007-03-26 00:00:00,2007-04-09 00:00:00,False,T2,0.006042314455963371,0.006042314455963371,True
2007-03,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-02,2007-03-26 00:00:00,2007-04-09 00:00:00,False,T2,0.00467290569939216,0.00467290569939216,True
2007-03,62,bbg__industrial_metals_spot_index__month_mean,2007-03,2007-04-01 00:00:00,2007-04-09 00:00:00,False,T2,0.05328643391899046,0.05328643391899046,True
2007-04,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-03,2007-05-02 00:00:00,2007-05-09 00:00:00,False,T0,5.7,5.7,True
2007-04,12,czso:PRU01C:sa_calendar_adjusted_level,2007-02,2007-04-10 00:00:00,2007-05-09 00:00:00,False,T0,83.745111,83.745111,True
2007-04,17,bbg__nominal_ulc_quarterly__as_reported,2006Q4,2007-03-16 00:00:00,2007-05-09 00:00:00,False,T0,71.8,71.8,True
2007-04,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-05-09 00:00:00,False,T2,,,True
2007-04,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-03,2007-04-26 00:00:00,2007-05-09 00:00:00,False,T2,0.004807701568102729,0.004807701568102729,True
2007-04,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-03,2007-04-26 00:00:00,2007-05-09 00:00:00,False,T2,0.006968669316093745,0.006968669316093745,True
2007-04,62,bbg__industrial_metals_spot_index__month_mean,2007-04,2007-05-01 00:00:00,2007-05-09 00:00:00,False,T2,0.10469946520672391,0.10469946520672391,True
2007-05,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-04,2007-06-01 00:00:00,2007-06-09 00:00:00,False,T0,5.5,5.5,True
2007-05,12,czso:PRU01C:sa_calendar_adjusted_level,2007-03,2007-05-11 00:00:00,2007-06-09 00:00:00,False,T0,84.75093425,84.75093425,True
2007-05,17,bbg__nominal_ulc_quarterly__as_reported,2006Q4,2007-03-16 00:00:00,2007-06-09 00:00:00,False,T0,71.8,71.8,True
2007-05,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-06-09 00:00:00,False,T2,,,True
2007-05,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-04,2007-05-26 00:00:00,2007-06-09 00:00:00,False,T2,0.004784698123335929,0.004784698123335929,True
2007-05,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-04,2007-05-26 00:00:00,2007-06-09 00:00:00,False,T2,0.005770356461336057,0.005770356461336057,True
2007-05,62,bbg__industrial_metals_spot_index__month_mean,2007-05,2007-06-01 00:00:00,2007-06-09 00:00:00,False,T2,0.010143739396109908,0.010143739396109908,True
2007-06,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-05,2007-07-02 00:00:00,2007-07-09 00:00:00,False,T0,5.4,5.4,True
2007-06,12,czso:PRU01C:sa_calendar_adjusted_level,2007-04,2007-06-10 00:00:00,2007-07-09 00:00:00,False,T0,83.62634365,83.62634365,True
2007-06,17,bbg__nominal_ulc_quarterly__as_reported,2007Q1,2007-06-14 00:00:00,2007-07-09 00:00:00,False,T0,70.8,70.8,True
2007-06,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-07-09 00:00:00,False,T2,,,True
2007-06,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-05,2007-06-26 00:00:00,2007-07-09 00:00:00,False,T2,0.00713439411387462,0.00713439411387462,True
2007-06,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-05,2007-06-26 00:00:00,2007-07-09 00:00:00,False,T2,0.006880761092222798,0.006880761092222798,True
2007-06,62,bbg__industrial_metals_spot_index__month_mean,2007-06,2007-07-01 00:00:00,2007-07-09 00:00:00,False,T2,-0.06557873524859836,-0.06557873524859836,True
2007-07,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-06,2007-08-01 00:00:00,2007-08-09 00:00:00,False,T0,5.5,5.5,True
2007-07,12,czso:PRU01C:sa_calendar_adjusted_level,2007-05,2007-07-11 00:00:00,2007-08-09 00:00:00,False,T0,84.45498374,84.45498374,True
2007-07,17,bbg__nominal_ulc_quarterly__as_reported,2007Q1,2007-06-14 00:00:00,2007-08-09 00:00:00,False,T0,70.8,70.8,True
2007-07,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-08-09 00:00:00,False,T2,,,True
2007-07,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-06,2007-07-26 00:00:00,2007-08-09 00:00:00,False,T2,0.0059066917153902665,0.0059066917153902665,True
2007-07,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-06,2007-07-26 00:00:00,2007-08-09 00:00:00,False,T2,0.00796816964917646,0.00796816964917646,True
2007-07,62,bbg__industrial_metals_spot_index__month_mean,2007-07,2007-08-01 00:00:00,2007-08-09 00:00:00,False,T2,-0.003389373148847241,-0.003389373148847241,True
2007-08,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-07,2007-09-01 00:00:00,2007-09-09 00:00:00,False,T0,5.1,5.1,True
2007-08,12,czso:PRU01C:sa_calendar_adjusted_level,2007-06,2007-08-10 00:00:00,2007-09-09 00:00:00,False,T0,83.85192315,83.85192315,True
2007-08,17,bbg__nominal_ulc_quarterly__as_reported,2007Q1,2007-06-14 00:00:00,2007-09-09 00:00:00,False,T0,70.8,70.8,True
2007-08,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-09-09 00:00:00,False,T2,,,True
2007-08,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-07,2007-08-26 00:00:00,2007-09-09 00:00:00,False,T2,0.002352942262026758,0.002352942262026758,True
2007-08,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-07,2007-08-26 00:00:00,2007-09-09 00:00:00,False,T2,0.0033955890011378997,0.0033955890011378997,True
2007-08,62,bbg__industrial_metals_spot_index__month_mean,2007-08,2007-09-01 00:00:00,2007-09-09 00:00:00,False,T2,-0.08974288948575371,-0.08974288948575371,True
2007-09,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-08,2007-10-02 00:00:00,2007-10-09 00:00:00,False,T0,5.0,5.0,True
2007-09,12,czso:PRU01C:sa_calendar_adjusted_level,2007-07,2007-09-10 00:00:00,2007-10-09 00:00:00,False,T0,85.10461004,85.10461004,True
2007-09,17,bbg__nominal_ulc_quarterly__as_reported,2007Q2,2007-09-13 00:00:00,2007-10-09 00:00:00,False,T0,69.5,69.5,True
2007-09,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-10-09 00:00:00,False,T2,,,True
2007-09,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-08,2007-09-26 00:00:00,2007-10-09 00:00:00,False,T2,-0.0011757790890118969,-0.0011757790890118969,True
2007-09,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-08,2007-09-26 00:00:00,2007-10-09 00:00:00,False,T2,-0.0011305823702851825,-0.0011305823702851825,True
2007-09,62,bbg__industrial_metals_spot_index__month_mean,2007-09,2007-10-01 00:00:00,2007-10-09 00:00:00,False,T2,-0.008399775844363688,-0.008399775844363688,True
2007-10,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-09,2007-11-01 00:00:00,2007-11-09 00:00:00,False,T0,5.2,5.2,True
2007-10,12,czso:PRU01C:sa_calendar_adjusted_level,2007-08,2007-10-11 00:00:00,2007-11-09 00:00:00,False,T0,84.26677793,84.26677793,True
2007-10,17,bbg__nominal_ulc_quarterly__as_reported,2007Q2,2007-09-13 00:00:00,2007-11-09 00:00:00,False,T0,69.5,69.5,True
2007-10,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-11-09 00:00:00,False,T2,,,True
2007-10,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-09,2007-10-26 00:00:00,2007-11-09 00:00:00,False,T2,0.0011757790890118969,0.0011757790890118969,True
2007-10,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-09,2007-10-26 00:00:00,2007-11-09 00:00:00,False,T2,0.0011305823702851825,0.0011305823702851825,True
2007-10,62,bbg__industrial_metals_spot_index__month_mean,2007-10,2007-11-01 00:00:00,2007-11-09 00:00:00,False,T2,0.035699772840004584,0.035699772840004584,True
2007-11,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-10,2007-12-02 00:00:00,2007-12-09 00:00:00,False,T0,5.0,5.0,True
2007-11,12,czso:PRU01C:sa_calendar_adjusted_level,2007-09,2007-11-10 00:00:00,2007-12-09 00:00:00,False,T0,84.55318033,84.55318033,True
2007-11,17,bbg__nominal_ulc_quarterly__as_reported,2007Q2,2007-09-13 00:00:00,2007-12-09 00:00:00,False,T0,69.5,69.5,True
2007-11,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2007-12-09 00:00:00,False,T2,,,True
2007-11,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-10,2007-11-26 00:00:00,2007-12-09 00:00:00,False,T2,0.003519065215195738,0.003519065215195738,True
2007-11,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-10,2007-11-26 00:00:00,2007-12-09 00:00:00,False,T2,0.003384097984240775,0.003384097984240775,True
2007-11,62,bbg__industrial_metals_spot_index__month_mean,2007-11,2007-12-01 00:00:00,2007-12-09 00:00:00,False,T2,-0.06640682686275845,-0.06640682686275845,True
2007-12,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2007-11,2008-01-01 00:00:00,2008-01-09 00:00:00,False,T0,4.7,4.7,True
2007-12,12,czso:PRU01C:sa_calendar_adjusted_level,2007-10,2007-12-11 00:00:00,2008-01-09 00:00:00,False,T0,85.01685974,85.01685974,True
2007-12,17,bbg__nominal_ulc_quarterly__as_reported,2007Q3,2007-12-14 00:00:00,2008-01-09 00:00:00,False,T0,69.0,69.0,True
2007-12,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2008-01-09 00:00:00,False,T2,,,True
2007-12,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2007-11,2007-12-26 00:00:00,2008-01-09 00:00:00,False,T2,0.007001195458983034,0.007001195458983034,True
2007-12,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2007-11,2007-12-26 00:00:00,2008-01-09 00:00:00,False,T2,0.008968669982760247,0.008968669982760247,True
