a6_number,component,source_id,source_file,period,value,value_kind,availability_rule,available_from_assumed,vintage
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-07,2.5,balance,ec_bcs_next_month,1999-08-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-08,17.7,balance,ec_bcs_next_month,1999-09-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-09,15.5,balance,ec_bcs_next_month,1999-10-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-10,6.2,balance,ec_bcs_next_month,1999-11-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-11,13.9,balance,ec_bcs_next_month,1999-12-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-12,9.6,balance,ec_bcs_next_month,2000-01-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-01,-4.1,balance,ec_bcs_next_month,2000-02-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-02,23.7,balance,ec_bcs_next_month,2000-03-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-03,20.9,balance,ec_bcs_next_month,2000-04-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-04,28.7,balance,ec_bcs_next_month,2000-05-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-05,34.5,balance,ec_bcs_next_month,2000-06-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-06,26.9,balance,ec_bcs_next_month,2000-07-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-07,18.1,balance,ec_bcs_next_month,2000-08-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-08,14.0,balance,ec_bcs_next_month,2000-09-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-09,28.1,balance,ec_bcs_next_month,2000-10-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-10,30.9,balance,ec_bcs_next_month,2000-11-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-11,32.7,balance,ec_bcs_next_month,2000-12-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2000-12,5.0,balance,ec_bcs_next_month,2001-01-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-01,28.1,balance,ec_bcs_next_month,2001-02-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-02,-3.2,balance,ec_bcs_next_month,2001-03-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-03,26.6,balance,ec_bcs_next_month,2001-04-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-04,10.4,balance,ec_bcs_next_month,2001-05-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-05,10.6,balance,ec_bcs_next_month,2001-06-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-06,6.8,balance,ec_bcs_next_month,2001-07-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-07,6.4,balance,ec_bcs_next_month,2001-08-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-08,15.7,balance,ec_bcs_next_month,2001-09-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-09,18.1,balance,ec_bcs_next_month,2001-10-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-10,-2.8,balance,ec_bcs_next_month,2001-11-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-11,18.7,balance,ec_bcs_next_month,2001-12-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2001-12,6.1,balance,ec_bcs_next_month,2002-01-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-01,19.6,balance,ec_bcs_next_month,2002-02-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-02,19.4,balance,ec_bcs_next_month,2002-03-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-03,12.1,balance,ec_bcs_next_month,2002-04-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-04,11.5,balance,ec_bcs_next_month,2002-05-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-05,5.1,balance,ec_bcs_next_month,2002-06-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-06,11.0,balance,ec_bcs_next_month,2002-07-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-07,18.0,balance,ec_bcs_next_month,2002-08-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-08,11.2,balance,ec_bcs_next_month,2002-09-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-09,0.2,balance,ec_bcs_next_month,2002-10-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-10,8.2,balance,ec_bcs_next_month,2002-11-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-11,3.9,balance,ec_bcs_next_month,2002-12-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2002-12,12.9,balance,ec_bcs_next_month,2003-01-01,current
