Datum|1 AUD|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|1 SEK|1 SGD|100 THB|100 TRY|1 USD|1 XDR|1 ZAR
08.06.2026|14,856|4,082|15,079|26,379|3,098|3,243|24,240|28,066|2,681|6,815|1,156|7,202|21,951|16,880|13,134|1,375|1,206|5,158|2,221|12,243|34,052|5,713|4,623|2,229|16,316|64,088|45,577|21,010|28,757|1,275
09.06.2026|14,746|4,041|15,004|26,257|3,085|3,234|24,170|27,995|2,665|6,799|1,157|7,092|21,905|16,831|13,041|1,368|1,201|5,143|2,210|12,199|33,970|5,704|4,614|2,220|16,250|63,603|45,292|20,888|28,467|1,269
10.06.2026|14,688|4,042|15,046|26,239|3,092|3,237|24,195|28,059|2,675|6,790|1,168|7,039|22,006|16,872|13,064|1,375|1,200|5,151|2,209|12,175|34,154|5,695|4,620|2,207|16,275|63,629|45,441|20,965|28,620|1,263
11.06.2026|14,675|4,064|15,003|26,233|3,095|3,237|24,195|28,032|2,677|6,810|1,167|7,093|21,904|16,825|13,067|1,371|1,206|5,158|2,202|12,135|34,200|5,690|4,618|2,201|16,290|63,653|45,451|20,976|28,616|1,271
12.06.2026|14,705|4,089|14,938|26,224|3,090|3,234|24,170|28,000|2,667|6,848|1,169|7,152|21,967|16,761|13,043|1,374|1,214|5,149|2,193|12,171|34,368|5,690|4,617|2,211|16,271|63,811|45,162|20,894|28,482|1,282
15.06.2026|14,705|4,122|14,884|26,219|3,079|3,231|24,150|27,925|2,656|6,890|1,176|7,141|21,968|16,678|12,991|1,374|1,209|5,137|2,184|12,147|34,484|5,687|4,611|2,216|16,227|63,934|44,972|20,807|28,417|1,284
16.06.2026|14,718|4,116|14,862|26,180|3,082|3,231|24,150|27,930|2,658|6,911|1,177|7,153|22,020|16,724|12,985|1,381|1,211|5,119|2,187|12,132|34,530|5,693|4,615|2,216|16,242|64,052|45,019|20,823|28,474|1,287
17.06.2026|14,708|4,093|14,870|26,270|3,082|3,231|24,150|27,931|2,659|6,905|1,175|7,134|22,038|16,724|12,994|1,373|1,211|5,121|2,195|12,104|34,469|5,694|4,615|2,218|16,232|63,874|44,977|20,832|28,486|1,285
18.06.2026|14,779|4,099|14,926|26,226|3,113|3,234|24,175|27,895|2,689|6,860|1,190|7,168|22,343|16,742|13,099|1,370|1,214|5,119|2,177|12,158|34,771|5,679|4,614|2,201|16,335|64,325|45,382|21,078|28,806|1,285
19.06.2026|14,818|4,091|14,929|26,191|3,121|3,241|24,225|27,955|2,695|6,870|1,188|7,130|22,397|16,823|13,104|1,381|1,219|5,107|2,181|12,135|34,784|5,685|4,623|2,207|16,364|64,284|45,486|21,126|28,718|1,283
22.06.2026|14,802|4,104|14,917|26,139|3,117|3,237|24,195|27,985|2,694|6,866|1,184|7,116|22,304|16,802|13,055|1,374|1,219|5,090|2,185|12,103|34,601|5,668|4,619|2,200|16,336|64,185|45,452|21,118|28,708|1,287
23.06.2026|14,742|4,108|14,979|26,247|3,133|3,238|24,205|28,093|2,711|6,826|1,191|7,092|22,436|16,809|13,159|1,383|1,215|5,134|2,173|12,067|34,828|5,652|4,613|2,189|16,401|64,014|45,732|21,256|28,880|1,289
24.06.2026|14,750|4,108|15,016|26,305|3,139|3,243|24,240|28,128|2,726|6,805|1,192|7,161|22,580|16,857|13,221|1,382|1,213|5,166|2,173|12,062|34,820|5,653|4,628|2,186|16,464|63,935|45,974|21,377|28,997|1,286
25.06.2026|14,739|4,107|15,018|26,299|3,147|3,246|24,260|28,147|2,728|6,823|1,194|7,183|22,659|16,847|13,215|1,386|1,212|5,195|2,162|12,057|34,940|5,658|4,637|2,191|16,481|64,025|46,026|21,390|28,938|1,291
26.06.2026|14,691|4,115|15,007|26,321|3,131|3,246|24,265|28,136|2,714|6,852|1,188|7,101|22,547|16,851|13,166|1,384|1,215|5,207|2,147|12,024|34,720|5,660|4,631|2,191|16,446|63,765|45,651|21,284|28,804|1,294
29.06.2026|14,677|4,119|14,975|26,308|3,131|3,246|24,260|28,143|2,712|6,845|1,192|7,148|22,496|16,847|13,141|1,378|1,217|5,224|2,141|12,026|34,765|5,659|4,628|2,188|16,443|63,975|45,648|21,269|28,843|1,296
30.06.2026|14,662|4,109|14,954|26,302|3,137|3,246|24,260|28,153|2,715|6,809|1,191|7,141|22,487|16,847|13,106|1,373|1,219|5,211|2,145|12,048|34,690|5,647|4,627|2,187|16,440|64,046|45,621|21,287|28,870|1,300
01.07.2026|14,686|4,108|14,978|26,269|3,135|3,244|24,250|28,207|2,716|6,816|1,188|7,152|22,365|16,864|13,092|1,368|1,216|5,203|2,145|12,088|34,557|5,645|4,631|2,186|16,428|63,828|45,646|21,303|28,889|1,297
02.07.2026|14,640|4,086|14,945|26,328|3,130|3,240|24,220|28,267|2,709|6,800|1,181|7,081|22,274|16,819|13,149|1,372|1,210|5,208|2,145|12,046|34,507|5,644|4,629|2,186|16,411|63,761|45,505|21,248|28,808|1,297
03.07.2026|14,662|4,065|14,879|26,320|3,116|3,237|24,195|28,229|2,694|6,852|1,177|7,046|22,192|16,779|13,113|1,380|1,211|5,190|2,146|12,066|34,391|5,647|4,621|2,193|16,372|63,766|45,145|21,130|28,687|1,303
07.07.2026|14,724|4,123|14,904|26,287|3,120|3,242|24,230|28,370|2,702|6,848|1,179|7,006|22,313|16,850|13,091|1,400|1,216|5,207|2,160|12,062|34,495|5,644|4,629|2,193|16,412|63,733|45,281|21,191|28,767|1,305
08.07.2026|14,723|4,123|14,994|26,300|3,128|3,244|24,250|28,386|2,713|6,774|1,182|6,991|22,255|16,911|13,088|1,409|1,209|5,216|2,179|12,117|34,550|5,628|4,631|2,194|16,435|63,587|45,387|21,267|28,892|1,298
09.07.2026|14,717|4,121|14,969|26,293|3,122|3,245|24,255|28,414|2,707|6,778|1,174|7,013|22,238|16,914|13,061|1,403|1,208|5,203|2,178|12,181|34,439|5,630|4,634|2,192|16,407|63,427|45,256|21,213|28,783|1,295
10.07.2026|14,745|4,149|14,986|26,295|3,131|3,244|24,250|28,477|2,705|6,814|1,175|7,062|22,246|16,911|13,108|1,409|1,211|5,211|2,174|12,246|34,447|5,579|4,633|2,202|16,430|63,713|45,157|21,207|28,796|1,301
13.07.2026|14,741|4,149|15,022|26,221|3,134|3,246|24,265|28,435|2,710|6,797|1,173|7,017|22,213|16,921|13,099|1,421|1,214|5,218|2,174|12,268|34,496|5,609|4,635|2,200|16,432|63,617|45,197|21,241|28,877|1,298
14.07.2026|14,779|4,158|15,090|26,235|3,141|3,249|24,285|28,490|2,717|6,722|1,177|7,063|22,132|16,959|13,126|1,424|1,217|5,221|2,192|12,346|34,515|5,598|4,627|2,200|16,471|63,501|45,267|21,292|28,937|1,293
15.07.2026|14,832|4,181|15,090|26,179|3,135|3,241|24,230|28,478|2,709|6,737|1,176|7,076|22,062|16,897|13,079|1,423|1,219|5,208|2,184|12,358|34,427|5,601|4,622|2,194|16,438|63,139|45,154|21,237|28,820|1,297
16.07.2026|14,786|4,147|15,047|26,156|3,119|3,237|24,195|28,509|2,692|6,702|1,173|7,012|21,904|16,920|13,012|1,426|1,211|5,182|2,186|12,350|34,245|5,589|4,616|2,193|16,369|62,860|44,851|21,104|28,664|1,288
17.07.2026|14,765|4,139|15,095|26,233|3,124|3,238|24,205|28,449|2,700|6,662|1,183|6,950|21,988|16,879|13,039|1,425|1,211|5,170|2,193|12,344|34,366|5,568|4,619|2,192|16,395|62,942|45,019|21,171|28,815|1,282
20.07.2026|14,839|4,149|15,094|26,189|3,130|3,237|24,195|28,508|2,702|6,696|1,181|6,957|21,962|16,896|13,043|1,430|1,211|5,176|2,191|12,397|34,338|5,583|4,616|2,190|16,407|62,978|44,894|21,182|28,784|1,284
21.07.2026|14,852|4,171|15,038|26,107|3,129|3,233|24,170|28,361|2,700|6,707|1,184|6,941|21,998|16,902|13,009|1,432|1,217|5,178|2,200|12,375|34,291|5,581|4,615|2,188|16,408|62,884|44,854|21,171|28,785|1,287
22.07.2026|14,810|4,170|15,033|26,076|3,126|3,232|24,160|28,307|2,700|6,645|1,184|6,914|21,925|16,872|12,985|1,431|1,216|5,180|2,206|12,322|34,282|5,580|4,612|2,181|16,400|62,631|44,840|21,173|28,766|1,286
23.07.2026|14,843|4,186|15,085|26,021|3,136|3,235|24,185|28,347|2,707|6,639|1,186|6,908|21,980|16,865|12,986|1,442|1,216|5,191|2,209|12,285|34,365|5,589|4,620|2,179|16,438|62,759|44,985|21,228|28,814|1,292
24.07.2026|14,832|4,176|15,068|25,966|3,134|3,231|24,150|28,283|2,707|6,674|1,183|6,955|21,981|16,888|12,958|1,453|1,214|5,188|2,218|12,286|34,329|5,596|4,613|2,184|16,443|62,995|44,832|21,226|28,809|1,259
27.07.2026|14,846|4,173|15,044|26,023|3,137|3,232|24,160|28,245|2,706|6,706|1,179|6,981|22,126|16,919|12,965|1,443|1,215|5,194|2,200|12,280|34,393|5,589|4,618|2,187|16,442|63,148|44,812|21,222|28,772|1,266
28.07.2026|14,830|4,156|15,083|25,957|3,143|3,236|24,190|28,276|2,714|6,702|1,178|6,963|22,203|16,987|12,984|1,458|1,218|5,201|2,198|12,283|34,530|5,592|4,622|2,187|16,456|63,326|44,932|21,284|28,871|1,268
29.07.2026|14,754|4,151|15,076|25,929|3,142|3,237|24,195|28,246|2,711|6,682|1,178|6,944|22,228|16,967|12,988|1,464|1,217|5,199|2,199|12,278|34,628|5,592|4,621|2,189|16,448|63,402|44,859|21,262|28,801|1,269
30.07.2026|14,700|4,126|14,994|25,932|3,116|3,233|24,165|28,188|2,684|6,678|1,164|6,859|22,000|16,946|12,924|1,469|1,210|5,156|2,202|12,302|34,204|5,610|4,609|2,196|16,354|62,742|44,396|21,051|28,540|1,269
31.07.2026|14,791|4,167|15,012|26,015|3,122|3,239|24,210|28,286|2,687|6,643|1,171|6,895|22,096|16,978|13,152|1,461|1,213|5,157|2,212|12,357|34,400|5,613|4,614|2,203|16,405|62,981|44,347|21,076|28,679|1,272
03.08.2026|14,702|4,142|14,960|25,971|3,108|3,238|24,205|28,265|2,676|6,648|1,167|6,877|22,015|17,046|13,397|1,471|1,212|5,125|2,200|12,326|34,448|5,626|4,614|2,203|16,375|62,968|44,154|20,989|28,623|1,274
04.08.2026|14,775|4,135|14,945|25,974|3,112|3,237|24,200|28,260|2,680|6,680|1,166|6,941|22,034|17,042|13,348|1,473|1,216|5,135|2,201|12,364|34,437|5,619|4,608|2,201|16,386|63,048|44,194|21,017|28,715|1,278
05.08.2026|14,762|4,093|14,902|25,887|3,102|3,236|24,190|28,217|2,669|6,679|1,168|6,977|22,011|17,059|13,288|1,471|1,216|5,115|2,202|12,292|34,464|5,618|4,611|2,207|16,338|63,188|44,009|20,937|28,585|1,281
06.08.2026|14,769|4,093|14,981|25,904|3,108|3,239|24,210|28,245|2,674|6,655|1,171|6,963|22,027|17,049|13,288|1,474|1,216|5,129|2,200|12,341|34,503|5,632|4,607|2,216|16,358|63,437|44,071|20,976|28,665|1,286
07.08.2026|14,812|4,126|15,023|25,958|3,118|3,246|24,265|28,292|2,682|6,654|1,176|7,008|22,097|17,016|13,286|1,486|1,226|5,143|2,212|12,351|34,564|5,646|4,619|2,217|16,424|63,650|44,100|21,039|28,749|1,297
10.08.2026|14,826|4,125|15,060|25,966|3,113|3,244|24,255|28,341|2,676|6,668|1,183|6,997|22,032|17,057|13,231|1,481|1,224|5,133|2,208|12,364|34,568|5,641|4,625|2,212|16,408|63,584|44,009|20,997|28,673|1,297
11.08.2026|14,840|4,114|15,074|25,931|3,116|3,243|24,245|28,362|2,678|6,652|1,178|7,008|22,018|17,050|13,194|1,488|1,227|5,135|2,210|12,352|34,354|5,643|4,627|2,211|16,412|63,471|44,018|21,014|28,725|1,299
12.08.2026|14,855|4,075|15,086|25,894|3,116|3,244|24,255|28,417|2,677|6,664|1,176|7,026|22,036|17,105|13,209|1,483|1,231|5,142|2,218|12,327|34,316|5,636|4,629|2,205|16,425|63,551|43,989|21,008|28,699|1,302
13.08.2026|14,814|4,051|15,063|25,846|3,116|3,241|24,230|28,344|2,678|6,674|1,176|7,046|22,013|17,039|13,185|1,479|1,232|5,141|2,206|12,277|34,260|5,628|4,619|2,197|16,409|63,398|43,977|21,010|28,702|1,303
14.08.2026|14,820|4,039|15,086|25,788|3,106|3,238|24,210|28,339|2,668|6,676|1,175|7,101|21,938|17,025|13,163|1,483|1,231|5,124|2,214|12,325|34,083|5,621|4,618|2,201|16,376|63,183|43,722|20,936|28,595|1,295
17.08.2026|14,872|4,006|15,062|25,774|3,098|3,237|24,200|28,305|2,661|6,686|1,171|7,073|21,834|17,018|13,109|1,479|1,227|5,138|2,215|12,349|33,938|5,619|4,618|2,200|16,354|63,209|43,578|20,875|28,536|1,291
18.08.2026|14,855|4,014|15,052|25,711|3,098|3,234|24,180|28,256|2,663|6,637|1,170|6,982|21,827|17,004|13,080|1,481|1,225|5,145|2,217|12,293|33,806|5,598|4,610|2,193|16,345|63,185|43,594|20,885|28,584|1,288
19.08.2026|14,734|4,002|15,008|25,695|3,090|3,232|24,160|28,224|2,655|6,623|1,168|6,968|21,739|16,990|13,084|1,496|1,222|5,130|2,214|12,243|33,673|5,586|4,605|2,189|16,312|62,957|43,428|20,817|28,466|1,282
20.08.2026|14,689|3,981|15,011|25,898|3,074|3,230|24,150|28,180|2,635|6,613|1,165|6,906|21,597|17,007|13,023|1,481|1,217|5,111|2,216|12,293|33,492|5,592|4,597|2,178|16,251|62,804|43,146|20,670|28,303|1,278
21.08.2026|14,779|3,984|15,005|25,791|3,068|3,226|24,120|28,153|2,630|6,646|1,166|6,907|21,546|17,034|12,991|1,489|1,220|5,106|2,219|12,343|33,441|5,599|4,589|2,180|16,255|63,125|42,901|20,620|28,332|1,288
24.08.2026|14,795|4,013|14,918|25,748|3,073|3,224|24,100|28,169|2,636|6,647|1,167|6,908|21,577|17,068|12,988|1,493|1,220|5,111|2,218|12,315|33,475|5,595|4,590|2,175|16,263|63,211|42,976|20,660|28,392|1,291
25.08.2026|14,780|4,005|14,910|25,741|3,075|3,223|24,095|28,166|2,636|6,652|1,167|6,928|21,652|17,040|12,974|1,494|1,219|5,105|2,213|12,326|33,470|5,596|4,586|2,177|16,264|63,119|42,952|20,659|28,351|1,292
26.08.2026|14,825|4,010|14,882|25,667|3,070|3,221|24,080|28,124|2,632|6,688|1,165|6,940|21,620|17,054|12,969|1,491|1,219|5,123|2,212|12,295|33,454|5,606|4,581|2,173|16,246|63,001|42,872|20,629|28,310|1,297
27.08.2026|14,909|4,030|14,943|25,750|3,086|3,230|24,140|28,157|2,645|6,632|1,170|6,969|21,702|17,194|13,007|1,502|1,222|5,141|2,220|12,337|33,507|5,577|4,590|2,178|16,310|63,108|43,077|20,735|28,456|1,297
28.08.2026|14,923|4,015|14,973|25,793|3,086|3,231|24,150|28,174|2,646|6,619|1,172|6,978|21,745|17,152|12,991|1,509|1,224|5,152|2,223|12,333|33,318|5,569|4,593|2,177|16,314|62,935|42,991|20,741|28,435|1,296
31.08.2026|14,900|4,026|14,981|25,732|3,095|3,227|24,125|28,171|2,654|6,626|1,174|6,967|21,856|17,134|13,024|1,521|1,223|5,166|2,226|12,307|33,336|5,575|4,587|2,171|16,343|62,726|43,099|20,800|28,523|1,291
01.09.2026|14,889|4,009|15,011|25,722|3,101|3,232|24,160|28,205|2,658|6,589|1,177|6,921|21,951|17,159|13,015|1,517|1,226|5,160|2,233|12,283|33,389|5,579|4,595|2,175|16,369|62,662|43,181|20,844|28,533|1,291
02.09.2026|14,936|4,053|15,009|25,673|3,109|3,237|24,195|28,172|2,664|6,572|1,177|6,892|22,002|17,208|13,093|1,534|1,229|5,165|2,238|12,176|33,421|5,592|4,603|2,168|16,416|62,889|43,280|20,896|28,594|1,298
03.09.2026|14,996|4,103|15,113|25,788|3,103|3,240|24,215|28,141|2,659|6,593|1,181|6,906|22,067|17,223|13,371|1,536|1,225|5,159|2,241|12,239|33,360|5,598|4,609|2,177|16,446|63,213|43,170|20,851|28,510|1,300
04.09.2026|14,994|4,072|15,082|25,725|3,102|3,236|24,190|28,161|2,655|6,660|1,180|6,918|22,028|17,180|13,324|1,542|1,232|5,146|2,239|12,247|33,228|5,606|4,605|2,179|16,425|63,226|43,106|20,814|28,528|1,304
07.09.2026|15,021|4,062|15,064|25,726|3,103|3,238|24,200|28,173|2,656|6,661|1,181|6,914|22,037|17,188|13,453|1,544|1,231|5,146|2,246|12,232|33,224|5,614|4,608|2,168|16,442|63,284|43,024|20,823|28,566|1,302
08.09.2026|15,027|4,063|15,089|25,666|3,105|3,237|24,195|28,221|2,657|6,643|1,182|6,914|21,972|17,233|13,510|1,552|1,228|5,130|2,252|12,169|33,318|5,605|4,609|2,169|16,457|63,263|42,993|20,834|28,583|1,300
09.09.2026|15,034|4,093|15,115|25,792|3,103|3,244|24,250|28,225|2,654|6,665|1,189|6,889|21,883|17,272|13,577|1,557|1,231|5,114|2,266|12,182|33,306|5,621|4,614|2,175|16,473|63,294|42,934|20,813|28,569|1,298
10.09.2026|15,002|4,077|15,112|25,707|3,113|3,244|24,250|28,226|2,662|6,649|1,191|6,891|21,873|17,321|13,530|1,553|1,232|5,135|2,254|12,163|33,364|5,612|4,616|2,165|16,484|63,261|43,084|20,876|28,682|1,294
11.09.2026|15,010|4,098|15,102|25,675|3,120|3,246|24,260|28,276|2,669|6,661|1,190|6,870|21,901|17,378|13,590|1,558|1,233|5,141|2,250|12,182|33,415|5,609|4,617|2,159|16,506|63,301|43,130|20,927|28,743|1,295
