model,clock,threshold,sample,scope,considered_pairs,all_calls,calls_without_eligible_revision,n_pairs,n_reports,n_target_quarters,calls,revision_direction_matches,revision_confirmations,mature_calls,material_gains,material_losses,joint_successes,unconfirmed_calls,mean_abs_error_gain
CORE_PANEL_STATE_R25,cutoff,0.3,full,first_call_episodes,35,35,15,20,13,16,20,10,4,19,6,12,0,16,-0.7421964440092012
CORE_PANEL_STATE_R25,cutoff,0.3,reports_2024plus,all_pairs,93,15,7,20,10,11,8,4,2,7,3,4,0,6,-0.08480409628155061
CORE_PANEL_STATE_R25,cutoff,0.3,reports_2024plus,first_call_episodes,14,14,6,8,5,8,8,4,2,7,3,4,0,6,-0.08480409628155061
CORE_PANEL_STATE_R25,cutoff,0.5,full,all_pairs,161,33,17,36,18,19,16,7,2,15,2,13,0,14,-1.674752183132237
CORE_PANEL_STATE_R25,cutoff,0.5,full,first_call_episodes,24,24,11,13,8,11,13,6,1,12,2,10,0,12,-1.24268770343933
CORE_PANEL_STATE_R25,cutoff,0.5,reports_2024plus,all_pairs,93,6,4,20,10,11,2,0,0,1,0,1,0,2,-0.5083865072472817
CORE_PANEL_STATE_R25,cutoff,0.5,reports_2024plus,first_call_episodes,6,6,4,2,1,2,2,0,0,1,0,1,0,2,-0.5083865072472817
CORE_PANEL_STATE_R25,report,0.3,full,all_pairs,161,41,18,36,18,19,23,14,6,23,6,17,0,17,-0.8445611089899095
CORE_PANEL_STATE_R25,report,0.3,full,first_call_episodes,32,32,12,20,13,15,20,12,5,20,6,14,0,15,-0.7063021222236197
CORE_PANEL_STATE_R25,report,0.3,reports_2024plus,all_pairs,93,14,6,20,10,11,8,5,3,8,3,5,0,5,-0.1884725442364663
CORE_PANEL_STATE_R25,report,0.3,reports_2024plus,first_call_episodes,13,13,5,8,5,7,8,5,3,8,3,5,0,5,-0.1884725442364663
CORE_PANEL_STATE_R25,report,0.5,full,all_pairs,161,28,12,36,18,19,16,10,4,16,2,14,0,12,-1.233257666113472
CORE_PANEL_STATE_R25,report,0.5,full,first_call_episodes,20,20,7,13,8,10,13,8,3,13,2,11,0,10,-1.1102507381169249
CORE_PANEL_STATE_R25,report,0.5,reports_2024plus,all_pairs,93,4,2,20,10,11,2,2,1,2,0,2,0,1,-0.7215536864233115
CORE_PANEL_STATE_R25,report,0.5,reports_2024plus,first_call_episodes,4,4,2,2,1,2,2,2,1,2,0,2,0,1,-0.7215536864233115
DAMPED_P95_Q001_R16,cutoff,0.3,full,all_pairs,161,39,21,36,18,19,18,13,8,17,4,13,3,10,-0.31729296675015056
DAMPED_P95_Q001_R16,cutoff,0.3,full,first_call_episodes,32,32,17,15,11,12,15,11,7,14,3,11,2,8,-0.14057957621696968
DAMPED_P95_Q001_R16,cutoff,0.3,reports_2024plus,all_pairs,93,10,6,20,10,11,4,2,1,3,0,3,0,3,-0.42491081876968123
DAMPED_P95_Q001_R16,cutoff,0.3,reports_2024plus,first_call_episodes,10,10,6,4,3,4,4,2,1,3,0,3,0,3,-0.42491081876968123
DAMPED_P95_Q001_R16,cutoff,0.5,full,all_pairs,161,31,15,36,18,19,16,11,7,15,4,11,3,9,-0.31492213227917626
DAMPED_P95_Q001_R16,cutoff,0.5,full,first_call_episodes,24,24,11,13,9,11,13,9,6,12,3,9,2,7,-0.10816380137272164
DAMPED_P95_Q001_R16,cutoff,0.5,reports_2024plus,all_pairs,93,4,2,20,10,11,2,0,0,1,0,1,0,2,-0.6045840057441279
DAMPED_P95_Q001_R16,cutoff,0.5,reports_2024plus,first_call_episodes,4,4,2,2,1,2,2,0,0,1,0,1,0,2,-0.6045840057441279
DAMPED_P95_Q001_R16,report,0.3,full,all_pairs,161,41,18,36,18,19,23,18,12,22,4,16,2,11,-0.2940740178413208
DAMPED_P95_Q001_R16,report,0.3,full,first_call_episodes,32,32,14,18,13,15,18,14,10,17,3,13,2,8,-0.18417106951528248
DAMPED_P95_Q001_R16,report,0.3,reports_2024plus,all_pairs,93,12,5,20,10,11,7,5,4,6,0,5,0,3,-0.46451394223925324
DAMPED_P95_Q001_R16,report,0.3,reports_2024plus,first_call_episodes,12,12,5,7,5,7,7,5,4,6,0,5,0,3,-0.46451394223925324
DAMPED_P95_Q001_R16,report,0.5,full,all_pairs,161,30,12,36,18,19,18,15,9,18,4,13,2,9,-0.2971056137344256
DAMPED_P95_Q001_R16,report,0.5,full,first_call_episodes,25,25,12,13,9,10,13,11,7,13,3,10,2,6,-0.15455237203618505
DAMPED_P95_Q001_R16,report,0.5,reports_2024plus,all_pairs,93,4,2,20,10,11,2,2,1,2,0,2,0,1,-0.832678154073062
