model,H,sample,block,n,rms,bias
STABLE_LOCAL_CORE_R14B,3,origins_2019_2021,total,35,1.083086885789772,-0.5455332343515535
STATE_FAST_R15,3,origins_2019_2021,h0,35,0.2764060537776783,-0.05238939744512398
STATE_FAST_R15,3,origins_2019_2021,core,35,0.5390107950233828,-0.2051693157323058
STATE_FAST_R15,3,origins_2019_2021,food,35,0.31861969153406217,-0.0837025590139474
STATE_FAST_R15,3,origins_2019_2021,fuel,35,0.2582954521421408,-0.07552948933972725
STATE_FAST_R15,3,origins_2019_2021,administered,35,0.3336177032194318,0.006427382102538815
STATE_FAST_R15,3,origins_2019_2021,alcohol_tobacco,35,0.1524947834029901,-0.07264657259116837
STATE_FAST_R15,3,origins_2019_2021,wedge,35,0.11450301145629507,0.021858118458122373
STATE_FAST_R15,3,origins_2019_2021,total,35,0.9893944059746123,-0.4611518335616116
CORE_OWN_SHRINK_R25,3,origins_2022_2023,h0,24,0.6988558259517414,0.0020075545629474286
CORE_OWN_SHRINK_R25,3,origins_2022_2023,core,24,0.5255279430156963,0.2790253236031576
CORE_OWN_SHRINK_R25,3,origins_2022_2023,food,24,0.594812962646173,-0.1146669248053991
CORE_OWN_SHRINK_R25,3,origins_2022_2023,fuel,24,0.30192932605619044,-0.006270476633649695
CORE_OWN_SHRINK_R25,3,origins_2022_2023,administered,24,1.8785714845885884,-0.7030377806586383
CORE_OWN_SHRINK_R25,3,origins_2022_2023,alcohol_tobacco,24,0.06975091203136588,-0.015765166823283175
CORE_OWN_SHRINK_R25,3,origins_2022_2023,wedge,24,0.19299609725875827,0.022657406019485404
CORE_OWN_SHRINK_R25,3,origins_2022_2023,total,24,2.1162226473718957,-0.5360500647353797
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2022_2023,h0,24,0.6988558259517414,0.0020075545629474286
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2022_2023,core,24,0.6693550533782187,-0.2900202450861973
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2022_2023,food,24,0.5869448006750307,-0.19674488203608387
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2022_2023,fuel,24,0.30192932605619044,-0.006270476633649695
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2022_2023,administered,24,1.8785714845885884,-0.7030377806586383
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2022_2023,alcohol_tobacco,24,0.06975091203136588,-0.015765166823283175
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2022_2023,wedge,24,0.19299609725875827,0.02265740601948536
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2022_2023,total,24,2.468383764015931,-1.1871735906554195
CORE_PANEL_SHRINK_R25,3,origins_2022_2023,h0,24,0.6988558259517414,0.0020075545629474286
CORE_PANEL_SHRINK_R25,3,origins_2022_2023,core,24,0.6693550533782187,-0.2900202450861973
CORE_PANEL_SHRINK_R25,3,origins_2022_2023,food,24,0.594812962646173,-0.1146669248053991
CORE_PANEL_SHRINK_R25,3,origins_2022_2023,fuel,24,0.30192932605619044,-0.006270476633649695
