origin,model,band,target,predicted_change,actual_change,material_actual
2019-03,JOINT_ENET_R22,3,2019-12,0.9417462672500392,0.40357035602531477,False
2019-03,JOINT_ENET_R22,4,2020-03,0.12131174672201439,1.6469527453777881,True
2019-03,JOINT_HALF_R22,2,2019-09,0.30249085986321944,-0.009010318390680006,False
2019-03,JOINT_HALF_R22,3,2019-12,0.27393275340902123,0.40357035602531477,False
2019-03,JOINT_HALF_R22,4,2020-03,0.011742963624949532,1.6469527453777881,True
2019-03,JOINT_IMPORTED_R22,2,2019-09,0.6006414817042542,-0.009010318390680006,False
2019-03,JOINT_IMPORTED_R22,3,2019-12,0.5577498355261672,0.40357035602531477,False
2019-03,JOINT_IMPORTED_R22,4,2020-03,0.03146777535902068,1.6469527453777881,True
2019-03,JOINT_LINEAR_R22,2,2019-09,0.6277889475828733,-0.009010318390680006,False
2019-03,JOINT_LINEAR_R22,3,2019-12,0.5599587108282429,0.40357035602531477,False
2019-03,JOINT_LINEAR_R22,4,2020-03,0.029502645128955063,1.6469527453777881,True
2019-03,JOINT_OWN_R22,2,2019-09,0.4253956369971319,-0.009010318390680006,False
2019-03,JOINT_OWN_R22,3,2019-12,0.5035742097137819,0.40357035602531477,False
2019-03,JOINT_OWN_R22,4,2020-03,0.015467071198425941,1.6469527453777881,True
2019-03,JOINT_RF_R22,2,2019-09,0.9632512636776731,-0.009010318390680006,False
2019-03,JOINT_RF_R22,3,2019-12,0.6236266901189729,0.40357035602531477,False
2019-03,JOINT_RF_R22,4,2020-03,0.008280656463185654,1.6469527453777881,True
2019-03,STABLE_LOCAL_CORE_R14B,2,2019-09,-4.440892098500626e-16,-0.009010318390680006,False
2019-03,STABLE_LOCAL_CORE_R14B,3,2019-12,0.0,0.40357035602531477,False
2019-03,STABLE_LOCAL_CORE_R14B,4,2020-03,0.0,1.6469527453777881,True
2019-03,STATE_FAST_R15,2,2019-09,-0.022961573773909727,-0.009010318390680006,False
2019-03,STATE_FAST_R15,3,2019-12,-0.011756325772242171,0.40357035602531477,False
2019-03,STATE_FAST_R15,4,2020-03,-0.0060192387953881266,1.6469527453777881,True
2019-04,CORE_FEEDBACK_R21,2,2019-10,0.05557466376068598,-3.342768324047491,True
2019-04,CORE_FEEDBACK_R21,3,2020-01,0.028454227845470914,2.673909840515454,True
2019-04,CORE_FEEDBACK_R21,4,2020-04,0.014568564656880056,-2.232764544210466,True
2019-04,DAMPED_P95_Q001_R16,2,2019-10,0.05236697005003599,-3.342768324047491,True
2019-04,DAMPED_P95_Q001_R16,3,2020-01,0.02067308754324948,2.673909840515454,True
2019-04,DAMPED_P95_Q001_R16,4,2020-04,0.0053213662098512415,-2.232764544210466,True
2019-04,JOINT_DOMESTIC_R22,2,2019-10,-0.592323682338967,-3.342768324047491,True
2019-04,JOINT_DOMESTIC_R22,3,2020-01,0.5944015421262847,2.673909840515454,True
2019-04,JOINT_DOMESTIC_R22,4,2020-04,-0.26081575701159965,-2.232764544210466,True
2019-04,JOINT_ENET_R22,2,2019-10,-0.06581027999064215,-3.342768324047491,True
2019-04,JOINT_ENET_R22,3,2020-01,0.12646057162158897,2.673909840515454,True
2019-04,JOINT_ENET_R22,4,2020-04,-0.2391118965125525,-2.232764544210466,True
2019-04,JOINT_HALF_R22,2,2019-10,-0.2813648623840299,-3.342768324047491,True
2019-04,JOINT_HALF_R22,3,2020-01,0.2993558023462848,2.673909840515454,True
2019-04,JOINT_HALF_R22,4,2020-04,-0.12993579342285688,-2.232764544210466,True
2019-04,JOINT_IMPORTED_R22,2,2019-10,-0.603359870970138,-3.342768324047491,True
2019-04,JOINT_IMPORTED_R22,3,2020-01,0.5583300231912105,2.673909840515454,True
2019-04,JOINT_IMPORTED_R22,4,2020-04,-0.2839231897691543,-2.232764544210466,True
2019-04,JOINT_LINEAR_R22,2,2019-10,-0.6180466875533073,-3.342768324047491,True
2019-04,JOINT_LINEAR_R22,3,2020-01,0.5703449162966279,2.673909840515454,True
2019-04,JOINT_LINEAR_R22,4,2020-04,-0.27434868468045615,-2.232764544210466,True
2019-04,JOINT_OWN_R22,2,2019-10,-0.5197496457866846,-3.342768324047491,True
2019-04,JOINT_OWN_R22,3,2020-01,0.6189295183887569,2.673909840515454,True
2019-04,JOINT_OWN_R22,4,2020-04,-0.2600253225719018,-2.232764544210466,True
2019-04,JOINT_RF_R22,2,2019-10,-0.2598900128077508,-3.342768324047491,True
2019-04,JOINT_RF_R22,3,2020-01,0.48434255834426976,2.673909840515454,True
2019-04,JOINT_RF_R22,4,2020-04,-0.3136268277978198,-2.232764544210466,True
2019-04,STABLE_LOCAL_CORE_R14B,2,2019-10,0.0,-3.342768324047491,True
2019-04,STABLE_LOCAL_CORE_R14B,3,2020-01,4.440892098500626e-16,2.673909840515454,True
2019-04,STABLE_LOCAL_CORE_R14B,4,2020-04,-4.440892098500626e-16,-2.232764544210466,True
2019-04,STATE_FAST_R15,2,2019-10,0.05557466376068598,-3.342768324047491,True
2019-04,STATE_FAST_R15,3,2020-01,0.028454227845470914,2.673909840515454,True
2019-04,STATE_FAST_R15,4,2020-04,0.0145685646568805,-2.232764544210466,True
2019-05,CORE_FEEDBACK_R21,2,2019-11,0.04825124718514173,-3.847490148317903,True
2019-05,CORE_FEEDBACK_R21,3,2020-02,0.02470463855879279,4.537122775908783,True
2019-05,CORE_FEEDBACK_R21,4,2020-05,0.012648774942101593,-3.280916911838628,True
2019-05,DAMPED_P95_Q001_R16,2,2019-11,0.040921872790242286,-3.847490148317903,True
2019-05,DAMPED_P95_Q001_R16,3,2020-02,0.011993812843362761,4.537122775908783,True
2019-05,DAMPED_P95_Q001_R16,4,2020-05,-0.0015396925675887907,-3.280916911838628,True
2019-05,JOINT_DOMESTIC_R22,2,2019-11,0.19983182785787568,-3.847490148317903,True
2019-05,JOINT_DOMESTIC_R22,3,2020-02,0.5024138626581038,4.537122775908783,True
2019-05,JOINT_DOMESTIC_R22,4,2020-05,-0.5541760350626532,-3.280916911838628,True
2019-05,JOINT_ENET_R22,2,2019-11,2.241239536281317,-3.847490148317903,True
2019-05,JOINT_ENET_R22,3,2020-02,-0.365772092263712,4.537122775908783,True
2019-05,JOINT_ENET_R22,4,2020-05,-1.3386906330588015,-3.280916911838628,True
2019-05,JOINT_HALF_R22,2,2019-11,0.07240464375623334,-3.847490148317903,True
2019-05,JOINT_HALF_R22,3,2020-02,0.26455513388988683,4.537122775908783,True
2019-05,JOINT_HALF_R22,4,2020-05,-0.266011815599263,-3.280916911838628,True
2019-05,JOINT_IMPORTED_R22,2,2019-11,0.0034066449552394573,-3.847490148317903,True
2019-05,JOINT_IMPORTED_R22,3,2020-02,0.46513450276403345,4.537122775908783,True
2019-05,JOINT_IMPORTED_R22,4,2020-05,-0.5575124983230966,-3.280916911838628,True
2019-05,JOINT_LINEAR_R22,2,2019-11,0.09680352056535302,-3.847490148317903,True
2019-05,JOINT_LINEAR_R22,3,2020-02,0.5044346751586506,4.537122775908783,True
2019-05,JOINT_LINEAR_R22,4,2020-05,-0.5445264255354991,-3.280916911838628,True
2019-05,JOINT_OWN_R22,2,2019-11,0.12836907489531546,-3.847490148317903,True
2019-05,JOINT_OWN_R22,3,2020-02,0.48671215704865745,4.537122775908783,True
2019-05,JOINT_OWN_R22,4,2020-05,-0.563483882890977,-3.280916911838628,True
2019-05,JOINT_RF_R22,2,2019-11,0.11412721227550016,-3.847490148317903,True
2019-05,JOINT_RF_R22,3,2020-02,0.22672998592095484,4.537122775908783,True
2019-05,JOINT_RF_R22,4,2020-05,-0.3345158402773345,-3.280916911838628,True
2019-05,STABLE_LOCAL_CORE_R14B,2,2019-11,-8.881784197001252e-16,-3.847490148317903,True
2019-05,STABLE_LOCAL_CORE_R14B,3,2020-02,4.440892098500626e-16,4.537122775908783,True
2019-05,STABLE_LOCAL_CORE_R14B,4,2020-05,4.440892098500626e-16,-3.280916911838628,True
2019-05,STATE_FAST_R15,2,2019-11,0.04825124718514173,-3.847490148317903,True
2019-05,STATE_FAST_R15,3,2020-02,0.02470463855879279,4.537122775908783,True
2019-05,STATE_FAST_R15,4,2020-05,0.012648774942101593,-3.280916911838628,True
2019-06,CORE_FEEDBACK_R21,2,2019-12,0.04190541594590824,0.4035703560253139,False
2019-06,CORE_FEEDBACK_R21,3,2020-03,0.02145557296430356,1.7766924979479293,True
2019-06,CORE_FEEDBACK_R21,4,2020-06,0.01098525335772349,0.238180230442266,False
2019-06,DAMPED_P95_Q001_R16,2,2019-12,0.029465932623867985,0.4035703560253139,False
2019-06,DAMPED_P95_Q001_R16,3,2020-03,0.003970329183040633,1.7766924979479293,True
2019-06,DAMPED_P95_Q001_R16,4,2020-06,-0.007497967714466647,0.238180230442266,False
2019-06,JOINT_DOMESTIC_R22,2,2019-12,0.5569711149675611,0.4035703560253139,False
2019-06,JOINT_DOMESTIC_R22,3,2020-03,-0.18487970430347556,1.7766924979479293,True
2019-06,JOINT_DOMESTIC_R22,4,2020-06,-0.6109422773454165,0.238180230442266,False
2019-06,JOINT_ENET_R22,2,2019-12,1.4251960793354468,0.4035703560253139,False
2019-06,JOINT_ENET_R22,3,2020-03,-0.7838565863723481,1.7766924979479293,True
2019-06,JOINT_ENET_R22,4,2020-06,-0.5701201092502339,0.238180230442266,False
2019-06,JOINT_HALF_R22,2,2019-12,0.36180475325495953,0.4035703560253139,False
2019-06,JOINT_HALF_R22,3,2020-03,-0.05874846947384427,1.7766924979479293,True
2019-06,JOINT_HALF_R22,4,2020-06,-0.2879410297075893,0.238180230442266,False
2019-06,JOINT_IMPORTED_R22,2,2019-12,0.6901706267111654,0.4035703560253139,False
2019-06,JOINT_IMPORTED_R22,3,2020-03,-0.12237064614908721,1.7766924979479293,True
2019-06,JOINT_IMPORTED_R22,4,2020-06,-0.5814527973829919,0.238180230442266,False
2019-06,JOINT_LINEAR_R22,2,2019-12,0.6819603574126059,0.4035703560253139,False
2019-06,JOINT_LINEAR_R22,3,2020-03,-0.1389071093382177,1.7766924979479293,True
2019-06,JOINT_LINEAR_R22,4,2020-06,-0.5867967134125935,0.238180230442266,False
2019-06,JOINT_OWN_R22,2,2019-12,0.5569881584707024,0.4035703560253139,False
2019-06,JOINT_OWN_R22,3,2020-03,-0.1888354233829661,1.7766924979479293,True
2019-06,JOINT_OWN_R22,4,2020-06,-0.6201448964933101,0.238180230442266,False
2019-06,JOINT_RF_R22,2,2019-12,0.5229875001448092,0.4035703560253139,False
2019-06,JOINT_RF_R22,3,2020-03,-0.30572928706120406,1.7766924979479293,True
2019-06,JOINT_RF_R22,4,2020-06,-0.427790971452257,0.238180230442266,False
2019-06,STABLE_LOCAL_CORE_R14B,2,2019-12,4.440892098500626e-16,0.4035703560253139,False
2019-06,STABLE_LOCAL_CORE_R14B,3,2020-03,0.0,1.7766924979479293,True
2019-06,STABLE_LOCAL_CORE_R14B,4,2020-06,0.0,0.238180230442266,False
2019-06,STATE_FAST_R15,2,2019-12,0.0419054159459078,0.4035703560253139,False
2019-06,STATE_FAST_R15,3,2020-03,0.021455572964304004,1.7766924979479293,True
2019-06,STATE_FAST_R15,4,2020-06,0.010985253357723934,0.238180230442266,False
2019-07,CORE_FEEDBACK_R21,2,2020-01,-0.005058902080395278,2.6739098405154538,True
2019-07,CORE_FEEDBACK_R21,3,2020-04,-0.002590157865163256,-2.2627357021481957,True
2019-07,CORE_FEEDBACK_R21,4,2020-07,-0.0013261608269621306,6.936470893071671,True
2019-07,DAMPED_P95_Q001_R16,2,2020-01,0.013511236583999331,2.6739098405154538,True
2019-07,DAMPED_P95_Q001_R16,3,2020-04,0.008810781904271092,-2.2627357021481957,True
2019-07,DAMPED_P95_Q001_R16,4,2020-07,0.0061341558794612006,6.936470893071671,True
2019-07,JOINT_DOMESTIC_R22,2,2020-01,0.5432088874959389,2.6739098405154538,True
2019-07,JOINT_DOMESTIC_R22,3,2020-04,-0.5300523892105415,-2.2627357021481957,True
2019-07,JOINT_DOMESTIC_R22,4,2020-07,0.5540388845750779,6.936470893071671,True
2019-07,JOINT_ENET_R22,2,2020-01,-0.9537239601919594,2.6739098405154538,True
2019-07,JOINT_ENET_R22,3,2020-04,1.5406766525783429,-2.2627357021481957,True
2019-07,JOINT_ENET_R22,4,2020-07,0.38103114315419573,6.936470893071671,True
