scope,sample,clock,model,quarters_ahead,n,mae,rmse,bias,report_count,unique_target_quarters,cnb_mae,mean_absolute_error_gain_vs_cnb,material_gains,material_losses,immaterial_pairs,mean_model_cnb_deviation,mean_realised_cnb_error,deviation_direction_correct_rate,deviation_error_correlation
within_clock_common,full,report,FOOD_FEEDBACK_R21,1,18,0.8206963431825878,1.4947625309562897,-0.1229520201451679,18,18,0.5554610620931573,-0.2652352810894305,3,7,8,-0.2877355537078684,-0.16478353356270048,0.5555555555555556,0.12625499408577578
within_clock_common,full,report,FOOD_FEEDBACK_R21,2,17,1.2933708513941682,1.8564142477668748,-0.29758419781252704,17,17,1.175891176650326,-0.11747967474384266,6,7,4,0.05353742060789967,0.3511216184204268,0.7058823529411765,0.4489122089654944
within_clock_common,full,report,FOOD_FEEDBACK_R21,3,16,1.361192616862166,2.0296133812053294,-0.15230335891469454,16,16,1.1088691841257816,-0.25232343273638436,3,7,6,0.6014396114982629,0.7537429704129572,0.375,0.5334707584238626
within_clock_common,full,report,FOOD_FEEDBACK_R21,4,15,1.7889079876685015,2.605544473620041,0.16308633965915298,15,15,1.4843928442432301,-0.3045151434252715,3,9,3,1.354793199294799,1.1917068596356455,0.4666666666666667,0.5089427441850073
within_clock_common,full,report,POOL_COMPLETE_R21,all,66,1.3198589928955966,2.163029180398103,-0.3076333920461514,18,18,1.0605492231877776,-0.259309769707819,16,29,21,0.1914340978047675,0.499067489850919,0.5757575757575758,0.3587548422568806
within_clock_common,full,report,POOL_COMPLETE_R21,1,18,0.8301998948733158,1.5151108813568412,-0.16981731176102383,18,18,0.5554610620931573,-0.2747388327801587,3,7,8,-0.3346008453237243,-0.16478353356270048,0.6111111111111112,0.11038424728724545
within_clock_common,full,report,POOL_COMPLETE_R21,2,17,1.3179478262413056,1.9577313485673846,-0.44529695645132356,17,17,1.175891176650326,-0.14205664959098,5,7,5,-0.09417533803089684,0.3511216184204268,0.7058823529411765,0.3804913854915918
within_clock_common,full,report,POOL_COMPLETE_R21,3,16,1.456301420288868,2.2955481824703248,-0.40817030517161357,16,16,1.1088691841257816,-0.34743223616308644,4,7,5,0.3455726652413437,0.7537429704129572,0.375,0.34408310615357224
within_clock_common,full,report,POOL_COMPLETE_R21,4,15,1.7640773101777065,2.804817521619701,-0.20975460806194962,15,15,1.4843928442432301,-0.279684465934477,4,8,3,0.9819522515736964,1.1917068596356455,0.6,0.37691710853124527
within_clock_common,full,report,POOL_PARTIAL_R21,all,66,1.317030219659598,2.1337945188035325,-0.2544336992089083,18,18,1.0605492231877776,-0.2564809964718203,15,30,21,0.24463379064201057,0.499067489850919,0.5757575757575758,0.3745723220417348
