clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct
cutoff,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,10.21785378882072,15.77230851609123,-5.55445472727051,0.7127496288207205,6.267204356091231,0.7127496288207205,8.425883123711184,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,cnb,9.50510416,15.77230851609123,-6.267204356091231,0.0,6.267204356091231,0.0,0.0,False,False,False
cutoff,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.507533927035754,17.578003612072624,-6.070469685036871,3.3371534970357537,9.407623182072625,3.3371534970357537,51.65277173891861,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_R27,11.68669924689568,17.578003612072624,-5.891304365176945,3.51631881689568,9.407623182072625,3.51631881689568,53.795906812717334,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,11.68669924689568,17.578003612072624,-5.891304365176945,3.51631881689568,9.407623182072625,3.51631881689568,53.795906812717334,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,11.68669924689568,17.578003612072624,-5.891304365176945,3.51631881689568,9.407623182072625,3.51631881689568,53.795906812717334,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,11.68669924689568,17.578003612072624,-5.891304365176945,3.51631881689568,9.407623182072625,3.51631881689568,53.795906812717334,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,9.239714088230604,17.578003612072624,-8.33828952384202,1.0693336582306046,9.407623182072625,1.0693336582306046,18.976301752456678,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,cnb,8.17038043,17.578003612072624,-9.407623182072625,0.0,9.407623182072625,0.0,0.0,False,False,False
cutoff,2022-02-10,2022-01-21,2022Q4,4,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.239183819807941,15.699043922150208,-4.459860102342267,4.611719009807941,9.071579112150207,4.61171900980794,62.40319545553557,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q4,4,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_R27,11.430877058806919,15.699043922150208,-4.268166863343289,4.803412248806919,9.071579112150207,4.803412248806918,64.07629921465825,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q4,4,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,11.430877058806919,15.699043922150208,-4.268166863343289,4.803412248806919,9.071579112150207,4.803412248806918,64.07629921465825,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q4,4,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,11.430877058806919,15.699043922150208,-4.268166863343289,4.803412248806919,9.071579112150207,4.803412248806918,64.07629921465825,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q4,4,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,11.430877058806919,15.699043922150208,-4.268166863343289,4.803412248806919,9.071579112150207,4.803412248806918,64.07629921465825,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q4,4,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,8.343164313350426,15.699043922150208,-7.355879608799782,1.715699503350426,9.071579112150207,1.7156995033504252,28.184582768843505,True,False,True
cutoff,2022-02-10,2022-01-21,2022Q4,4,2021-12,2022-01-11 22:59:00+00:00,cnb,6.62746481,15.699043922150208,-9.071579112150207,0.0,9.071579112150207,0.0,0.0,False,False,False
report,2022-05-12,2022-04-22,2022Q2,1,2022-04,2022-05-09 21:59:00+00:00,STATE_FAST_R15,13.440064793966107,15.77230851609123,-2.332243722125124,-1.0965916748329931,1.235652047292131,-1.0965916748329931,-3.912524797414819,False,True,False
report,2022-05-12,2022-04-22,2022Q2,1,2022-04,2022-05-09 21:59:00+00:00,FOOD_ECM_R27,13.469919714513773,15.77230851609123,-2.3023888015774574,-1.0667367542853263,1.235652047292131,-1.0667367542853263,-3.774158211652046,False,True,False
report,2022-05-12,2022-04-22,2022Q2,1,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,13.469919714513773,15.77230851609123,-2.3023888015774574,-1.0667367542853263,1.235652047292131,-1.0667367542853263,-3.774158211652046,False,True,False
report,2022-05-12,2022-04-22,2022Q2,1,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,13.469919714513773,15.77230851609123,-2.3023888015774574,-1.0667367542853263,1.235652047292131,-1.0667367542853263,-3.774158211652046,False,True,False
report,2022-05-12,2022-04-22,2022Q2,1,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,13.469919714513773,15.77230851609123,-2.3023888015774574,-1.0667367542853263,1.235652047292131,-1.0667367542853263,-3.774158211652046,False,True,False
report,2022-05-12,2022-04-22,2022Q2,1,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,13.171994800059466,15.77230851609123,-2.6003137160317653,-1.3646616687396342,1.235652047292131,-1.3646616687396342,-5.234795439805693,False,True,False
