scope,component,model,sample,h,metric,n_intended,n_scored,n_missing_forecast,n_missing_actual,rmse,mae,bias
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,12,cumulative_log,19,19,0,0,4.1986256867788825,3.3787927610643367,2.42763923777647
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,12,cumulative_pct,19,19,0,0,4.276053796999998,3.4623279459919907,2.466880024266603
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,0,mm,372,372,0,0,0.9109987355380474,0.7750826965345599,0.29329697257071524
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,0,cumulative_log,372,372,0,0,3.4275483027949716,2.514156183309358,1.9030633579451695
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,0,cumulative_pct,372,372,0,0,3.4496689043735316,2.536177805538136,1.9119500668392506
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,1,mm,31,31,0,0,0.9073776850760918,0.774166830537982,0.18406357621235575
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,1,cumulative_log,31,31,0,0,0.904528539082741,0.7722110784101883,0.1870399190407315
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,1,cumulative_pct,31,31,0,0,0.9073776850760918,0.774166830537982,0.18406357621235575
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,2,mm,31,31,0,0,0.8740463717671954,0.7429521308132144,0.21157105477208982
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,2,cumulative_log,31,31,0,0,1.2748592297726407,0.9521234263992274,0.45501477888206193
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,2,cumulative_pct,31,31,0,0,1.274265847957018,0.9524355219974141,0.45364980336028987
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,3,mm,31,31,0,0,0.8536794901378678,0.7203584713627693,0.23859365448381029
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,3,cumulative_log,31,31,0,0,1.604321132950987,1.2752768479391727,0.7139812224617548
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,3,cumulative_pct,31,31,0,0,1.6064102118299952,1.278777475143327,0.7141102789325376
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,4,mm,31,31,0,0,0.8739177969353933,0.7423277954227591,0.2599666950728471
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,4,cumulative_log,31,31,0,0,1.8794178041902407,1.4956632423178504,0.9641294085267602
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,4,cumulative_pct,31,31,0,0,1.8819372007987205,1.5005991973322883,0.9657032628329146
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,5,mm,31,31,0,0,0.9065776916920559,0.7731871051126017,0.28663707741112
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,5,cumulative_log,31,31,0,0,2.3087119737975437,1.9218328805448395,1.3167809010868536
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,5,cumulative_pct,31,31,0,0,2.313715151815405,1.9320216548271105,1.3198907152624584
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,6,mm,31,31,0,0,0.9174878653835573,0.7812024323469913,0.30686528364885035
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,6,cumulative_log,31,31,0,0,2.8146498303570473,2.379634468034817,1.6860134209405273
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,6,cumulative_pct,31,31,0,0,2.8249127778910443,2.394681332511918,1.689887271728684
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,7,mm,31,31,0,0,0.9213440706716876,0.7880689913744257,0.31744236123794584
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,7,cumulative_log,31,31,0,0,3.1991013859326856,2.6573878779108298,1.964451528188957
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,7,cumulative_pct,31,31,0,0,3.2130050635438323,2.677290943824471,1.9699177613075394
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,8,mm,31,31,0,0,0.9294791765410128,0.7934810786057691,0.32685981073982395
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,8,cumulative_log,31,31,0,0,3.6514779400381325,3.101864424684249,2.332854723340642
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,8,cumulative_pct,31,31,0,0,3.665197084463237,3.1257045971066786,2.3377036728751723
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,9,mm,31,31,0,0,0.9340880712947642,0.7962380959459415,0.334679166278711
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,9,cumulative_log,31,31,0,0,4.0243231616618,3.28814991102316,2.684808774409283
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,9,cumulative_pct,31,31,0,0,4.0443481851490874,3.316035304922266,2.6962881727112564
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,10,mm,31,31,0,0,0.9437814632711023,0.8029528952110592,0.34172302956073136
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,10,cumulative_log,31,31,0,0,4.639660638583544,3.736036098431586,3.1030686706058015
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,10,cumulative_pct,31,31,0,0,4.672988879050911,3.777243597627668,3.120742171383225
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,11,mm,31,31,0,0,0.9422318452316661,0.8000179412842315,0.3464990228351531
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,11,cumulative_log,31,31,0,0,5.17811444034395,4.107680527613246,3.5295685941158377
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,11,cumulative_pct,31,31,0,0,5.220768580462719,4.1582107869898275,3.5545909341757103
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,12,mm,31,31,0,0,0.9228833549610453,0.7860385903969732,0.3646629385951447
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,12,cumulative_log,31,31,0,0,5.57432601524758,4.482013416403133,3.899048353742827
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_targets,12,cumulative_pct,31,31,0,0,5.629633593459467,4.546966423636684,3.936853181288866
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,0,mm,969,969,0,0,1.1436258483361044,0.898679753859154,-0.05497825742786499
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,0,cumulative_log,969,969,0,0,4.901836269569656,3.15741510968004,-0.48143470563397794
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,0,cumulative_pct,969,969,0,0,5.27582678363428,3.3069451610338447,-0.6132701119558305
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,1,mm,88,88,0,0,1.0278589701624403,0.8076802506783539,-0.07887152749476678
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,1,cumulative_log,88,88,0,0,1.0185329874957032,0.8028667349925221,-0.07225539398632431
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,1,cumulative_pct,88,88,0,0,1.0278589701624403,0.8076802506783539,-0.07887152749476678
