scope,sample,h,horizon_label,metric,model,n_intended,n_scored,n_missing_forecast,n_fallback,rmse,mae,bias
primary_control_calendar,full,2,h2,cumulative_pct,FOOD_H0_SLOW_R18,88,88,0,24,1.5926611515871802,1.1823204138890555,-0.1507403933387841
primary_control_calendar,full,2,h2,cumulative_pct,STATE_FAST_R15,88,88,0,0,1.610023901616804,1.1915342262947195,-0.14916832974385985
common,full,2,h2,cumulative_pct,FOOD_H0_FAST_R18,88,88,0,24,1.5840458263560129,1.174052306159091,-0.1400965682479331
common,full,2,h2,cumulative_pct,FOOD_H0_SELECT_R18,88,88,0,24,1.6089117640667938,1.1825407558427363,-0.154533537758352
common,full,2,h2,cumulative_pct,FOOD_H0_SLOW_R18,88,88,0,24,1.5926611515871802,1.1823204138890555,-0.1507403933387841
common,full,2,h2,cumulative_pct,STATE_FAST_R15,88,88,0,0,1.610023901616804,1.1915342262947195,-0.14916832974385985
primary_control_calendar,full,3,h3,mm,FOOD_H0_FAST_R18,87,87,0,24,1.0841166505024487,0.8498675408390083,-0.07705811596865851
primary_control_calendar,full,3,h3,mm,FOOD_H0_SELECT_R18,87,87,0,24,1.0738674400549157,0.839062758559387,-0.08407204975455976
primary_control_calendar,full,3,h3,mm,FOOD_H0_SLOW_R18,87,87,0,24,1.0681546207162085,0.8318564118948847,-0.07986662270467466
primary_control_calendar,full,3,h3,mm,STATE_FAST_R15,87,87,0,0,1.097138784866634,0.8634111261207537,-0.07813906578539152
common,full,3,h3,mm,FOOD_H0_FAST_R18,87,87,0,24,1.0841166505024487,0.8498675408390083,-0.07705811596865851
common,full,3,h3,mm,FOOD_H0_SELECT_R18,87,87,0,24,1.0738674400549157,0.839062758559387,-0.08407204975455976
common,full,3,h3,mm,FOOD_H0_SLOW_R18,87,87,0,24,1.0681546207162085,0.8318564118948847,-0.07986662270467466
common,full,3,h3,mm,STATE_FAST_R15,87,87,0,0,1.097138784866634,0.8634111261207537,-0.07813906578539152
primary_control_calendar,full,3,h3,cumulative_log,FOOD_H0_FAST_R18,87,87,0,24,2.1288694223048568,1.6111289860707576,-0.2079144863742968
primary_control_calendar,full,3,h3,cumulative_log,FOOD_H0_SELECT_R18,87,87,0,24,2.1574155833000543,1.6165438866795019,-0.22917461541344047
primary_control_calendar,full,3,h3,cumulative_log,FOOD_H0_SLOW_R18,87,87,0,24,2.1301191998710745,1.6079997880063692,-0.2213057411287644
primary_control_calendar,full,3,h3,cumulative_log,STATE_FAST_R15,87,87,0,0,2.196451677971853,1.659761433141163,-0.21546311600101223
common,full,3,h3,cumulative_log,FOOD_H0_FAST_R18,87,87,0,24,2.1288694223048568,1.6111289860707576,-0.2079144863742968
common,full,3,h3,cumulative_log,FOOD_H0_SELECT_R18,87,87,0,24,2.1574155833000543,1.6165438866795019,-0.22917461541344047
common,full,3,h3,cumulative_log,FOOD_H0_SLOW_R18,87,87,0,24,2.1301191998710745,1.6079997880063692,-0.2213057411287644
common,full,3,h3,cumulative_log,STATE_FAST_R15,87,87,0,0,2.196451677971853,1.659761433141163,-0.21546311600101223
primary_control_calendar,full,3,h3,cumulative_pct,FOOD_H0_FAST_R18,87,87,0,24,2.1876063647927846,1.6393980928464713,-0.2367277750433193
primary_control_calendar,full,3,h3,cumulative_pct,FOOD_H0_SELECT_R18,87,87,0,24,2.217719416210688,1.6452733277527092,-0.2583213896254042
primary_control_calendar,full,3,h3,cumulative_pct,FOOD_H0_SLOW_R18,87,87,0,24,2.1890335928893285,1.6364386005523273,-0.25013023335014545
primary_control_calendar,full,3,h3,cumulative_pct,STATE_FAST_R15,87,87,0,0,2.2563798846907144,1.6885906897279779,-0.24488948331359223
common,full,3,h3,cumulative_pct,FOOD_H0_FAST_R18,87,87,0,24,2.1876063647927846,1.6393980928464713,-0.2367277750433193
common,full,3,h3,cumulative_pct,FOOD_H0_SELECT_R18,87,87,0,24,2.217719416210688,1.6452733277527092,-0.2583213896254042
common,full,3,h3,cumulative_pct,FOOD_H0_SLOW_R18,87,87,0,24,2.1890335928893285,1.6364386005523273,-0.25013023335014545
common,full,3,h3,cumulative_pct,STATE_FAST_R15,87,87,0,0,2.2563798846907144,1.6885906897279779,-0.24488948331359223
primary_control_calendar,full,4,h4,mm,FOOD_H0_FAST_R18,86,86,0,24,1.0985217164248713,0.8665678403663921,-0.05735431361718458
primary_control_calendar,full,4,h4,mm,FOOD_H0_SELECT_R18,86,86,0,24,1.0952162183468777,0.864551525630272,-0.06503509196889189
primary_control_calendar,full,4,h4,mm,FOOD_H0_SLOW_R18,86,86,0,24,1.0938285735460553,0.8634272338117,-0.06056519066168242
primary_control_calendar,full,4,h4,mm,STATE_FAST_R15,86,86,0,0,1.1009325959170497,0.8682176681788946,-0.05759806044904471
common,full,4,h4,mm,FOOD_H0_FAST_R18,86,86,0,24,1.0985217164248713,0.8665678403663921,-0.05735431361718458
common,full,4,h4,mm,FOOD_H0_SELECT_R18,86,86,0,24,1.0952162183468777,0.864551525630272,-0.06503509196889189
common,full,4,h4,mm,FOOD_H0_SLOW_R18,86,86,0,24,1.0938285735460553,0.8634272338117,-0.06056519066168242
common,full,4,h4,mm,STATE_FAST_R15,86,86,0,0,1.1009325959170497,0.8682176681788946,-0.05759806044904471
primary_control_calendar,full,4,h4,cumulative_log,FOOD_H0_FAST_R18,86,86,0,24,2.762344767170089,2.0052352979967525,-0.27424989228835445
primary_control_calendar,full,4,h4,cumulative_log,FOOD_H0_SELECT_R18,86,86,0,24,2.785677026276894,2.0088603115651766,-0.3041574788196126
primary_control_calendar,full,4,h4,cumulative_log,FOOD_H0_SLOW_R18,86,86,0,24,2.753270778314218,1.987621497030773,-0.2917114246882611
primary_control_calendar,full,4,h4,cumulative_log,STATE_FAST_R15,86,86,0,0,2.8345820595718303,2.078038205058623,-0.27842096243421555
common,full,4,h4,cumulative_log,FOOD_H0_FAST_R18,86,86,0,24,2.762344767170089,2.0052352979967525,-0.27424989228835445
common,full,4,h4,cumulative_log,FOOD_H0_SELECT_R18,86,86,0,24,2.785677026276894,2.0088603115651766,-0.3041574788196126
common,full,4,h4,cumulative_log,FOOD_H0_SLOW_R18,86,86,0,24,2.753270778314218,1.987621497030773,-0.2917114246882611
common,full,4,h4,cumulative_log,STATE_FAST_R15,86,86,0,0,2.8345820595718303,2.078038205058623,-0.27842096243421555
primary_control_calendar,full,4,h4,cumulative_pct,FOOD_H0_FAST_R18,86,86,0,24,2.8653640017505295,2.0534871112986397,-0.32302294293239514
primary_control_calendar,full,4,h4,cumulative_pct,FOOD_H0_SELECT_R18,86,86,0,24,2.88991032142231,2.057342239965407,-0.3533637052132941
primary_control_calendar,full,4,h4,cumulative_pct,FOOD_H0_SLOW_R18,86,86,0,24,2.8563063973784772,2.0358343509725767,-0.3405688583859329
primary_control_calendar,full,4,h4,cumulative_pct,STATE_FAST_R15,86,86,0,0,2.9385851273904633,2.1277793339139293,-0.32734618979395363
common,full,4,h4,cumulative_pct,FOOD_H0_FAST_R18,86,86,0,24,2.8653640017505295,2.0534871112986397,-0.32302294293239514
common,full,4,h4,cumulative_pct,FOOD_H0_SELECT_R18,86,86,0,24,2.88991032142231,2.057342239965407,-0.3533637052132941
common,full,4,h4,cumulative_pct,FOOD_H0_SLOW_R18,86,86,0,24,2.8563063973784772,2.0358343509725767,-0.3405688583859329
common,full,4,h4,cumulative_pct,STATE_FAST_R15,86,86,0,0,2.9385851273904633,2.1277793339139293,-0.32734618979395363
primary_control_calendar,full,5,h5,mm,FOOD_H0_FAST_R18,85,85,0,24,1.128400024261319,0.8923071341981712,-0.052848310954506095
primary_control_calendar,full,5,h5,mm,FOOD_H0_SELECT_R18,85,85,0,24,1.1167453963058735,0.8775381235297142,-0.05911322274576059
primary_control_calendar,full,5,h5,mm,FOOD_H0_SLOW_R18,85,85,0,24,1.109613045219382,0.8748416042831715,-0.05464787145612794
primary_control_calendar,full,5,h5,mm,STATE_FAST_R15,85,85,0,0,1.1316625814222976,0.8949121682448415,-0.05310945814530153
common,full,5,h5,mm,FOOD_H0_FAST_R18,85,85,0,24,1.128400024261319,0.8923071341981712,-0.052848310954506095
common,full,5,h5,mm,FOOD_H0_SELECT_R18,85,85,0,24,1.1167453963058735,0.8775381235297142,-0.05911322274576059
common,full,5,h5,mm,FOOD_H0_SLOW_R18,85,85,0,24,1.109613045219382,0.8748416042831715,-0.05464787145612794
common,full,5,h5,mm,STATE_FAST_R15,85,85,0,0,1.1316625814222976,0.8949121682448415,-0.05310945814530153
primary_control_calendar,full,5,h5,cumulative_log,FOOD_H0_FAST_R18,85,85,0,24,3.3950847833316837,2.495760755528952,-0.3335235086705998
primary_control_calendar,full,5,h5,cumulative_log,FOOD_H0_SELECT_R18,85,85,0,24,3.4061202965693727,2.48031681771699,-0.36829048714115187
primary_control_calendar,full,5,h5,cumulative_log,FOOD_H0_SLOW_R18,85,85,0,24,3.3656452929644627,2.468855944578814,-0.3512703998576754
primary_control_calendar,full,5,h5,cumulative_log,STATE_FAST_R15,85,85,0,0,3.488087714258594,2.5737264447720425,-0.34159366900199695
common,full,5,h5,cumulative_log,FOOD_H0_FAST_R18,85,85,0,24,3.3950847833316837,2.495760755528952,-0.3335235086705998
common,full,5,h5,cumulative_log,FOOD_H0_SELECT_R18,85,85,0,24,3.4061202965693727,2.48031681771699,-0.36829048714115187
common,full,5,h5,cumulative_log,FOOD_H0_SLOW_R18,85,85,0,24,3.3656452929644627,2.468855944578814,-0.3512703998576754
common,full,5,h5,cumulative_log,STATE_FAST_R15,85,85,0,0,3.488087714258594,2.5737264447720425,-0.34159366900199695
primary_control_calendar,full,5,h5,cumulative_pct,FOOD_H0_FAST_R18,85,85,0,24,3.5493139184099656,2.570333231505515,-0.40500408751448114
primary_control_calendar,full,5,h5,cumulative_pct,FOOD_H0_SELECT_R18,85,85,0,24,3.5618600562102,2.5546884151298035,-0.44044109648154217
primary_control_calendar,full,5,h5,cumulative_pct,FOOD_H0_SLOW_R18,85,85,0,24,3.519541085354998,2.5428721496727373,-0.42279590506083103
primary_control_calendar,full,5,h5,cumulative_pct,STATE_FAST_R15,85,85,0,0,3.643952297495497,2.6502508363071624,-0.4132427763917941
common,full,5,h5,cumulative_pct,FOOD_H0_FAST_R18,85,85,0,24,3.5493139184099656,2.570333231505515,-0.40500408751448114
common,full,5,h5,cumulative_pct,FOOD_H0_SELECT_R18,85,85,0,24,3.5618600562102,2.5546884151298035,-0.44044109648154217
common,full,5,h5,cumulative_pct,FOOD_H0_SLOW_R18,85,85,0,24,3.519541085354998,2.5428721496727373,-0.42279590506083103
