origin,model,rho,as_of,beta,beta_unbounded,theta,scale,ridge,n_origins,n_rows,status,reason,training_rmse
2021-03,FOOD_H0_FAST_R18,0.5,2021-04-12T23:59:00+02:00,0.5274975060442013,0.5274975060442013,0.026206843085108664,0.04968145400655729,1.0,13,156,estimated,,0.8658001287405268
2021-03,FOOD_H0_SLOW_R18,0.9,2021-04-12T23:59:00+02:00,0.22942444849400934,0.22942444849400934,0.03910293683025823,0.17043927570465217,1.0,13,156,estimated,,0.8643397131882359
2021-04,FOOD_H0_FAST_R18,0.5,2021-05-10T23:59:00+02:00,0.38487016724281264,0.38487016724281264,0.019149967047560626,0.04975695358450324,1.0,14,168,estimated,,0.8729686127842612
2021-04,FOOD_H0_SLOW_R18,0.9,2021-05-10T23:59:00+02:00,0.256966388726931,0.256966388726931,0.043863722556521115,0.1706982877170505,1.0,14,168,estimated,,0.8702886211773074
2021-05,FOOD_H0_FAST_R18,0.5,2021-06-09T23:59:00+02:00,0.3464385708031007,0.3464385708031007,0.016685930247577342,0.04816418162936262,1.0,15,180,estimated,,0.8807466516024473
2021-05,FOOD_H0_SLOW_R18,0.9,2021-06-09T23:59:00+02:00,0.23829352908757157,0.23829352908757157,0.03937420670542147,0.16523405757674464,1.0,15,180,estimated,,0.878577794308825
2021-06,FOOD_H0_FAST_R18,0.5,2021-07-12T23:59:00+02:00,0.5305155933802339,0.5305155933802339,0.025267483744465125,0.04762816411007034,1.0,16,192,estimated,,0.8904598230984447
2021-06,FOOD_H0_SLOW_R18,0.9,2021-07-12T23:59:00+02:00,0.2970370020113007,0.2970370020113007,0.04853441246119534,0.16339517343818621,1.0,16,192,estimated,,0.8875625421219531
2021-07,FOOD_H0_FAST_R18,0.5,2021-08-09T23:59:00+02:00,0.7035127015847675,0.7035127015847675,0.033148767175531925,0.047118932040401504,1.0,17,204,estimated,,0.896779827104086
2021-07,FOOD_H0_SLOW_R18,0.9,2021-08-09T23:59:00+02:00,0.3414147796217442,0.3414147796217442,0.055189077950446024,0.16164818058430389,1.0,17,204,estimated,,0.8935172508807795
