origin,raw_h0_source,raw_h0_column,pipeline_source,pipeline_h0_index,as_of_eve,as_of_local,as_of_utc,first_release_date,detail_release_date,first_release_source,detail_release_source,first_release_eve_match,detail_release_eve_match,eligible_history_end,pipeline_fast_max_abs,raw_h0_mm,state_h0_log,signal,headline_archive_serialization_abs,vintage_status,cleanup_replay_h0_abs_difference
2020-11,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-12-09T23:59:00,2020-12-09T23:59:00+01:00,2020-12-09T22:59:00+00:00,2020-12-10,2020-12-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-10,0.0,0.12682500595679264,0.2174555090149353,-0.09071085803586107,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.5597841341328262e-09
2020-12,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-01-12T23:59:00,2021-01-12T23:59:00+01:00,2021-01-12T22:59:00+00:00,2021-01-13,2021-01-13,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-11,0.0,0.32350653534857277,0.37090749468962164,-0.047923115895800894,8.326672684688674e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.7012126696822634e-10
2021-01,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-02-11T23:59:00,2021-02-11T23:59:00+01:00,2021-02-11T22:59:00+00:00,2021-02-12,2021-02-12,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-12,0.0,0.7826965728383053,1.3839913543907583,-0.6043419613910708,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,7.960743175772222e-12
2021-02,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-03-09T23:59:00,2021-03-09T23:59:00+01:00,2021-03-09T22:59:00+00:00,2021-03-10,2021-03-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-01,0.0,0.06726638394745456,0.2786974602129219,-0.21145368995714064,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.8662182910134106e-11
2021-03,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-04-12T23:59:00,2021-04-12T23:59:00+02:00,2021-04-12T21:59:00+00:00,2021-04-13,2021-04-13,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-02,0.0,-0.009732466072463503,-0.10175940797332259,0.09202646826564866,5.551115123125783e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.2505056712353024e-09
2021-04,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-05-10T23:59:00,2021-05-10T23:59:00+02:00,2021-05-10T21:59:00+00:00,2021-05-11,2021-05-11,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-03,0.0,-0.0053458703711240785,0.10589920711426301,-0.11124522038212996,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.0193370980626781e-08
2021-05,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-06-09T23:59:00,2021-06-09T23:59:00+02:00,2021-06-09T21:59:00+00:00,2021-06-10,2021-06-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-04,0.0,0.86698630240575,0.7132434229837097,0.1500061356842357,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,6.311995370822387e-11
2021-06,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-07-12T23:59:00,2021-07-12T23:59:00+02:00,2021-07-12T21:59:00+00:00,2021-07-13,2021-07-13,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-05,0.0,0.0012799502417856767,0.3009103360643688,-0.2996303940138763,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,2.828803774557187e-09
2021-07,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-08-09T23:59:00,2021-08-09T23:59:00+02:00,2021-08-09T21:59:00+00:00,2021-08-10,2021-08-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-06,0.0,-0.4212954834807655,-0.30347805503881004,-0.11870737828915279,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.6270983994057815e-09
2021-08,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-09-09T23:59:00,2021-09-09T23:59:00+02:00,2021-09-09T21:59:00+00:00,2021-09-10,2021-09-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-07,0.0,-0.3217069695881337,-0.5683652161037851,0.24613965712006913,2.7755575615628914e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.4581970620450875e-10
