origin,target,h,as_of_utc,model,mm_forecast,mm_actual,yy_exante,yy_actual,cumulative_log_forecast,cumulative_log_actual
2023-10,2024-10,12,2023-11-09T22:59:00+00:00,FOOD_H0_SLOW_R18,0.4130860973192207,0.3293807641633783,2.994004108012276,2.8359216745442346,2.9500588003558392,2.7964538627363105
2023-10,2023-10,0,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,0.2905974273835784,0.0675675675675613,8.73998841943424,8.498168498168521,0.0,0.0
2023-10,2023-11,1,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,-0.0023121057291277157,0.0675219446319985,7.477662803799694,7.313540912382349,-0.0023121324587042406,0.0674991588233346
2023-10,2023-12,2,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,0.030001473361385513,-0.4048582995951344,7.5099076861752145,6.879073135409149,0.02768484136059212,-0.3381809107380972
2023-10,2024-01,3,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,1.0278686104115036,1.4905149051490652,2.457152455725675,2.3224043715847307,1.0503068041723291,1.1413349809366145
2023-10,2024-02,4,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,0.27287242833405273,0.26702269692922,2.1090104491021555,1.9687712152070571,1.3228076115761924,1.408001805628122
2023-10,2024-03,5,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,0.03327494233674999,0.1331557922769732,2.004488197804378,1.9661016949152728,1.35607701903179,1.5410690241986393
2023-10,2024-04,6,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,0.2616769058894265,0.6648936170212671,2.4798439673392667,2.853260869565235,1.6174121470119058,2.2037619729595255
2023-10,2024-05,7,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,0.367514805109473,0.0,2.5777287380797107,2.574525745257463,1.984253266553114,2.2037619729595255
2023-10,2024-06,8,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,0.3071994046991528,-0.264200792602387,2.5454706545122767,1.958136394328148,2.2909817780220174,1.9392115541171089
2023-10,2024-07,9,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,0.43496217086860045,0.6622516556291425,2.5070016136839035,2.150537634408578,2.725000722569538,2.5992799572523184
2023-10,2024-08,10,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,0.09608652206886814,0.263157894736854,2.3990473342055174,2.213279678068404,2.8210411110895066,2.862092197879281
2023-10,2024-09,11,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,-0.2828168672681933,-0.3937007874015741,2.868367111233692,2.567567567567563,2.537823561275723,2.4676143687776473
2023-10,2024-10,12,2023-11-09T22:59:00+00:00,FOOD_H0_SELECT_R18,0.4130860973192207,0.3293807641633783,2.994004108012276,2.8359216745442346,2.9500588003558392,2.7964538627363105
2023-11,2023-11,0,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.0584924929324471,0.0675219446319985,7.303857626381598,7.313540912382349,0.0,0.0
2023-11,2023-12,1,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,-0.060635883024499626,-0.4048582995951344,7.238792984790489,6.879073135409149,-0.06065427401078416,-0.4056800695614318
2023-11,2024-01,2,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.9964022107547196,1.4905149051490652,2.1669485200409726,2.3224043715847307,0.930816580289744,1.07383582211328
2023-11,2024-02,3,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.23802601952796357,0.26702269692922,1.7844086174087184,1.9687712152070571,1.168559766610019,1.3405026468047876
