target_month,first_release_dt,first_release_kind,first_release_source,available_from,detail_release_source,availability_rule,vintage_status
2020-05,2020-06-10,regular,bbg_eco_release_dt,2020-06-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-06,2020-07-10,regular,bbg_eco_release_dt,2020-07-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-07,2020-08-13,regular,bbg_eco_release_dt,2020-08-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-08,2020-09-10,regular,bbg_eco_release_dt,2020-09-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-09,2020-10-12,regular,bbg_eco_release_dt,2020-10-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-10,2020-11-10,regular,bbg_eco_release_dt,2020-11-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-11,2020-12-10,regular,bbg_eco_release_dt,2020-12-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-12,2021-01-13,regular,bbg_eco_release_dt,2021-01-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-01,2021-02-12,regular,bbg_eco_release_dt,2021-02-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-02,2021-03-10,regular,bbg_eco_release_dt,2021-03-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-03,2021-04-13,regular,bbg_eco_release_dt,2021-04-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-04,2021-05-11,regular,bbg_eco_release_dt,2021-05-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-05,2021-06-10,regular,bbg_eco_release_dt,2021-06-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-06,2021-07-13,regular,bbg_eco_release_dt,2021-07-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-07,2021-08-10,regular,bbg_eco_release_dt,2021-08-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-08,2021-09-10,regular,bbg_eco_release_dt,2021-09-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-09,2021-10-11,regular,bbg_eco_release_dt,2021-10-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-10,2021-11-10,regular,bbg_eco_release_dt,2021-11-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-11,2021-12-10,regular,bbg_eco_release_dt,2021-12-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2021-12,2022-01-12,regular,bbg_eco_release_dt,2022-01-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-01,2022-02-14,regular,bbg_eco_release_dt,2022-02-14,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-02,2022-03-10,regular,bbg_eco_release_dt,2022-03-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-03,2022-04-11,regular,bbg_eco_release_dt,2022-04-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-04,2022-05-10,regular,bbg_eco_release_dt,2022-05-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-05,2022-06-10,regular,bbg_eco_release_dt,2022-06-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-06,2022-07-13,regular,bbg_eco_release_dt,2022-07-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-07,2022-08-10,regular,bbg_eco_release_dt,2022-08-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-08,2022-09-12,regular,bbg_eco_release_dt,2022-09-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-09,2022-10-11,regular,bbg_eco_release_dt,2022-10-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-10,2022-11-10,regular,bbg_eco_release_dt,2022-11-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-11,2022-12-12,regular,bbg_eco_release_dt,2022-12-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2022-12,2023-01-11,regular,bbg_eco_release_dt,2023-01-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-01,2023-02-10,regular,bbg_eco_release_dt,2023-02-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-02,2023-03-10,regular,bbg_eco_release_dt,2023-03-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-03,2023-04-13,regular,bbg_eco_release_dt,2023-04-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-04,2023-05-11,regular,bbg_eco_release_dt,2023-05-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-05,2023-06-12,regular,bbg_eco_release_dt,2023-06-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-06,2023-07-13,regular,bbg_eco_release_dt,2023-07-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-07,2023-08-10,regular,bbg_eco_release_dt,2023-08-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-08,2023-09-11,regular,bbg_eco_release_dt,2023-09-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-09,2023-10-10,regular,bbg_eco_release_dt,2023-10-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-10,2023-11-10,regular,bbg_eco_release_dt,2023-11-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-11,2023-12-11,regular,bbg_eco_release_dt,2023-12-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2023-12,2024-01-11,regular,bbg_eco_release_dt,2024-01-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-01,2024-02-15,regular,bbg_eco_release_dt,2024-02-15,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-02,2024-03-11,regular,bbg_eco_release_dt,2024-03-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-03,2024-04-10,regular,bbg_eco_release_dt,2024-04-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-04,2024-05-13,regular,bbg_eco_release_dt,2024-05-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-05,2024-06-11,regular,bbg_eco_release_dt,2024-06-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-06,2024-07-10,regular,bbg_eco_release_dt,2024-07-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-07,2024-08-12,regular,bbg_eco_release_dt,2024-08-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-08,2024-09-10,regular,bbg_eco_release_dt,2024-09-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-09,2024-10-10,regular,bbg_eco_release_dt,2024-10-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-10,2024-11-11,regular,bbg_eco_release_dt,2024-11-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-11,2024-12-10,regular,bbg_eco_release_dt,2024-12-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2024-12,2025-01-13,regular,bbg_eco_release_dt,2025-01-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-01,2025-02-06,flash,bbg_eco_release_dt,2025-02-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-02,2025-03-05,flash,bbg_eco_release_dt,2025-03-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-03,2025-04-04,flash,bbg_eco_release_dt,2025-04-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-04,2025-05-06,flash,bbg_eco_release_dt,2025-05-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-05,2025-06-04,flash,bbg_eco_release_dt,2025-06-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-06,2025-07-04,flash,bbg_eco_release_dt,2025-07-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-07,2025-08-05,flash,bbg_eco_release_dt,2025-08-08,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-08,2025-09-04,flash,bbg_eco_release_dt,2025-09-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-09,2025-10-06,flash,bbg_eco_release_dt,2025-10-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-10,2025-11-05,flash,bbg_eco_release_dt,2025-11-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-11,2025-12-04,flash,bbg_eco_release_dt,2025-12-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2025-12,2026-01-07,flash,bbg_eco_release_dt,2026-01-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2026-01,2026-02-05,flash,bbg_eco_release_dt,2026-02-13,czso_release_page,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2026-02,2026-03-04,flash,bbg_eco_release_dt,2026-03-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2026-03,2026-04-07,flash,bbg_eco_release_dt,2026-04-14,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2026-04,2026-05-06,flash,bbg_eco_release_dt,2026-05-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2026-05,2026-06-04,flash,bbg_eco_release_dt,2026-06-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2026-06,2026-07-07,flash,bbg_eco_release_dt,2026-07-10,czso_release_page,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2026-07,2026-08-05,flash,czso_release_page,2026-08-11,czso_release_page,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
