origin,model,band,target,predicted_turn,actual_turn,eligible,exact_hit,missed_turn,false_turn
2019-10,GAP_JOINT_R23,2,2020-04,none,trough,True,False,True,False
2019-10,GAP_JOINT_R23,3,2020-07,none,peak,True,False,True,False
2019-10,STABLE_LOCAL_CORE_R14B,2,2020-04,none,trough,True,False,True,False
2019-10,STABLE_LOCAL_CORE_R14B,3,2020-07,none,peak,True,False,True,False
2019-10,STATE_FAST_R15,2,2020-04,none,trough,True,False,True,False
2019-10,STATE_FAST_R15,3,2020-07,none,peak,True,False,True,False
2019-11,CORE_FEEDBACK_R21,2,2020-05,none,trough,True,False,True,False
2019-11,CORE_FEEDBACK_R21,3,2020-08,none,peak,True,False,True,False
2019-11,DAMPED_P95_Q001_R16,2,2020-05,none,trough,True,False,True,False
2019-11,DAMPED_P95_Q001_R16,3,2020-08,none,peak,True,False,True,False
2019-11,GAP_CALIBRATION_R23,2,2020-05,none,trough,True,False,True,False
2019-11,GAP_CALIBRATION_R23,3,2020-08,none,peak,True,False,True,False
2019-11,GAP_DOMESTIC_R23,2,2020-05,none,trough,True,False,True,False
2019-11,GAP_DOMESTIC_R23,3,2020-08,none,peak,True,False,True,False
2019-11,GAP_ENET_R23,2,2020-05,none,trough,True,False,True,False
2019-11,GAP_ENET_R23,3,2020-08,none,peak,True,False,True,False
2019-11,GAP_FREE_R23,2,2020-05,none,trough,True,False,True,False
2019-11,GAP_FREE_R23,3,2020-08,none,peak,True,False,True,False
2019-11,GAP_HALF_R23,2,2020-05,none,trough,True,False,True,False
2019-11,GAP_HALF_R23,3,2020-08,none,peak,True,False,True,False
2019-11,GAP_IMPORTED_R23,2,2020-05,none,trough,True,False,True,False
2019-11,GAP_IMPORTED_R23,3,2020-08,none,peak,True,False,True,False
2019-11,GAP_JOINT_R23,2,2020-05,none,trough,True,False,True,False
2019-11,GAP_JOINT_R23,3,2020-08,none,peak,True,False,True,False
2019-11,STABLE_LOCAL_CORE_R14B,2,2020-05,none,trough,True,False,True,False
2019-11,STABLE_LOCAL_CORE_R14B,3,2020-08,none,peak,True,False,True,False
2019-11,STATE_FAST_R15,2,2020-05,none,trough,True,False,True,False
2019-11,STATE_FAST_R15,3,2020-08,none,peak,True,False,True,False
2019-12,CORE_FEEDBACK_R21,2,2020-06,none,none,True,False,False,False
2019-12,CORE_FEEDBACK_R21,3,2020-09,none,none,True,False,False,False
2019-12,DAMPED_P95_Q001_R16,2,2020-06,none,none,True,False,False,False
2019-12,DAMPED_P95_Q001_R16,3,2020-09,none,none,True,False,False,False
2019-12,GAP_CALIBRATION_R23,2,2020-06,none,none,True,False,False,False
2019-12,GAP_CALIBRATION_R23,3,2020-09,none,none,True,False,False,False
2019-12,GAP_DOMESTIC_R23,2,2020-06,none,none,True,False,False,False
2019-12,GAP_DOMESTIC_R23,3,2020-09,none,none,True,False,False,False
2019-12,GAP_ENET_R23,2,2020-06,none,none,True,False,False,False
2019-12,GAP_ENET_R23,3,2020-09,none,none,True,False,False,False
2019-12,GAP_FREE_R23,2,2020-06,none,none,True,False,False,False
2019-12,GAP_FREE_R23,3,2020-09,none,none,True,False,False,False
2019-12,GAP_HALF_R23,2,2020-06,none,none,True,False,False,False
2019-12,GAP_HALF_R23,3,2020-09,none,none,True,False,False,False
2019-12,GAP_IMPORTED_R23,2,2020-06,none,none,True,False,False,False
2019-12,GAP_IMPORTED_R23,3,2020-09,none,none,True,False,False,False
2019-12,GAP_JOINT_R23,2,2020-06,none,none,True,False,False,False
2019-12,GAP_JOINT_R23,3,2020-09,none,none,True,False,False,False
2019-12,STABLE_LOCAL_CORE_R14B,2,2020-06,none,none,True,False,False,False
2019-12,STABLE_LOCAL_CORE_R14B,3,2020-09,none,none,True,False,False,False
2019-12,STATE_FAST_R15,2,2020-06,none,none,True,False,False,False
2019-12,STATE_FAST_R15,3,2020-09,none,none,True,False,False,False
2020-01,CORE_FEEDBACK_R21,2,2020-07,none,peak,True,False,True,False
2020-01,CORE_FEEDBACK_R21,3,2020-10,none,trough,True,False,True,False
2020-01,DAMPED_P95_Q001_R16,2,2020-07,none,peak,True,False,True,False
2020-01,DAMPED_P95_Q001_R16,3,2020-10,none,trough,True,False,True,False
2020-01,GAP_CALIBRATION_R23,2,2020-07,none,peak,True,False,True,False
2020-01,GAP_CALIBRATION_R23,3,2020-10,none,trough,True,False,True,False
2020-01,GAP_DOMESTIC_R23,2,2020-07,none,peak,True,False,True,False
2020-01,GAP_DOMESTIC_R23,3,2020-10,none,trough,True,False,True,False
2020-01,GAP_ENET_R23,2,2020-07,none,peak,True,False,True,False
2020-01,GAP_ENET_R23,3,2020-10,none,trough,True,False,True,False
2020-01,GAP_FREE_R23,2,2020-07,none,peak,True,False,True,False
2020-01,GAP_FREE_R23,3,2020-10,none,trough,True,False,True,False
2020-01,GAP_HALF_R23,2,2020-07,none,peak,True,False,True,False
2020-01,GAP_HALF_R23,3,2020-10,none,trough,True,False,True,False
2020-01,GAP_IMPORTED_R23,2,2020-07,none,peak,True,False,True,False
2020-01,GAP_IMPORTED_R23,3,2020-10,none,trough,True,False,True,False
2020-01,GAP_JOINT_R23,2,2020-07,none,peak,True,False,True,False
2020-01,GAP_JOINT_R23,3,2020-10,none,trough,True,False,True,False
2020-01,STABLE_LOCAL_CORE_R14B,2,2020-07,none,peak,True,False,True,False
2020-01,STABLE_LOCAL_CORE_R14B,3,2020-10,none,trough,True,False,True,False
2020-01,STATE_FAST_R15,2,2020-07,none,peak,True,False,True,False
2020-01,STATE_FAST_R15,3,2020-10,none,trough,True,False,True,False
2020-02,CORE_FEEDBACK_R21,2,2020-08,none,peak,True,False,True,False
2020-02,CORE_FEEDBACK_R21,3,2020-11,none,trough,True,False,True,False
2020-02,DAMPED_P95_Q001_R16,2,2020-08,none,peak,True,False,True,False
2020-02,DAMPED_P95_Q001_R16,3,2020-11,none,trough,True,False,True,False
2020-02,GAP_CALIBRATION_R23,2,2020-08,none,peak,True,False,True,False
2020-02,GAP_CALIBRATION_R23,3,2020-11,none,trough,True,False,True,False
2020-02,GAP_DOMESTIC_R23,2,2020-08,none,peak,True,False,True,False
2020-02,GAP_DOMESTIC_R23,3,2020-11,none,trough,True,False,True,False
2020-02,GAP_ENET_R23,2,2020-08,none,peak,True,False,True,False
2020-02,GAP_ENET_R23,3,2020-11,none,trough,True,False,True,False
2020-02,GAP_FREE_R23,2,2020-08,none,peak,True,False,True,False
2020-02,GAP_FREE_R23,3,2020-11,none,trough,True,False,True,False
2020-02,GAP_HALF_R23,2,2020-08,none,peak,True,False,True,False
2020-02,GAP_HALF_R23,3,2020-11,none,trough,True,False,True,False
2020-02,GAP_IMPORTED_R23,2,2020-08,none,peak,True,False,True,False
2020-02,GAP_IMPORTED_R23,3,2020-11,none,trough,True,False,True,False
2020-02,GAP_JOINT_R23,2,2020-08,none,peak,True,False,True,False
2020-02,GAP_JOINT_R23,3,2020-11,none,trough,True,False,True,False
2020-02,STABLE_LOCAL_CORE_R14B,2,2020-08,none,peak,True,False,True,False
2020-02,STABLE_LOCAL_CORE_R14B,3,2020-11,none,trough,True,False,True,False
2020-02,STATE_FAST_R15,2,2020-08,none,peak,True,False,True,False
2020-02,STATE_FAST_R15,3,2020-11,none,trough,True,False,True,False
2020-03,CORE_FEEDBACK_R21,2,2020-09,none,none,True,False,False,False
2020-03,CORE_FEEDBACK_R21,3,2020-12,none,none,True,False,False,False
2020-03,DAMPED_P95_Q001_R16,2,2020-09,none,none,True,False,False,False
2020-03,DAMPED_P95_Q001_R16,3,2020-12,none,none,True,False,False,False
2020-03,GAP_CALIBRATION_R23,2,2020-09,none,none,True,False,False,False
2020-03,GAP_CALIBRATION_R23,3,2020-12,none,none,True,False,False,False
2020-03,GAP_DOMESTIC_R23,2,2020-09,none,none,True,False,False,False
2020-03,GAP_DOMESTIC_R23,3,2020-12,none,none,True,False,False,False
2020-03,GAP_ENET_R23,2,2020-09,none,none,True,False,False,False
2020-03,GAP_ENET_R23,3,2020-12,none,none,True,False,False,False
2020-03,GAP_FREE_R23,2,2020-09,none,none,True,False,False,False
2020-03,GAP_FREE_R23,3,2020-12,none,none,True,False,False,False
2020-03,GAP_HALF_R23,2,2020-09,none,none,True,False,False,False
2020-03,GAP_HALF_R23,3,2020-12,none,none,True,False,False,False
2020-03,GAP_IMPORTED_R23,2,2020-09,none,none,True,False,False,False
2020-03,GAP_IMPORTED_R23,3,2020-12,none,none,True,False,False,False
2020-03,GAP_JOINT_R23,2,2020-09,none,none,True,False,False,False
2020-03,GAP_JOINT_R23,3,2020-12,none,none,True,False,False,False
2020-03,STABLE_LOCAL_CORE_R14B,2,2020-09,none,none,True,False,False,False
2020-03,STABLE_LOCAL_CORE_R14B,3,2020-12,none,none,True,False,False,False
2020-03,STATE_FAST_R15,2,2020-09,none,none,True,False,False,False
2020-03,STATE_FAST_R15,3,2020-12,none,none,True,False,False,False
2020-04,CORE_FEEDBACK_R21,2,2020-10,none,trough,True,False,True,False
2020-04,CORE_FEEDBACK_R21,3,2021-01,none,peak,True,False,True,False
2020-04,DAMPED_P95_Q001_R16,2,2020-10,none,trough,True,False,True,False
2020-04,DAMPED_P95_Q001_R16,3,2021-01,none,peak,True,False,True,False
2020-04,GAP_CALIBRATION_R23,2,2020-10,none,trough,True,False,True,False
2020-04,GAP_CALIBRATION_R23,3,2021-01,none,peak,True,False,True,False
2020-04,GAP_DOMESTIC_R23,2,2020-10,none,trough,True,False,True,False
2020-04,GAP_DOMESTIC_R23,3,2021-01,none,peak,True,False,True,False
2020-04,GAP_ENET_R23,2,2020-10,none,trough,True,False,True,False
2020-04,GAP_ENET_R23,3,2021-01,none,peak,True,False,True,False
2020-04,GAP_FREE_R23,2,2020-10,none,trough,True,False,True,False
2020-04,GAP_FREE_R23,3,2021-01,none,peak,True,False,True,False
2020-04,GAP_HALF_R23,2,2020-10,none,trough,True,False,True,False
2020-04,GAP_HALF_R23,3,2021-01,none,peak,True,False,True,False
2020-04,GAP_IMPORTED_R23,2,2020-10,none,trough,True,False,True,False
2020-04,GAP_IMPORTED_R23,3,2021-01,none,peak,True,False,True,False
2020-04,GAP_JOINT_R23,2,2020-10,none,trough,True,False,True,False
2020-04,GAP_JOINT_R23,3,2021-01,none,peak,True,False,True,False
2020-04,STABLE_LOCAL_CORE_R14B,2,2020-10,none,trough,True,False,True,False
