scope,sample,clock,model,quarters_ahead,n,mae,rmse,bias,report_count,unique_target_quarters,cnb_mae,mean_absolute_error_gain_vs_cnb,material_gains,material_losses,immaterial_pairs,mean_model_cnb_deviation,mean_realised_cnb_error,deviation_direction_correct_rate,deviation_error_correlation
within_clock_common,full,cutoff,GAP_HALF_R23,3,16,1.4947309700093347,2.1989156295220296,-0.25154132199798485,16,16,1.1088691841257816,-0.38586178588355297,3,9,4,0.5022016484149725,0.7537429704129572,0.3125,0.4218293363554141
within_clock_common,full,cutoff,GAP_HALF_R23,4,15,1.709979558467311,2.72880127638612,0.04859229725903093,15,15,1.4843928442432301,-0.22558671422408114,3,9,3,1.2402991568946773,1.1917068596356455,0.5333333333333333,0.42787884532217463
within_clock_common,full,cutoff,GAP_IMPORTED_R23,all,66,1.376519328596063,2.1481499073206267,-0.14907245763151153,18,18,1.0605492231877776,-0.31597010540828535,13,33,20,0.34999503221940736,0.499067489850919,0.5303030303030303,0.39437975607038334
within_clock_common,full,cutoff,GAP_IMPORTED_R23,1,18,0.8375998677456741,1.4977612581712079,-0.2161474731974254,18,18,0.5554610620931573,-0.2821388056525169,4,7,7,-0.3809310067601259,-0.16478353356270048,0.6666666666666666,0.23043436950171087
within_clock_common,full,cutoff,GAP_IMPORTED_R23,2,17,1.442229581147441,2.063684358449902,-0.3730264409041716,17,17,1.175891176650326,-0.26633840449711527,3,7,7,-0.0219048224837448,0.3511216184204268,0.5294117647058824,0.31194892726797857
within_clock_common,full,cutoff,GAP_IMPORTED_R23,3,16,1.4851151559605738,2.200069345886281,-0.16693125943679987,16,16,1.1088691841257816,-0.37624597183479214,3,9,4,0.5868117109761575,0.7537429704129572,0.375,0.4144149479756713
within_clock_common,full,cutoff,GAP_IMPORTED_R23,4,15,1.8329155128694898,2.7608767470858817,0.20428146401557398,15,15,1.4843928442432301,-0.3485226686262595,3,10,2,1.39598832365122,1.1917068596356455,0.5333333333333333,0.41214424173720415
within_clock_common,full,cutoff,GAP_JOINT_R23,all,66,1.369110253065989,2.1566397052349426,-0.18520241357784242,18,18,1.0605492231877776,-0.3085610298782115,13,33,20,0.3138650762730765,0.499067489850919,0.5303030303030303,0.38881620949691736
within_clock_common,full,cutoff,GAP_JOINT_R23,1,18,0.8418742949108279,1.5005681484008688,-0.21749098454020366,18,18,0.5554610620931573,-0.28641323281767067,4,7,7,-0.38227451810290414,-0.16478353356270048,0.6666666666666666,0.22901279310474518
within_clock_common,full,cutoff,GAP_JOINT_R23,2,17,1.4544363471457402,2.079449840903446,-0.38712676765485177,17,17,1.175891176650326,-0.2785451704954147,3,7,7,-0.03600514923442499,0.3511216184204268,0.5882352941176471,0.3045711829350377
