origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,latest_known_yy,predicted_change,actual_change,predicted_direction,actual_direction,scope
2022-02,12,2023-02,2022-03-09T22:59:00+00:00,CORE_FEEDBACK_R21,0.7265484423190577,0.6147540983606703,16.719492868462766,9.319226754928787,8.910210182071575,15.460337336147187,1.1992367863765894,0.7,13.376877810576417,11.334074019042932,9.876543209876534,-0.5573164549477472,6.842949658586232,-1,1,all_models_common
2022-03,3,2022-06,2022-04-10T21:59:00+00:00,CORE_FEEDBACK_R21,0.6701863922688194,1.5801354401805856,17.187499999999993,13.04059653587759,2.168504491859627,5.090350681683874,1.061048752734826,1.5,3.208141894789984,4.368013015649273,11.091549295774657,1.9490472401029333,6.095950704225336,1,1,all_models_common
2022-03,6,2022-09,2022-04-10T21:59:00+00:00,CORE_FEEDBACK_R21,0.1624717828029425,0.8005822416302655,17.972742759795548,12.51795844922085,3.5968028042527895,7.649905400580235,0.27111748242316563,0.3,5.826690842050696,7.150872966405326,11.091549295774657,1.426409153446194,6.881193464020891,1,1,all_models_common
2022-03,9,2022-12,2022-04-10T21:59:00+00:00,CORE_FEEDBACK_R21,0.5082770305508316,0.0,15.758591785414907,12.705363091004115,5.368661742165039,7.360678879365558,0.9001868908658659,0.4,8.70623676159994,9.142134306840198,11.091549295774657,1.6138137952294578,4.6670424896402505,1,1,all_models_common
2022-03,12,2023-03,2022-04-10T21:59:00+00:00,CORE_FEEDBACK_R21,0.4118262571020007,0.1357773251866811,14.964925954793449,8.238384281710038,7.9165870580010855,13.945690415828372,0.6489830875099264,0.2,11.646254624465838,10.836312911667713,11.091549295774657,-2.8531650140646185,3.873376659018792,-1,1,all_models_common
2022-04,3,2022-07,2022-05-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.8190181105172278,1.333333333333342,17.525773195876276,13.60070215559745,2.2789561707268486,4.638078834611961,1.4584189311068898,1.6,3.5047322649825188,4.4664866819032225,12.741652021089633,0.8590501345078163,4.784121174786643,1,1,all_models_common
2022-04,6,2022-10,2022-05-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.7742325292291695,-1.4440433212996373,15.092748735244497,13.154091518373354,3.7574357311260282,4.418539778268375,1.2365308805081683,1.2,5.9511501702152785,6.854868803557641,12.741652021089633,0.41243949728372087,2.3510967141548633,1,1,all_models_common
2022-04,9,2023-01,2022-05-09T21:59:00+00:00,CORE_FEEDBACK_R21,1.4667078409726717,6.010137581462716,17.49598715890851,10.443762482716505,6.268240014569079,11.420338468488055,1.2475220460300938,0.8,8.884102227842183,8.450090022382819,12.741652021089633,-2.297889538373129,4.754335137818876,-1,1,all_models_common
2022-04,12,2023-04,2022-05-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.6589034859542195,-0.2033898305084824,12.71056661562021,8.419423753972234,8.083707288782767,11.965298945244516,1.1113736601715467,0.2,11.72886508132729,9.547251928559952,12.741652021089633,-4.322228267117399,-0.03108540546942251,-1,0,all_models_common
2022-05,3,2022-08,2022-06-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.681674964207094,0.4385964912280604,17.235494880546053,16.533584124232306,2.6643504234566766,3.329941406904929,1.0890556622319594,0.9,3.9267414526103464,3.9721703021512704,14.160839160839142,2.3727449633931634,3.074655719706911,1,1,all_models_common
2022-05,6,2022-11,2022-06-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.6594351867924358,1.172161172161168,16.24579124579122,17.186323704398237,4.578870520531235,3.838109469604662,0.9255607937221475,0.4,6.65079131322169,5.863780413612243,14.160839160839142,3.025484543559095,2.0849520849520786,1,1,all_models_common
2022-05,9,2023-02,2022-06-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.8044254696593188,0.6147540983606703,16.719492868462766,13.66180277820015,7.567746688422824,10.2874357749385,1.217761626665683,0.7,10.278501221627913,7.7573608791262005,14.160839160839142,-0.49903638263899275,2.5586537076236233,-1,1,all_models_common
2022-05,12,2023-05,2022-06-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.7207994115026154,0.2717391304347893,11.0609480812641,10.147124001663876,9.664677708429437,10.490894644717239,1.0289641545092445,0.1,13.34153126319035,8.256911444969164,14.160839160839142,-4.013715159175266,-3.099891079575043,-1,-1,all_models_common
2022-06,3,2022-09,2022-07-12T21:59:00+00:00,CORE_FEEDBACK_R21,0.46711401295721816,0.8005822416302655,17.972742759795548,17.650815660493635,2.4704363408392056,2.559554718896362,0.561947258091896,0.3,3.522945384776872,2.782859950756053,15.968586387434563,1.6822292730590718,2.0041563723609848,1,1,all_models_common
2022-06,6,2022-12,2022-07-12T21:59:00+00:00,CORE_FEEDBACK_R21,0.7334250910347364,0.0,15.758591785414907,18.716523378700707,4.977623180927725,2.2703281976816836,1.169178441812797,0.4,7.22181692484622,4.774121291190924,15.968586387434563,2.747936991266144,-0.20999460201965547,1,0,all_models_common
2022-06,9,2023-03,2022-07-12T21:59:00+00:00,CORE_FEEDBACK_R21,0.6269902747163038,0.1357773251866811,14.964925954793449,13.921393541964292,8.127635977124772,8.855339734144502,0.9027186714343988,0.2,10.930663041976219,6.468299896018442,15.968586387434563,-2.0471928454702706,-1.003660432641114,-1,-1,all_models_common
2022-06,12,2023-06,2022-07-12T21:59:00+00:00,CORE_FEEDBACK_R21,0.7467322759085511,0.3387533875338855,9.703703703703706,11.262143454302793,10.671888374674175,9.261294283532367,1.2367539467554989,0.5,14.684733347388518,7.266804346698008,15.968586387434563,-4.70644293313177,-6.264882683730857,-1,-1,all_models_common
2022-07,3,2022-10,2022-08-09T21:59:00+00:00,CORE_FEEDBACK_R21,1.0278451150804344,-1.4440433212996373,15.092748735244497,17.947171666689055,2.1627294792636182,-0.21953905634358536,1.5857942356536998,1.2,3.518814477308383,2.3883821216544185,17.18749999999999,0.7596716666890657,-2.0947512647554927,1,-1,all_models_common
2022-07,6,2023-01,2022-08-09T21:59:00+00:00,CORE_FEEDBACK_R21,1.6626214298481743,6.010137581462716,17.49598715890851,15.861190968819269,5.313543309754878,6.782259633876094,1.5704580177105056,0.8,7.430040251051436,3.9836033404795965,17.18749999999999,-1.3263090311807204,0.30848715890851963,-1,1,all_models_common
2022-07,9,2023-04,2022-08-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.9312498415806956,-0.2033898305084824,12.71056661562021,13.296119730507709,7.777811829479071,7.327220110632554,1.437895397093596,0.2,11.216873445598415,5.080765246656732,17.18749999999999,-3.8913802694922808,-4.4769333843797785,-1,-1,all_models_common
