scope,benchmark,model,metric,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,8,origins_2019_2021,35,12,2000,1509,24,35,-0.5268748609136823,-0.7475651795591478,0.1250554358029473,0.472,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,8,origins_2022_2023,24,12,2000,1509,13,24,-0.7123985565842582,-1.0104789352371437,-0.11896801834088211,1.0,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,8,origins_2024plus,23,12,2000,1509,12,23,0.003590967001567546,-0.07360461421079,0.039845695855307506,0.7325,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,8,recent_targets,31,12,2000,1509,20,31,-0.047998918884270374,-0.0864638116753883,0.07068952250446052,0.571,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,9,full,81,12,2000,1509,70,81,-0.4761246026876514,-1.4171518708189428,0.03181511638333558,0.9465,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,9,origins_2019_2021,35,12,2000,1509,24,35,-0.619290820764747,-0.8881118860100778,0.1614649448151036,0.4685,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,9,origins_2022_2023,24,12,2000,1509,13,24,-0.692554167582125,-0.9862968420988326,0.03850547653541266,0.938,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,9,origins_2024plus,22,12,2000,1509,11,22,-0.012255184952846167,-0.09473506137157452,0.026656700195822104,0.8715,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,9,recent_targets,31,12,2000,1509,20,31,-0.07102876299396757,-0.12374557652490063,0.05870853269933045,0.7435,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,10,full,80,12,2000,1509,69,80,-0.5073352583828064,-1.5291963243409468,0.05276196925322288,0.9255,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,10,origins_2019_2021,35,12,2000,1509,24,35,-0.6423277064500179,-0.9981086665563537,0.18177399217479528,0.4745,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,10,origins_2022_2023,24,12,2000,1509,13,24,-0.7250987611684789,-1.0071572156810022,0.2221417966443102,0.659,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,10,origins_2024plus,21,12,2000,1509,10,21,-0.03347527032525641,-0.12768576694246575,0.02848573947375627,0.902,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,10,recent_targets,31,12,2000,1509,20,31,-0.09639779674057491,-0.16634366131501027,0.043521290006818626,0.863,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,11,full,79,12,2000,1509,68,79,-0.5368691933310781,-1.6711513584205695,0.0940984169704586,0.9055,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,11,origins_2019_2021,35,12,2000,1509,24,35,-0.6699510082779494,-1.0581995821511367,0.19322520161488133,0.473,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,11,origins_2022_2023,24,12,2000,1509,13,24,-0.7446124407081961,-0.8445292606525268,0.5110524318817226,0.5185,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,11,origins_2024plus,20,12,2000,1509,9,20,-0.05468412032151184,-0.17289981076349753,0.029241536956068404,0.929,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,11,recent_targets,31,12,2000,1509,20,31,-0.11944936253401547,-0.2229397288040788,0.03165250217214212,0.929,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,12,full,78,12,2000,1509,67,78,-0.5490801784058148,-1.7767154293027565,0.13214399288663806,0.8945,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,12,origins_2019_2021,35,12,2000,1509,24,35,-0.6697258390927101,-0.9817574791607502,0.21779788567413788,0.4605,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,12,origins_2022_2023,24,12,2000,1509,13,24,-0.7322054787639982,-0.7322054787639982,0.6820511106212389,0.374,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,12,origins_2024plus,19,12,2000,1509,8,19,-0.09552200300382858,-0.19788238599213542,-0.0019839408183430656,0.9865,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,12,recent_targets,31,12,2000,1509,20,31,-0.12396048814633803,-0.2627150908382754,-0.010315052591609654,0.986,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,1,full,89,12,2000,1509,78,89,-0.0058411996505742594,-0.01741442216532435,0.0017878741711597876,0.9035,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,1,origins_2019_2021,35,12,2000,1509,24,35,0.0007341994491203126,-0.004851976120998651,0.004394398011706228,0.6275,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,1,origins_2022_2023,24,12,2000,1509,13,24,-0.02275359677432311,-0.04704838969060887,-0.004658853784834244,1.0,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,1,origins_2024plus,30,12,2000,1509,19,30,1.741909878114952e-05,-0.0026599065908789543,0.0018721201709056296,0.722,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,1,recent_targets,31,12,2000,1509,20,31,0.0002515298783288359,-0.0026401498303125328,0.0023324982461415404,0.678,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,2,full,88,12,2000,1509,77,88,-0.023364051413860252,-0.06670897722575773,0.0034090634577527558,0.937,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,2,origins_2019_2021,35,12,2000,1509,24,35,0.00034499623614342385,-0.013835370484510277,0.010177121415835282,0.6855,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,2,origins_2022_2023,24,12,2000,1509,13,24,-0.08393335558833859,-0.16689745992276228,-0.002536346908061144,0.9945,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,2,origins_2024plus,29,12,2000,1509,18,29,-0.001852098571192989,-0.008909017887747697,0.003431136911048401,0.839,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,2,recent_targets,31,12,2000,1509,20,31,-0.000938347488396797,-0.008895154594400566,0.00503262923511545,0.7495,ok
paired_fast_DAMPED_P95_Q001_R16,STATE_FAST_R15,DAMPED_P95_Q001_R16,headline_yy,3,full,87,12,2000,1509,76,87,-0.05747599668080942,-0.15784308117966772,0.0028186369366634805,0.9655,ok
