threshold,clock,model,sample,n,reports,actual_direction_hits,material_gains,material_losses,mean_abs_gain,median_capture,median_relative_abs_gain,overshoot_beyond_twice
1.0,cutoff,PRESS_DOMESTIC_R23B,full,13,4,9,8,4,0.8561315431269544,0.36077114860664683,0.3547286527584467,0
1.0,cutoff,PRESS_DOMESTIC_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,PRESS_JOINT_R23B,full,13,4,9,9,4,0.8945653252092775,0.36209307310736066,0.290254000042701,0
1.0,cutoff,PRESS_JOINT_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,PRESS_LEVELS_R23B,full,13,4,9,8,4,0.8561315431269544,0.36077114860664683,0.3547286527584467,0
1.0,cutoff,PRESS_LEVELS_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,PRESS_MOMENTUM_R23B,full,13,4,9,8,4,0.8622138579895127,0.35380674910945786,0.2485975249061207,1
1.0,cutoff,PRESS_MOMENTUM_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,PRESS_SIGNED_R23B,full,13,4,9,8,4,0.8908797691921131,0.3359601298451547,0.2937926345508206,1
1.0,cutoff,PRESS_SIGNED_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,PRESS_ULC_R23B,full,13,4,9,9,4,0.8793395771290103,0.3659812608390804,0.3601580830565521,0
1.0,cutoff,PRESS_ULC_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,STABLE_LOCAL_CORE_R14B,full,13,4,8,7,5,0.2782784800710699,0.17744380981444477,0.16673816714760917,1
1.0,cutoff,STABLE_LOCAL_CORE_R14B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,STATE_FAST_R15,full,13,4,9,8,4,0.8561315431269544,0.36077114860664683,0.3547286527584467,0
1.0,cutoff,STATE_FAST_R15,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,CORE_FEEDBACK_R21,full,13,4,10,9,4,1.1584723533059056,0.28120671262641267,0.24349255542430828,1
1.0,report,CORE_FEEDBACK_R21,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,DAMPED_P95_Q001_R16,full,13,4,10,9,4,1.1778798883804062,0.3065706971984294,0.2891580143631917,1
1.0,report,DAMPED_P95_Q001_R16,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,PRESS_DOMESTIC_R23B,full,13,4,10,8,4,1.048216970917306,0.3411278194696015,0.1658194704814942,1
1.0,report,PRESS_DOMESTIC_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,PRESS_JOINT_R23B,full,13,4,9,8,2,1.1972487357953008,0.3709439844562232,0.23880427401930282,0
1.0,report,PRESS_JOINT_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,PRESS_LEVELS_R23B,full,13,4,10,8,4,1.048216970917306,0.3411278194696015,0.1658194704814942,1
1.0,report,PRESS_LEVELS_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,PRESS_MOMENTUM_R23B,full,13,4,9,8,4,1.163383497611855,0.36362796374849987,0.24171650389032445,1
1.0,report,PRESS_MOMENTUM_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,PRESS_SIGNED_R23B,full,13,4,9,8,5,1.1566675421870811,0.33382083476785873,0.224340073700719,1
1.0,report,PRESS_SIGNED_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,PRESS_ULC_R23B,full,13,4,9,8,5,1.0779294006950906,0.3539013567728275,0.16672573588839815,1
1.0,report,PRESS_ULC_R23B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,STABLE_LOCAL_CORE_R14B,full,13,4,10,9,4,0.5645584119444946,0.16673816714760917,0.13881585857227263,1
1.0,report,STABLE_LOCAL_CORE_R14B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,STATE_FAST_R15,full,13,4,10,8,4,1.048216970917306,0.3411278194696015,0.1658194704814942,1
1.0,report,STATE_FAST_R15,reports_2024plus,0,0,0,0,0,,,,0
