clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct,threshold,capture_ratio,relative_absolute_error_gain
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,STATE_FAST_R15,12.38269861941688,17.578003612072624,-5.195304992655744,-1.4822939805831208,3.7130110120726236,-1.4822939805831208,-13.204743190941137,False,True,False,1.0,-0.3992161552345346,-0.3992161552345346
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,STABLE_LOCAL_CORE_R14B,12.029960551327198,17.578003612072624,-5.548043060745426,-1.8350320486728027,3.7130110120726236,-1.8350320486728027,-16.99433102811291,False,True,False,1.0,-0.494216699790631,-0.494216699790631
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,DAMPED_P95_Q001_R16,12.663333552016072,17.578003612072624,-4.914670060056553,-1.201659047983929,3.7130110120726236,-1.201659047983929,-10.36753102344371,False,True,False,1.0,-0.3236346577149407,-0.3236346577149407
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,CORE_FEEDBACK_R21,12.598672329966531,17.578003612072624,-4.979331282106093,-1.2663202700334697,3.7130110120726236,-1.2663202700334697,-11.007289241187742,False,True,False,1.0,-0.34104942482424866,-0.34104942482424866
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,PRESS_ULC_R23B,12.387442666068935,17.578003612072624,-5.190560946003689,-1.4775499339310656,3.7130110120726236,-1.4775499339310656,-13.155472158406145,False,True,False,1.0,-0.3979384734187171,-0.3979384734187171
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,PRESS_DOMESTIC_R23B,12.38269861941688,17.578003612072624,-5.195304992655744,-1.4822939805831208,3.7130110120726236,-1.4822939805831208,-13.204743190941137,False,True,False,1.0,-0.3992161552345346,-0.3992161552345346
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,PRESS_MOMENTUM_R23B,12.453489433256308,17.578003612072624,-5.124514178816316,-1.4115031667436924,3.7130110120726236,-1.4115031667436924,-12.474194793116894,False,True,False,1.0,-0.38015054686190747,-0.38015054686190747
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,PRESS_JOINT_R23B,12.441776400714,17.578003612072624,-5.136227211358625,-1.423216199286001,3.7130110120726236,-1.423216199286001,-12.594379190928226,False,True,False,1.0,-0.38330513824454127,-0.38330513824454127
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,PRESS_SIGNED_R23B,12.477591205228299,17.578003612072624,-5.100412406844326,-1.387401394771702,3.7130110120726236,-1.387401394771702,-12.227755944118961,False,True,False,1.0,-0.37365938055681847,-0.37365938055681847
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,PRESS_LEVELS_R23B,12.38269861941688,17.578003612072624,-5.195304992655744,-1.4822939805831208,3.7130110120726236,-1.4822939805831208,-13.204743190941137,False,True,False,1.0,-0.3992161552345346,-0.3992161552345346
cutoff,2022-05-12,2022-04-22,2022Q4,3,2022-03,2022-04-10 21:59:00+00:00,STATE_FAST_R15,12.20944272728592,15.699043922150208,-3.4896011948642887,-0.5404512727140798,2.949149922150209,-0.5404512727140798,-3.479831235879688,False,True,False,1.0,-0.1832566288525745,-0.1832566288525745
cutoff,2022-05-12,2022-04-22,2022Q4,3,2022-03,2022-04-10 21:59:00+00:00,STABLE_LOCAL_CORE_R14B,11.674000447690338,15.699043922150208,-4.025043474459871,-1.0758935523096618,2.949149922150209,-1.0758935523096618,-7.503489707973404,False,True,False,1.0,-0.364814804506525,-0.364814804506525
cutoff,2022-05-12,2022-04-22,2022Q4,3,2022-03,2022-04-10 21:59:00+00:00,DAMPED_P95_Q001_R16,12.759746495624102,15.699043922150208,-2.9392974265261067,0.009852495624102175,2.949149922150209,0.009852495624102175,0.05801590173559035,False,False,True,1.0,0.003340791714284493,0.003340791714284493
cutoff,2022-05-12,2022-04-22,2022Q4,3,2022-03,2022-04-10 21:59:00+00:00,CORE_FEEDBACK_R21,12.510239285902559,15.699043922150208,-3.1888046362476494,-0.23965471409744055,2.949149922150209,-0.23965471409744055,-1.4709897448359204,False,True,False,1.0,-0.08126230284105382,-0.08126230284105382
cutoff,2022-05-12,2022-04-22,2022Q4,3,2022-03,2022-04-10 21:59:00+00:00,PRESS_ULC_R23B,12.216880457391456,15.699043922150208,-3.4821634647587523,-0.5330135426085434,2.949149922150209,-0.5330135426085434,-3.427977131982095,False,True,False,1.0,-0.180734637668039,-0.180734637668039
cutoff,2022-05-12,2022-04-22,2022Q4,3,2022-03,2022-04-10 21:59:00+00:00,PRESS_DOMESTIC_R23B,12.20944272728592,15.699043922150208,-3.4896011948642887,-0.5404512727140798,2.949149922150209,-0.5404512727140798,-3.479831235879688,False,True,False,1.0,-0.1832566288525745,-0.1832566288525745
cutoff,2022-05-12,2022-04-22,2022Q4,3,2022-03,2022-04-10 21:59:00+00:00,PRESS_MOMENTUM_R23B,12.30225149510226,15.699043922150208,-3.3967924270479486,-0.4476425048977397,2.949149922150209,-0.4476425048977397,-2.84071352913171,False,True,False,1.0,-0.15178696123097263,-0.15178696123097263
cutoff,2022-05-12,2022-04-22,2022Q4,3,2022-03,2022-04-10 21:59:00+00:00,PRESS_JOINT_R23B,12.278189835420724,15.699043922150208,-3.4208540867294843,-0.47170416457927544,2.949149922150209,-0.47170416457927544,-3.004757419375231,False,True,False,1.0,-0.1599458071074795,-0.1599458071074795
cutoff,2022-05-12,2022-04-22,2022Q4,3,2022-03,2022-04-10 21:59:00+00:00,PRESS_SIGNED_R23B,12.3181265119134,15.699043922150208,-3.3809174102368083,-0.43176748808659937,2.949149922150209,-0.43176748808659937,-2.733117271523783,False,True,False,1.0,-0.14640404844925622,-0.14640404844925622
cutoff,2022-05-12,2022-04-22,2022Q4,3,2022-03,2022-04-10 21:59:00+00:00,PRESS_LEVELS_R23B,12.20944272728592,15.699043922150208,-3.4896011948642887,-0.5404512727140798,2.949149922150209,-0.5404512727140798,-3.479831235879688,False,True,False,1.0,-0.1832566288525745,-0.1832566288525745
cutoff,2022-05-12,2022-04-22,2023Q1,4,2022-03,2022-04-10 21:59:00+00:00,STATE_FAST_R15,8.503546645750424,16.393468660721574,-7.88992201497115,0.6463505357504236,8.536272550721574,0.6463505357504236,10.617079657876197,True,False,True,1.0,0.07571812309294029,0.07571812309294029
cutoff,2022-05-12,2022-04-22,2023Q1,4,2022-03,2022-04-10 21:59:00+00:00,STABLE_LOCAL_CORE_R14B,7.81847677329939,16.393468660721574,-8.574991887422183,-0.03871933670061001,8.536272550721574,-0.03871933670060912,-0.6625368091536359,False,False,False,1.0,-0.004535859940101966,-0.0045358599401018615
cutoff,2022-05-12,2022-04-22,2023Q1,4,2022-03,2022-04-10 21:59:00+00:00,DAMPED_P95_Q001_R16,9.360087850509688,16.393468660721574,-7.033380810211886,1.5028917405096873,8.536272550721574,1.5028917405096873,23.399503438745796,True,False,True,1.0,0.17605948399370724,0.17605948399370724
cutoff,2022-05-12,2022-04-22,2023Q1,4,2022-03,2022-04-10 21:59:00+00:00,CORE_FEEDBACK_R21,8.854235960921693,16.393468660721574,-7.53923269979988,0.9970398509216931,8.536272550721574,0.9970398509216931,16.02791935847081,True,False,True,1.0,0.11680037686207817,0.11680037686207817
cutoff,2022-05-12,2022-04-22,2023Q1,4,2022-03,2022-04-10 21:59:00+00:00,PRESS_ULC_R23B,8.510350776831437,16.393468660721574,-7.883117883890137,0.653154666831437,8.536272550721574,0.653154666831437,10.724401488894102,True,False,True,1.0,0.07651520765655796,0.07651520765655796
cutoff,2022-05-12,2022-04-22,2023Q1,4,2022-03,2022-04-10 21:59:00+00:00,PRESS_DOMESTIC_R23B,8.503546645750424,16.393468660721574,-7.88992201497115,0.6463505357504236,8.536272550721574,0.6463505357504236,10.617079657876197,True,False,True,1.0,0.07571812309294029,0.07571812309294029
cutoff,2022-05-12,2022-04-22,2023Q1,4,2022-03,2022-04-10 21:59:00+00:00,PRESS_MOMENTUM_R23B,8.590111840896949,16.393468660721574,-7.803356819824625,0.7329157308969485,8.536272550721574,0.7329157308969485,11.975571402699117,True,False,True,1.0,0.08585898898401445,0.08585898898401445
cutoff,2022-05-12,2022-04-22,2023Q1,4,2022-03,2022-04-10 21:59:00+00:00,PRESS_JOINT_R23B,8.568621308308908,16.393468660721574,-7.824847352412666,0.7114251983089073,8.536272550721574,0.7114251983089073,11.639712971643092,True,False,True,1.0,0.08334143434171046,0.08334143434171046
cutoff,2022-05-12,2022-04-22,2023Q1,4,2022-03,2022-04-10 21:59:00+00:00,PRESS_SIGNED_R23B,8.606638997463072,16.393468660721574,-7.7868296632585015,0.7494428874630721,8.536272550721574,0.7494428874630721,12.2332328556001,True,False,True,1.0,0.08779509827151916,0.08779509827151916
cutoff,2022-05-12,2022-04-22,2023Q1,4,2022-03,2022-04-10 21:59:00+00:00,PRESS_LEVELS_R23B,8.503546645750424,16.393468660721574,-7.88992201497115,0.6463505357504236,8.536272550721574,0.6463505357504236,10.617079657876197,True,False,True,1.0,0.07571812309294029,0.07571812309294029
report,2022-08-11,2022-07-22,2022Q3,1,2022-07,2022-08-09 21:59:00+00:00,STATE_FAST_R15,17.643421750498852,17.578003612072624,0.06541813842622801,-1.8493491238354487,-1.9147672622616767,1.8493491238354487,3.6620541357939236,True,False,True,1.0,0.965834939986932,0.965834939986932
report,2022-08-11,2022-07-22,2022Q3,1,2022-07,2022-08-09 21:59:00+00:00,STABLE_LOCAL_CORE_R14B,17.553929176967387,17.578003612072624,-0.024074435105237768,-1.9388416973669145,-1.9147672622616767,1.890692827156439,3.6657540902034405,True,False,True,1.0,1.0125730346344033,0.9874269653655966
report,2022-08-11,2022-07-22,2022Q3,1,2022-07,2022-08-09 21:59:00+00:00,DAMPED_P95_Q001_R16,17.67785477016437,17.578003612072624,0.09985115809174516,-1.8149161041699315,-1.9147672622616767,1.8149161041699315,3.656363414856814,True,False,True,1.0,0.9478520653346646,0.9478520653346646
report,2022-08-11,2022-07-22,2022Q3,1,2022-07,2022-08-09 21:59:00+00:00,CORE_FEEDBACK_R21,17.710155495882418,17.578003612072624,0.1321518838097937,-1.782615378451883,-1.9147672622616767,1.782615378451883,3.6488695482345994,True,False,True,1.0,0.9309827954475788,0.9309827954475788
report,2022-08-11,2022-07-22,2022Q3,1,2022-07,2022-08-09 21:59:00+00:00,PRESS_ULC_R23B,17.651784087647197,17.578003612072624,0.07378047557457279,-1.840986786687104,-1.9147672622616767,1.840986786687104,3.660890110053067,True,False,True,1.0,0.9614676535218045,0.9614676535218045
report,2022-08-11,2022-07-22,2022Q3,1,2022-07,2022-08-09 21:59:00+00:00,PRESS_DOMESTIC_R23B,17.643421750498852,17.578003612072624,0.06541813842622801,-1.8493491238354487,-1.9147672622616767,1.8493491238354487,3.6620541357939236,True,False,True,1.0,0.965834939986932,0.965834939986932
report,2022-08-11,2022-07-22,2022Q3,1,2022-07,2022-08-09 21:59:00+00:00,PRESS_MOMENTUM_R23B,17.827352072308305,17.578003612072624,0.24934846023568014,-1.6654188020259966,-1.9147672622616767,1.6654188020259966,3.6041590140071724,True,False,True,1.0,0.8697761001297067,0.8697761001297067
report,2022-08-11,2022-07-22,2022Q3,1,2022-07,2022-08-09 21:59:00+00:00,PRESS_JOINT_R23B,17.831417001113675,17.578003612072624,0.25341338904105015,-1.6613538732206266,-1.9147672622616767,1.6613538732206266,3.6021153228838063,True,False,True,1.0,0.8676531638932846,0.8676531638932846
report,2022-08-11,2022-07-22,2022Q3,1,2022-07,2022-08-09 21:59:00+00:00,PRESS_SIGNED_R23B,17.813776241195296,17.578003612072624,0.23577262912267116,-1.6789946331390055,-1.9147672622616767,1.6789946331390055,3.61074493598566,True,False,True,1.0,0.8768661686620951,0.8768661686620951
report,2022-08-11,2022-07-22,2022Q3,1,2022-07,2022-08-09 21:59:00+00:00,PRESS_LEVELS_R23B,17.643421750498852,17.578003612072624,0.06541813842622801,-1.8493491238354487,-1.9147672622616767,1.8493491238354487,3.6620541357939236,True,False,True,1.0,0.965834939986932,0.965834939986932
report,2022-08-11,2022-07-22,2022Q4,2,2022-07,2022-08-09 21:59:00+00:00,STATE_FAST_R15,18.306023230426096,15.699043922150208,2.6069793082758874,-1.349750669573904,-3.9567299778497915,1.349750669573904,8.859371003836586,True,False,True,1.0,0.3411278194696015,0.3411278194696015
report,2022-08-11,2022-07-22,2022Q4,2,2022-07,2022-08-09 21:59:00+00:00,STABLE_LOCAL_CORE_R14B,17.9823548504674,15.699043922150208,2.2833109283171904,-1.6734190495326011,-3.9567299778497915,1.6734190495326011,10.442203322242502,True,False,True,1.0,0.42292980792234613,0.42292980792234613
report,2022-08-11,2022-07-22,2022Q4,2,2022-07,2022-08-09 21:59:00+00:00,DAMPED_P95_Q001_R16,18.51165371623364,15.699043922150208,2.8126097940834303,-1.1441201837663613,-3.9567299778497915,1.1441201837663613,7.744938263841175,True,False,True,1.0,0.2891580143631917,0.2891580143631917
report,2022-08-11,2022-07-22,2022Q4,2,2022-07,2022-08-09 21:59:00+00:00,CORE_FEEDBACK_R21,18.54311487017848,15.699043922150208,2.844070948028273,-1.1126590298215184,-3.9567299778497915,1.1126590298215184,7.566972560196771,True,False,True,1.0,0.28120671262641267,0.28120671262641267
report,2022-08-11,2022-07-22,2022Q4,2,2022-07,2022-08-09 21:59:00+00:00,PRESS_ULC_R23B,18.25548179245524,15.699043922150208,2.5564378703050306,-1.400292107544761,-3.9567299778497915,1.400292107544761,9.12033753288549,True,False,True,1.0,0.3539013567728275,0.3539013567728275
report,2022-08-11,2022-07-22,2022Q4,2,2022-07,2022-08-09 21:59:00+00:00,PRESS_DOMESTIC_R23B,18.306023230426096,15.699043922150208,2.6069793082758874,-1.349750669573904,-3.9567299778497915,1.349750669573904,8.859371003836586,True,False,True,1.0,0.3411278194696015,0.3411278194696015
report,2022-08-11,2022-07-22,2022Q4,2,2022-07,2022-08-09 21:59:00+00:00,PRESS_MOMENTUM_R23B,19.10928974591735,15.699043922150208,3.410245823767143,-0.5464841540826484,-3.9567299778497915,0.5464841540826484,4.02593553909397,True,False,True,1.0,0.13811509937294852,0.13811509937294852
report,2022-08-11,2022-07-22,2022Q4,2,2022-07,2022-08-09 21:59:00+00:00,PRESS_JOINT_R23B,19.034010724910114,15.699043922150208,3.334966802759906,-0.6217631750898853,-3.9567299778497915,0.6217631750898853,4.533708542104581,True,False,True,1.0,0.15714066377301047,0.15714066377301047
report,2022-08-11,2022-07-22,2022Q4,2,2022-07,2022-08-09 21:59:00+00:00,PRESS_SIGNED_R23B,18.934149143442905,15.699043922150208,3.235105221292697,-0.7216247565570946,-3.9567299778497915,0.7216247565570946,5.189806324779941,True,False,True,1.0,0.18237907580169208,0.18237907580169208
