model,h,omitted_year,n,rmse_delta,mae_delta
PRESS_JOINT_R23B,3,2021,72,0.02127246492883117,0.007992389873044292
PRESS_JOINT_R23B,3,2022,72,-0.023576380762107663,-0.0060226260997231496
PRESS_JOINT_R23B,3,2023,72,0.026543416362138972,0.011668743829841954
PRESS_JOINT_R23B,3,2024,72,0.012619357358492511,0.0003547017868306135
PRESS_JOINT_R23B,3,2025,72,0.012303946747221683,-0.0033555322544098765
PRESS_JOINT_R23B,3,2026,80,0.0122632863460852,-0.0008204419951903796
PRESS_SIGNED_R23B,3,2019,76,0.016671008003794396,0.003747763098390422
PRESS_SIGNED_R23B,3,2020,72,0.017217825742033677,0.003956019720090076
PRESS_SIGNED_R23B,3,2021,72,0.025220934576885012,0.010294774658663575
PRESS_SIGNED_R23B,3,2022,72,-0.023226689481887552,-0.004798550748731256
PRESS_SIGNED_R23B,3,2023,72,0.02843822628752779,0.010741582685321216
PRESS_SIGNED_R23B,3,2024,72,0.014646520744338698,0.0010653266967655117
PRESS_SIGNED_R23B,3,2025,72,0.016365933157104884,0.001177138143549028
PRESS_SIGNED_R23B,3,2026,80,0.015153726964347358,0.0011695876207317157
PRESS_LEVELS_R23B,3,2019,76,0.0016279543091159976,0.008608424081376409
PRESS_LEVELS_R23B,3,2020,72,0.0016229485589716042,0.008985686107115587
PRESS_LEVELS_R23B,3,2021,72,0.0017505394312167244,0.009021818088463363
PRESS_LEVELS_R23B,3,2022,72,0.0028664940564689934,0.009021818088463363
PRESS_LEVELS_R23B,3,2023,72,0.00607152270808653,0.01372126156032838
PRESS_LEVELS_R23B,3,2024,72,-0.00041928279111358435,0.006391297088880865
PRESS_LEVELS_R23B,3,2025,72,-0.0017903558594782876,-0.0008133247138240041
PRESS_LEVELS_R23B,3,2026,80,0.0010684422754096978,0.0069637504825266205
PRESS_ULC_R23B,4,2019,75,0.0029309308826246383,0.0021963073673425537
PRESS_ULC_R23B,4,2020,71,0.0029178771070548226,0.0021377247664509103
PRESS_ULC_R23B,4,2021,71,0.004811372815280546,0.0030596224726862076
PRESS_ULC_R23B,4,2022,71,-0.015139857200814566,-0.0049017678900425965
PRESS_ULC_R23B,4,2023,71,0.01848353726230112,0.02839179964453531
PRESS_ULC_R23B,4,2024,71,0.0013224388335419945,-0.004430796615096488
PRESS_ULC_R23B,4,2025,71,-0.0017899760902448936,-0.012814269038300408
PRESS_ULC_R23B,4,2026,80,0.002734900201249113,0.0021991758518440374
PRESS_DOMESTIC_R23B,4,2019,75,-0.008035348463536485,-0.004149126757709398
PRESS_DOMESTIC_R23B,4,2020,71,-0.008372134268613607,-0.004478888479024334
PRESS_DOMESTIC_R23B,4,2021,71,-0.009681320542227478,-0.004530270586284635
PRESS_DOMESTIC_R23B,4,2022,71,-0.013195853876233787,-0.004530270586284524
PRESS_DOMESTIC_R23B,4,2023,71,0.006723102097953015,0.021327491683245325
PRESS_DOMESTIC_R23B,4,2024,71,-0.00991892842689901,-0.011079842988608979
PRESS_DOMESTIC_R23B,4,2025,71,-0.013347961519543983,-0.019860472997184297
PRESS_DOMESTIC_R23B,4,2026,80,-0.007877364023419764,-0.003706874297638718
PRESS_MOMENTUM_R23B,4,2019,75,0.015285550217815524,0.01191937658699338
PRESS_MOMENTUM_R23B,4,2020,71,0.015652319946472648,0.011623705323627664
PRESS_MOMENTUM_R23B,4,2021,71,0.040158875861466825,0.028741372427355527
PRESS_MOMENTUM_R23B,4,2022,71,-0.02146550375783307,-0.009075086615107142
PRESS_MOMENTUM_R23B,4,2023,71,0.009551031386946685,0.004465541162612219
PRESS_MOMENTUM_R23B,4,2024,71,0.01567157402514563,0.013516478742118254
PRESS_MOMENTUM_R23B,4,2025,71,0.01662111908991326,0.015452564307885774
PRESS_MOMENTUM_R23B,4,2026,80,0.014349118575967656,0.009649970489708615
PRESS_JOINT_R23B,4,2019,75,0.01855013433200492,0.006474054725885248
PRESS_JOINT_R23B,4,2020,71,0.019235121162249014,0.007050324221198778
PRESS_JOINT_R23B,4,2021,71,0.03558763661795172,0.015274419365539194
PRESS_JOINT_R23B,4,2022,71,-0.03189093200324544,-0.020347998392067024
PRESS_JOINT_R23B,4,2023,71,0.03263918054373205,0.029648060501179296
PRESS_JOINT_R23B,4,2024,71,0.017400076837105205,0.005645467137192606
PRESS_JOINT_R23B,4,2025,71,0.016036800472242874,-0.002218952610544722
PRESS_JOINT_R23B,4,2026,80,0.017647790273721764,0.0053085111356376835
PRESS_SIGNED_R23B,4,2019,75,0.014962086063138536,0.005144965671861623
PRESS_SIGNED_R23B,4,2020,71,0.015500814205048785,0.0055197704512812695
PRESS_SIGNED_R23B,4,2021,71,0.029816696950463406,0.012465608591793575
PRESS_SIGNED_R23B,4,2022,71,-0.02941807465631041,-0.015955027697065804
PRESS_SIGNED_R23B,4,2023,71,0.027832119587763104,0.025330103662114523
PRESS_SIGNED_R23B,4,2024,71,0.013214016505620485,0.0015376950315937332
PRESS_SIGNED_R23B,4,2025,71,0.013807538309076994,-0.0004999945874368805
PRESS_SIGNED_R23B,4,2026,80,0.014130672867404659,0.003737068940323107
PRESS_LEVELS_R23B,4,2019,75,0.0021794161644212995,0.014086232567401602
PRESS_LEVELS_R23B,4,2020,71,0.0021954614525530047,0.014873801819428323
PRESS_LEVELS_R23B,4,2021,71,0.002534881130544564,0.01475222031066159
PRESS_LEVELS_R23B,4,2022,71,0.00344373824886679,0.014752220310662145
PRESS_LEVELS_R23B,4,2023,71,0.0077440380171538425,0.02399330958619239
PRESS_LEVELS_R23B,4,2024,71,0.00042941092935677716,0.008431770894612667
PRESS_LEVELS_R23B,4,2025,71,-0.003656563848301042,-0.0033580957913290632
PRESS_LEVELS_R23B,4,2026,80,0.0020271521807988524,0.013259686569969897
PRESS_ULC_R23B,5,2019,74,-0.0002497554928928558,0.015256700714155969
