period,as_of,model,block,prediction,n_train,train_start,train_end,training_last_release,dropped_columns,fit_status
2019-09,2019-10-09 23:59:00,SHARED_OWN_CATEGORIES,catering,0.4389004229738527,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-09,2019-10-09 23:59:00,SHARED_OWN_CATEGORIES,accommodation,-0.7290902548883709,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-09,2019-10-09 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,-22.189708430442895,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-09,2019-10-09 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,-0.014793483986488675,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-09,2019-10-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.005978132499592639,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-09,2019-10-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.01538612763747806,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.16025918594499955,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.42667384743218106,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,SHARED_OWN_CATEGORIES,catering,0.3653410281042395,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,SHARED_OWN_CATEGORIES,accommodation,-0.6897143989495029,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,-1.2766637710167106,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.1849084091603905,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.18828937956629557,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-10,2019-11-10 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.1893380935366232,56,2015-02,2019-09,2019-10-10 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.15664592032741967,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.24588995810603828,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,SHARED_OWN_CATEGORIES,catering,0.3978964136495772,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,SHARED_OWN_CATEGORIES,accommodation,-0.9077718590731341,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,0.7509083554121048,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,-0.009519967839197091,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.005065141107209986,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-11,2019-12-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.012408214554027075,57,2015-02,2019-10,2019-11-11 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.12446162594301678,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.5895190137323756,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,SHARED_OWN_CATEGORIES,catering,0.8922345484113903,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.26637986280706394,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,0.37551444005536916,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.02719398316735676,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.022562831562805415,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2019-12,2020-01-12 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.010867053200131576,58,2015-02,2019-11,2019-12-10 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.31550295758720803,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.30262216733513664,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,SHARED_OWN_CATEGORIES,catering,0.3688034108897282,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,SHARED_OWN_CATEGORIES,accommodation,-0.30306326369332726,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,8.463180039123273,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.016413892531135114,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.0025702068130650305,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-01,2020-02-13 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.0011125152541536405,59,2015-02,2019-12,2020-01-13 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.5550418474977585,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,-0.08945242707994938,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,SHARED_OWN_CATEGORIES,catering,0.2698653816833104,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.09385212043222221,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,5.131546396909104,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.036196490100713366,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.031513836347877085,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-02,2020-03-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.020614079495779924,60,2015-02,2020-01,2020-02-14 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.16027110125910526,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,-0.09911970992924501,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,SHARED_OWN_CATEGORIES,catering,0.4014377282795242,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.788210670839053,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,-8.36114265746586,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.0339013989588028,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.06830756131778404,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-03,2020-04-13 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.07758793352942911,61,2015-02,2020-02,2020-03-10 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.09662564636519064,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.26250860801431863,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,SHARED_OWN_CATEGORIES,catering,0.2287791583085442,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,SHARED_OWN_CATEGORIES,accommodation,1.3735481832514207,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,-2.169431004749655,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.13406304321794482,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.14691374671915897,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-04,2020-05-12 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.12202241611352684,62,2015-02,2020-03,2020-04-14 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.26568297312580025,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.298737592912543,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,SHARED_OWN_CATEGORIES,catering,0.30395509063869436,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.4477719869851634,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,-0.7054229419070064,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.011186767415361683,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.04471422912906956,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-05,2020-06-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.05887921248293501,63,2015-02,2020-04,2020-05-13 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.34464794526608744,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.036982422302715035,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,SHARED_OWN_CATEGORIES,catering,0.08939259918337075,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.2727279457452187,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,6.020240354708904,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,-0.06099720823461291,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.004359962604574587,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-06,2020-07-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.06510456988387836,64,2015-02,2020-05,2020-06-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.2834430219349738,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.1603112058928851,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,SHARED_OWN_CATEGORIES,catering,0.301518397821979,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.9484193086149278,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,22.26905809607884,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,-0.08856973842523486,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.06526235892587433,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-07,2020-08-12 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.14763735315997423,65,2015-02,2020-06,2020-07-10 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.2650084414274864,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.3875257675353703,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,SHARED_OWN_CATEGORIES,catering,0.24886430573186025,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.20005212400631806,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,2.689294606804977,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,-0.018013920644417755,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.07733349643887061,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-08,2020-09-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.03832194161045532,66,2015-02,2020-07,2020-08-13 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.14040996915618834,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,-0.06697476252683521,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,SHARED_OWN_CATEGORIES,catering,0.43056118358873186,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,SHARED_OWN_CATEGORIES,accommodation,-0.6121441263158536,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,-22.794402494316586,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,-0.0030445012271913437,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.053516316708955,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-09,2020-10-11 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.010748930111208973,67,2015-02,2020-08,2020-09-10 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,-0.0519919917093013,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.33286819620338975,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,SHARED_OWN_CATEGORIES,catering,0.3874478445871399,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,SHARED_OWN_CATEGORIES,accommodation,-0.6065205817534933,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,-0.8056110287649172,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
2020-10,2020-11-09 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,0.1901272564032218,68,2015-02,2020-09,2020-10-12 09:00:00,[],estimated
