model,frame,coverage,n,rmse,mae,bias,mean_gain,total_gain,closer,material_win,material_loss,direction,alerts,alerted_big,false_alarm,missed_big,big_precision,big_recall
TARGET_OWN_HALF,all,own,90,0.4098623650176228,0.25582878258022035,-0.04024535009076007,-0.002495449246886979,-0.2245904322198281,44,11,9,50,21,8,13,15,0.38095238095238093,0.34782608695652173
TARGET_OWN_HALF,ex_jan,own,83,0.39352370181843493,0.2414203290069481,-0.007655161247292388,0.003157984246063977,0.2621126924233101,41,10,8,46,18,6,12,13,0.3333333333333333,0.3157894736842105
TARGET_OWN_HALF,2024+,own,31,0.20587738763661365,0.16006514656833098,0.0047545460343693296,0.027031627625217373,0.8379804563817386,18,3,1,19,3,2,1,3,0.6666666666666666,0.4
TARGET_OWN_HALF,flash2025+,own,19,0.16497684758512823,0.13135937919360818,0.03807431637702987,0.0265353576484971,0.5041717953214448,12,2,0,12,1,0,1,1,0.0,0.0
TARGET_OWN_HALF,big,own,23,0.6918564411844557,0.4907650902787852,-0.06658784394617491,0.08749577928643222,2.012402923587941,16,8,3,17,8,8,0,15,1.0,0.34782608695652173
TARGET_OWN_HALF,big_ex_jan,own,19,0.7323379262386176,0.5082812498609641,0.0051964693837746835,0.08645559224429906,1.6426562526416824,15,7,3,15,6,6,0,13,1.0,0.3157894736842105
TARGET_OWN_HALF,alerts,own,21,0.441046631094683,0.29948732646914644,-0.15867461208426759,0.010036483054663124,0.21076614414792558,10,8,5,16,21,8,13,0,0.38095238095238093,1.0
TARGET_OWN_HALF,all,common,90,0.4098623650176228,0.25582878258022035,-0.04024535009076007,-0.002495449246886979,-0.2245904322198281,44,11,9,50,21,8,13,15,0.38095238095238093,0.34782608695652173
TARGET_OWN_HALF,ex_jan,common,83,0.39352370181843493,0.2414203290069481,-0.007655161247292388,0.003157984246063977,0.2621126924233101,41,10,8,46,18,6,12,13,0.3333333333333333,0.3157894736842105
TARGET_OWN_HALF,2024+,common,31,0.20587738763661365,0.16006514656833098,0.0047545460343693296,0.027031627625217373,0.8379804563817386,18,3,1,19,3,2,1,3,0.6666666666666666,0.4
TARGET_OWN_HALF,flash2025+,common,19,0.16497684758512823,0.13135937919360818,0.03807431637702987,0.0265353576484971,0.5041717953214448,12,2,0,12,1,0,1,1,0.0,0.0
TARGET_OWN_HALF,big,common,23,0.6918564411844557,0.4907650902787852,-0.06658784394617491,0.08749577928643222,2.012402923587941,16,8,3,17,8,8,0,15,1.0,0.34782608695652173
TARGET_OWN_HALF,big_ex_jan,common,19,0.7323379262386176,0.5082812498609641,0.0051964693837746835,0.08645559224429906,1.6426562526416824,15,7,3,15,6,6,0,13,1.0,0.3157894736842105
TARGET_OWN_HALF,alerts,common,21,0.441046631094683,0.29948732646914644,-0.15867461208426759,0.010036483054663124,0.21076614414792558,10,8,5,16,21,8,13,0,0.38095238095238093,1.0
TARGET_CHANNEL,all,own,90,0.4114199230084591,0.25952998966793617,-0.03351198778073993,-0.006196656334602851,-0.5576990701142566,46,11,8,51,22,8,14,15,0.36363636363636365,0.34782608695652173
TARGET_CHANNEL,ex_jan,own,83,0.391062464245859,0.24070395459209148,-0.008395132179763044,0.003874358660920586,0.32157176885640865,42,11,7,47,19,6,13,13,0.3157894736842105,0.3157894736842105
TARGET_CHANNEL,2024+,own,31,0.20206532154291432,0.15758113631255444,0.012988186733597699,0.02951563788099393,0.9149847743108118,20,3,2,20,4,2,2,3,0.5,0.4
TARGET_CHANNEL,flash2025+,own,19,0.15864736667129992,0.12376193623447385,0.04894656432804808,0.03413280060763143,0.6485232115449971,13,2,1,13,2,0,2,1,0.0,0.0
TARGET_CHANNEL,big,own,23,0.6904152161499472,0.512270912325678,-0.05836535659477146,0.06598995723953939,1.517769016509406,15,7,1,15,8,8,0,15,1.0,0.34782608695652173
TARGET_CHANNEL,big_ex_jan,own,19,0.7217966973878018,0.5118194968297778,-0.018143714083122632,0.0829173452754854,1.5754295602342225,13,7,1,13,6,6,0,13,1.0,0.3157894736842105
TARGET_CHANNEL,alerts,own,22,0.44233644925516563,0.3157271644075493,-0.11370706500760469,-0.020272618953003776,-0.4459976169660831,12,9,6,17,22,8,14,0,0.36363636363636365,1.0
TARGET_CHANNEL,all,common,90,0.4114199230084591,0.25952998966793617,-0.03351198778073993,-0.006196656334602851,-0.5576990701142566,46,11,8,51,22,8,14,15,0.36363636363636365,0.34782608695652173
TARGET_CHANNEL,ex_jan,common,83,0.391062464245859,0.24070395459209148,-0.008395132179763044,0.003874358660920586,0.32157176885640865,42,11,7,47,19,6,13,13,0.3157894736842105,0.3157894736842105
TARGET_CHANNEL,2024+,common,31,0.20206532154291432,0.15758113631255444,0.012988186733597699,0.02951563788099393,0.9149847743108118,20,3,2,20,4,2,2,3,0.5,0.4
TARGET_CHANNEL,flash2025+,common,19,0.15864736667129992,0.12376193623447385,0.04894656432804808,0.03413280060763143,0.6485232115449971,13,2,1,13,2,0,2,1,0.0,0.0
TARGET_CHANNEL,big,common,23,0.6904152161499472,0.512270912325678,-0.05836535659477146,0.06598995723953939,1.517769016509406,15,7,1,15,8,8,0,15,1.0,0.34782608695652173
TARGET_CHANNEL,big_ex_jan,common,19,0.7217966973878018,0.5118194968297778,-0.018143714083122632,0.0829173452754854,1.5754295602342225,13,7,1,13,6,6,0,13,1.0,0.3157894736842105
TARGET_CHANNEL,alerts,common,22,0.44233644925516563,0.3157271644075493,-0.11370706500760469,-0.020272618953003776,-0.4459976169660831,12,9,6,17,22,8,14,0,0.36363636363636365,1.0
